 " he's back , and it's about time . " 	Translation	Positive	Negative	EmotionRationale
but he broke it up , and said it so slowly that it wounded up sounding like a song lyric , " i always . . . 	but he broke it up , and said it so slowly that it wounded up sounding like a song lyric , " i always .<br> .<br> .	2	-2	 but[0] he[0] broke[-1] it[0] up[0] and[0] said[0] it[0] so[0] slowly[0] that[0] it[0] wounded[-1] up[0] sounding[0] like[1] a[0] song[0] lyric[0] i[0] always[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
dress . . . 	dress .<br> .<br> .	1	-1	 dress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the occasion . " 	for the occasion .<br> "	1	-1	 for[0] the[0] occasion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you need an actor less slow and less reliant on moving his hands to act , and who's also british , like mcgann is as the doctor . 	you need an actor less slow and less reliant on moving his hands to act , and who's also british , like mcgan is as the doctor .	2	-1	 you[0] need[0] an[0] actor[0] less[0] slow[0] and[0] less[0] reliant[0] on[0] moving[0] his[0] hands[0] to[0] act[0] and[0] who's[0] also[0] british[0] like[1] mcgann/mcgan[0] is[0] as[0] the[0] doctor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
executive producer phil segal said he was casted because fox insisted on having one american star in the role . 	executive producer phil segal said he was casted because fox insisted on having one american star in the role .	1	-1	 executive[0] producer[0] phil[0] segal[0] said[0] he[0] was[0] casted[0] because[0] fox[0] insisted[0] on[0] having[0] one[0] american[0] star[0] in[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i dunno who thought of casting him , but if they're reading this : news flash : eric roberts is * not * a star ! 	i dunno who thought of casting him , but if they're reading this : news flash : eric roberts is * not * a star !	1	-1	 i[0] dunno[0] who[0] thought[0] of[0] casting[0] him[0] but[0] if[0] they're[0] reading[0] this[0] news[0] flash[0] eric[0] roberts[0] is[0] not[0] a[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he rides on his sister's coattails , and any hit movie he makes has nothing to do with him . 	he rides on his sister's coattails , and any hit movie he makes has nothing to do with him .	1	-1	 he[0] rides[0] on[0] his[0] sister's[0] coattails[0] and[0] any[0] hit[0] movie[0] he[0] makes[0] has[0] nothing[0] to[0] do[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is this problem the kisses to the past ? 	is this problem the kisses to the past ?	3	-2	 is[0] this[0] problem[-1] the[0] kisses[2] to[0] the[0] past[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they have references to the show so subtle that non fans would not notice them , only whovians would , and they're good . 	they have references to the show so subtle that non fans would not notice them , only whovians would , and they're good .	2	-1	 they[0] have[0] references[0] to[0] the[0] show[0] so[0] subtle[0] that[0] non[0] fans[0] would[0] not[0] notice[0] them[0] only[0] whovians[0] would[0] and[0] they're[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
is it the script or the movie as a whole ? 	is it the script or the movie as a whole ?	1	-1	 is[0] it[0] the[0] script[0] or[0] the[0] movie[0] as[0] a[0] whole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script is a classy piece of work , featuring a master who can spit slime out of his mouth and nice dialogue , and the movie as a whole is one fans will love , and it is a good stand alone viewing for nonfans to enjoy the series . 	the script is a classy piece of work , featuring a master who can spit slime out of his mouth and nice dialogue , and the movie as a whole is one fans will love , and it is a good stand alone viewing for nonfans to enjoy the series .	3	-2	 the[0] script[0] is[0] a[0] classy[0] piece[0] of[0] work[0] featuring[0] a[0] master[0] who[0] can[0] spit[0] slime[-1] out[0] of[0] his[0] mouth[0] and[0] nice[1] dialogue[0] and[0] the[0] movie[0] as[0] a[0] whole[0] is[0] one[0] fans[0] will[0] love[2] and[0] it[0] is[0] a[0] good[1] stand[0] alone[0] viewing[0] for[0] nonfans[0] to[0] enjoy[2] the[0] series[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so what is it ? 	so what is it ?	1	-1	 so[0] what[0] is[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simple : no plot . 	simple : no plot .	1	-1	 simple[0] no[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the master , on his last legs , sends for the doctor to rescue him after the daleks put him on trial on their planet skaro and exterminate him . 	the master , on his last legs , sends for the doctor to rescue him after the daleks put him on trial on their planet skaro and exterminate him .	1	-2	 the[0] master[0] on[0] his[0] last[0] legs[0] sends[0] for[0] the[0] doctor[0] to[0] rescue[0] him[0] after[0] the[0] daleks[0] put[0] him[0] on[0] trial[0] on[0] their[0] planet[0] skaro[0] and[0] exterminate[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the doctor attempts to take his remains back to gallifrey , but they accidentally land in san francisco , 1999 , december 31 , where the master , with young street hood chang lee's help , opens the eye of harmony , which will suck the earth through it at midnight if the doctor , with the help of female surgeon , dr . grace holloway , doesn't close it by then . 	the doctor attempts to take his remains back to gallifrey , but they accidentally land in san francisco , 199 , december 31 , where the master , with young street hood chang lee's help , opens the eye of harmony , which will suck the earth through it at midnight if the doctor , with the help of female surgeon , dr .<br> grace holloway , doesn't close it by then .	3	-2	 the[0] doctor[0] attempts[0] to[0] take[0] his[0] remains[0] back[0] to[0] gallifrey[0] but[0] they[0] accidentally[-1] land[0] in[0] san[0] francisco[0] 1999/199[0] december[0] 31[0] where[0] the[0] master[0] with[0] young[0] street[0] hood[0] chang[0] lee's[0] help[0] opens[0] the[0] eye[0] of[0] harmony[1] which[0] will[0] suck[-1] the[0] earth[0] through[0] it[0] at[0] midnight[0] if[0] the[0] doctor[0] with[0] the[0] help[0] of[0] female[0] surgeon[0] dr[0] [[Sentence=-2,2=word max, 1-5]] grace[2] holloway[0] doesn't[0] close[0] it[0] by[0] then[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
virtually no plot . 	virtually no plot .	1	-1	 virtually[0] no[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was told the movie would've featured the daleks on screen and started with more of a courtroom drama between the master and the daleks , but a lot of rewriting went on on the set . 	i was told the movie would've featured the daleks on screen and started with more of a courtroom drama between the master and the daleks , but a lot of rewriting went on on the set .	1	-1	 i[0] was[0] told[0] the[0] movie[0] would've[0] featured[0] the[0] daleks[0] on[0] screen[0] and[0] started[0] with[0] more[0] of[0] a[0] courtroom[0] drama[0] between[0] the[0] master[0] and[0] the[0] daleks[0] but[0] a[0] lot[0] of[0] rewriting[0] went[0] on[0] on[0] the[0] set[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that shows how smart people are , as it would have made the movie a hell of a lot more interesting , and that would've gotten a four star rating out of me . 	that shows how smart people are , as it would have made the movie a hell of a lot more interesting , and that would've gotten a four star rating out of me .	2	-2	 that[0] shows[0] how[0] smart[1] people[0] are[0] as[0] it[0] would[0] have[0] made[0] the[0] movie[0] a[0] hell[-1] of[0] a[0] lot[0] more[0] interesting[1] and[0] that[0] would've[0] gotten[0] a[0] four[0] star[0] rating[0] out[0] of[0] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
