many people dislike french films for their lack of closure . 	Translation	Positive	Negative	EmotionRationale
stephane ignores his feelings for camille , which the audience cannot help but to see is present . 	stephane ignores his feelings for camille , which the audience cannot help but to see is present .	1	-1	 stephane[0] ignores[0] his[0] feelings[0] for[0] camille[0] which[0] the[0] audience[0] cannot[0] help[0] but[0] to[0] see[0] is[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the movie progresses , the two characters become more and more polarized in their views and emotions for one another . 	as the movie progresses , the two characters become more and more polarized in their views and emotions for one another .	1	-1	 as[0] the[0] movie[0] progresses[0] the[0] two[0] characters[0] become[0] more[0] and[0] more[0] polarized[0] in[0] their[0] views[0] and[0] emotions[0] for[0] one[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two people , with very similar approaches to life initially , react to their new circumstance very differently . 	these two people , with very similar approaches to life initially , react to their new circumstance very differently .	1	-1	 these[0] two[0] people[0] with[0] very[0] similar[0] approaches[0] to[0] life[0] initially[0] react[0] to[0] their[0] new[0] circumstance[0] very[0] differently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stephane becomes even more rational and controlled , while camille becomes more tempestuous , until she almost borders on suffering a nervous breakdown due to the inability to consummate their relationship . 	stephane becomes even more rational and controlled , while camille becomes more tempestuous , until she almost borders on suffering a nervous breakdown due to the inability to consummate their relationship .	1	-4	 stephane[0] becomes[0] even[0] more[0] rational[0] and[0] controlled[0] while[0] camille[0] becomes[0] more[0] tempestuous[0] until[0] she[0] almost[0] borders[0] on[0] suffering[-3] a[0] nervous[-2] breakdown[-1] due[0] to[0] the[0] inability[-1] to[0] consummate[0] their[0] relationship[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , their approach to each other is perhaps not surprising considering their vocation . 	however , their approach to each other is perhaps not surprising considering their vocation .	1	-1	 however[0] their[0] approach[0] to[0] each[0] other[0] is[0] perhaps[0] not[0] surprising[0] considering[0] their[0] vocation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience is led to believe that stephane may have been a genius as a violinist as well , due to his relationship with a master violin teacher . 	the audience is led to believe that stephane may have been a genius as a violinist as well , due to his relationship with a master violin teacher .	1	-1	 the[0] audience[0] is[0] led[0] to[0] believe[0] that[0] stephane[0] may[0] have[0] been[0] a[0] genius[0] as[0] a[0] violinist[0] as[0] well[0] due[0] to[0] his[0] relationship[0] with[0] a[0] master[0] violin[0] teacher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , apparently , he could not be a violinist due to his intolerance for flaws in his playing . 	however , apparently , he could not be a violinist due to his intolerance for flaws in his playing .	2	-1	 however[0] apparently[0] he[0] could[0] not[0] be[0] a[0] violinist[0] due[0] to[0] his[0] intolerance[0] for[0] flaws[0] in[0] his[0] playing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
consequently , stephane becomes a precision craftsmen with the instrument and no longer plays . 	consequently , stephane becomes a precision craftsmen with the instrument and no longer plays .	2	-1	 consequently[0] stephane[0] becomes[0] a[0] precision[0] craftsmen[0] with[0] the[0] instrument[0] and[0] no[0] longer[0] plays[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in contrast , camille had almost given the violin , years earlier . 	in contrast , camille had almost given the violin , years earlier .	1	-1	 in[0] contrast[0] camille[0] had[0] almost[0] given[0] the[0] violin[0] years[0] earlier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , with the aid of her manager , she has progressed to being almost one of the world's finest , successfully submerging herself to her playing . 	however , with the aid of her manager , she has progressed to being almost one of the world's finest , successfully submerging herself to her playing .	3	-1	 however[0] with[0] the[0] aid[0] of[0] her[0] manager[0] she[0] has[0] progressed[0] to[0] being[0] almost[0] one[0] of[0] the[0] world's[0] finest[0] successfully[2] submerging[0] herself[0] to[0] her[0] playing[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
during the course of the movie , we see both characters evolve as they struggle to meet the challenge of their new emotions . 	during the course of the movie , we see both characters evolve as they struggle to meet the challenge of their new emotions .	1	-2	 during[0] the[0] course[0] of[0] the[0] movie[0] we[0] see[0] both[0] characters[0] evolve[0] as[0] they[0] struggle[-1] to[0] meet[0] the[0] challenge[-1] of[0] their[0] new[0] emotions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stephane attempts to remain unchanged . 	stephane attempts to remain unchanged .	1	-1	 stephane[0] attempts[0] to[0] remain[0] unchanged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , we do see subtle hints of his transformation . 	however , we do see subtle hints of his transformation .	1	-1	 however[0] we[0] do[0] see[0] subtle[0] hints[0] of[0] his[0] transformation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the most obvious is when he defeats maxime in squash . 	one of the most obvious is when he defeats maxime in squash .	1	-1	 one[0] of[0] the[0] most[0] obvious[0] is[0] when[0] he[0] defeats[0] maxime[0] in[0] squash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the development of all of the characters , many of which is not included in this synopsis , is incredible . 	the development of all of the characters , many of which is not included in this synopsis , is incredible .	1	-1	 the[0] development[0] of[0] all[0] of[0] the[0] characters[0] many[0] of[0] which[0] is[0] not[0] included[0] in[0] this[0] synopsis[0] is[0] incredible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
american movies , with rare exceptions , have not and i would daresay cannot approach foreign films in character development . 	american movies , with rare exceptions , have not and i would daresay cannot approach foreign films in character development .	2	-1	 american[0] movies[0] with[0] rare[0] exceptions[0] have[0] not[0] and[0] i[0] would[0] daresay[0] cannot[0] approach[0] foreign[-1][NegatedDueToPreviousWord] films[0] in[0] character[0] development[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in its essence , this movie is about the development and growth of the characters , camille and stephane . 	in its essence , this movie is about the development and growth of the characters , camille and stephane .	1	-1	 in[0] its[0] essence[0] this[0] movie[0] is[0] about[0] the[0] development[0] and[0] growth[0] of[0] the[0] characters[0] camille[0] and[0] stephane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the portrayal of all the other characters in the movie , including a death , is to further the development of camille's and stepahne's characters . 	the portrayal of all the other characters in the movie , including a death , is to further the development of camille's and stepahne's characters .	1	-3	 the[0] portrayal[0] of[0] all[0] the[0] other[0] characters[0] in[0] the[0] movie[0] including[0] a[0] death[-2] is[0] to[0] further[0] the[0] development[0] of[0] camille's[0] and[0] stepahne's[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i am not sure why berardinelli says , " at times it becomes difficult to determine whether stephane should be pitied or vilified , and it is to auteuil's credit that he manages to maintain this uncertainty . " 	i am not sure why berardinelli says , " at times it becomes difficult to determine whether stephane should be pitied or vilified , and it is to auteuil's credit that he manages to maintain this uncertainty .<br> "	1	-3	 i[0] am[0] not[0] sure[0] why[0] berardinelli[0] says[0] at[0] times[0] it[0] becomes[0] difficult[-1] to[0] determine[0] whether[0] stephane[0] should[0] be[0] pitied[-2] or[0] vilified[0] and[0] it[0] is[0] to[0] auteuil's[0] credit[0] that[0] he[0] manages[0] to[0] maintain[0] this[0] uncertainty[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this movie is not about judging stephane's actions as being right or wrong , but about viewing their growth and accepting the characters as who they are . 	this movie is not about judging stephane's actions as being right or wrong , but about viewing their growth and accepting the characters as who they are .	1	-2	 this[0] movie[0] is[0] not[0] about[0] judging[0] stephane's[0] actions[0] as[0] being[0] right[0] or[0] wrong[-1] but[0] about[0] viewing[0] their[0] growth[0] and[0] accepting[0] the[0] characters[0] as[0] who[0] they[0] are[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i find the ending appropriate ; unfortunately , i found the last ten minutes which led up to the final scene to be very unfulfilling . 	i find the ending appropriate ; unfortunately , i found the last ten minutes which led up to the final scene to be very unfulfilling .	1	-2	 i[0] find[0] the[0] ending[0] appropriate[0] unfortunately[-1] i[0] found[0] the[0] last[0] ten[0] minutes[0] which[0] led[0] up[0] to[0] the[0] final[0] scene[0] to[0] be[0] very[0] unfulfilling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this portion of the film is where the " sense of closure " could have been successfully accomplished . 	this portion of the film is where the " sense of closure " could have been successfully accomplished .	3	-1	 this[0] portion[0] of[0] the[0] film[0] is[0] where[0] the[0] sense[0] of[0] closure[0] could[0] have[0] been[0] successfully[2] accomplished[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , there is a hurried and almost a soap opera-type surge of emotions from all of the characters . 	unfortunately , there is a hurried and almost a soap opera-type surge of emotions from all of the characters .	1	-2	 unfortunately[-1] there[0] is[0] a[0] hurried[0] and[0] almost[0] a[0] soap[0] opera[0] type[0] surge[0] of[0] emotions[0] from[0] all[0] of[0] the[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while ravel may not be quite as accomplished as schubert or mozart , ravel has his day in this film . 	while ravel may not be quite as accomplished as schubert or mozart , ravel has his day in this film .	2	-1	 while[0] ravel[0] may[0] not[0] be[0] quite[0] as[0] accomplished[1] as[0] schubert[0] or[0] mozart[0] ravel[0] has[0] his[0] day[0] in[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the synergism of the tension of ravel's music and tension on the screen is the best i have ever seen . 	the synergism of the tension of ravel's music and tension on the screen is the best i have ever seen .	2	-3	 the[0] synergism[0] of[0] the[0] tension[-2] of[0] ravel's[0] music[0] and[0] tension[-2] on[0] the[0] screen[0] is[0] the[0] best[1] i[0] have[0] ever[0] seen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the directing in this movie is wonderful . 	the directing in this movie is wonderful .	3	-1	 the[0] directing[0] in[0] this[0] movie[0] is[0] wonderful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the actors and actresses are excellent , each playing their part with great sincerity and warmth . 	the actors and actresses are excellent , each playing their part with great sincerity and warmth .	4	-1	 the[0] actors[0] and[0] actresses[0] are[0] excellent[3] each[0] playing[1] their[0] part[0] with[0] great[2] sincerity[0] and[0] warmth[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
emmanuelle beart's personality is beautiful . 	emmanuelle beart's personality is beautiful .	3	-1	 emmanuelle[0] beart's[0] personality[0] is[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and needless to say , i must say that emmanuelle beart , herself , is beautiful . 	and needless to say , i must say that emmanuelle beart , herself , is beautiful .	3	-1	 and[0] needless[0] to[0] say[0] i[0] must[0] say[0] that[0] emmanuelle[0] beart[0] herself[0] is[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
besides the near ending , the only other criticism of the movie which i have is that the movie is almost too cerebral . 	besides the near ending , the only other criticism of the movie which i have is that the movie is almost too cerebral .	1	-2	 besides[0] the[0] near[0] ending[0] the[0] only[0] other[0] criticism[-1] of[0] the[0] movie[0] which[0] i[0] have[0] is[0] that[0] the[0] movie[0] is[0] almost[0] too[0] cerebral[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i almost left with the sense little happened because almost all the changes which occur in the movie happen in deep in their psyches and little in their personalities or the situations which they end as part of . 	i almost left with the sense little happened because almost all the changes which occur in the movie happen in deep in their psyches and little in their personalities or the situations which they end as part of .	1	-1	 i[0] almost[0] left[0] with[0] the[0] sense[0] little[0] happened[0] because[0] almost[0] all[0] the[0] changes[0] which[0] occur[0] in[0] the[0] movie[0] happen[0] in[0] deep[0] in[0] their[0] psyches[0] and[0] little[0] in[0] their[0] personalities[0] or[0] the[0] situations[0] which[0] they[0] end[0] as[0] part[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one question which i am left with is while they have accepted their lot , has their attitude towards love changed ? 	the one question which i am left with is while they have accepted their lot , has their attitude towards love changed ?	3	-1	 the[0] one[0] question[0] which[0] i[0] am[0] left[0] with[0] is[0] while[0] they[0] have[0] accepted[0] their[0] lot[0] has[0] their[0] attitude[0] towards[0] love[2] changed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i have several possibilities which i believe the movie hints at , but i am unsure of which the director is espousing . 	i have several possibilities which i believe the movie hints at , but i am unsure of which the director is espousing .	1	-1	 i[0] have[0] several[0] possibilities[0] which[0] i[0] believe[0] the[0] movie[0] hints[0] at[0] but[0] i[0] am[0] unsure[0] of[0] which[0] the[0] director[0] is[0] espousing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in summary , this movie is solely about the character growth of two characters who almost develop a relationship . 	in summary , this movie is solely about the character growth of two characters who almost develop a relationship .	1	-1	 in[0] summary[0] this[0] movie[0] is[0] solely[0] about[0] the[0] character[0] growth[0] of[0] two[0] characters[0] who[0] almost[0] develop[0] a[0] relationship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the process , we see their attitude towards life and other people . 	in the process , we see their attitude towards life and other people .	1	-1	 in[0] the[0] process[0] we[0] see[0] their[0] attitude[0] towards[0] life[0] and[0] other[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in itself , i do not believe un coeur is a complicated movie . 	in itself , i do not believe un coeur is a complicated movie .	1	-2	 in[0] itself[0] i[0] do[0] not[0] believe[0] un[0] coeur[0] is[0] a[0] complicated[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where it does become complicated is when we juxtapose the scenes of the movie into the greater walk of life where we , as americans , have preconceived american notions of relationship , love , and people . 	where it does become complicated is when we juxtapose the scenes of the movie into the greater walk of life where we , as americans , have preconceived american notions of relationship , love , and people .	3	-2	 where[0] it[0] does[0] become[0] complicated[-1] is[0] when[0] we[0] juxtapose[0] the[0] scenes[0] of[0] the[0] movie[0] into[0] the[0] greater[2] walk[0] of[0] life[0] where[0] we[0] as[0] americans[0] have[0] preconceived[0] american[0] notions[0] of[0] relationship[0] love[2] and[0] people[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i do wonder how the movie translates when viewed within its native french culture . 	i do wonder how the movie translates when viewed within its native french culture .	1	-1	 i[0] do[0] wonder[0] how[0] the[0] movie[0] translates[0] when[0] viewed[0] within[0] its[0] native[0] french[0] culture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , i , bringing my american preconceptions , enjoyed the film . 	however , i , bringing my american preconceptions , enjoyed the film .	3	-1	 however[0] i[0] bringing[0] my[0] american[0] preconceptions[0] enjoyed[2] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i would welcome any comments about this movie from any who have seen it . 	i would welcome any comments about this movie from any who have seen it .	1	-1	 i[0] would[0] welcome[1][-1 LastWordBoosterStrength] any[0] comments[0] about[0] this[0] movie[0] from[0] any[0] who[0] have[0] seen[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
