in the wake of the smashing success of " rumble in the bronx , " it's looking more and more likely that more jackie chan films will see american release . 	Translation	Positive	Negative	EmotionRationale
the story seems to revolve around those evil foreigners who are spiriting away ancient chinese relics ( and hence , china's cultural heritage ) while overworking , underpaying , and beating up chinese workers in a nearby steel mill . 	the story seems to revolve around those evil foreigners who are spiriting away ancient chinese relics ( and hence , china's cultural heritage ) while overworking , underpaying , and beating up chinese workers in a nearby steel mill .	1	-3	 the[0] story[0] seems[0] to[0] revolve[0] around[0] those[0] evil[-2] foreigners[0] who[0] are[0] spiriting[0] away[0] ancient[0] chinese[0] relics[0] and[0] hence[0] china's[0] cultural[0] heritage[0] while[0] overworking[-1] underpaying[0] and[0] beating[0] up[0] chinese[0] workers[0] in[0] a[0] nearby[0] steel[0] mill[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , this plot merely serves as a framework for the other main story of the film--fei-hong's perpetual struggle to win his girlfriend , supplicate his father , keep his ( pregnant ) mother ( played by anita mui ) from fighting , and keep from getting beaten up by evil foreigner thugs . 	however , this plot merely serves as a framework for the other main story of the film-fei-hong's perpetual struggle to win his girlfriend , supplicate his father , keep his ( pregnant ) mother ( played by anita mui ) from fighting , and keep from getting beaten up by evil foreigner thugs .	1	-3	 however[0] this[0] plot[0] merely[0] serves[0] as[0] a[0] framework[0] for[0] the[0] other[0] main[0] story[0] of[0] the[0] film[0] fei[0] hong's[0] perpetual[0] struggle[-1] to[0] win[0] his[0] girlfriend[0] supplicate[0] his[0] father[0] keep[0] his[0] pregnant[0] mother[0] played[0] by[0] anita[0] mui[0] from[0] fighting[-2] and[0] keep[0] from[0] getting[0] beaten[0] up[0] by[0] evil[-2] foreigner[0] thugs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the macguffin that drives the plot ( s ) is a precious antique jade imperial seal which is being taken away by the evil foreigners . 	the macguffin that drives the plot ( s ) is a precious antique jade imperial seal which is being taken away by the evil foreigners .	3	-3	 the[0] macguffin[0] that[0] drives[0] the[0] plot[0] s[0] is[0] a[0] precious[2] antique[0] jade[0] imperial[0] seal[0] which[0] is[0] being[0] taken[0] away[0] by[0] the[0] evil[-2] foreigners[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in the beginning , fei-hong accidentally steals it while trying to recover an identically-wrapped box containing the medicinal ginseng his father was bringing back for a customer . 	in the beginning , fei-hong accidentally steals it while trying to recover an identically-wrapped box containing the medicinal ginseng his father was bringing back for a customer .	1	-3	 in[0] the[0] beginning[0] fei[0] hong[0] accidentally[-1] steals[-2] it[0] while[0] trying[0] to[0] recover[0] an[0] identically[0] wrapped[0] box[0] containing[0] the[0] medicinal[0] ginseng[0] his[0] father[0] was[0] bringing[0] back[0] for[0] a[0] customer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the process , he clashes with another thief , who is himself trying for the seal but ends up instead with the ginseng . 	in the process , he clashes with another thief , who is himself trying for the seal but ends up instead with the ginseng .	1	-2	 in[0] the[0] process[0] he[0] clashes[0] with[0] another[0] thief[-1] who[0] is[0] himself[0] trying[0] for[0] the[0] seal[0] but[0] ends[0] up[0] instead[0] with[0] the[0] ginseng[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after fei-hong narrowly avoids getting caught with the seal by the evil foreigners' lackies , thanks to some timely intervention by a general's son ( a cameo appearance by andy lau , who would later take on the starring role in drunken master iii ! ) , comedic chaos ensues back at the wong household when fei-hong and his mother attempt to come up with a replacement for the missing ginseng . 	after fei-hong narrowly avoids getting caught with the seal by the evil foreigners' lackies , thanks to some timely intervention by a general's son ( a cameo appearance by andy lau , who would later take on the starring role in drunken master i !<br> ) , comedic chaos ensues back at the wong household when fei-hong and his mother attempt to come up with a replacement for the missing ginseng .	2	-3	 after[0] fei[0] hong[0] narrowly[0] avoids[-1] getting[0] caught[0] with[0] the[0] seal[0] by[0] the[0] evil[-2] foreigners'[0] lackies[0] thanks[1] to[0] some[0] timely[0] intervention[0] by[0] a[0] general's[0] son[0] a[0] cameo[0] appearance[0] by[0] andy[0] lau[0] who[0] would[0] later[0] take[0] on[0] the[0] starring[0] role[0] in[0] drunken[-1] master[0] iii/i[0][+0.6 MultipleLetters] [[Sentence=-3,2=word max, 1-5]] comedic[0] chaos[-1] ensues[0] back[0] at[0] the[0] wong[0] household[0] when[0] fei[0] hong[0] and[0] his[0] mother[0] attempt[0] to[0] come[0] up[0] with[0] a[0] replacement[0] for[0] the[0] missing[0] ginseng[0] [[Sentence=-2,1=word max, 1-5]][[[2,-3 max of sentences]]]
and so it goes . 	and so it goes .	1	-1	 and[0] so[0] it[0] goes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the plot thickens later on , such as when fei-hong's girlfriend maneuvers him into a kung fu match with a rival , or when fei-hong and the thief , now revealed to be a loyalist manchu officer trying to recover the seal and stop the evil foreigners , are attacked en masse ( another grand kung-fu movie tradition ) , but i think i've already spent more time on the plot than it really deserves . 	and the plot thickens later on , such as when fei-hong's girlfriend maneuvers him into a kung fu match with a rival , or when fei-hong and the thief , now revealed to be a loyalist manchu officer trying to recover the seal and stop the evil foreigners , are attacked en masse ( another grand kung-fu movie tradition ) , but i think i've already spent more time on the plot than it really deserves .	2	-3	 and[0] the[0] plot[0] thickens[0] later[0] on[0] such[0] as[0] when[0] fei[0] hong's[0] girlfriend[0] maneuvers[0] him[0] into[0] a[0] kung[0] fu[0] match[0] with[0] a[0] rival[-1] or[0] when[0] fei[0] hong[0] and[0] the[0] thief[-1] now[0] revealed[0] to[0] be[0] a[0] loyalist[1] manchu[0] officer[0] trying[0] to[0] recover[0] the[0] seal[0] and[0] stop[0] the[0] evil[-2] foreigners[0] are[0] attacked[-2] en[0] masse[0] another[0] grand[1] kung[0] fu[0] movie[0] tradition[0] but[0] i[0] think[0] i've[0] already[0] spent[0] more[0] time[0] on[0] the[0] plot[0] than[0] it[0] really[0] deserves[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
let's move on to the real draw of jackie chan movies . . . the 	let's move on to the real draw of jackie chan movies .<br> .<br> .<br> the	1	-1	 let's[0] move[0] on[0] to[0] the[0] real[0] draw[0] of[0] jackie[0] chan[0] movies[0] [[Sentence=-1,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
action . 	action .	1	-1	 action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's plenty of martial arts action to be found in this movie . . . of 	there's plenty of martial arts action to be found in this movie .<br> .<br> .<br> of	1	-1	 there's[0] plenty[0] of[0] martial[0] arts[0] action[0] to[0] be[0] found[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
course , in a kung fu film , that's to be expected . 	course , in a kung fu film , that's to be expected .	1	-1	 course[0] in[0] a[0] kung[0] fu[0] film[0] that's[0] to[0] be[0] expected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , this isn't just another kung fu movie ; this one has jackie chan doing the fight and stunt choreography , and jackie chan is a genius . 	however , this isn't just another kung fu movie ; this one has jackie chan doing the fight and stunt choreography , and jackie chan is a genius .	1	-3	 however[0] this[0] isn't[0] just[0] another[0] kung[0] fu[0] movie[0] this[0] one[0] has[0] jackie[0] chan[0] doing[0] the[0] fight[-2] and[0] stunt[-1] choreography[-2] and[0] jackie[0] chan[0] is[0] a[0] genius[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the primary martial arts " style " featured in the film is drunken boxing , a form of kung fu which attempts to draw the adversary off his guard by making it seem like the fellow using it is drunk . 	the primary martial arts " style " featured in the film is drunken boxing , a form of kung fu which attempts to draw the adversary off his guard by making it seem like the fellow using it is drunk .	2	-2	 the[0] primary[0] martial[0] arts[0] style[0] featured[0] in[0] the[0] film[0] is[0] drunken[-1] boxing[0] a[0] form[0] of[0] kung[0] fu[0] which[0] attempts[0] to[0] draw[0] the[0] adversary[-1] off[0] his[0] guard[0] by[0] making[0] it[0] seem[0] like[1] the[0] fellow[0] using[0] it[0] is[0] drunk[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
further , for the purposes of this film at least , drunken boxers fight better when they actually _are_ intoxicated . . . but 	further , for the purposes of this film at least , drunken boxers fight better when they actually _are_ intoxicated .<br> .<br> .<br> but	1	-3	 further[0] for[0] the[0] purposes[0] of[0] this[0] film[0] at[0] least[0] drunken[-1] boxers[0] fight[-2] better[0] when[0] they[0] actually[0] _are_[0] intoxicated[-1] [[Sentence=-3,1=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's a fine line between just drunk enough and drunk into a stupor . 	there's a fine line between just drunk enough and drunk into a stupor .	3	-2	 there's[0] a[0] fine[2] line[0] between[0] just[0] drunk[-1][--1 LastWordBoosterStrength] enough[0] and[0] drunk[-1] into[0] a[0] stupor[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
under normal circumstances , the idea of someone staggering around looking sloshed but managing to fight effectively and even incredibly might seem rather stupid , but jackie pulls it off with flair . 	under normal circumstances , the idea of someone staggering around looking sloshed but managing to fight effectively and even incredibly might seem rather stupid , but jackie pulls it off with flair .	1	-3	 under[0] normal[0] circumstances[0] the[0] idea[0] of[0] someone[0] staggering[0] around[0] looking[0] sloshed[0] but[0] managing[0] to[0] fight[-2] effectively[0] and[0] even[0] incredibly[0] might[0] seem[0] rather[0] stupid[-1] but[0] jackie[0] pulls[0] it[0] off[0] with[0] flair[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the kung fu sequences are so intricate in their staging and execution that it is pointless to try to describe it on paper , so i'll just say that the fights--especially the big climactic fight at the end--in themselves make the movie worth watching . 	the kung fu sequences are so intricate in their staging and execution that it is pointless to try to describe it on paper , so i'll just say that the fights-especially the big climactic fight at the end-in themselves make the movie worth watching .	1	-3	 the[0] kung[0] fu[0] sequences[0] are[0] so[0] intricate[0] in[0] their[0] staging[0] and[0] execution[0] that[0] it[0] is[0] pointless[-1] to[0] try[0] to[0] describe[0] it[0] on[0] paper[0] so[0] i'll[0] just[0] say[0] that[0] the[0] fights[-2] especially[0] the[0] big[0] climactic[0] fight[-2] at[0] the[0] end[0] in[0] themselves[0] make[0] the[0] movie[0] worth[0] watching[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another thing drunken master ii has going for it is the stunt work . 	another thing drunken master i has going for it is the stunt work .	1	-2	 another[0] thing[0] drunken[-1] master[0] ii/i[0] has[0] going[0] for[0] it[0] is[0] the[0] stunt[-1] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even without motor vehicles ( well , not counting a train ) , there are some remarkable stunts in this film . 	even without motor vehicles ( well , not counting a train ) , there are some remarkable stunts in this film .	1	-1	 even[0] without[0] motor[0] vehicles[0] well[0] not[0] counting[0] a[0] train[0] there[0] are[0] some[0] remarkable[0] stunts[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among other things , jackie dives off a balcony into a table and crawls across hot coals ( not once , but at _least_ twice , if you count the outtake shown during the credits ) . 	among other things , jackie dives off a balcony into a table and crawls across hot coals ( not once , but at _least_ twice , if you count the outtake shown during the credits ) .	1	-1	 among[0] other[0] things[0] jackie[0] dives[0] off[0] a[0] balcony[0] into[0] a[0] table[0] and[0] crawls[0] across[0] hot[0] coals[0] not[0] once[0] but[0] at[0] _least_[0] twice[0] if[0] you[0] count[0] the[0] outtake[0] shown[0] during[0] the[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( quicktime movies of these stunts can be found through the www movie database . ) 	 ( quicktime movies of these stunts can be found through the w movie database .<br> )	1	-1	 quicktime[0] movies[0] of[0] these[0] stunts[0] can[0] be[0] found[0] through[0] the[0] www/w[0] movie[0] database[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike in american films , these stunts are _not_ faked . 	unlike in american films , these stunts are _not_ faked .	1	-2	 unlike[0] in[0] american[0] films[0] these[0] stunts[0] are[0] _not_[0] faked[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
drunken master ii stars several veteran actors of the hong kong movie scene , including jackie , ti lung ( " a better tomorrow " 1 & 2 ) , and anita mui ( the " heroic trio " series , " rumble in the bronx " ) . 	drunken master i stars several veteran actors of the hong kong movie scene , including jackie , ti lung ( " a better tomorrow " 1 & 2 ) , and anita mui ( the " heroic trio " series , " rumble in the bronx " ) .	3	-2	 drunken[-1] master[0] ii/i[0] stars[0] several[0] veteran[0] actors[0] of[0] the[0] hong[0] kong[0] movie[0] scene[0] including[0] jackie[0] ti[0] lung[0] a[0] better[0] tomorrow[0] 1[0] &[0] 2[0] and[0] anita[0] mui[0] the[0] heroic[2] trio[0] series[0] rumble[0] in[0] the[0] bronx[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the performances are first-rate , especially when it comes to the comedy parts of the film . 	the performances are first-rate , especially when it comes to the comedy parts of the film .	1	-1	 the[0] performances[0] are[0] first[0] rate[0] especially[0] when[0] it[0] comes[0] to[0] the[0] comedy[0] parts[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scene where fei-hong and his mother conspire literally behind fei-hong's father's back to cover up for the missing ginseng root is hilarious , as is the scene where fei-hong's mother , having just revealed that she is pregnant , is threatening to hurt herself ( in order to draw her husband's anger away from fei-hong ) . 	the scene where fei-hong and his mother conspire literally behind fei-hong's father's back to cover up for the missing ginseng root is hilarious , as is the scene where fei-hong's mother , having just revealed that she is pregnant , is threatening to hurt herself ( in order to draw her husband's anger away from fei-hong ) .	3	-4	 the[0] scene[0] where[0] fei[0] hong[0] and[0] his[0] mother[0] conspire[-1] literally[0] behind[0] fei[0] hong's[0] father's[0] back[0] to[0] cover[0] up[0] for[0] the[0] missing[0] ginseng[0] root[0] is[0] hilarious[2] as[0] is[0] the[0] scene[0] where[0] fei[0] hong's[0] mother[0] having[0] just[0] revealed[0] that[0] she[0] is[0] pregnant[0] is[0] threatening[-2] to[0] hurt[-2] herself[0] in[0] order[0] to[0] draw[0] her[0] husband's[0] anger[-3] away[0] from[0] fei[0] hong[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
jackie has developed his knack for physical comedy into a sort of mastery over the years , and he's in fine form all through drunken master ii . 	jackie has developed his knack for physical comedy into a sort of mastery over the years , and he's in fine form all through drunken master i .	3	-2	 jackie[0] has[0] developed[0] his[0] knack[0] for[0] physical[0] comedy[0] into[0] a[0] sort[0] of[0] mastery[0] over[0] the[0] years[0] and[0] he's[0] in[0] fine[2] form[0] all[0] through[0] drunken[-1] master[0] ii/i[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as far as cinematography is concerned , it certainly works for this film . 	as far as cinematography is concerned , it certainly works for this film .	1	-2	 as[0] far[0] as[0] cinematography[0] is[0] concerned[-1] it[0] certainly[0] works[0] for[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's nothing spectacular , but is at least a dozen times better than all those old kung fu movies of the 70s . 	it's nothing spectacular , but is at least a dozen times better than all those old kung fu movies of the 70s .	1	-1	 it's[0] nothing[0] spectacular[0] but[0] is[0] at[0] least[0] a[0] dozen[0] times[0] better[0] than[0] all[0] those[0] old[0] kung[0] fu[0] movies[0] of[0] the[0] 70s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the picture is crisp and clear . 	the picture is crisp and clear .	1	-1	 the[0] picture[0] is[0] crisp[0] and[0] clear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one thing i find particularly worthy of mention is that , at least in the copy i have , the screen was wider than any film i've ever seen on videotape before--almost a whole 1/3 of the screen was blocked out above and below . 	one thing i find particularly worthy of mention is that , at least in the copy i have , the screen was wider than any film i've ever seen on videotape before-almost a whole 1/3 of the screen was blocked out above and below .	1	-2	 one[0] thing[0] i[0] find[0] particularly[0] worthy[0] of[0] mention[0] is[0] that[0] at[0] least[0] in[0] the[0] copy[0] i[0] have[0] the[0] screen[0] was[0] wider[0] than[0] any[0] film[0] i've[0] ever[0] seen[0] on[0] videotape[0] before[0] almost[0] a[0] whole[0] 1/3[0] of[0] the[0] screen[0] was[0] blocked[-1] out[0] above[0] and[0] below[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( watch this on a bigscreen tv or movie theater if you can . ) 	 ( watch this on a bigscreen tv or movie theater if you can .<br> )	1	-1	 watch[0] this[0] on[0] a[0] bigscreen[0] tv[0] or[0] movie[0] theater[0] if[0] you[0] can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it will be an utter shame if this film is eventually pan-and-scanned for american video release . 	it will be an utter shame if this film is eventually pan-and-scanned for american video release .	1	-3	 it[0] will[0] be[0] an[0] utter[0] shame[-2] if[0] this[0] film[0] is[0] eventually[0] pan[0] and[0] scanned[0] for[0] american[0] video[0] release[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
drunken master ii shows the full potential of " period piece " kung fu movies , and it's good enough to overcome even my usual distaste for such movies . 	drunken master i shows the full potential of " period piece " kung fu movies , and it's good enough to overcome even my usual distaste for such movies .	2	-2	 drunken[-1] master[0] ii/i[0] shows[0] the[0] full[0] potential[0] of[0] period[0] piece[0] kung[0] fu[0] movies[0] and[0] it's[0] good[1] enough[0] to[0] overcome[0] even[0] my[0] usual[0] distaste[0] for[0] such[0] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
