with the success of the surprise hit alien , directed by ridley scott , a sequel was inevitable . 	Translation	Positive	Negative	EmotionRationale
aliens begins 57 years after alien ended . 	aliens begins 57 years after alien ended .	1	-2	 aliens[0] begins[0] 57[0] years[0] after[0] alien[-1] ended[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lieutenant ellen ripley ( weaver ) is discovered in hypersleep on the nostromo and is awakened . 	lieutenant ellen ripley ( weaver ) is discovered in hypersleep on the nostromo and is awakened .	1	-1	 lieutenant[0] ellen[0] ripley[0] weaver[0] is[0] discovered[0] in[0] hypersleep[0] on[0] the[0] nostromo[0] and[0] is[0] awakened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she explains how she is the only survivor of her past encounter with the aliens , but " the company " is doubtful . 	she explains how she is the only survivor of her past encounter with the aliens , but " the company " is doubtful .	1	-2	 she[0] explains[0] how[0] she[0] is[0] the[0] only[0] survivor[0] of[0] her[0] past[0] encounter[0] with[0] the[0] aliens[0] but[0] the[0] company[0] is[0] doubtful[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they explain that a colony of families is flourishing on the same planet from which she just left . 	they explain that a colony of families is flourishing on the same planet from which she just left .	1	-1	 they[0] explain[0] that[0] a[0] colony[0] of[0] families[0] is[0] flourishing[0] on[0] the[0] same[0] planet[0] from[0] which[0] she[0] just[0] left[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite stern warnings from ripley , the company remains rigid and won't call the families back . 	despite stern warnings from ripley , the company remains rigid and won't call the families back .	1	-2	 despite[0] stern[-1] warnings[0] from[0] ripley[0] the[0] company[0] remains[0] rigid[-1] and[0] won't[0] call[0] the[0] families[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , when the company loses contact with the colony , ripley's story seems much more feasible . 	however , when the company loses contact with the colony , ripley's story seems much more feasible .	1	-2	 however[0] when[0] the[0] company[0] loses[-1] contact[0] with[0] the[0] colony[0] ripley's[0] story[0] seems[0] much[0] more[0] feasible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the company's directors , carter burke ( paul reiser ) , wants to gather a team to travel to the planet . 	one of the company's directors , carter burke ( paul reiser ) , wants to gather a team to travel to the planet .	1	-1	 one[0] of[0] the[0] company's[0] directors[0] carter[0] burke[0] paul[0] reiser[0] wants[0] to[0] gather[0] a[0] team[0] to[0] travel[0] to[0] the[0] planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this team includes a buff private vasquez ( jenette goldstein ) , a questionable corporal hicks ( michael biehn ) , and a loyal android bishop ( lance henriksen ) . 	this team includes a buff private vasquez ( jenette goldstein ) , a questionable corporal hicks ( michael biehn ) , and a loyal android bishop ( lance henriksen ) .	2	-2	 this[0] team[0] includes[0] a[0] buff[0] private[0] vasquez[0] jenette[0] goldstein[0] a[0] questionable[-1] corporal[0] hicks[0] michael[0] biehn[0] and[0] a[0] loyal[1] android[0] bishop[0] lance[0] henriksen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
burke tags along with ripley as they fly to the planet in order to locate the members of the colony . 	burke tags along with ripley as they fly to the planet in order to locate the members of the colony .	1	-1	 burke[0] tags[0] along[0] with[0] ripley[0] as[0] they[0] fly[0] to[0] the[0] planet[0] in[0] order[0] to[0] locate[0] the[0] members[0] of[0] the[0] colony[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arriving on the planet , the team finds most of the human life extinguished in a cocoon-type environment . 	arriving on the planet , the team finds most of the human life extinguished in a cocoon-type environment .	1	-2	 arriving[0] on[0] the[0] planet[0] the[0] team[0] finds[0] most[0] of[0] the[0] human[0] life[0] extinguished[-1] in[0] a[0] cocoon[0] type[0] environment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only survivor is 12 year old rebecca " newt " jorden ( carrie henn ) . 	the only survivor is 12 year old rebecca " newt " jorden ( carrie hen ) .	1	-1	 the[0] only[0] survivor[0] is[0] 12[0] year[0] old[0] rebecca[0] newt[0] jorden[0] carrie[0] henn/hen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ripley finds this a chance to be the mother she never had the opportunity to become , and she becomes newt's surrogate mother . 	ripley finds this a chance to be the mother she never had the opportunity to become , and she becomes newt's surrogate mother .	1	-1	 ripley[0] finds[0] this[0] a[0] chance[0] to[0] be[0] the[0] mother[0] she[0] never[0] had[0] the[0] opportunity[0] to[0] become[0] and[0] she[0] becomes[0] newt's[0] surrogate[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ripley and newt are the only ones who knows what has happened , and soon , all hell breaks loose . 	ripley and newt are the only ones who knows what has happened , and soon , all hell breaks loose .	1	-2	 ripley[0] and[0] newt[0] are[0] the[0] only[0] ones[0] who[0] knows[0] what[0] has[0] happened[0] and[0] soon[0] all[0] hell[-1] breaks[0] loose[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aliens not only multiplies the thrills and suspense from scott's version , it also multiplies the number of aliens in general . 	aliens not only multiplies the thrills and suspense from scott's version , it also multiplies the number of aliens in general .	4	-1	 aliens[0] not[0] only[0] multiplies[0] the[0] thrills[3] and[0] suspense[0] from[0] scott's[0] version[0] it[0] also[0] multiplies[0] the[0] number[0] of[0] aliens[0] in[0] general[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
alien focused on one alien in particular which systematically killed each crew member , except ripley , who managed to jettison the alien out of the nostromo . 	alien focused on one alien in particular which systematically killed each crew member , except ripley , who managed to jettison the alien out of the nostromo .	1	-4	 alien[-1] focused[0] on[0] one[0] alien[-1] in[0] particular[0] which[0] systematically[0] killed[-3] each[0] crew[0] member[0] except[0] ripley[0] who[0] managed[0] to[0] jettison[0] the[0] alien[-1] out[0] of[0] the[0] nostromo[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
aliens focuses on an entire race of these aliens , and as a result , the chills are incredibly heightened . 	aliens focuses on an entire race of these aliens , and as a result , the chills are incredibly heightened .	1	-1	 aliens[0] focuses[0] on[0] an[0] entire[0] race[0] of[0] these[0] aliens[0] and[0] as[0] a[0] result[0] the[0] chills[0] are[0] incredibly[0] heightened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then again , this is james cameron , the guy who has given us true lies and terminator 2 : judgment day . 	then again , this is james cameron , the guy who has given us true lies and terminator 2 : judgment day .	2	-3	 then[0] again[0] this[0] is[0] james[0] cameron[0] the[0] guy[0] who[0] has[0] given[0] us[0] true[1] lies[-2] and[0] terminator[0] 2[0] judgment[0] day[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is the best action director out there ( topping renny harlin , who directed cliffhanger ) , and only he could create something as terrifying as this film . 	he is the best action director out there ( topping renny harlin , who directed cliffhanger ) , and only he could create something as terrifying as this film .	2	-4	 he[0] is[0] the[0] best[1] action[0] director[0] out[0] there[0] topping[0] renny[0] harlin[0] who[0] directed[0] cliffhanger[0] and[0] only[0] he[0] could[0] create[0] something[0] as[0] terrifying[-3] as[0] this[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it seems that every alien film seems to have some memorable scene or scenes , and aliens has the motherload . 	it seems that every alien film seems to have some memorable scene or scenes , and aliens has the motherload .	1	-2	 it[0] seems[0] that[0] every[0] alien[-1] film[0] seems[0] to[0] have[0] some[0] memorable[0] scene[0] or[0] scenes[0] and[0] aliens[0] has[0] the[0] motherload[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with perhaps one of the most astonishing endings ever created for an action film , aliens climax never seems to hit until the viewer is nearly pushed to extreme exhaustion . 	with perhaps one of the most astonishing endings ever created for an action film , aliens climax never seems to hit until the viewer is nearly pushed to extreme exhaustion .	1	-2	 with[0] perhaps[0] one[0] of[0] the[0] most[0] astonishing[0] endings[0] ever[0] created[0] for[0] an[0] action[0] film[0] aliens[0] climax[0] never[0] seems[0] to[0] hit[0] until[0] the[0] viewer[0] is[0] nearly[0] pushed[0] to[0] extreme[0] exhaustion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can't recall another film ever to sustain this level of intensity throughout , never dropping for a moment . 	i can't recall another film ever to sustain this level of intensity throughout , never dropping for a moment .	1	-1	 i[0] can't[0] recall[0] another[0] film[0] ever[0] to[0] sustain[0] this[0] level[0] of[0] intensity[0] throughout[0] never[0] dropping[0] for[0] a[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just when you think the movie is over , something else will occur , and it starts right back up again . 	just when you think the movie is over , something else will occur , and it starts right back up again .	1	-1	 just[0] when[0] you[0] think[0] the[0] movie[0] is[0] over[0] something[0] else[0] will[0] occur[0] and[0] it[0] starts[0] right[0] back[0] up[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a seemingly endless conclusion , aliens ends with one of the greatest moments in film history . 	with a seemingly endless conclusion , aliens ends with one of the greatest moments in film history .	3	-1	 with[0] a[0] seemingly[0] endless[0] conclusion[0] aliens[0] ends[0] with[0] one[0] of[0] the[0] greatest[2] moments[0] in[0] film[0] history[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this scene is usually the one remembered most from the film , as lieutenant ripley steps into one of the lifting machines to fight the alien queen . 	this scene is usually the one remembered most from the film , as lieutenant ripley steps into one of the lifting machines to fight the alien queen .	1	-3	 this[0] scene[0] is[0] usually[0] the[0] one[0] remembered[0] most[0] from[0] the[0] film[0] as[0] lieutenant[0] ripley[0] steps[0] into[0] one[0] of[0] the[0] lifting[0] machines[0] to[0] fight[-2] the[0] alien[-1] queen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
using flawless special effects , the climax is exhausting , leaving any audience member drained from extreme anxiety . 	using flawless special effects , the climax is exhausting , leaving any audience member drained from extreme anxiety .	2	-3	 using[0] flawless[1] special[1] effects[0] the[0] climax[0] is[0] exhausting[-1] leaving[0] any[0] audience[0] member[0] drained[0] from[0] extreme[0] anxiety[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , for a film of this genre to work properly , the technical aspects must be realistic enough for us to believe what we see . 	of course , for a film of this genre to work properly , the technical aspects must be realistic enough for us to believe what we see .	1	-1	 of[0] course[0] for[0] a[0] film[0] of[0] this[0] genre[0] to[0] work[0] properly[0] the[0] technical[0] aspects[0] must[0] be[0] realistic[0] enough[0] for[0] us[0] to[0] believe[0] what[0] we[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aliens is completely realistic , even a decade after its initial release . 	aliens is completely realistic , even a decade after its initial release .	1	-1	 aliens[0] is[0] completely[0] realistic[0] even[0] a[0] decade[0] after[0] its[0] initial[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects are wonderfully seamless , with a terrifying alien to go with them . 	the special effects are wonderfully seamless , with a terrifying alien to go with them .	3	-4	 the[0] special[1] effects[0] are[0] wonderfully[2] seamless[0] with[0] a[0] terrifying[-3] alien[-1] to[0] go[0] with[0] them[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one of the most overlooked aspects of this film is the music , composed by cameron-regular james horner . 	one of the most overlooked aspects of this film is the music , composed by cameron-regular james horner .	1	-2	 one[0] of[0] the[0] most[0] overlooked[-1] aspects[0] of[0] this[0] film[0] is[0] the[0] music[0] composed[0] by[0] cameron[0] regular[0] james[0] horner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
horner has created a terrific score , receiving an oscar nomination for his work . 	horner has created a terrific score , receiving an oscar nomination for his work .	4	-1	 horner[0] has[0] created[0] a[0] terrific[3] score[0] receiving[0] an[0] oscar[0] nomination[0] for[0] his[0] work[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
not only that , horner has also created one of the best scores for any action film , or science fiction film ever ( and that includes 2001 : a space odyssey , which was mainly a compilation of well-known composers ) . 	not only that , horner has also created one of the best scores for any action film , or science fiction film ever ( and that includes 2001 : a space odyssey , which was mainly a compilation of well-known composers ) .	2	-1	 not[0] only[0] that[0] horner[0] has[0] also[0] created[0] one[0] of[0] the[0] best[1] scores[0] for[0] any[0] action[0] film[0] or[0] science[0] fiction[0] film[0] ever[0] and[0] that[0] includes[0] 2001[0] a[0] space[0] odyssey[0] which[0] was[0] mainly[0] a[0] compilation[0] of[0] well[0] known[0] composers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , the climax music is also some of the most recognized of film music . 	in fact , the climax music is also some of the most recognized of film music .	1	-1	 in[0] fact[0] the[0] climax[0] music[0] is[0] also[0] some[0] of[0] the[0] most[0] recognized[0] of[0] film[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the production design is incredible , which also happened to snag a nomination from the academy . 	the production design is incredible , which also happened to snag a nomination from the academy .	1	-1	 the[0] production[0] design[0] is[0] incredible[0] which[0] also[0] happened[0] to[0] snag[0] a[0] nomination[0] from[0] the[0] academy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dark corridors lit by red lights are very impressive , but more impressive is the amount of terror which arises from well-lit locations . 	dark corridors lit by red lights are very impressive , but more impressive is the amount of terror which arises from well-lit locations .	3	-2	 dark[0] corridors[0] lit[0] by[0] red[0] lights[0] are[0] very[0] impressive[1][1 LastWordBoosterStrength] but[0] more[0] impressive[1] is[0] the[0] amount[0] of[0] terror[-1] which[0] arises[0] from[0] well[0] lit[0] locations[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
normally a film will be very dark in order to scare a viewer ; aliens uses lights to scare the viewer . 	normally a film will be very dark in order to scare a viewer ; aliens uses lights to scare the viewer .	1	-4	 normally[0] a[0] film[0] will[0] be[0] very[0] dark[0] in[0] order[0] to[0] scare[-3] a[0] viewer[0] aliens[0] uses[0] lights[0] to[0] scare[-3] the[0] viewer[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
then , of course , is the cinematography , which uses point of view shots , along with video feeds in order to build suspense . 	then , of course , is the cinematography , which uses point of view shots , along with video feeds in order to build suspense .	1	-1	 then[0] of[0] course[0] is[0] the[0] cinematography[0] which[0] uses[0] point[0] of[0] view[0] shots[0] along[0] with[0] video[0] feeds[0] in[0] order[0] to[0] build[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the scariest scenes involve the perspective of ripley . 	some of the scariest scenes involve the perspective of ripley .	1	-4	 some[0] of[0] the[0] scariest[-3] scenes[0] involve[0] the[0] perspective[0] of[0] ripley[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
surprisingly , the acting is not only above average for this genre , but some of the best . 	surprisingly , the acting is not only above average for this genre , but some of the best .	2	-1	 surprisingly[0] the[0] acting[0] is[0] not[0] only[0] above[0] average[0] for[0] this[0] genre[0] but[0] some[0] of[0] the[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sigourney weaver received an oscar nomination for her portrayal of ripley , incorporating the right amount of sympathy into her hard-edged persona . 	sigourney weaver received an oscar nomination for her portrayal of ripley , incorporating the right amount of sympathy into her hard-edged persona .	1	-1	 sigourney[0] weaver[0] received[0] an[0] oscar[0] nomination[0] for[0] her[0] portrayal[0] of[0] ripley[0] incorporating[0] the[0] right[0] amount[0] of[0] sympathy[0] into[0] her[0] hard[0] edged[0] persona[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weaver soars above the rest in this film , but she is supposed to . 	weaver soars above the rest in this film , but she is supposed to .	1	-1	 weaver[0] soars[0] above[0] the[0] rest[0] in[0] this[0] film[0] but[0] she[0] is[0] supposed[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carrie henn gives an above average performance for a child , developing a three-dimensional character from her quiet attitude . 	carrie hen gives an above average performance for a child , developing a three-dimensional character from her quiet attitude .	1	-1	 carrie[0] henn/hen[0] gives[0] an[0] above[0] average[0] performance[0] for[0] a[0] child[0] developing[0] a[0] three[0] dimensional[0] character[0] from[0] her[0] quiet[0] attitude[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lance henriksen is terrific as bishop , showing that androids don't always have to be flat characters . 	lance henriksen is terrific as bishop , showing that androids don't always have to be flat characters .	4	-1	 lance[0] henriksen[0] is[0] terrific[3] as[0] bishop[0] showing[0] that[0] androids[0] don't[0] always[0] have[0] to[0] be[0] flat[0] characters[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
jenette goldstein shows a fair amount of enthusiasm with her role , and steals several scenes of her own ( though her personality becomes slightly annoying when she isn't fighting ) . 	jenette goldstein shows a fair amount of enthusiasm with her role , and steals several scenes of her own ( though her personality becomes slightly annoying when she isn't fighting ) .	3	-3	 jenette[0] goldstein[0] shows[0] a[0] fair[0] amount[0] of[0] enthusiasm[2] with[0] her[0] role[0] and[0] steals[-2] several[0] scenes[0] of[0] her[0] own[0] though[0] her[0] personality[0] becomes[0] slightly[0] annoying[-2][--1 LastWordBoosterStrength] when[0] she[0] isn't[0] fighting[-2][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
michael biehn gives a very nice performance in the most obligatory role of the film . 	michael biehn gives a very nice performance in the most obligatory role of the film .	3	-1	 michael[0] biehn[0] gives[0] a[0] very[0] nice[1][1 LastWordBoosterStrength] performance[0] in[0] the[0] most[0] obligatory[0] role[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , biehn does a good job , making it seem original again . 	however , biehn does a good job , making it seem original again .	2	-1	 however[0] biehn[0] does[0] a[0] good[1] job[0] making[0] it[0] seem[0] original[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
paul reiser may seem like an odd choice to play the sleazy corporate director , but reiser manages to pull it off quite well ( however , i still see him as paul on tv's " mad about you " ) . 	paul reiser may seem like an odd choice to play the sleazy corporate director , but reiser manages to pull it off quite well ( however , i still see him as paul on tv's " mad about you " ) .	2	-3	 paul[0] reiser[0] may[0] seem[0] like[1] an[0] odd[0] choice[0] to[0] play[0] the[0] sleazy[-2] corporate[0] director[0] but[0] reiser[0] manages[0] to[0] pull[0] it[0] off[0] quite[0] well[0] however[0] i[0] still[0] see[0] him[0] as[0] paul[0] on[0] tv's[0] mad[-1] about[0] you[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a very good cast ( which also includes bill paxton and william hope ) highlights this action film , making it stand out from others . 	a very good cast ( which also includes bill paxton and william hope ) highlights this action film , making it stand out from others .	3	-1	 a[0] very[0] good[1][1 LastWordBoosterStrength] cast[0] which[0] also[0] includes[0] bill[0] paxton[0] and[0] william[0] hope[2] highlights[0] this[0] action[0] film[0] making[0] it[0] stand[0] out[0] from[0] others[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
aliens is rightfully rated r for violence , gore , language , and terror . 	aliens is rightfully rated are for violence , gore , language , and terror .	1	-4	 aliens[0] is[0] rightfully[0] rated[0] r[0] for[0] violence[-3] gore[0] language[0] and[0] terror[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
aliens is sort of the redefining moment of the science fiction genre , as alien was more of a suspense/horror film . 	aliens is sort of the redefining moment of the science fiction genre , as alien was more of a suspense/horror film .	1	-2	 aliens[0] is[0] sort[0] of[0] the[0] redefining[0] moment[0] of[0] the[0] science[0] fiction[0] genre[0] as[0] alien[-1] was[0] more[0] of[0] a[0] suspense/horror[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aliens pumps up the stakes , and cameron directs it with professional quality . 	aliens pumps up the stakes , and cameron directs it with professional quality .	1	-1	 aliens[0] pumps[0] up[0] the[0] stakes[0] and[0] cameron[0] directs[0] it[0] with[0] professional[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cameron certainly knows how to make a good action film , but here he proves how he can create some truly horrific moments on screen . 	cameron certainly knows how to make a good action film , but here he proves how he can create some truly horrific moments on screen .	2	-4	 cameron[0] certainly[0] knows[0] how[0] to[0] make[0] a[0] good[1] action[0] film[0] but[0] here[0] he[0] proves[0] how[0] he[0] can[0] create[0] some[0] truly[1][-1 LastWordBoosterStrength] horrific[-3] moments[0] on[0] screen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
technically astonishing , aliens' only flaw is small characters who are only there to get killed . 	technically astonishing , aliens' only flaw is small characters who are only there to get killed .	1	-4	 technically[0] astonishing[0] aliens'[0] only[0] flaw[-1] is[0] small[0] characters[0] who[0] are[0] only[0] there[0] to[0] get[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
aside from this , you probably won't experience anything like aliens for quite a while . 	aside from this , you probably won't experience anything like aliens for quite a while .	2	-1	 aside[0] from[0] this[0] you[0] probably[0] won't[0] experience[0] anything[0] like[1] aliens[0] for[0] quite[0] a[0] while[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
