 " when will the devil take me ? " he asks rhetorically in lulling voice over . 	Translation	Positive	Negative	EmotionRationale
petula clark sang of a universal phenomenon in " parking lot " : " you don't know what you've got ? til it's gone . " 	petula clark sang of a universal phenomenon in " parking lot " : " you don't know what you've got ?<br> til it's gone .<br> "	1	-1	 petula[0] clark[0] sang[0] of[0] a[0] universal[0] phenomenon[0] in[0] parking[0] lot[0] you[0] don't[0] know[0] what[0] you've[0] got[0] [[Sentence=-1,1=word max, 1-5]] til[0] it's[0] gone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
onegin's about-face on tatyana speaks for those of us ( read : most of us ) who need confirmation that someone or something is wanted by others before we want it as well . 	onegin's about-face on tatyana speaks for those of us ( read : most of us ) who need confirmation that someone or something is wanted by others before we want it as well .	1	-1	 onegin's[0] about[0] face[0] on[0] tatyana[0] speaks[0] for[0] those[0] of[0] us[0] read[0] most[0] of[0] us[0] who[0] need[0] confirmation[0] that[0] someone[0] or[0] something[0] is[0] wanted[0] by[0] others[0] before[0] we[0] want[0] it[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what the character feels is not jealousy but remorse , embarrassment , even , at having let her go . 	what the character feels is not jealousy but remorse , embarrassment , even , at having let her go .	3	-4	 what[0] the[0] character[0] feels[0] is[0] not[0] jealousy[-2][NegatedDueToPreviousWord] but[0] remorse[-2] embarrassment[-2][-1 MultiplePositiveWords] even[0] at[0] having[0] let[0] her[0] go[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
out of identification we feel empathy for onegin , a callous bastard . 	out of identification we feel empathy for onegin , a callous bastard .	1	-4	 out[0] of[0] identification[0] we[0] feel[0] empathy[0] for[0] onegin[0] a[0] callous[-3] bastard[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
tatyana's emotions echo a thousand ditties , but that makes them no less vital . 	tatyana's emotions echo a thousand ditties , but that makes them no less vital .	1	-1	 tatyana's[0] emotions[0] echo[0] a[0] thousand[0] ditties[0] but[0] that[0] makes[0] them[0] no[0] less[0] vital[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she changes , too , from a girl in crush to a woman with divided loyalties . 	she changes , too , from a girl in crush to a woman with divided loyalties .	2	-2	 she[0] changes[0] too[0] from[0] a[0] girl[0] in[0] crush[-1] to[0] a[0] woman[0] with[0] divided[0] loyalties[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tyler acquits herself surprisingly well among her uk co-stars , filling in sketchy gaps by expressing base sentiments in a series of wanton stares . 	tyler acquits herself surprisingly well among her uk co-stars , filling in sketchy gaps by expressing base sentiments in a series of wanton stares .	1	-2	 tyler[0] acquits[0] herself[0] surprisingly[0] well[0] among[0] her[0] uk[0] co[0] stars[0] filling[0] in[0] sketchy[-1] gaps[0] by[0] expressing[0] base[0] sentiments[0] in[0] a[0] series[0] of[0] wanton[0] stares[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they both have faces , mr . fiennes and ms . tyler , capable of conveying archetypal russian misery . 	they both have faces , mr .<br> fiennes and ms .<br> tyler , capable of conveying archetypal russian misery .	1	-3	 they[0] both[0] have[0] faces[0] mr[0] [[Sentence=-1,1=word max, 1-5]] fiennes[0] and[0] ms[0] [[Sentence=-1,1=word max, 1-5]] tyler[0] capable[0] of[0] conveying[0] archetypal[0] russian[0] misery[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
_onegin_ could have added up to little more than a distinguished episode of " masterpiece theater " , even with its current cast of thoroughbreds intact , were martha fiennes not at the helm . 	_onegin_ could have added up to little more than a distinguished episode of " masterpiece theater " , even with its current cast of thoroughbreds intact , were martha fiennes not at the helm .	1	-1	 _onegin_[0] could[0] have[0] added[0] up[0] to[0] little[0] more[0] than[0] a[0] distinguished[0] episode[0] of[0] masterpiece[0] theater[0] even[0] with[0] its[0] current[0] cast[0] of[0] thoroughbreds[0] intact[0] were[0] martha[0] fiennes[0] not[0] at[0] the[0] helm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an mtv background ( she cut her teeth directing rock videos for xtc and others ) has positively influenced her sense of pace ( though , thankfully , not her shot lengths-no spasmodic cutting here ) ; at just over 100 minutes , _onegin_ clicks along like a brisk walk through valleys of despair . 	an mtv background ( she cut her teeth directing rock videos for xtc and others ) has positively influenced her sense of pace ( though , thankfully , not her shot lengths-no spasmodic cutting here ) ; at just over 100 minutes , _onegin_ clicks along like a brisk walk through valleys of despair .	3	-4	 an[0] mtv[0] background[0] she[0] cut[0] her[0] teeth[0] directing[0] rock[1] videos[0] for[0] xtc[0] and[0] others[0] has[0] positively[2] influenced[0] her[0] sense[0] of[0] pace[0] though[0] thankfully[1] not[0] her[0] shot[-1][NegatedDueToPreviousWord] lengths[0] no[0] spasmodic[0] cutting[0] here[0] at[0] just[0] over[0] 100[0] minutes[0] _onegin_[0] clicks[0] along[0] like[1] a[0] brisk[0] walk[0] through[0] valleys[0] of[0] despair[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film has an atypical period look , as well . 	the film has an atypical period look , as well .	1	-1	 the[0] film[0] has[0] an[0] atypical[0] period[0] look[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
absent are the sumptuous tableware and antique furnishings that stand in for plot and character in those drippy merchant ivory productions . 	absent are the sumptuous tableware and antique furnishings that stand in for plot and character in those drippy merchant ivory productions .	1	-2	 absent[-1] are[0] the[0] sumptuous[0] tableware[0] and[0] antique[0] furnishings[0] that[0] stand[0] in[0] for[0] plot[0] and[0] character[0] in[0] those[0] drippy[0] merchant[0] ivory[0] productions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the sets are almost expressionistically bare , echoing the loneliness of the protagonists . 	the sets are almost expressionistically bare , echoing the loneliness of the protagonists .	1	-2	 the[0] sets[0] are[0] almost[0] expressionistically[0] bare[0] echoing[0] the[0] loneliness[-1] of[0] the[0] protagonists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( cinematographer remi adafarasin often allows space to engulf them ; i'm reminded the climax , which unfolds in a sea of white . ) 	 ( cinematographer remi adafarasin often allows space to engulf them ; i'm reminded the climax , which unfolds in a sea of white .<br> )	1	-2	 cinematographer[0] remi[0] adafarasin[0] often[0] allows[0] space[0] to[0] engulf[-1] them[0] i'm[0] reminded[0] the[0] climax[0] which[0] unfolds[0] in[0] a[0] sea[0] of[0] white[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
martha fiennes has a clear command of cinema , and her spare , often painfully human visual presentation of " yevgeny onegin " is arguably the most lucid translation of pushkin's difficult text yet . 	martha fiennes has a clear command of cinema , and her spare , often painfully human visual presentation of " yevgeny onegin " is arguably the most lucid translation of pushkin's difficult text yet .	1	-4	 martha[0] fiennes[0] has[0] a[0] clear[0] command[0] of[0] cinema[0] and[0] her[0] spare[0] often[0] painfully[-3] human[0] visual[0] presentation[0] of[0] yevgeny[0] onegin[0] is[0] arguably[-1] the[0] most[0] lucid[0] translation[0] of[0] pushkin's[0] difficult[-1] text[0] yet[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ms . fiennes may be the most exciting female presence behind a camera since jane campion . 	ms .<br> fiennes may be the most exciting female presence behind a camera since jane campion .	3	-1	 ms[0] [[Sentence=-1,1=word max, 1-5]] fiennes[0] may[0] be[0] the[0] most[0] exciting[2] female[0] presence[0] behind[0] a[0] camera[0] since[0] jane[0] campion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
