known as the most successful , highest-grossing romantic comedy in history , director garry marshall apparently struck gold with " pretty woman , " which opened quietly during the summer of 1990 but , thanks to positive word-of-mouth , was able to reach upwards of $175-million in theaters alone . 	Translation	Positive	Negative	EmotionRationale
the premise is hardly believable and its portrait of prostitutes hanging out on the streets of hollywood boulevard is just about the most idealized portrayal that there could have possibly been . 	the premise is hardly believable and its portrait of prostitutes hanging out on the streets of hollywood boulevard is just about the most idealized portrayal that there could have possibly been .	1	-1	 the[0] premise[0] is[0] hardly[0] believable[0] and[0] its[0] portrait[0] of[0] prostitutes[0] hanging[0] out[0] on[0] the[0] streets[0] of[0] hollywood[0] boulevard[0] is[0] just[0] about[0] the[0] most[0] idealized[0] portrayal[0] that[0] there[0] could[0] have[0] possibly[0] been[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you honestly don't need a high-iq ( or any iq , for that matter ) to guess how the film will end , and the story is as old as my great great grandma bertha . 	you honestly don't need a high-iq ( or any iq , for that matter ) to guess how the film will end , and the story is as old as my great great grandma bertha .	4	-1	 you[0] honestly[0] don't[0] need[0] a[0] high[0] iq[0] or[0] any[0] iq[0] for[0] that[0] matter[0] to[0] guess[0] how[0] the[0] film[0] will[0] end[0] and[0] the[0] story[0] is[0] as[0] old[0] as[0] my[0] great[2] great[2][+1 MultiplePositiveWords] grandma[0] bertha[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the supporting characters are almost all sketchily written and less-than-gratifying , and the screenplay is no award winner . 	the supporting characters are almost all sketchily written and less-than-gratifying , and the screenplay is no award winner .	2	-1	 the[0] supporting[1] characters[0] are[0] almost[0] all[0] sketchily[0] written[0] and[0] less[0] than[0] gratifying[1] and[0] the[0] screenplay[0] is[0] no[0] award[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and yet , amidst all of these qualms and flaws , " pretty woman " is an astoundingly charming motion picture , and it is definately easy to see why it became such an overnight sensation with moviegoers . 	and yet , amidst all of these qualms and flaws , " pretty woman " is an astoundingly charming motion picture , and it is definately easy to see why it became such an overnight sensation with moviegoers .	3	-1	 and[0] yet[0] amidst[0] all[0] of[0] these[0] qualms[0] and[0] flaws[0] pretty[2] woman[0] is[0] an[0] astoundingly[0] charming[1] motion[0] picture[0] and[0] it[0] is[0] definately[0] easy[0] to[0] see[0] why[0] it[0] became[0] such[0] an[0] overnight[0] sensation[0] with[0] moviegoers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you'd actually be amazed how far bemusement can go , and there are a few select moments ( not even whole scenes , mind you ) that are as romantic as anything i've seen on film in the 1990's . 	you'd actually be amazed how far bemusement can go , and there are a few select moments ( not even whole scenes , mind you ) that are as romantic as anything i've seen on film in the 1990's .	4	-1	 you'd[0] actually[0] be[0] amazed[2] how[0] far[0] bemusement[0] can[0] go[0] and[0] there[0] are[0] a[0] few[0] select[0] moments[0] not[0] even[0] whole[0] scenes[0] mind[0] you[0] that[0] are[0] as[0] romantic[3] as[0] anything[0] i've[0] seen[0] on[0] film[0] in[0] the[0] 1990's[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
additionally , the film belongs , and its success can be attributed , to two people and two people only , and they are richard gere and julia roberts . 	additionally , the film belongs , and its success can be attributed , to two people and two people only , and they are richard gere and julia roberts .	3	-1	 additionally[0] the[0] film[0] belongs[0] and[0] its[0] success[2] can[0] be[0] attributed[0] to[0] two[0] people[0] and[0] two[0] people[0] only[0] and[0] they[0] are[0] richard[0] gere[0] and[0] julia[0] roberts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
playing sex symbols throughout the '80s with such pictures as " american gigolo " and " an officer and a gentleman , " gere branches out here to play a more quiet , almost shy , but still alluring , character that believably could sweep julia roberts off her feet , and vice versa . 	playing sex symbols throughout the '80s with such pictures as " american gigolo " and " an officer and a gentleman , " gere branches out here to play a more quiet , almost shy , but still alluring , character that believably could sweep julia roberts off her feet , and vice versa .	2	-3	 playing[1] sex[0] symbols[0] throughout[0] the[0] '80s[0] with[0] such[0] pictures[0] as[0] american[0] gigolo[0] and[0] an[0] officer[0] and[0] a[0] gentleman[0] gere[0] branches[0] out[0] here[0] to[0] play[0] a[0] more[0] quiet[0] almost[0] shy[-2] but[0] still[0] alluring[0] character[0] that[0] believably[0] could[0] sweep[0] julia[0] roberts[0] off[0] her[0] feet[0] and[0] vice[-1] versa[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
julia roberts , in her breakthrough role after 1988's well-received " mistic pizza " and 1989's " steel magnolia , " for which she was nominated for an academy award , is radiant and funny as the wordly vivian , who surprisingly could be a role model for impressionistic viewers , not for her line of work , but more for her sheer intelligence . 	julia roberts , in her breakthrough role after 1988's well-received " mistic piza " and 1989's " steel magnolia , " for which she was nominated for an academy award , is radiant and funny as the wordly vivian , who surprisingly could be a role model for impressionistic viewers , not for her line of work , but more for her sheer intelligence .	3	-1	 julia[0] roberts[0] in[0] her[0] breakthrough[0] role[0] after[0] 1988's[0] well[0] received[0] mistic[0] pizza/piza[0] and[0] 1989's[0] steel[0] magnolia[0] for[0] which[0] she[0] was[0] nominated[0] for[0] an[0] academy[0] award[0] is[0] radiant[2] and[0] funny[1] as[0] the[0] wordly[0] vivian[0] who[0] surprisingly[0] could[0] be[0] a[0] role[0] model[0] for[0] impressionistic[0] viewers[0] not[0] for[0] her[0] line[0] of[0] work[0] but[0] more[0] for[0] her[0] sheer[0] intelligence[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it would have probably been easy to have written vivian as merely a flake , but screenwriter j . f . lawton clearly cared too much about his central characters to do such a thing . 	it would have probably been easy to have written vivian as merely a flake , but screenwriter j .<br> f .<br> lawton clearly cared too much about his central characters to do such a thing .	2	-1	 it[0] would[0] have[0] probably[0] been[0] easy[0] to[0] have[0] written[0] vivian[0] as[0] merely[0] a[0] flake[0] but[0] screenwriter[0] j[0] [[Sentence=-1,1=word max, 1-5]] f[0] [[Sentence=-1,1=word max, 1-5]] lawton[0] clearly[0] cared[1] too[0] much[0] about[0] his[0] central[0] characters[0] to[0] do[0] such[0] a[0] thing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after " pretty woman , " roberts , along with meg ryan , became the reigning queen of romantic comedies ( with her latest being the just-released " runaway bride , " which repairs gere and roberts together once again ) , and no wonder . 	after " pretty woman , " roberts , along with meg ryan , became the reigning queen of romantic comedies ( with her latest being the just-released " runaway bride , " which repairs gere and roberts together once again ) , and no wonder .	4	-2	 after[0] pretty[2] woman[0] roberts[0] along[0] with[0] meg[0] ryan[0] became[0] the[0] reigning[0] queen[0] of[0] romantic[3] comedies[0] with[0] her[0] latest[0] being[0] the[0] just[0] released[0] runaway[-1] bride[0] which[0] repairs[0] gere[0] and[0] roberts[0] together[0] once[0] again[0] and[0] no[0] wonder[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
roberts has continually proven to not only be a strong actress with a flare for comedy , but also one who can efficiently do drama , and in almost every film she appears in , it is difficult not to fall in love with her along with her male co-star . 	roberts has continually proven to not only be a strong actress with a flare for comedy , but also one who can efficiently do drama , and in almost every film she appears in , it is difficult not to fall in love with her along with her male co-star .	3	-2	 roberts[0] has[0] continually[0] proven[0] to[0] not[0] only[0] be[0] a[0] strong[0] actress[0] with[0] a[0] flare[0] for[0] comedy[0] but[0] also[0] one[0] who[0] can[0] efficiently[0] do[0] drama[0] and[0] in[0] almost[0] every[0] film[0] she[0] appears[0] in[0] it[0] is[0] difficult[-1] not[0] to[0] fall[0] in[0] love[2] with[0] her[0] along[0] with[0] her[0] male[0] co[0] star[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
an especially strong scene that gere and roberts do together takes place after edward foolishly tells one of his co-workers that vivian is actually a prostitute , and he then approaches her , making sexual advances . 	an especially strong scene that gere and roberts do together takes place after edward foolishly tells one of his co-workers that vivian is actually a prostitute , and he then approaches her , making sexual advances .	1	-2	 an[0] especially[0] strong[0] scene[0] that[0] gere[0] and[0] roberts[0] do[0] together[0] takes[0] place[0] after[0] edward[0] foolishly[-1] tells[0] one[0] of[0] his[0] co[0] workers[0] that[0] vivian[0] is[0] actually[0] a[0] prostitute[0] and[0] he[0] then[0] approaches[0] her[0] making[0] sexual[0] advances[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no only does this make vivian feel cheap , especially since she had previously been posing as a more professional , eloquent young lady , but it also maddens her that edward would demean and betray her in such a way , and ultimately causes her to question where exactly her life is leading , and if she likes this particular path . 	no only does this make vivian feel cheap , especially since she had previously been posing as a more professional , eloquent young lady , but it also maddens her that edward would demean and betray her in such a way , and ultimately causes her to question where exactly her life is leading , and if she likes this particular path .	3	-3	 no[0] only[0] does[0] this[0] make[0] vivian[0] feel[0] cheap[-1] especially[0] since[0] she[0] had[0] previously[0] been[0] posing[0] as[0] a[0] more[0] professional[0] eloquent[0] young[0] lady[0] but[0] it[0] also[0] maddens[-2] her[0] that[0] edward[0] would[0] demean[-1][--1 LastWordBoosterStrength] and[0] betray[-2] her[0] in[0] such[0] a[0] way[0] and[0] ultimately[0] causes[0] her[0] to[0] question[0] where[0] exactly[0] her[0] life[0] is[0] leading[0] and[0] if[0] she[0] likes[2] this[0] particular[0] path[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
on the more dreamy side , the film is filled with romantic scenes that are simply effervescent to behold , especially one in which edward enters into the hotel's lounge to see vivian turn around and not only reveal her marvelous cocktail dress , but also her inner ( and outer ) glowing beauty . 	on the more dreamy side , the film is filled with romantic scenes that are simply effervescent to behold , especially one in which edward enters into the hotel's lounge to see vivian turn around and not only reveal her marvelous cocktail dress , but also her inner ( and outer ) glowing beauty .	4	-1	 on[0] the[0] more[0] dreamy[0] side[0] the[0] film[0] is[0] filled[0] with[0] romantic[3] scenes[0] that[0] are[0] simply[0] effervescent[0] to[0] behold[0] especially[0] one[0] in[0] which[0] edward[0] enters[0] into[0] the[0] hotel's[0] lounge[0] to[0] see[0] vivian[0] turn[0] around[0] and[0] not[0] only[0] reveal[0] her[0] marvelous[0] cocktail[0] dress[0] but[0] also[0] her[0] inner[0] and[0] outer[0] glowing[0] beauty[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
another subtle moment has vivian lovingly blowing a kiss to edward , who is asleep , and placing it on his lips , since she still is unsure if she should be getting attached to this man who may very well be out of her life forever in a short couple of days . 	another subtle moment has vivian lovingly blowing a kiss to edward , who is asleep , and placing it on his lips , since she still is unsure if she should be getting attached to this man who may very well be out of her life forever in a short couple of days .	4	-1	 another[0] subtle[0] moment[0] has[0] vivian[0] lovingly[3] blowing[0] a[0] kiss[2] to[0] edward[0] who[0] is[0] asleep[0] and[0] placing[0] it[0] on[0] his[0] lips[0] since[0] she[0] still[0] is[0] unsure[0] if[0] she[0] should[0] be[0] getting[0] attached[0] to[0] this[0] man[0] who[0] may[0] very[0] well[0] be[0] out[0] of[0] her[0] life[0] forever[0] in[0] a[0] short[0] couple[0] of[0] days[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " pretty woman " does not blatantly step wrong until the very last scene , which is a happy ending ( as you'd expect , and wouldn't have it any other way ) that somehow does not work , perhaps because of its undeniable contrivances . 	 " pretty woman " does not blatantly step wrong until the very last scene , which is a happy ending ( as you'd expect , and wouldn't have it any other way ) that somehow does not work , perhaps because of its undeniable contrivances .	3	-2	 pretty[2] woman[0] does[0] not[0] blatantly[-1][NegatedDueToPreviousWord] step[0] wrong[-1] until[0] the[0] very[0] last[0] scene[0] which[0] is[0] a[0] happy[1] ending[0] as[0] you'd[0] expect[0] and[0] wouldn't[0] have[0] it[0] any[0] other[0] way[0] that[0] somehow[0] does[0] not[0] work[0] perhaps[0] because[0] of[0] its[0] undeniable[0] contrivances[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this one misstep does not put a damper on the rest of the film , though , because there is just far too much magic at work here to disaffirm such a petty problem . 	this one misstep does not put a damper on the rest of the film , though , because there is just far too much magic at work here to disaffirm such a petty problem .	1	-2	 this[0] one[0] misstep[0] does[0] not[0] put[0] a[0] damper[0] on[0] the[0] rest[0] of[0] the[0] film[0] though[0] because[0] there[0] is[0] just[0] far[0] too[0] much[0] magic[0] at[0] work[0] here[0] to[0] disaffirm[0] such[0] a[0] petty[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
helped along by a warm , memorable supporting performance from laura san giacomo , as vivian's best friend and roommate , and a fabulously catchy soundtrack , in which all of the songs prominently aid in the movie's overall fulfillment , " pretty woman " is a sparkler of a motion picture , and has what it takes to act as a blueprint on how to make the quintessential romantic comedy . 	helped along by a warm , memorable supporting performance from laura san giacomo , as vivian's best friend and roommate , and a fabulously catchy soundtrack , in which all of the songs prominently aid in the movie's overall fulfilment , " pretty woman " is a sparkler of a motion picture , and has what it takes to act as a blueprint on how to make the quintessential romantic comedy .	4	-1	 helped[0] along[0] by[0] a[0] warm[0] memorable[0] supporting[1] performance[0] from[0] laura[0] san[0] giacomo[0] as[0] vivian's[0] best[1] friend[1] and[0] roommate[0] and[0] a[0] fabulously[2] catchy[0] soundtrack[0] in[0] which[0] all[0] of[0] the[0] songs[0] prominently[0] aid[0] in[0] the[0] movie's[0] overall[0] fulfillment/fulfilment[0] pretty[2] woman[0] is[0] a[0] sparkler[0] of[0] a[0] motion[0] picture[0] and[0] has[0] what[0] it[0] takes[0] to[0] act[0] as[0] a[0] blueprint[0] on[0] how[0] to[0] make[0] the[0] quintessential[0] romantic[3] comedy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
