curdled is a deliciously dark and witty black comedy , but its humour won't appeal to everyone . 	Translation	Positive	Negative	EmotionRationale
she immediately quits her job , and signs on with pfcs , which stands for post-forensic cleaning service . 	she immediately quits her job , and signs on with pfcs , which stands for post-forensic cleaning service .	1	-1	 she[0] immediately[0] quits[0] her[0] job[0] and[0] signs[0] on[0] with[0] pfcs[0] which[0] stands[0] for[0] post[0] forensic[0] cleaning[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no points for guessing what they do . 	no points for guessing what they do .	1	-1	 no[0] points[0] for[0] guessing[0] what[0] they[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her workmates are confused by gabriela's fascination with murder ; to them , it's just a day job . 	her workmates are confused by gabriela's fascination with murder ; to them , it's just a day job .	1	-4	 her[0] workmates[0] are[0] confused[-1] by[0] gabriela's[0] fascination[0] with[0] murder[-3] to[0] them[0] it's[0] just[0] a[0] day[0] job[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's a hilarious locker room scene where they debate whether decapitated heads can talk , and what they would say . 	there's a hilarious locker room scene where they debate whether decapitated heads can talk , and what they would say .	3	-1	 there's[0] a[0] hilarious[2] locker[0] room[0] scene[0] where[0] they[0] debate[0] whether[0] decapitated[0] heads[0] can[0] talk[0] and[0] what[0] they[0] would[0] say[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gabriela's partner , elena , played by mel gorham , is particularly perturbed by gabriela's wide-eyed fascination , and becomes really upset when gabriela volunteers them to clean up the blue blood killer's latest scene - they're the messiest , you see . 	gabriela's partner , elena , played by mel gorham , is particularly perturbed by gabriela's wide-eyed fascination , and becomes really upset when gabriela volunteers them to clean up the blue blood killer's latest scene - they're the messiest , you see .	1	-4	 gabriela's[0] partner[0] elena[0] played[0] by[0] mel[0] gorham[0] is[0] particularly[0] perturbed[-1] by[0] gabriela's[0] wide[0] eyed[0] fascination[0] and[0] becomes[0] really[0] upset[-2][-1 LastWordBoosterStrength] when[0] gabriela[0] volunteers[0] them[0] to[0] clean[0] up[0] the[0] blue[0] blood[0] killer's[0] latest[0] scene[0] they're[0] the[0] messiest[0] you[0] see[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unbeknownst to them , the last victim left something on the scene which would id the blue blood killer , so he's also heading over there . . 	unbeknownst to them , the last victim left something on the scene which would id the blue blood killer , so he's also heading over there .<br> .	1	-3	 unbeknownst[0] to[0] them[0] the[0] last[0] victim[-2] left[0] something[0] on[0] the[0] scene[0] which[0] would[0] id[0] the[0] blue[0] blood[0] killer[-1] so[0] he's[0] also[0] heading[0] over[0] there[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the comparison to pulp fiction earlier on was not accidental - quentin tarantino executive-produced this film , which began life as a short film he saw at a film festival . 	the comparison to pulp fiction earlier on was not accidental - quentin tarantino executive-produced this film , which began life as a short film he saw at a film festival .	2	-1	 the[0] comparison[0] to[0] pulp[0] fiction[0] earlier[0] on[0] was[0] not[0] accidental[-1][NegatedDueToPreviousWord] quentin[0] tarantino[0] executive[0] produced[0] this[0] film[0] which[0] began[0] life[0] as[0] a[0] short[0] film[0] he[0] saw[0] at[0] a[0] film[0] festival[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
apparently tarantino was so impressed that he helped braddock convert this into a feature-length film . 	apparently tarantino was so impressed that he helped braddock convert this into a feature-length film .	2	-1	 apparently[0] tarantino[0] was[0] so[0] impressed[1] that[0] he[0] helped[0] braddock[0] convert[0] this[0] into[0] a[0] feature[0] length[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are other parallels - the star of curdled is angela jones ( the top billing goes to william baldwin , but really , jones is the central character ) , who's probably best known for her role as esmerelda villalobos , the death-obssessed taxi driver in pulp fiction . 	there are other parallels - the star of curdled is angela jones ( the top billing goes to william baldwin , but really , jones is the central character ) , who's probably best known for her role as esmerelda villalobos , the death-obsessed taxi driver in pulp fiction .	2	-4	 there[0] are[0] other[0] parallels[0] the[0] star[0] of[0] curdled[0] is[0] angela[0] jones[0] the[0] top[0] billing[0] goes[0] to[0] william[0] baldwin[0] but[0] really[0] jones[0] is[0] the[0] central[0] character[0] who's[0] probably[0] best[1] known[0] for[0] her[0] role[0] as[0] esmerelda[0] villalobos[0] the[0] death[-2] obssessed/obsessed[-2][-1 MultiplePositiveWords] taxi[-1] driver[0] in[0] pulp[0] fiction[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
that role was written specifically for jones based upon her similar character in the aforementioned short film , curdled jr . 	that role was written specifically for jones based upon her similar character in the aforementioned short film , curdled jr .	1	-1	 that[0] role[0] was[0] written[0] specifically[0] for[0] jones[0] based[0] upon[0] her[0] similar[0] character[0] in[0] the[0] aforementioned[0] short[0] film[0] curdled[0] jr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jones is great in curdled - she's wonderfully funny and maintains an amusing wide-eyed naive curiousity about murder without compromising her character's innocence or likeability . 	jones is great in curdled - she's wonderfully funny and maintains an amusing wide-eyed naive curiousity about murder without compromising her character's innocence or likeability .	3	-4	 jones[0] is[0] great[2] in[0] curdled[0] she's[0] wonderfully[2] funny[1] and[0] maintains[0] an[0] amusing[1] wide[0] eyed[0] naive[-1] curiousity[0] about[0] murder[-3] without[0] compromising[0] her[0] character's[0] innocence[1] or[0] likeability[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
she can express so much with one lift of her eyebrow . 	she can express so much with one lift of her eyebrow .	1	-1	 she[0] can[0] express[0] so[0] much[0] with[0] one[0] lift[0] of[0] her[0] eyebrow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a great performance . 	it's a great performance .	3	-1	 it's[0] a[0] great[2] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
reb braddock's direction is extremely sharp and clever , toeing the line between black humour and bad taste . 	reb braddock's direction is extremely sharp and clever , toeing the line between black humour and bad taste .	3	-2	 reb[0] braddock's[0] direction[0] is[0] extremely[0] sharp[0] and[0] clever[0] toeing[0] the[0] line[0] between[0] black[0] humour[2] and[0] bad[-1] taste[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the best scene in the film is an outrageously funny sequence involves jones and dancing - any more than that would be a spoiler . 	the best scene in the film is an outrageously funny sequence involves jones and dancing - any more than that would be a spoiler .	2	-3	 the[0] best[1] scene[0] in[0] the[0] film[0] is[0] an[0] outrageously[-2] funny[1] sequence[0] involves[0] jones[0] and[0] dancing[0] any[0] more[0] than[0] that[0] would[0] be[0] a[0] spoiler[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the opening credit sequence is also inventive and amusing . 	the opening credit sequence is also inventive and amusing .	2	-1	 the[0] opening[0] credit[0] sequence[0] is[0] also[0] inventive[0] and[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , it's impossible to really take this stuff seriously , but then again you're not really supposed to - braddock knows the audience is in on the joke , and makes it a fun little romp as a result . 	of course , it's impossible to really take this stuff seriously , but then again you're not really supposed to - braddock knows the audience is in on the joke , and makes it a fun little romp as a result .	2	-1	 of[0] course[0] it's[0] impossible[0] to[0] really[0] take[0] this[0] stuff[0] seriously[0] but[0] then[0] again[0] you're[0] not[0] really[0] supposed[0] to[0] braddock[0] knows[0] the[0] audience[0] is[0] in[0] on[0] the[0] joke[1] and[0] makes[0] it[0] a[0] fun[1] little[0] romp[0] as[0] a[0] result[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the one drawback of curdled is that it was based on a short film , and it feels like it ; the material is just stretched too thin in order to fulfill a feature length running time , and some parts just seem to drag . 	the one drawback of curdled is that it was based on a short film , and it feels like it ; the material is just stretched too thin in order to fulfil a feature length running time , and some parts just seem to drag .	2	-2	 the[0] one[0] drawback[0] of[0] curdled[0] is[0] that[0] it[0] was[0] based[0] on[0] a[0] short[0] film[0] and[0] it[0] feels[0] like[1] it[0] the[0] material[0] is[0] just[0] stretched[0] too[0] thin[0] in[0] order[0] to[0] fulfill/fulfil[0] a[0] feature[0] length[0] running[0] time[0] and[0] some[0] parts[0] just[0] seem[0] to[0] drag[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while its running time is already a short 94 minutes , it could really stand to lose twenty minutes or so to give it better pacing . 	while its running time is already a short 94 minutes , it could really stand to lose twenty minutes or so to give it better pacing .	1	-2	 while[0] its[0] running[0] time[0] is[0] already[0] a[0] short[0] 94[0] minutes[0] it[0] could[0] really[0] stand[0] to[0] lose[-1] twenty[0] minutes[0] or[0] so[0] to[0] give[0] it[0] better[0] pacing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
curdled seems destined to be a nice cult film for miramax . 	curdled seems destined to be a nice cult film for miramax .	2	-1	 curdled[0] seems[0] destined[0] to[0] be[0] a[0] nice[1] cult[0] film[0] for[0] miramax[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it'll be interesting to see if it will appeal to mainstream audiences as well . 	it'll be interesting to see if it will appeal to mainstream audiences as well .	2	-1	 it'll[0] be[0] interesting[1] to[0] see[0] if[0] it[0] will[0] appeal[0] to[0] mainstream[0] audiences[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
