i've noticed something lately that i've never thought of before . 	Translation	Positive	Negative	EmotionRationale
cage is a wonderfully versatile actor ( think face/off , raising arizona , and it could happen to you - what a combo ! ) who slips into the role of a heavenly agent quite nicely but threatens sappiness more than once . 	cage is a wonderfully versatile actor ( think face/off , raising arizona , and it could happen to you - what a combo !<br> ) who slips into the role of a heavenly agent quite nicely but threatens sappiness more than once .	3	-3	 cage[0] is[0] a[0] wonderfully[2] versatile[0] actor[0] think[0] face/off[0] raising[0] arizona[0] and[0] it[0] could[0] happen[0] to[0] you[0] what[0] a[0] combo[0] [[Sentence=-1,3=word max, 1-5]] who[0] slips[0] into[0] the[0] role[0] of[0] a[0] heavenly[1] agent[0] quite[0] nicely[1] but[0] threatens[-2] sappiness[0] more[0] than[0] once[0] [[Sentence=-3,2=word max, 1-5]][[[3,-3 max of sentences]]]
it's nice to see ryan pick up roles like this and the one in courage under fire . 	it's nice to see ryan pick up roles like this and the one in courage under fire .	2	-1	 it's[0] nice[1] to[0] see[0] ryan[0] pick[0] up[0] roles[0] like[1] this[0] and[0] the[0] one[0] in[0] courage[1] under[0] fire[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two aren't very comparable to each other , but they both deviate from her usual " intelligently ditzy " romantic comedy roles , and it's an impressive side of ryan movie goers rarely have the chance to enjoy . 	the two aren't very comparable to each other , but they both deviate from her usual " intelligently ditzy " romantic comedy roles , and it's an impressive side of ryan movie goers rarely have the chance to enjoy .	4	-2	 the[0] two[0] aren't[0] very[0] comparable[0] to[0] each[0] other[0] but[0] they[0] both[0] deviate[-1] from[0] her[0] usual[0] intelligently[1] ditzy[0] romantic[3] comedy[0] roles[0] and[0] it's[0] an[0] impressive[1] side[0] of[0] ryan[0] movie[0] goers[0] rarely[0] have[0] the[0] chance[0] to[0] enjoy[2] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but even though the two leads do an impressive job , it is dennis franz who grabs us with his interpretation of a hospital patient who knows more than meets the eye . 	but even though the two leads do an impressive job , it is dennis franz who grabs us with his interpretation of a hospital patient who knows more than meets the eye .	2	-2	 but[0] even[0] though[0] the[0] two[0] leads[0] do[0] an[0] impressive[1] job[0] it[0] is[0] dennis[0] franz[0] who[0] grabs[-1] us[0] with[0] his[0] interpretation[0] of[0] a[0] hospital[0] patient[0] who[0] knows[0] more[0] than[0] meets[0] the[0] eye[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a shame that with so much going for it , city of angels falters so much in its final stages , leaving us with the realization that an emotionally incredible movie was out there , they just didn't know quite how to get to it . 	it's a shame that with so much going for it , city of angels falters so much in its final stages , leaving us with the realization that an emotionally incredible movie was out there , they just didn't know quite how to get to it .	1	-3	 it's[0] a[0] shame[-2] that[0] with[0] so[0] much[0] going[0] for[0] it[0] city[0] of[0] angels[0] falters[-1] so[0] much[0] in[0] its[0] final[0] stages[0] leaving[0] us[0] with[0] the[0] realization[0] that[0] an[0] emotionally[0] incredible[0] movie[0] was[0] out[0] there[0] they[0] just[0] didn't[0] know[0] quite[0] how[0] to[0] get[0] to[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they struggle for an impacting conclusion and wind up with painful thud rather than an exhilarating high . 	they struggle for an impacting conclusion and wind up with painful thud rather than an exhilarating high .	1	-4	 they[0] struggle[-1] for[0] an[0] impacting[0] conclusion[0] and[0] wind[0] up[0] with[0] painful[-3] thud[-1] rather[0] than[0] an[0] exhilarating[0] high[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
filmmakers should know your final impression will be the one you linger on , remember , and convey to others thru word of mouth , so after telling us for 60  minutes that this film is a glorious masterpiece , they sure leave us with a disheartening taste of mediocrity in our mouths . 	filmmakers should know your final impression will be the one you linger on , remember , and convey to others thru word of mouth , so after telling us for 60  minutes that this film is a glorious masterpiece , they sure leave us with a disheartening taste of mediocrity in our mouths .	2	-2	 filmmakers[0] should[0] know[0] your[0] final[0] impression[0] will[0] be[0] the[0] one[0] you[0] linger[0] on[0] remember[0] and[0] convey[0] to[0] others[0] thru[0] word[0] of[0] mouth[0] so[0] after[0] telling[0] us[0] for[0] 60[0] minutes[0] that[0] this[0] film[0] is[0] a[0] glorious[1] masterpiece[0] they[0] sure[0] leave[0] us[0] with[0] a[0] disheartening[-1] taste[0] of[0] mediocrity[-1] in[0] our[0] mouths[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
based on the german film wings of desire ( that being the english title , of course ) , city of angels is ninety percent success , enough to make most people forgive its shortcomings , even the devastatingly disappointing ending . 	based on the german film wings of desire ( that being the english title , of course ) , city of angels is ninety percent success , enough to make most people forgive its shortcomings , even the devastatingly disappointing ending .	3	-5	 based[0] on[0] the[0] german[-1] film[0] wings[0] of[0] desire[0] that[0] being[0] the[0] english[0] title[0] of[0] course[0] city[0] of[0] angels[0] is[0] ninety[0] percent[0] success[2] enough[0] to[0] make[0] most[0] people[0] forgive[1] its[0] shortcomings[-1] even[0] the[0] devastatingly[-4] disappointing[-1] ending[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
most movie goers , the non-cynics anyway , will be too wrapped up in the surreal atmosphere to give criticism to that which needs to be criticized . 	most movie goers , the non-cynics anyway , will be too wrapped up in the surreal atmosphere to give criticism to that which needs to be criticized .	1	-2	 most[0] movie[0] goers[0] the[0] non[0] cynics[-1] anyway[0] will[0] be[0] too[0] wrapped[0] up[0] in[0] the[0] surreal[0] atmosphere[0] to[0] give[0] criticism[-1] to[0] that[0] which[0] needs[0] to[0] be[0] criticized[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nonetheless , city of angels is beautifully captivating , which is probably enough to satisfy those poetic viewers who will appreciate a delve into rich emotional territories . 	nonetheless , city of angels is beautifully captivating , which is probably enough to satisfy those poetic viewers who will appreciate a delve into rich emotional territories .	3	-2	 nonetheless[0] city[0] of[0] angels[0] is[0] beautifully[2] captivating[0] which[0] is[0] probably[0] enough[0] to[0] satisfy[1] those[0] poetic[0] viewers[0] who[0] will[0] appreciate[1] a[0] delve[0] into[0] rich[0] emotional[-1] territories[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
