the postman delivers but not first class 	Translation	Positive	Negative	EmotionRationale
the rag-tag retro-futuristic cavalry is the descendent of militia groups and is even called the " clan " 	the rag-tag retro-futuristic cavalry is the descendent of militia groups and is even called the " clan "	1	-1	 the[0] rag[0] tag[0] retro[0] futuristic[0] cavalry[0] is[0] the[0] descendent[0] of[0] militia[0] groups[0] and[0] is[0] even[0] called[0] the[0] clan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a brutal boot camp , he ( and you can see this coming a mile away ) escapes . 	after a brutal boot camp , he ( and you can see this coming a mile away ) escapes .	1	-3	 after[0] a[0] brutal[-2] boot[0] camp[0] he[0] and[0] you[0] can[0] see[0] this[0] coming[0] a[0] mile[0] away[0] escapes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taking shelter in a wrecked postal truck , he liberates the uniform and mail bag from the skeleton in the cab who no longer has a use for either . 	taking shelter in a wrecked postal truck , he liberates the uniform and mail bag from the skeleton in the cab who no longer has a use for either .	1	-2	 taking[0] shelter[0] in[0] a[0] wrecked[-1] postal[0] truck[0] he[0] liberates[0] the[0] uniform[0] and[0] mail[0] bag[0] from[0] the[0] skeleton[0] in[0] the[0] cab[0] who[0] no[0] longer[0] has[0] a[0] use[0] for[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once he reaches oregon , land of beautiful women , bright youngsters and rock and roll ; he pretends to be a representative from the " restored congress of the united states of america " . 	once he reaches oregon , land of beautiful women , bright youngsters and rock and roll ; he pretends to be a representative from the " restored congress of the united states of america " .	3	-1	 once[0] he[0] reaches[0] oregon[0] land[0] of[0] beautiful[2] women[0] bright[0] youngsters[0] and[0] rock[1] and[0] roll[0] he[0] pretends[0] to[0] be[0] a[0] representative[0] from[0] the[0] restored[0] congress[0] of[0] the[0] united[0] states[0] of[0] america[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this scam gets him inside the walled towns where the promise of mail delivery renews optimism in the hearts of the inhabitants . 	this scam gets him inside the walled towns where the promise of mail delivery renews optimism in the hearts of the inhabitants .	2	-1	 this[0] scam[0] gets[0] him[0] inside[0] the[0] walled[0] towns[0] where[0] the[0] promise[1] of[0] mail[0] delivery[0] renews[0] optimism[1] in[0] the[0] hearts[0] of[0] the[0] inhabitants[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
food and other opportunities come his way in the form of spirited abby ( olivia williams ) who wants him to father a child because her husband is sterile . 	food and other opportunities come his way in the form of spirited aby ( olivia williams ) who wants him to father a child because her husband is sterile .	1	-1	 food[0] and[0] other[0] opportunities[0] come[0] his[0] way[0] in[0] the[0] form[0] of[0] spirited[0] abby/aby[0] olivia[0] williams[0] who[0] wants[0] him[0] to[0] father[0] a[0] child[0] because[0] her[0] husband[0] is[0] sterile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shortly her husband is killed by bethlehem and she and the postman ( as costner is referred to for the rest of the film ) become a reluctant item . 	shortly her husband is killed by bethlehem and she and the postman ( as costner is referred to for the rest of the film ) become a reluctant item .	1	-4	 shortly[0] her[0] husband[0] is[0] killed[-3] by[0] bethlehem[0] and[0] she[0] and[0] the[0] postman[0] as[0] costner[0] is[0] referred[0] to[0] for[0] the[0] rest[0] of[0] the[0] film[0] become[0] a[0] reluctant[-1] item[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although the postman knows he's running a fraud , the concept of renewed communications sets the kids' imagination afire ( especially ford lincoln mercury ( larenz tate ) , his second-in-command ) and they form a new pony express dedicated to getting the mail through . 	although the postman knows he's running a fraud , the concept of renewed communications sets the kids' imagination afire ( especially ford lincoln mercury ( larenz tate ) , his second-in-command ) and they form a new pony express dedicated to getting the mail through .	1	-2	 although[0] the[0] postman[0] knows[0] he's[0] running[0] a[0] fraud[-1] the[0] concept[0] of[0] renewed[0] communications[0] sets[0] the[0] kids'[0] imagination[0] afire[0] especially[0] ford[0] lincoln[0] mercury[0] larenz[0] tate[0] his[0] second[0] in[0] command[0] and[0] they[0] form[0] a[0] new[0] pony[0] express[0] dedicated[0] to[0] getting[0] the[0] mail[0] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the revived postal service doubles as an army to fight the holnists' tyranny . 	the revived postal service doubles as an army to fight the holnists' tyranny .	1	-3	 the[0] revived[0] postal[0] service[0] doubles[0] as[0] an[0] army[0] to[0] fight[-2] the[0] holnists'[0] tyranny[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the postman has become a symbol for hope in a rube goldberg manner . 	the postman has become a symbol for hope in a rube goldberg manner .	3	-1	 the[0] postman[0] has[0] become[0] a[0] symbol[0] for[0] hope[2] in[0] a[0] rube[0] goldberg[0] manner[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although the movie appeals to my sensibilities , there are so many things wrong with it that they can hardly be counted . 	although the movie appeals to my sensibilities , there are so many things wrong with it that they can hardly be counted .	1	-2	 although[0] the[0] movie[0] appeals[0] to[0] my[0] sensibilities[0] there[0] are[0] so[0] many[0] things[0] wrong[-1] with[0] it[0] that[0] they[0] can[0] hardly[0] be[0] counted[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's derivitive of costner's own " waterworld " and clint eastwood westerns . 	it's derivitive of costner's own " waterworld " and clint eastwood westerns .	1	-1	 it's[0] derivitive[0] of[0] costner's[0] own[0] waterworld[0] and[0] clint[0] eastwood[0] westerns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's little here that we haven't seen dozens of times before . 	there's little here that we haven't seen dozens of times before .	1	-1	 there's[0] little[0] here[0] that[0] we[0] haven't[0] seen[0] dozens[0] of[0] times[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is often down-right corny . 	the film is often down-right corny .	1	-1	 the[0] film[0] is[0] often[0] down[0] right[0] corny[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a scene where the postman is on horseback and grabs a letter from the hands of a bright-eyed child is embarrassing in its slow-motion banality . 	a scene where the postman is on horseback and grabs a letter from the hands of a bright-eyed child is embarrassing in its slow-motion banality .	1	-3	 a[0] scene[0] where[0] the[0] postman[0] is[0] on[0] horseback[0] and[0] grabs[-1] a[0] letter[0] from[0] the[0] hands[0] of[0] a[0] bright[0] eyed[0] child[0] is[0] embarrassing[-2] in[0] its[0] slow[0] motion[0] banality[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film's final few minutes should have been left on the cutting room floor . 	the film's final few minutes should have been left on the cutting room floor .	1	-1	 the[0] film's[0] final[0] few[0] minutes[0] should[0] have[0] been[0] left[0] on[0] the[0] cutting[0] room[0] floor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite the film's excessive three hour length , several things are never explained . 	despite the film's excessive three hour length , several things are never explained .	1	-2	 despite[0] the[0] film's[0] excessive[-1] three[0] hour[0] length[0] several[0] things[0] are[0] never[0] explained[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what was the war about ? 	what was the war about ?	1	-3	 what[0] was[0] the[0] war[-2] about[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how did civilization change so rapidly ? 	how did civilization change so rapidly ?	1	-1	 how[0] did[0] civilization[0] change[0] so[0] rapidly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone has horses : where did all they come from ? 	everyone has horses : where did all they come from ?	1	-1	 everyone[0] has[0] horses[0] where[0] did[0] all[0] they[0] come[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the " law of eights " that bethlehem lives by seems to have its origins somewhere beyond the film , but where ? 	the " law of eights " that bethlehem lives by seems to have its origins somewhere beyond the film , but where ?	1	-1	 the[0] law[0] of[0] eights[0] that[0] bethlehem[0] lives[0] by[0] seems[0] to[0] have[0] its[0] origins[0] somewhere[0] beyond[0] the[0] film[0] but[0] where[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are we to believe that the rest of the world is in the same shape and hasn't made their way west to help or conquer ? 	are we to believe that the rest of the world is in the same shape and hasn't made their way west to help or conquer ?	1	-1	 are[0] we[0] to[0] believe[0] that[0] the[0] rest[0] of[0] the[0] world[0] is[0] in[0] the[0] same[0] shape[0] and[0] hasn't[0] made[0] their[0] way[0] west[0] to[0] help[0] or[0] conquer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is some jumbled symbolism here that doesn't appear to make sense . 	there is some jumbled symbolism here that doesn't appear to make sense .	1	-1	 there[0] is[0] some[0] jumbled[0] symbolism[0] here[0] that[0] doesn't[0] appear[0] to[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the tale is obviously saying that communication can defeat evil in much the same way that the internet has the potential to topple governments , but beyond that there are some oddities . 	the tale is obviously saying that communication can defeat evil in much the same way that the internet has the potential to topple governments , but beyond that there are some oddities .	1	-3	 the[0] tale[0] is[0] obviously[0] saying[0] that[0] communication[0] can[0] defeat[0] evil[-2] in[0] much[0] the[0] same[0] way[0] that[0] the[0] internet[0] has[0] the[0] potential[0] to[0] topple[-1] governments[0] but[0] beyond[0] that[0] there[0] are[0] some[0] oddities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the evil army is called " holnists " which sounds coincidentally like the new age " holism " , but why ? 	the evil army is called " holnists " which sounds coincidentally like the new age " holism " , but why ?	2	-3	 the[0] evil[-2] army[0] is[0] called[0] holnists[0] which[0] sounds[0] coincidentally[0] like[1] the[0] new[0] age[0] holism[0] but[0] why[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
is it another coincidence that it takes place in 2013 , just one year after many ancient prophesies ( including the ending of the mayan calendar ) predict a new world for mankind ? 	is it another coincidence that it takes place in 2013 , just one year after many ancient prophesies ( including the ending of the mayan calendar ) predict a new world for mankind ?	1	-1	 is[0] it[0] another[0] coincidence[0] that[0] it[0] takes[0] place[0] in[0] 2013[0] just[0] one[0] year[0] after[0] many[0] ancient[0] prophesies[0] including[0] the[0] ending[0] of[0] the[0] mayan[0] calendar[0] predict[0] a[0] new[0] world[0] for[0] mankind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why is the general named " bethlehem " ? 	why is the general named " bethlehem " ?	1	-1	 why[0] is[0] the[0] general[0] named[0] bethlehem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there seems to be some reason for that , but what ? 	there seems to be some reason for that , but what ?	1	-1	 there[0] seems[0] to[0] be[0] some[0] reason[0] for[0] that[0] but[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes the movie feels like a joke . 	sometimes the movie feels like a joke .	2	-1	 sometimes[0] the[0] movie[0] feels[0] like[1] a[0] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an army of postal workers armed with guns ? 	an army of postal workers armed with guns ?	1	-2	 an[0] army[0] of[0] postal[0] workers[0] armed[0] with[0] guns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
considering the headlines of recent years , it takes a tremendous leap of faith to cheer for these guys . 	considering the headlines of recent years , it takes a tremendous leap of faith to cheer for these guys .	2	-1	 considering[0] the[0] headlines[0] of[0] recent[0] years[0] it[0] takes[0] a[0] tremendous[0] leap[0] of[0] faith[1] to[0] cheer[1] for[0] these[0] guys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's even more difficult to accept those re-powering the federal government as the heroes . 	it's even more difficult to accept those re-powering the federal government as the heroes .	3	-2	 it's[0] even[0] more[0] difficult[-1] to[0] accept[0] those[0] re[0] powering[0] the[0] federal[0] government[0] as[0] the[0] heroes[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
given the current climate of the country and the distrust of big government , it's asking a lot for the audience to get behind the film's nationalism . 	given the current climate of the country and the distrust of big government , it's asking a lot for the audience to get behind the film's nationalism .	1	-2	 given[0] the[0] current[0] climate[0] of[0] the[0] country[0] and[0] the[0] distrust[-1] of[0] big[0] government[0] it's[0] asking[0] a[0] lot[0] for[0] the[0] audience[0] to[0] get[0] behind[0] the[0] film's[0] nationalism[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even with its numerous flaws , the movie all comes together , if only for those who have the same weaknesses that i have . 	even with its numerous flaws , the movie all comes together , if only for those who have the same weaknesses that i have .	1	-2	 even[0] with[0] its[0] numerous[0] flaws[0] the[0] movie[0] all[0] comes[0] together[0] if[0] only[0] for[0] those[0] who[0] have[0] the[0] same[0] weaknesses[-1] that[0] i[0] have[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's doubtful that " the postman " is going to find much of an audience , but a few of us are going to have a good time . 	it's doubtful that " the postman " is going to find much of an audience , but a few of us are going to have a good time .	2	-2	 it's[0] doubtful[-1] that[0] the[0] postman[0] is[0] going[0] to[0] find[0] much[0] of[0] an[0] audience[0] but[0] a[0] few[0] of[0] us[0] are[0] going[0] to[0] have[0] a[0] good[1] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
besides we're all awaiting the fall of civilization caused by the year 2000 millennium computer bug . 	besides we're all awaiting the fall of civilization caused by the year 200 millennium computer bug .	1	-2	 besides[0] we're[0] all[0] awaiting[0] the[0] fall[0] of[0] civilization[0] caused[0] by[0] the[0] year[0] 2000/200[0] millennium[0] computer[0] bug[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( michael redman has written this column for over 22 years and would like to announce that the " michael redman " arrested near indianapolis last week for accepting an illicit package from federal express is , to the best of his knowledge , not him . 	 ( michael redman has written this column for over 22 years and would like to announce that the " michael redman " arrested near indianapolis last week for accepting an illicit package from federal express is , to the best of his knowledge , not him .	2	-1	 michael[0] redman[0] has[0] written[0] this[0] column[0] for[0] over[0] 22[0] years[0] and[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] announce[0] that[0] the[0] michael[0] redman[0] arrested[0] near[0] indianapolis[0] last[0] week[0] for[0] accepting[0] an[0] illicit[0] package[0] from[0] federal[0] express[0] is[0] to[0] the[0] best[1] of[0] his[0] knowledge[0] not[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps this similarly-named person should have used kevin costner's postal service . ) 	perhaps this similarly-named person should have used kevin costner's postal service .<br> )	1	-1	 perhaps[0] this[0] similarly[0] named[0] person[0] should[0] have[0] used[0] kevin[0] costner's[0] postal[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
