with more and more television shows having gay characters , and even the infamous " ellen " sitcom being centered on the life of a lesbian , the movie industry too seems to be gaining more and more homosexual based plot lines . 	Translation	Positive	Negative	EmotionRationale
the thing is , nobody , including howard , can understand how cameron came to that conclusion , and such wild and unexpected news can only wreak havoc in such a conservative american haven such as greenleaf . 	the thing is , nobody , including howard , can understand how cameron came to that conclusion , and such wild and unexpected news can only wreak havoc in such a conservative american haven such as greenleaf .	1	-2	 the[0] thing[0] is[0] nobody[0] including[0] howard[0] can[0] understand[0] how[0] cameron[0] came[0] to[0] that[0] conclusion[0] and[0] such[0] wild[0] and[0] unexpected[0] news[0] can[0] only[0] wreak[0] havoc[-1] in[0] such[0] a[0] conservative[0] american[0] haven[0] such[0] as[0] greenleaf[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
naturally the questions pour from howard's fiancee , parents ( debbie reynolds & wilford brimley ) , students , and the high school's principal , tom halliwell ( bob newhart ) , and the evidence starts to become more and more obvious : howard is clean , neat , honest , sincere , a romantic , and perhaps the most incriminating fact , he loves barbara streisand . 	naturally the questions pour from howard's fiancee , parents ( debbie reynolds & wilford brimley ) , students , and the high school's principal , tom halliwell ( bob newhart ) , and the evidence starts to become more and more obvious : howard is clean , neat , honest , sincere , a romantic , and perhaps the most incriminating fact , he loves barbara streisand .	4	-1	 naturally[0] the[0] questions[0] pour[0] from[0] howard's[0] fiancee[0] parents[0] debbie[0] reynolds[0] &[0] wilford[0] brimley[0] students[0] and[0] the[0] high[0] school's[0] principal[0] tom[0] halliwell[0] bob[0] newhart[0] and[0] the[0] evidence[0] starts[0] to[0] become[0] more[0] and[0] more[0] obvious[0] howard[0] is[0] clean[0] neat[0] honest[0] sincere[0] a[0] romantic[3] and[0] perhaps[0] the[0] most[0] incriminating[0] fact[0] he[0] loves[2] barbara[0] streisand[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the frenzy isn't helped any when camera crews from every conceivable news magazine and " entertainment tonight " wannabe show up at greenleaf high the very next morning . 	the frenzy isn't helped any when camera crews from every conceivable news magazine and " entertainment tonight " wannabe show up at greenleaf high the very next morning .	1	-1	 the[0] frenzy[0] isn't[0] helped[0] any[0] when[0] camera[0] crews[0] from[0] every[0] conceivable[0] news[0] magazine[0] and[0] entertainment[0] tonight[0] wannabe[0] show[0] up[0] at[0] greenleaf[0] high[0] the[0] very[0] next[0] morning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one particular reporter is peter malloy ( tom selleck ) of " inside entertainment " , who unlike the collage of other reporters , wants to spend a whole week in the life of howard brackett , including coverage of his wedding . 	one particular reporter is peter malloy ( tom selleck ) of " inside entertainment " , who unlike the collage of other reporters , wants to spend a whole week in the life of howard bracket , including coverage of his wedding .	1	-1	 one[0] particular[0] reporter[0] is[0] peter[0] malloy[0] tom[0] selleck[0] of[0] inside[0] entertainment[0] who[0] unlike[0] the[0] collage[0] of[0] other[0] reporters[0] wants[0] to[0] spend[0] a[0] whole[0] week[0] in[0] the[0] life[0] of[0] howard[0] brackett/bracket[0] including[0] coverage[0] of[0] his[0] wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the intrusion is all but welcome by howard , who is going more and more out of his mind with each passing minute . 	the intrusion is all but welcome by howard , who is going more and more out of his mind with each passing minute .	2	-2	 the[0] intrusion[-1] is[0] all[0] but[0] welcome[1] by[0] howard[0] who[0] is[0] going[0] more[0] and[0] more[0] out[0] of[0] his[0] mind[0] with[0] each[0] passing[0] minute[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it seems that no matter where he turns , a camera is being shoved in his face and questions regarding homosexuality are being tossed to him like frisbees . 	it seems that no matter where he turns , a camera is being shoved in his face and questions regarding homosexuality are being tossed to him like frisbees .	2	-1	 it[0] seems[0] that[0] no[0] matter[0] where[0] he[0] turns[0] a[0] camera[0] is[0] being[0] shoved[0] in[0] his[0] face[0] and[0] questions[0] regarding[0] homosexuality[0] are[0] being[0] tossed[0] to[0] him[0] like[1] frisbees[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dominoes begin to tumble as howard's closest friends begin acting different and principal halliwell hints at a possible termination of employment should howard indeed be gay . 	the dominoes begin to tumble as howard's closest friends begin acting different and principal halliwell hints at a possible termination of employment should howard indeed be gay .	2	-2	 the[0] dominoes[0] begin[0] to[0] tumble[0] as[0] howard's[0] closest[0] friends[1] begin[0] acting[0] different[0] and[0] principal[0] halliwell[0] hints[0] at[0] a[0] possible[0] termination[0] of[0] employment[0] should[0] howard[0] indeed[0] be[0] gay[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it all sounds very devastating , and it would be if it weren't presented with near-perfection by one of this year's most delightful ensemble casts . 	it all sounds very devastating , and it would be if it weren't presented with near-perfection by one of this year's most delightful ensemble casts .	3	-5	 it[0] all[0] sounds[0] very[0] devastating[-4][-1 LastWordBoosterStrength] and[0] it[0] would[0] be[0] if[0] it[0] weren't[0] presented[0] with[0] near[0] perfection[1] by[0] one[0] of[0] this[0] year's[0] most[0] delightful[2] ensemble[0] casts[0] [[Sentence=-6,3=word max, 1-5]][[[3,-5 max of sentences]]]
kline seems only to improve with age , and he is downright perfect here . 	kline seems only to improve with age , and he is downright perfect here .	2	-1	 kline[0] seems[0] only[0] to[0] improve[1] with[0] age[0] and[0] he[0] is[0] downright[0] perfect[1] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the great thing about this film is that every single character has a moment to shine , and they use it wonderfully . 	the great thing about this film is that every single character has a moment to shine , and they use it wonderfully .	3	-1	 the[0] great[2] thing[0] about[0] this[0] film[0] is[0] that[0] every[0] single[0] character[0] has[0] a[0] moment[0] to[0] shine[0] and[0] they[0] use[0] it[0] wonderfully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
every single actor turns in one of their best performances ever . 	every single actor turns in one of their best performances ever .	2	-1	 every[0] single[0] actor[0] turns[0] in[0] one[0] of[0] their[0] best[1] performances[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dillon has never been so likeable , cusack has never seemed so perfect for a role , and brimley , reynolds , and newhart all provide huge laughs when they're up to bat . 	dillon has never been so likeable , cusack has never seemed so perfect for a role , and brimley , reynolds , and newhart all provide huge laughs when they're up to bat .	3	-1	 dillon[0] has[0] never[0] been[0] so[0] likeable[2] cusack[0] has[0] never[0] seemed[0] so[0] perfect[1] for[0] a[0] role[0] and[0] brimley[0] reynolds[0] and[0] newhart[0] all[0] provide[0] huge[0] laughs[1] when[0] they're[0] up[0] to[0] bat[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rudnick's script is heavily laced with wit and humor , and you'll likely find yourself laughing out loud for a solid ninety minutes . 	rudnick's script is heavily laced with wit and humor , and you'll likely find yourself laughing out loud for a solid ninety minutes .	3	-1	 rudnick's[0] script[0] is[0] heavily[0] laced[0] with[0] wit[0] and[0] humor[2] and[0] you'll[0] likely[0] find[0] yourself[0] laughing[1] out[0] loud[0] for[0] a[0] solid[0] ninety[0] minutes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while in & out doesn't carry enough to give it four stars , it remains one of the best done films of the year , all-around . 	while in & out doesn't carry enough to give it four stars , it remains one of the best done films of the year , all-around .	2	-1	 while[0] in[0] &[0] out[0] doesn't[0] carry[0] enough[0] to[0] give[0] it[0] four[0] stars[0] it[0] remains[0] one[0] of[0] the[0] best[1] done[0] films[0] of[0] the[0] year[0] all[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is exuberant , the actors are absolutely top- notch , and we're allowed just the perfect blend of heart-tugging so as not to bog down the laughs . 	the script is exuberant , the actors are absolutely top- notch , and we're allowed just the perfect blend of heart-tugging so as not to bog down the laughs .	3	-1	 the[0] script[0] is[0] exuberant[2] the[0] actors[0] are[0] absolutely[0] top[0] notch[0] and[0] we're[0] allowed[0] just[0] the[0] perfect[1] blend[0] of[0] heart[0] tugging[0] so[0] as[0] not[0] to[0] bog[0] down[0] the[0] laughs[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it remains a solid comedy throughout its entirety , yet we're still allowed a sappily touching ending . 	it remains a solid comedy throughout its entirety , yet we're still allowed a sappily touching ending .	1	-1	 it[0] remains[0] a[0] solid[0] comedy[0] throughout[0] its[0] entirety[0] yet[0] we're[0] still[0] allowed[0] a[0] sappily[0] touching[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite it's subject matter , and one scene that comes almost too close for comfort on explaining gay sex , this is a movie that everyone could , and should , enjoy . 	despite it's subject matter , and one scene that comes almost too close for comfort on explaining gay sex , this is a movie that everyone could , and should , enjoy .	2	-2	 despite[0] it's[0] subject[0] matter[0] and[0] one[0] scene[0] that[0] comes[0] almost[0] too[0] close[0] for[0] comfort[1] on[0] explaining[0] gay[-1] sex[0] this[0] is[0] a[0] movie[0] that[0] everyone[0] could[0] and[0] should[0] enjoy[2][-1 LastWordBoosterStrength] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
frank oz , best known as a voice talent for muppets , directs this film quite delightfully , using all the potential rudnick's script has to offer , which turns out to be quite a bit . 	frank oz , best known as a voice talent for muppets , directs this film quite delightfully , using all the potential rudnick's script has to offer , which turns out to be quite a bit .	3	-1	 frank[0] oz[0] best[1] known[0] as[0] a[0] voice[0] talent[1] for[0] muppets[0] directs[0] this[0] film[0] quite[0] delightfully[2] using[0] all[0] the[0] potential[0] rudnick's[0] script[0] has[0] to[0] offer[0] which[0] turns[0] out[0] to[0] be[0] quite[0] a[0] bit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
check this one out . 	check this one out .	1	-1	 check[0] this[0] one[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll have a gay old time . 	you'll have a gay old time .	1	-2	 you'll[0] have[0] a[0] gay[-1] old[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
