very few people would be unaware of beavis & butt-head ( both created and narrated by mike judge ) . 	Translation	Positive	Negative	EmotionRationale
they are taken to the airport where they fly to las vegas to " do her " . 	they are taken to the airport where they fly to las vegas to " do her " .	1	-1	 they[0] are[0] taken[0] to[0] the[0] airport[0] where[0] they[0] fly[0] to[0] las[0] vegas[0] to[0] do[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to them , this is the best day of their lives . 	to them , this is the best day of their lives .	2	-1	 to[0] them[0] this[0] is[0] the[0] best[1] day[0] of[0] their[0] lives[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not only are they going to lose their virginity ( one of their lifelong aims ) , but most importantly , they will have enough money to buy a big screen tv . 	not only are they going to lose their virginity ( one of their lifelong aims ) , but most importantly , they will have enough money to buy a big screen tv .	1	-2	 not[0] only[0] are[0] they[0] going[0] to[0] lose[-1] their[0] virginity[0] one[0] of[0] their[0] lifelong[0] aims[0] but[0] most[0] importantly[0] they[0] will[0] have[0] enough[0] money[0] to[0] buy[0] a[0] big[0] screen[0] tv[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
inevitably they become caught up in a huge crime , and unbeknown to them , are tracked across the country by the fbi . 	inevitably they become caught up in a huge crime , and unbeknown to them , are tracked across the country by the fbi .	1	-2	 inevitably[0] they[0] become[0] caught[0] up[0] in[0] a[0] huge[0] crime[-1] and[0] unbeknown[0] to[0] them[0] are[0] tracked[0] across[0] the[0] country[0] by[0] the[0] fbi[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oddly enough , it is their complete stupidity that spares them from being caught , as a result the fbi is convinced they are criminal masterminds . 	oddly enough , it is their complete stupidity that spares them from being caught , as a result the fbi is convinced they are criminal masterminds .	1	-3	 oddly[0] enough[0] it[0] is[0] their[0] complete[0] stupidity[-1][-1 LastWordBoosterStrength] that[0] spares[0] them[0] from[0] being[0] caught[0] as[0] a[0] result[0] the[0] fbi[0] is[0] convinced[0] they[0] are[0] criminal[-1] masterminds[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they end up travelling right across america , visiting places such as the hoover dam and washington dc . 	they end up travelling right across america , visiting places such as the hoover dam and washington dc .	1	-1	 they[0] end[0] up[0] travelling[0] right[0] across[0] america[0] visiting[0] places[0] such[0] as[0] the[0] hoover[0] dam[0] and[0] washington[0] dc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the irony is that although they visit so many grand and spectacular locations , their one time out in the big world away from their television , they are completely oblivious to it . 	the irony is that although they visit so many grand and spectacular locations , their one time out in the big world away from their television , they are completely oblivious to it .	2	-2	 the[0] irony[-1] is[0] that[0] although[0] they[0] visit[0] so[0] many[0] grand[1] and[0] spectacular[0] locations[0] their[0] one[0] time[0] out[0] in[0] the[0] big[0] world[0] away[0] from[0] their[0] television[0] they[0] are[0] completely[0] oblivious[0] to[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at old faithful they are far more fascinated with the infra-red operated urinals than with the geyser itself . 	at old faithful they are far more fascinated with the infra-red operated urinals than with the geyser itself .	2	-1	 at[0] old[0] faithful[1] they[0] are[0] far[0] more[0] fascinated[0] with[0] the[0] infra[0] red[0] operated[0] urinals[0] than[0] with[0] the[0] geyser[0] itself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
beavis & butt-head essentially have the journey of their lives . 	beavis & butt-head essentially have the journey of their lives .	1	-1	 beavis[0] &[0] butt[0] head[0] essentially[0] have[0] the[0] journey[0] of[0] their[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they even get to meet the president . 	they even get to meet the president .	1	-1	 they[0] even[0] get[0] to[0] meet[0] the[0] president[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but all they care about is getting their television back , and losing their virginity . 	but all they care about is getting their television back , and losing their virginity .	2	-3	 but[0] all[0] they[0] care[1] about[0] is[0] getting[0] their[0] television[0] back[0] and[0] losing[-2] their[0] virginity[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is one of the many reasons that the film is so funny - it's unbelievable just how stupid they are , and how they can be so oblivious to everything around them . 	this is one of the many reasons that the film is so funny - it's unbelievable just how stupid they are , and how they can be so oblivious to everything around them .	2	-2	 this[0] is[0] one[0] of[0] the[0] many[0] reasons[0] that[0] the[0] film[0] is[0] so[0] funny[1] it's[0] unbelievable[-1] just[0] how[0] stupid[-1] they[0] are[0] and[0] how[0] they[0] can[0] be[0] so[0] oblivious[0] to[0] everything[0] around[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the humour is certainly crude , but then beavis & butt-head are just that ; crude , lude and rude . 	the humour is certainly crude , but then beavis & butt-head are just that ; crude , lude and rude .	3	-3	 the[0] humour[2] is[0] certainly[0] crude[-1] but[0] then[0] beavis[0] &[0] butt[0] head[0] are[0] just[0] that[0] crude[-1] lude[0] and[0] rude[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in the end you can't help but feel sorry for them , a pair of anti-social couch potatoes whose life is television . 	in the end you can't help but feel sorry for them , a pair of anti-social couch potatoes whose life is television .	1	-2	 in[0] the[0] end[0] you[0] can't[0] help[0] but[0] feel[0] sorry[-1] for[0] them[0] a[0] pair[0] of[0] anti[0] social[0] couch[0] potatoes[0] whose[0] life[0] is[0] television[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this respect , and also with regard to authority ( such as the fbi ) mike judge is quite critical of amercian society . 	in this respect , and also with regard to authority ( such as the fbi ) mike judge is quite critical of amercian society .	3	-2	 in[0] this[0] respect[2] and[0] also[0] with[0] regard[0] to[0] authority[0] such[0] as[0] the[0] fbi[0] mike[0] judge[0] is[0] quite[0] critical[-1] of[0] amercian[0] society[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if you are easily offended , or find this pair particularly annoying , steer clear . 	if you are easily offended , or find this pair particularly annoying , steer clear .	1	-3	 if[0] you[0] are[0] easily[0] offended[-2] or[0] find[0] this[0] pair[0] particularly[0] annoying[-2] steer[0] clear[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
otherwise , it should keep you laughing the whole way through . 	otherwise , it should keep you laughing the whole way through .	2	-1	 otherwise[0] it[0] should[0] keep[0] you[0] laughing[1] the[0] whole[0] way[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one note of warning : don't take friends who like to imitate beavis & butt-head . . . . . you'll 	one note of warning : don't take friends who like to imitate beavis & butt-head .<br> .<br> .<br> .<br> .<br> you'll	2	-2	 one[0] note[0] of[0] warning[0] don't[0] take[0] friends[1][NegatedDueToPreviousWord] who[0] like[1] to[0] imitate[0] beavis[0] &[0] butt[0] head[0] [[Sentence=-2,2=word max, 1-5]] you'll[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
never hear the end of it ! 	never hear the end of it !	1	-1	 never[0] hear[0] the[0] end[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
