elmore leonard has quickly become one of hollywood's favorite authors . 	Translation	Positive	Negative	EmotionRationale
he blends into his role here perfectly as the risk taking jack foley , who's willing to gamble everything on the chance that karen sisco might be his true love . 	he blends into his role here perfectly as the risk taking jack foley , who's willing to gamble everything on the chance that karen sisco might be his true love .	3	-2	 he[0] blends[0] into[0] his[0] role[0] here[0] perfectly[1] as[0] the[0] risk[-1] taking[0] jack[0] foley[0] who's[0] willing[0] to[0] gamble[-1] everything[0] on[0] the[0] chance[0] that[0] karen[0] sisco[0] might[0] be[0] his[0] true[1] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
jennifer lopez does an excellent job as well . 	jennifer lopez does an excellent job as well .	4	-1	 jennifer[0] lopez[0] does[0] an[0] excellent[3] job[0] as[0] well[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she actually has a trickier role than clooney , as a woman who has to balance her emotions with her sense of duty . 	she actually has a trickier role than clooney , as a woman who has to balance her emotions with her sense of duty .	1	-2	 she[0] actually[0] has[0] a[0] trickier[-1] role[0] than[0] clooney[0] as[0] a[0] woman[0] who[0] has[0] to[0] balance[0] her[0] emotions[0] with[0] her[0] sense[0] of[0] duty[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she and clooney develop good chemistry together . 	she and clooney develop good chemistry together .	2	-1	 she[0] and[0] clooney[0] develop[0] good[1] chemistry[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film boasts a superb ensemble . 	the film boasts a superb ensemble .	1	-2	 the[0] film[0] boasts[-1] a[0] superb[0] ensemble[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
steve zahn gives a hilarious performance , and steals nearly every scene he's in . 	steve zahn gives a hilarious performance , and steals nearly every scene he's in .	3	-3	 steve[0] zahn[0] gives[0] a[0] hilarious[2] performance[0] and[0] steals[-2] nearly[0] every[0] scene[0] he's[0] in[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
don cheadle is appropriately sinister as a violent ex-con who may or may not be teaming up with foley . 	don cheadle is appropriately sinister as a violent ex-con who may or may not be teaming up with foley .	1	-4	 don[0] cheadle[0] is[0] appropriately[0] sinister[-3] as[0] a[0] violent[-2] ex[0] con[0] who[0] may[0] or[0] may[0] not[0] be[0] teaming[0] up[0] with[0] foley[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
albert brooks is enjoyable as a white collar criminal who talks too much for his own good . 	albert brooks is enjoyable as a white collar criminal who talks too much for his own good .	3	-2	 albert[0] brooks[0] is[0] enjoyable[2] as[0] a[0] white[0] collar[0] criminal[-1] who[0] talks[0] too[0] much[0] for[0] his[0] own[0] good[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
out of the cast , only dennis farina seems underused as karen's ex-lawman father . 	out of the cast , only dennis farina seems underused as karen's ex-lawman father .	1	-1	 out[0] of[0] the[0] cast[0] only[0] dennis[0] farina[0] seems[0] underused[0] as[0] karen's[0] ex[0] lawman[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
steven soderbergh gives the film sharp and stylistic direction . 	steven soderbergh gives the film sharp and stylistic direction .	1	-1	 steven[0] soderbergh[0] gives[0] the[0] film[0] sharp[0] and[0] stylistic[0] direction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with an affectation for freeze frames , he delivers a unique take on the film's action and love scenes that places out of sight a notch above routine crime films . 	with an affectation for freeze frames , he delivers a unique take on the film's action and love scenes that places out of sight a notch above routine crime films .	3	-2	 with[0] an[0] affectation[-1] for[0] freeze[0] frames[0] he[0] delivers[0] a[0] unique[0] take[0] on[0] the[0] film's[0] action[0] and[0] love[2] scenes[0] that[0] places[0] out[0] of[0] sight[0] a[0] notch[0] above[0] routine[0] crime[-1] films[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a recurring series of flashbacks makes the film seem more complex than it actually is . 	a recurring series of flashbacks makes the film seem more complex than it actually is .	1	-1	 a[0] recurring[0] series[0] of[0] flashbacks[0] makes[0] the[0] film[0] seem[0] more[0] complex[0] than[0] it[0] actually[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
devoid of its bells and whistles , out of sight is actually a fairly straightforward crime story . 	devoid of its bells and whistles , out of sight is actually a fairly straightforward crime story .	1	-2	 devoid[-1] of[0] its[0] bells[0] and[0] whistles[0] out[0] of[0] sight[0] is[0] actually[0] a[0] fairly[0] straightforward[0] crime[-1] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , there are only a few spots in the film that seem bare , and they pass quickly . 	however , there are only a few spots in the film that seem bare , and they pass quickly .	1	-1	 however[0] there[0] are[0] only[0] a[0] few[0] spots[0] in[0] the[0] film[0] that[0] seem[0] bare[0] and[0] they[0] pass[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with smart dialogue , good characters , and an excellent cast , out of sight easily smoothes over the rough spots in the plot and delivers on both the action and romantic fronts . 	with smart dialogue , good characters , and an excellent cast , out of sight easily smoothes over the rough spots in the plot and delivers on both the action and romantic fronts .	4	-2	 with[0] smart[1] dialogue[0] good[1] characters[0] and[0] an[0] excellent[3] cast[0] out[0] of[0] sight[0] easily[0] smoothes[0] over[0] the[0] rough[-1] spots[0] in[0] the[0] plot[0] and[0] delivers[0] on[0] both[0] the[0] action[0] and[0] romantic[3] fronts[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
