with the opening scene of a young couple in a van pulling up , loading their guns , kissing each other and uttering what sounds like " rock and roll ! " 	Translation	Positive	Negative	EmotionRationale
moustached , with a tough paternal look and yet a voice and eyes that suggest sadness verging on exasperation , he is perfectly cast as the long-suffering husband . 	moustached , with a tough paternal look and yet a voice and eyes that suggest sadness verging on exasperation , he is perfectly cast as the long-suffering husband .	2	-4	 moustached[0] with[0] a[0] tough[-1] paternal[0] look[0] and[0] yet[0] a[0] voice[0] and[0] eyes[0] that[0] suggest[0] sadness[-3] verging[0] on[0] exasperation[-1] he[0] is[0] perfectly[1] cast[0] as[0] the[0] long[0] suffering[-3] husband[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( it's another of john mcnaughton's coups of casting-against-type , after transforming robert de niro into nerd and bill murray into gangster in mad dog and glory ) . 	 ( it's another of john mcnaughton's coups of casting-against-type , after transforming robert de niro into nerd and bill murray into gangster in mad dog and glory ) .	2	-3	 it's[0] another[0] of[0] john[0] mcnaughton's[0] coups[0] of[0] casting[0] against[-1] type[0] after[0] transforming[0] robert[0] de[0] niro[0] into[0] nerd[-2] and[0] bill[0] murray[0] into[0] gangster[0] in[0] mad[-1] dog[0] and[0] glory[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but it is the character of pam who commands centrestage , and ashley judd rises to the challenge with great alternating currents of ferocity and tenderness , making pam into a fascinating yet often infuriating person . 	but it is the character of pam who commands centrestage , and ashley judd rises to the challenge with great alternating currents of ferocity and tenderness , making pam into a fascinating yet often infuriating person .	3	-4	 but[0] it[0] is[0] the[0] character[0] of[0] pam[0] who[0] commands[0] centrestage[0] and[0] ashley[0] judd[0] rises[0] to[0] the[0] challenge[-1] with[0] great[2] alternating[0] currents[0] of[0] ferocity[-3] and[0] tenderness[0] making[0] pam[0] into[0] a[0] fascinating[0] yet[0] often[0] infuriating[0] person[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if the performance falls short of greatness , however , it is perhaps because the role of the mad woman has been done so often before it is virtually a staple of cinema , whether it's in betty blue , tom & viv or georgia . 	if the performance falls short of greatness , however , it is perhaps because the role of the mad woman has been done so often before it is virtually a staple of cinema , whether it's in betty blue , tom & viv or georgia .	3	-2	 if[0] the[0] performance[0] falls[0] short[0] of[0] greatness[2] however[0] it[0] is[0] perhaps[0] because[0] the[0] role[0] of[0] the[0] mad[-1] woman[0] has[0] been[0] done[0] so[0] often[0] before[0] it[0] is[0] virtually[0] a[0] staple[0] of[0] cinema[0] whether[0] it's[0] in[0] betty[0] blue[0] tom[0] &[0] viv[0] or[0] georgia[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as in those movies , there's the danger that the performance seems mannered , a collection of screwy tics and tantrums designed for the oscar presentation piece . 	as in those movies , there's the danger that the performance seems mannered , a collection of screwy tics and tantrums designed for the oscar presentation piece .	1	-3	 as[0] in[0] those[0] movies[0] there's[0] the[0] danger[-1] that[0] the[0] performance[0] seems[0] mannered[0] a[0] collection[0] of[0] screwy[0] tics[0] and[0] tantrums[-2] designed[0] for[0] the[0] oscar[0] presentation[0] piece[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
judd doesn't entirely avoid this pitfall , but pam's 'craziness' is best and most movingly presented in counterpoint to the more 'normal' chris . 	judd doesn't entirely avoid this pitfall , but pam's 'craziness' is best and most movingly presented in counterpoint to the more 'normal' chris .	2	-2	 judd[0] doesn't[0] entirely[0] avoid[-1] this[0] pitfall[0] but[0] pam's[0] 'craziness'[0] is[0] best[1] and[0] most[0] movingly[0] presented[0] in[0] counterpoint[0] to[0] the[0] more[0] 'normal'[0] chris[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when pam reacts to her father-in-law's death by showing up at the funeral in rollerblades and blaring headphones , chris' face is the picture of pained restraint . 	when pam reacts to her father-in-law's death by showing up at the funeral in rollerblades and blaring headphones , chris' face is the picture of pained restraint .	1	-3	 when[0] pam[0] reacts[0] to[0] her[0] father[0] in[0] law's[0] death[-2] by[0] showing[0] up[0] at[0] the[0] funeral[0] in[0] rollerblades[0] and[0] blaring[0] headphones[0] chris'[0] face[0] is[0] the[0] picture[0] of[0] pained[-1] restraint[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course , it's the question of what is 'normal' that is asked in normal life . 	of course , it's the question of what is 'normal' that is asked in normal life .	1	-1	 of[0] course[0] it's[0] the[0] question[0] of[0] what[0] is[0] 'normal'[0] that[0] is[0] asked[0] in[0] normal[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mcnaughton constantly offers up the ironies of the aspirations for the average domestic life and its kinship with insanity . 	mcnaughton constantly offers up the ironies of the aspirations for the average domestic life and its kinship with insanity .	1	-1	 mcnaughton[0] constantly[0] offers[0] up[0] the[0] ironies[0] of[0] the[0] aspirations[0] for[0] the[0] average[0] domestic[0] life[0] and[0] its[0] kinship[0] with[0] insanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the rational chris that loves guns ( " shooting is about precision , control " ) and the 'crazy' pam that loves astronomy and yearns for a dog ( who is then called chaos -- " chaos and you and me . . . 	it is the rational chris that loves guns ( " shooting is about precision , control " ) and the 'crazy' pam that loves astronomy and yearns for a dog ( who is then called chaos - " chaos and you and me .<br> .<br> .	3	-2	 it[0] is[0] the[0] rational[0] chris[0] that[0] loves[2] guns[-1] shooting[-1] is[0] about[0] precision[0] control[0] and[0] the[0] 'crazy'[0] pam[0] that[0] loves[2] astronomy[0] and[0] yearns[-1] for[0] a[0] dog[0] who[0] is[0] then[0] called[0] chaos[-1] chaos[-1] and[0] you[0] and[0] me[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we're a real family " , she notes wryly ) . 	we're a real family " , she notes wryly ) .	1	-1	 we're[0] a[0] real[0] family[0] she[0] notes[0] wryly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is chris' methodical mind and his knowledge of police procedure that allows him to be such a successful bank robber ( his well-planned disguise as a bearded , roaring man of terror is another piece of method in madness ) . 	it is chris' methodical mind and his knowledge of police procedure that allows him to be such a successful bank robber ( his well-planned disguise as a bearded , roaring man of terror is another piece of method in madness ) .	3	-2	 it[0] is[0] chris'[0] methodical[0] mind[0] and[0] his[0] knowledge[0] of[0] police[0] procedure[0] that[0] allows[0] him[0] to[0] be[0] such[0] a[0] successful[2] bank[0] robber[-1] his[0] well[0] planned[0] disguise[-1] as[0] a[0] bearded[0] roaring[0] man[0] of[0] terror[-1] is[0] another[0] piece[0] of[0] method[0] in[0] madness[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in the carpark where he sets out for his first robbery , a huge sign on a shopping mall stands out in the background : " buy-more " -- the perfectly respectable consumption-crazy american dream that has driven pam to her extravagant purchases , and both of them into desperate situations . 	in the carpark where he sets out for his first robbery , a huge sign on a shopping mall stands out in the background : " buy-more " - the perfectly respectable consumption-crazy american dream that has driven pam to her extravagant purchases , and both of them into desperate situations .	3	-3	 in[0] the[0] carpark[0] where[0] he[0] sets[0] out[0] for[0] his[0] first[0] robbery[-1] a[0] huge[0] sign[0] on[0] a[0] shopping[0] mall[0] stands[0] out[0] in[0] the[0] background[0] buy[0] more[0] the[0] perfectly[1] respectable[2] consumption[0] crazy[-1] american[0] dream[0] that[0] has[0] driven[0] pam[0] to[0] her[0] extravagant[-1] purchases[0] and[0] both[0] of[0] them[0] into[0] desperate[-2] situations[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's not a perfect film . 	it's not a perfect film .	1	-2	 it's[0] not[0] a[0] perfect[1][NegatedDueToPreviousWord] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the dialogue is a touch too banal ( perhaps intentionally ? ) . 	some of the dialogue is a touch too banal ( perhaps intentionally ?<br> ) .	1	-2	 some[0] of[0] the[0] dialogue[0] is[0] a[0] touch[0] too[0] banal[-1] perhaps[0] intentionally[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the use of the punk hardcore soundtrack in pam's crazed scenes comes rather too close to making emotional disturbance seem glamourous and sexy an image which only detracts from the rest of the film . 	the use of the punk hardcore soundtrack in pam's crazed scenes comes rather too close to making emotional disturbance seem glamourous and sexy an image which only detracts from the rest of the film .	3	-2	 the[0] use[0] of[0] the[0] punk[0] hardcore[0] soundtrack[0] in[0] pam's[0] crazed[0] scenes[0] comes[0] rather[0] too[0] close[0] to[0] making[0] emotional[-1] disturbance[-1] seem[0] glamourous[1] and[0] sexy[2] an[0] image[0] which[0] only[0] detracts[-1] from[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
indeed , as in mcnaughton's seminal film henry : portrait of a serial killer , it is the avoidance of glamour or sensationalism , the denial of some of the standard thrills of the outlaw film genre , that gives this determinedly unflashy , moving film its great strengths . 	indeed , as in mcnaughton's seminal film henry : portrait of a serial killer , it is the avoidance of glamour or sensationalism , the denial of some of the standard thrills of the outlaw film genre , that gives this determinedly unflashy , moving film its great strengths .	4	-2	 indeed[0] as[0] in[0] mcnaughton's[0] seminal[0] film[0] henry[0] portrait[0] of[0] a[0] serial[0] killer[-1] it[0] is[0] the[0] avoidance[-1] of[0] glamour[1] or[0] sensationalism[0] the[0] denial[-1] of[0] some[0] of[0] the[0] standard[0] thrills[3] of[0] the[0] outlaw[-1] film[0] genre[0] that[0] gives[0] this[0] determinedly[0] unflashy[0] moving[0] film[0] its[0] great[2] strengths[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
mcnaughton has filmed this story with a quiet , coolly 'realistic' method that works far better than any nbk theatrics at unsettling the viewer . 	mcnaughton has filmed this story with a quiet , coolly 'realistic' method that works far better than any nbk theatrics at unsettling the viewer .	1	-2	 mcnaughton[0] has[0] filmed[0] this[0] story[0] with[0] a[0] quiet[0] coolly[-1] 'realistic'[0] method[0] that[0] works[0] far[0] better[0] than[0] any[0] nbk[0] theatrics[0] at[0] unsettling[-1] the[0] viewer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the suburbs , with their miles of white-fenced houses and identikit malls , take on a sense of claustrophobic blankness . 	the suburbs , with their miles of white-fenced houses and identikit malls , take on a sense of claustrophobic blankness .	1	-1	 the[0] suburbs[0] with[0] their[0] miles[0] of[0] white[0] fenced[0] houses[0] and[0] identikit[0] malls[0] take[0] on[0] a[0] sense[0] of[0] claustrophobic[0] blankness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in its very different way , this makes for as haunting a backdrop as the wide open spaces in terence malick's badlands . 	in its very different way , this makes for as haunting a backdrop as the wide open spaces in terence malick's badlands .	1	-1	 in[0] its[0] very[0] different[0] way[0] this[0] makes[0] for[0] as[0] haunting[0] a[0] backdrop[0] as[0] the[0] wide[0] open[0] spaces[0] in[0] terence[0] malick's[0] badlands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while pam shares the yearnings of malick's heroes to escape from ordinary life , chris takes up crime precisely so that they can lead a 'normal life' - their little house on the suburbs is financed by his violent robberies . 	while pam shares the yearnings of malick's heroes to escape from ordinary life , chris takes up crime precisely so that they can lead a 'normal life' - their little house on the suburbs is financed by his violent robberies .	3	-3	 while[0] pam[0] shares[0] the[0] yearnings[-1] of[0] malick's[0] heroes[2] to[0] escape[0] from[0] ordinary[0] life[0] chris[0] takes[0] up[0] crime[-1] precisely[0] so[0] that[0] they[0] can[0] lead[0] a[0] 'normal[0] life'[0] their[0] little[0] house[0] on[0] the[0] suburbs[0] is[0] financed[0] by[0] his[0] violent[-2] robberies[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but these are dreams defined by , constrained by , and even doomed by , the limitations of the 'normal' , conventional world . 	but these are dreams defined by , constrained by , and even doomed by , the limitations of the 'normal' , conventional world .	1	-2	 but[0] these[0] are[0] dreams[0] defined[0] by[0] constrained[-1] by[0] and[0] even[0] doomed[-1] by[0] the[0] limitations[0] of[0] the[0] 'normal'[0] conventional[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pam's final scene takes place at the edge of the suburbs , where wild bushes grow -- symbolically the frontier , the outer limits of her society , but also quite literally the end of the road , where there is nowhere left to go but to the final tragic denouement . 	pam's final scene takes place at the edge of the suburbs , where wild bushes grow - symbolically the frontier , the outer limits of her society , but also quite literally the end of the road , where there is nowhere left to go but to the final tragic denouement .	1	-3	 pam's[0] final[0] scene[0] takes[0] place[0] at[0] the[0] edge[0] of[0] the[0] suburbs[0] where[0] wild[0] bushes[0] grow[0] symbolically[0] the[0] frontier[0] the[0] outer[0] limits[0] of[0] her[0] society[0] but[0] also[0] quite[0] literally[0] the[0] end[0] of[0] the[0] road[0] where[0] there[0] is[0] nowhere[0] left[0] to[0] go[0] but[0] to[0] the[0] final[0] tragic[-2] denouement[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the flying inkpot's rating system : * wait for the video . 	the flying inkpot's rating system : * wait for the video .	1	-1	 the[0] flying[0] inkpot's[0] rating[0] system[0] wait[0] for[0] the[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
