now that " boogie nights " has made disco respectable again ( well , fashionable at least ) , we shouldn't be surprised to see more films glorifying that dubious era . 	Translation	Positive	Negative	EmotionRationale
here they meet , or re-meet , a variety of eligible men , many of whom they knew in college . 	here they meet , or re-meet , a variety of eligible men , many of whom they knew in college .	1	-1	 here[0] they[0] meet[0] or[0] re[0] meet[0] a[0] variety[0] of[0] eligible[0] men[0] many[0] of[0] whom[0] they[0] knew[0] in[0] college[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
des ( played by stillman favorite christopher eigeman ) is one of the club's managers whose job is on the line for sneaking his ad agency buddies in the back . 	des ( played by stillman favorite christopher eigeman ) is one of the club's managers whose job is on the line for sneaking his ad agency buddies in the back .	2	-2	 des[0] played[0] by[0] stillman[0] favorite[1] christopher[0] eigeman[0] is[0] one[0] of[0] the[0] club's[0] managers[0] whose[0] job[0] is[0] on[0] the[0] line[0] for[0] sneaking[-1] his[0] ad[0] agency[0] buddies[0] in[0] the[0] back[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
des has reached a crisis point in his life : he just found out--last wednesday , in fact--that he's gay . 	des has reached a crisis point in his life : he just found out-last wednesday , in fact-that he's gay .	1	-3	 des[0] has[0] reached[0] a[0] crisis[-2] point[0] in[0] his[0] life[0] he[0] just[0] found[0] out[0] last[0] wednesday[0] in[0] fact[0] that[0] he's[0] gay[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whether it's true or not , it makes for a convenient excuse to dump his latest girlfriend ( jennifer beals in a small but soul-baring turn ) . 	whether it's true or not , it makes for a convenient excuse to dump his latest girlfriend ( jennifer beals in a small but soul-baring turn ) .	2	-2	 whether[0] it's[0] true[1] or[0] not[0] it[0] makes[0] for[0] a[0] convenient[0] excuse[0] to[0] dump[-1] his[0] latest[0] girlfriend[0] jennifer[0] beals[0] in[0] a[0] small[0] but[0] soul[0] baring[0] turn[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
charlotte observes cattily that the only gay thing about des is his mouth . 	charlotte observes cattily that the only gay thing about des is his mouth .	1	-2	 charlotte[0] observes[0] cattily[0] that[0] the[0] only[0] gay[-1] thing[0] about[0] des[0] is[0] his[0] mouth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jimmy ( mackenzie astin ) is the advertising exec who , by the end of the picture , winds up heading for a new job opportunity in spain ( visions of " barcelona " ? ) . 	jimmy ( mackenzie astin ) is the advertising exec who , by the end of the picture , winds up heading for a new job opportunity in spain ( visions of " barcelona " ?<br> ) .	1	-1	 jimmy[0] mackenzie[0] astin[0] is[0] the[0] advertising[0] exec[0] who[0] by[0] the[0] end[0] of[0] the[0] picture[0] winds[0] up[0] heading[0] for[0] a[0] new[0] job[0] opportunity[0] in[0] spain[0] visions[0] of[0] barcelona[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
josh ( matt keeslar ) is an assistant district attorney who dreams of being able to say , just once , " book this clown ! " 	josh ( matt keeslar ) is an assistant district attorney who dreams of being able to say , just once , " book this clown !<br> "	1	-1	 josh[0] matt[0] keeslar[0] is[0] an[0] assistant[0] district[0] attorney[0] who[0] dreams[0] of[0] being[0] able[0] to[0] say[0] just[0] once[0] book[0] this[0] clown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and robert sean leonard plays another one of alice's revolving suitors ; the two have an amusing exchange about the true definition of virginity . 	and robert sean leonard plays another one of alice's revolving suitors ; the two have an amusing exchange about the true definition of virginity .	2	-1	 and[0] robert[0] sean[0] leonard[0] plays[1] another[0] one[0] of[0] alice's[0] revolving[0] suitors[0] the[0] two[0] have[0] an[0] amusing[1] exchange[0] about[0] the[0] true[1] definition[0] of[0] virginity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
any film that can make robert sean leonard palatable is worthy of respect in my book . 	any film that can make robert sean leonard palatable is worthy of respect in my book .	3	-1	 any[0] film[0] that[0] can[0] make[0] robert[0] sean[0] leonard[0] palatable[1] is[0] worthy[0] of[0] respect[2] in[0] my[0] book[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , the entire ensemble is appealing in that well-spoken stillman way . 	in fact , the entire ensemble is appealing in that well-spoken stillman way .	1	-1	 in[0] fact[0] the[0] entire[0] ensemble[0] is[0] appealing[0] in[0] that[0] well[0] spoken[0] stillman[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the eschewing of " ferocious pairing " is a favored topic of conversation in the film , the protagonists tend to slip in and out of love , lust , and trouble with each other in an emotional merry-go-round that cleverly develops its characters through the " preferred " dynamics of social group interaction . 	while the eschewing of " ferocious pairing " is a favored topic of conversation in the film , the protagonists tend to slip in and out of love , lust , and trouble with each other in an emotional merry-go-round that cleverly develops its characters through the " preferred " dynamics of social group interaction .	3	-4	 while[0] the[0] eschewing[0] of[0] ferocious[-3] pairing[0] is[0] a[0] favored[1] topic[0] of[0] conversation[0] in[0] the[0] film[0] the[0] protagonists[0] tend[0] to[0] slip[0] in[0] and[0] out[0] of[0] love[2] lust[0] and[0] trouble[-1] with[0] each[0] other[0] in[0] an[0] emotional[-1] merry[1] go[0] round[0] that[0] cleverly[0] develops[0] its[0] characters[0] through[0] the[0] preferred[0] dynamics[1] of[0] social[0] group[0] interaction[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
more mature than stillman's previous two films , " the last days of disco " is as consistently droll as it is stimulating . 	more mature than stillman's previous two films , " the last days of disco " is as consistently droll as it is stimulating .	1	-1	 more[0] mature[0] than[0] stillman's[0] previous[0] two[0] films[0] the[0] last[0] days[0] of[0] disco[0] is[0] as[0] consistently[0] droll[0] as[0] it[0] is[0] stimulating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a movie you should definitely get on down to . 	it's a movie you should definitely get on down to .	1	-1	 it's[0] a[0] movie[0] you[0] should[0] definitely[0] get[0] on[0] down[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
