a group of high school kids mix up with a group of hip-hop artists as a documentarian strives to discover why today's youth seem attracted to black culture . 	Translation	Positive	Negative	EmotionRationale
others who make appearances are william lee scott as the young white punk will , joe pantoliano as his district attorney father , jared leto as a high school teacher , marla maples as the mother of one of hip-hop crazed teens , claudia schiffer as dean's girlfriend , and mike tyson as . . . 	others who make appearances are william lee scot as the young white punk will , joe pantoliano as his district attorney father , jared leto as a high school teacher , marla maples as the mother of one of hip-hop crazed teens , claudia schiffer as dean's girlfriend , and mike tyson as .<br> .<br> .	1	-1	 others[0] who[0] make[0] appearances[0] are[0] william[0] lee[0] scott/scot[0] as[0] the[0] young[0] white[0] punk[0] will[0] joe[0] pantoliano[0] as[0] his[0] district[0] attorney[0] father[0] jared[0] leto[0] as[0] a[0] high[0] school[0] teacher[0] marla[0] maples[0] as[0] the[0] mother[0] of[0] one[0] of[0] hip[0] hop[0] crazed[0] teens[0] claudia[0] schiffer[0] as[0] dean's[0] girlfriend[0] and[0] mike[0] tyson[0] as[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mike tyson . 	mike tyson .	1	-1	 mike[0] tyson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stories ebb and flow through the film , losing and gaining prominence over time . 	the stories ebb and flow through the film , losing and gaining prominence over time .	1	-3	 the[0] stories[0] ebb[0] and[0] flow[0] through[0] the[0] film[0] losing[-2] and[0] gaining[0] prominence[0] over[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
friendships are lost , lovers are gained , and there is an occasional burst of violence . 	friendships are lost , lovers are gained , and there is an occasional burst of violence .	4	-4	 friendships[1] are[0] lost[0] lovers[3] are[0] gained[0] and[0] there[0] is[0] an[0] occasional[0] burst[0] of[0] violence[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
originally rated nc-17 in the united states , black & white features a lot of sex between black gangstas and young white girls . 	originally rated nc-17 in the united states , black & white features a lot of sex between black gangstas and young white girls .	1	-1	 originally[0] rated[0] nc[0] -17[0] in[0] the[0] united[0] states[0] black[0] &[0] white[0] features[0] a[0] lot[0] of[0] sex[0] between[0] black[0] gangstas[0] and[0] young[0] white[0] girls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the film was trimmed down to a tamer r rating , viewers will wonder what could be more explicit than what they are seeing . 	while the film was trimmed down to a tamer are rating , viewers will wonder what could be more explicit than what they are seeing .	1	-1	 while[0] the[0] film[0] was[0] trimmed[0] down[0] to[0] a[0] tamer[0] r[0] rating[0] viewers[0] will[0] wonder[0] what[0] could[0] be[0] more[0] explicit[0] than[0] what[0] they[0] are[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the three-way sexual beginning of the film nicely warns viewers of what they are in for , and several audience members got up and left at that point . 	the three-way sexual beginning of the film nicely warns viewers of what they are in for , and several audience members got up and left at that point .	2	-1	 the[0] three[0] way[0] sexual[0] beginning[0] of[0] the[0] film[0] nicely[1] warns[0] viewers[0] of[0] what[0] they[0] are[0] in[0] for[0] and[0] several[0] audience[0] members[0] got[0] up[0] and[0] left[0] at[0] that[0] point[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the frequent sex is one of the film's few flaws as the titillation is overdone and at times completely unrelated to anything else going on in the film . 	the frequent sex is one of the film's few flaws as the titillation is overdone and at times completely unrelated to anything else going on in the film .	1	-1	 the[0] frequent[0] sex[0] is[0] one[0] of[0] the[0] film's[0] few[0] flaws[0] as[0] the[0] titillation[0] is[0] overdone[0] and[0] at[0] times[0] completely[0] unrelated[0] to[0] anything[0] else[0] going[0] on[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to toback's credit , the level of violence in black & white is almost nil . 	to toback's credit , the level of violence in black & white is almost nil .	1	-4	 to[0] toback's[0] credit[0] the[0] level[0] of[0] violence[-3] in[0] black[0] &[0] white[0] is[0] almost[0] nil[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these gangstas and hip-hop artists are given real problems and concerns , and only become gun-toting crazies when it benefits them to appear that way . 	these gangstas and hip-hop artists are given real problems and concerns , and only become gun-toting crazies when it benefits them to appear that way .	1	-2	 these[0] gangstas[0] and[0] hip[0] hop[0] artists[0] are[0] given[0] real[0] problems[-1] and[0] concerns[-1] and[0] only[0] become[0] gun[-1] toting[0] crazies[0] when[0] it[0] benefits[0] them[0] to[0] appear[0] that[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whenever a character finds himself on donager's handheld digital camera , he starts spouting off righteous tirades on america and proclaims his independence , but not everyone has fully bought into the idea . 	whenever a character finds himself on donager's handheld digital camera , he starts spouting off righteous tirades on america and proclaims his independence , but not everyone has fully bought into the idea .	1	-1	 whenever[0] a[0] character[0] finds[0] himself[0] on[0] donager's[0] handheld[0] digital[0] camera[0] he[0] starts[0] spouting[0] off[0] righteous[0] tirades[0] on[0] america[0] and[0] proclaims[0] his[0] independence[0] but[0] not[0] everyone[0] has[0] fully[0] bought[0] into[0] the[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charlie ( phillips ) is full of bluster about why she loves hip-hop , but admits that " in ten years time , i'll be way over this . " 	charlie ( phillips ) is full of bluster about why she loves hip-hop , but admits that " in ten years time , i'll be way over this .<br> "	3	-1	 charlie[0] phillips[0] is[0] full[0] of[0] bluster[0] about[0] why[0] she[0] loves[2] hip[0] hop[0] but[0] admits[0] that[0] in[0] ten[0] years[0] time[0] i'll[0] be[0] way[0] over[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
these youth know they are going through a phase , and are simply enjoying it . 	these youth know they are going through a phase , and are simply enjoying it .	3	-1	 these[0] youth[0] know[0] they[0] are[0] going[0] through[0] a[0] phase[0] and[0] are[0] simply[0] enjoying[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
toback fills the spaces between these tirades with scenes that are lightweight and funny . 	toback fills the spaces between these tirades with scenes that are lightweight and funny .	2	-1	 toback[0] fills[0] the[0] spaces[0] between[0] these[0] tirades[0] with[0] scenes[0] that[0] are[0] lightweight[0] and[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of the humour comes from mike tyson , who provides the film's comic relief without really trying . 	most of the humour comes from mike tyson , who provides the film's comic relief without really trying .	3	-1	 most[0] of[0] the[0] humour[2] comes[0] from[0] mike[0] tyson[0] who[0] provides[0] the[0] film's[0] comic[0] relief[1] without[0] really[0] trying[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is given big words like vernacular to say , and as rich tries to discuss a particular street problem with tyson , he frequently has to ask him to use smaller words and explain himself better , playing on tyson's image as a dimwit . 	he is given big words like vernacular to say , and as rich tries to discuss a particular street problem with tyson , he frequently has to ask him to use smaller words and explain himself better , playing on tyson's image as a dimwit .	2	-2	 he[0] is[0] given[0] big[0] words[0] like[1] vernacular[0] to[0] say[0] and[0] as[0] rich[0] tries[0] to[0] discuss[0] a[0] particular[0] street[0] problem[-1] with[0] tyson[0] he[0] frequently[0] has[0] to[0] ask[0] him[0] to[0] use[0] smaller[0] words[0] and[0] explain[0] himself[0] better[0] playing[1] on[0] tyson's[0] image[0] as[0] a[0] dimwit[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but tyson also gets the film's scariest moment . 	but tyson also gets the film's scariest moment .	1	-4	 but[0] tyson[0] also[0] gets[0] the[0] film's[0] scariest[-3] moment[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as he is mercilessly hit upon by the very gay terry , tyson is a marvel to watch as he fights to remain calm . 	as he is mercilessly hit upon by the very gay terry , tyson is a marvel to watch as he fights to remain calm .	2	-3	 as[0] he[0] is[0] mercilessly[-1] hit[0] upon[0] by[0] the[0] very[0] gay[-1][-1 LastWordBoosterStrength] terry[0] tyson[0] is[0] a[0] marvel[0] to[0] watch[0] as[0] he[0] fights[-2] to[0] remain[0] calm[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the scene is entirely improvised , with downey jr . being told to just keep at tyson until he gets a reaction . 	the scene is entirely improvised , with downey jr .<br> being told to just keep at tyson until he gets a reaction .	1	-1	 the[0] scene[0] is[0] entirely[0] improvised[0] with[0] downey[0] jr[0] [[Sentence=-1,1=word max, 1-5]] being[0] told[0] to[0] just[0] keep[0] at[0] tyson[0] until[0] he[0] gets[0] a[0] reaction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the reaction he gets , being slapped and then choked is astonishing , as downey jr's face turns a frightening shade of purple . 	the reaction he gets , being slapped and then choked is astonishing , as downey jr's face turns a frightening shade of purple .	1	-4	 the[0] reaction[0] he[0] gets[0] being[0] slapped[-1] and[0] then[0] choked[-3] is[0] astonishing[0] as[0] downey[0] jr's[0] face[0] turns[0] a[0] frightening[-3] shade[0] of[0] purple[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
black & white is a film about hip-hop culture , and the film's omnipresent hip-hop soundtrack strongly supports this . 	black & white is a film about hip-hop culture , and the film's omnipresent hip-hop soundtrack strongly supports this .	2	-1	 black[0] &[0] white[0] is[0] a[0] film[0] about[0] hip[0] hop[0] culture[0] and[0] the[0] film's[0] omnipresent[0] hip[0] hop[0] soundtrack[0] strongly[0] supports[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but toback keeps things from becoming too serious ; by moving from story to story as quickly as he does , toback keeps us from becoming attached to any one character's struggle . 	but toback keeps things from becoming too serious ; by moving from story to story as quickly as he does , toback keeps us from becoming attached to any one character's struggle .	1	-2	 but[0] toback[0] keeps[0] things[0] from[0] becoming[0] too[0] serious[-1] by[0] moving[0] from[0] story[0] to[0] story[0] as[0] quickly[0] as[0] he[0] does[0] toback[0] keeps[0] us[0] from[0] becoming[0] attached[0] to[0] any[0] one[0] character's[0] struggle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thus black & white's message about hip-hop becomes secondary to the film itself . 	thus black & white's message about hip-hop becomes secondary to the film itself .	1	-1	 thus[0] black[0] &[0] white's[0] message[0] about[0] hip[0] hop[0] becomes[0] secondary[0] to[0] the[0] film[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
toback just wants us to have fun and maybe learn a little about hip-hop along the way . 	toback just wants us to have fun and maybe learn a little about hip-hop along the way .	2	-1	 toback[0] just[0] wants[0] us[0] to[0] have[0] fun[1] and[0] maybe[0] learn[0] a[0] little[0] about[0] hip[0] hop[0] along[0] the[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and we do . 	and we do .	1	-1	 and[0] we[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
