jarvis cocker of pulp once said that he wrote common people after noticing mike leigh box-sets on the video shelves -- he had a feeling that economic deprivation was becoming a tourist experience for the well-off . 	Translation	Positive	Negative	EmotionRationale
one of her first reactions to seeing hortense is a sincere denial that she has ever " been with a black man " , before a long-suppressed memory seizes her . 	one of her first reactions to seeing hortense is a sincere denial that she has ever " been with a black man " , before a long-suppressed memory seizes her .	1	-2	 one[0] of[0] her[0] first[0] reactions[0] to[0] seeing[0] hortense[0] is[0] a[0] sincere[0] denial[-1] that[0] she[0] has[0] ever[0] been[0] with[0] a[0] black[0] man[0] before[0] a[0] long[0] suppressed[-1] memory[0] seizes[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the party , cynthia's pretense that hortense is her factory co-worker leads her to ever more convoluted lies , as agonizing as they are funny . 	at the party , cynthia's pretense that hortense is her factory co-worker leads her to ever more convoluted lies , as agonizing as they are funny .	2	-4	 at[0] the[0] party[0] cynthia's[0] pretense[-1] that[0] hortense[0] is[0] her[0] factory[0] co[0] worker[0] leads[0] her[0] to[0] ever[0] more[0] convoluted[0] lies[-2] as[0] agonizing[-3] as[0] they[0] are[0] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
little lies seep into every corner , like maurice pretending that he's " just dropping by " when he visits cynthia after much deliberation . 	little lies seep into every corner , like maurice pretending that he's " just dropping by " when he visits cynthia after much deliberation .	2	-3	 little[0] lies[-2] seep[0] into[0] every[0] corner[0] like[1] maurice[0] pretending[0] that[0] he's[0] just[0] dropping[0] by[0] when[0] he[0] visits[0] cynthia[0] after[0] much[0] deliberation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
maurice's job as a photographer gives the film opportunities for side comments on the main theme - a sad-looking bride that maurice coaxes to smile , a couple who pose awkwardly with a prominent wedding ring and argue about his spectacles . 	maurice's job as a photographer gives the film opportunities for side comments on the main theme - a sad-looking bride that maurice coaxes to smile , a couple who pose awkwardly with a prominent wedding ring and argue about his spectacles .	3	-4	 maurice's[0] job[0] as[0] a[0] photographer[0] gives[0] the[0] film[0] opportunities[0] for[0] side[0] comments[0] on[0] the[0] main[0] theme[0] a[0] sad[-3] looking[0] bride[0] that[0] maurice[0] coaxes[0] to[0] smile[2] a[0] couple[0] who[0] pose[0] awkwardly[-1] with[0] a[0] prominent[0] wedding[0] ring[0] and[0] argue[-1] about[0] his[0] spectacles[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one of the most startling images is of a beautiful woman with large scars on her face : she says she needs the photo to look " as bad as possible " to collect insurance money , yet the short scene leaves you wondering about what untold story lies behind the scars . 	one of the most startling images is of a beautiful woman with large scars on her face : she says she needs the photo to look " as bad as possible " to collect insurance money , yet the short scene leaves you wondering about what untold story lies behind the scars .	3	-3	 one[0] of[0] the[0] most[0] startling[-1] images[0] is[0] of[0] a[0] beautiful[2] woman[0] with[0] large[0] scars[0] on[0] her[0] face[0] she[0] says[0] she[0] needs[0] the[0] photo[0] to[0] look[0] as[0] bad[-1] as[0] possible[0] to[0] collect[0] insurance[0] money[0] yet[0] the[0] short[0] scene[0] leaves[0] you[0] wondering[0] about[0] what[0] untold[0] story[0] lies[-2] behind[0] the[0] scars[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there are occasionally hilarious moments , as when cynthia attempts to give her daughter some unwelcome advice on contraception , " i've got a dutch cap floating about somewhere upstairs " ; or when cynthia stares at her own rather pedestrian legs and tells roxanne , " if you've got it , flaunt it , is what i say . " 	there are occasionally hilarious moments , as when cynthia attempts to give her daughter some unwelcome advice on contraception , " i've got a dutch cap floating about somewhere upstairs " ; or when cynthia stares at her own rather pedestrian legs and tells roxanne , " if you've got it , flaunt it , is what i say .<br> "	3	-2	 there[0] are[0] occasionally[0] hilarious[2] moments[0] as[0] when[0] cynthia[0] attempts[0] to[0] give[0] her[0] daughter[0] some[0] unwelcome[-2][--1 LastWordBoosterStrength] advice[0] on[0] contraception[0] i've[0] got[0] a[0] dutch[0] cap[0] floating[0] about[0] somewhere[0] upstairs[0] or[0] when[0] cynthia[0] stares[0] at[0] her[0] own[0] rather[0] pedestrian[0] legs[0] and[0] tells[0] roxanne[0] if[0] you've[0] got[0] it[0] flaunt[0] it[0] is[0] what[0] i[0] say[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as played by brenda blethyn , cynthia comes close to being a caricature , with her nervous , somewhat disconnected way of talking . 	as played by brenda blethyn , cynthia comes close to being a caricature , with her nervous , somewhat disconnected way of talking .	1	-3	 as[0] played[0] by[0] brenda[0] blethyn[0] cynthia[0] comes[0] close[0] to[0] being[0] a[0] caricature[0] with[0] her[0] nervous[-2] somewhat[0] disconnected[0] way[0] of[0] talking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but she's really just right for the role of someone who inspires sympathy and yet strains the tolerance of those around her , precisely because she's so needy of love , perhaps . 	but she's really just right for the role of someone who inspires sympathy and yet strains the tolerance of those around her , precisely because she's so needy of love , perhaps .	3	-2	 but[0] she's[0] really[0] just[0] right[0] for[0] the[0] role[0] of[0] someone[0] who[0] inspires[2] sympathy[0] and[0] yet[0] strains[-1] the[0] tolerance[1] of[0] those[0] around[0] her[0] precisely[0] because[0] she's[0] so[0] needy[-1] of[0] love[2] perhaps[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
indeed , the whole cast gives warmly rounded , detailed performances . 	indeed , the whole cast gives warmly rounded , detailed performances .	2	-1	 indeed[0] the[0] whole[0] cast[0] gives[0] warmly[1] rounded[0] detailed[0] performances[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script was developed partly through improvisations , and the fusion of cast , script and director shows best in the party scene - seemingly everyone is talking at the same time , and yet many subtle observations are being made throughout . 	the script was developed partly through improvisations , and the fusion of cast , script and director shows best in the party scene - seemingly everyone is talking at the same time , and yet many subtle observations are being made throughout .	2	-1	 the[0] script[0] was[0] developed[0] partly[0] through[0] improvisations[0] and[0] the[0] fusion[0] of[0] cast[0] script[0] and[0] director[0] shows[0] best[1] in[0] the[0] party[0] scene[0] seemingly[0] everyone[0] is[0] talking[0] at[0] the[0] same[0] time[0] and[0] yet[0] many[0] subtle[0] observations[0] are[0] being[0] made[0] throughout[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a very different way , but also using a long single shot , the scene of hortense and cynthia's first meeting in a lonely caf 8a achieves a touching intensity , all the more for their reticence and unspoken feelings . 	in a very different way , but also using a long single shot , the scene of hortense and cynthia's first meeting in a lonely caf 8a achieves a touching intensity , all the more for their reticence and unspoken feelings .	1	-2	 in[0] a[0] very[0] different[0] way[0] but[0] also[0] using[0] a[0] long[0] single[0] shot[-1] the[0] scene[0] of[0] hortense[0] and[0] cynthia's[0] first[0] meeting[0] in[0] a[0] lonely[-1] caf[0] 8a[0] achieves[0] a[0] touching[0] intensity[0] all[0] the[0] more[0] for[0] their[0] reticence[0] and[0] unspoken[0] feelings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film's climax - with all the secrets and lies finally spilled out in ibsen-esque revelations , and everybody hugging each other - is the one thing that seems false about this film . 	the film's climax - with all the secrets and lies finally spilled out in ibsen-esque revelations , and everybody hugging each other - is the one thing that seems false about this film .	3	-3	 the[0] film's[0] climax[0] with[0] all[0] the[0] secrets[0] and[0] lies[-2] finally[0] spilled[-1] out[0] in[0] ibsen[0] esque[0] revelations[0] and[0] everybody[0] hugging[2] each[0] other[0] is[0] the[0] one[0] thing[0] that[0] seems[0] false[0] about[0] this[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , it's a film that truly earns its happy ending after the misery and repression of the character's lives . 	however , it's a film that truly earns its happy ending after the misery and repression of the character's lives .	2	-3	 however[0] it's[0] a[0] film[0] that[0] truly[1] earns[0] its[0] happy[1] ending[0] after[0] the[0] misery[-2] and[0] repression[-1] of[0] the[0] character's[0] lives[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when cynthia says near the end , this is the life , innit ? , you get the sense that , following the cynicism of his last film naked , leigh has rediscovered that life can be sweet after all , without comforting illusions . 	when cynthia says near the end , this is the life , innit ?<br> , you get the sense that , following the cynicism of his last film naked , leigh has rediscovered that life can be sweet after all , without comforting illusions .	2	-2	 when[0] cynthia[0] says[0] near[0] the[0] end[0] this[0] is[0] the[0] life[0] innit[0] [[Sentence=-1,1=word max, 1-5]] you[0] get[0] the[0] sense[0] that[0] following[0] the[0] cynicism[-1] of[0] his[0] last[0] film[0] naked[0] leigh[0] has[0] rediscovered[0] that[0] life[0] can[0] be[0] sweet[1] after[0] all[0] without[0] comforting[1] illusions[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the flying inkpot's rating system : * wait for the video . 	the flying inkpot's rating system : * wait for the video .	1	-1	 the[0] flying[0] inkpot's[0] rating[0] system[0] wait[0] for[0] the[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
