swashbuckling adventure that can be enjoyed by both children and adults . 	Translation	Positive	Negative	EmotionRationale
hopkins seems to come off a little better , but banderas does some excellent work . 	hopkins seems to come off a little better , but banderas does some excellent work .	3	-1	 hopkins[0] seems[0] to[0] come[0] off[0] a[0] little[0] better[0] but[0] banderas[0] does[0] some[0] excellent[3][-1 LastWordBoosterStrength] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the bad guys , wilson and letscher seem one dimensional , but they go through the bad guy shtick in an above average way . 	as the bad guys , wilson and letscher seem one dimensional , but they go through the bad guy shtick in an above average way .	1	-2	 as[0] the[0] bad[-1] guys[0] wilson[0] and[0] letscher[0] seem[0] one[0] dimensional[0] but[0] they[0] go[0] through[0] the[0] bad[-1] guy[0] shtick[0] in[0] an[0] above[0] average[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the audience does hate them , which can't be bad . 	the audience does hate them , which can't be bad .	2	-4	 the[0] audience[0] does[0] hate[-3] them[0] which[0] can't[0] be[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
catherine zeta-jones also pops up as hopkins daughter , and although she provides little more than the usual female lead , she delivers a charming , but one note , performance . 	catherine zeta-jones also pops up as hopkins daughter , and although she provides little more than the usual female lead , she delivers a charming , but one note , performance .	2	-1	 catherine[0] zeta[0] jones[0] also[0] pops[0] up[0] as[0] hopkins[0] daughter[0] and[0] although[0] she[0] provides[0] little[0] more[0] than[0] the[0] usual[0] female[0] lead[0] she[0] delivers[0] a[0] charming[1] but[0] one[0] note[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the chemistry is excellent between banderas and jones . 	the chemistry is excellent between banderas and jones .	4	-1	 the[0] chemistry[0] is[0] excellent[3] between[0] banderas[0] and[0] jones[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there's a delightful little scene where banderas and jones have a sword fight , and every swipe an item of clothing gets slashed , until jones clothes fall off all together . 	there's a delightful little scene where banderas and jones have a sword fight , and every swipe an item of clothing gets slashed , until jones clothes fall off all together .	3	-3	 there's[0] a[0] delightful[2] little[0] scene[0] where[0] banderas[0] and[0] jones[0] have[0] a[0] sword[0] fight[-2] and[0] every[0] swipe[0] an[0] item[0] of[0] clothing[0] gets[0] slashed[-1] until[0] jones[0] clothes[0] fall[0] off[0] all[0] together[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the director , fresh from the enjoyable goldeneye ( 1995 ) handles the film perfectly . 	the director , fresh from the enjoyable goldeneye ( 1995 ) handles the film perfectly .	3	-1	 the[0] director[0] fresh[0] from[0] the[0] enjoyable[2] goldeneye[0] 1995[0] handles[0] the[0] film[0] perfectly[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the action is well done and fast paced , the comedy put across well . 	the action is well done and fast paced , the comedy put across well .	1	-1	 the[0] action[0] is[0] well[0] done[0] and[0] fast[0] paced[0] the[0] comedy[0] put[0] across[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast help a lot , but the direction is still outstanding . 	the cast help a lot , but the direction is still outstanding .	3	-1	 the[0] cast[0] help[0] a[0] lot[0] but[0] the[0] direction[0] is[0] still[0] outstanding[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although the film is very long , the plot keeps chugging along , and there's barely a dull moment . 	although the film is very long , the plot keeps chugging along , and there's barely a dull moment .	1	-2	 although[0] the[0] film[0] is[0] very[0] long[0] the[0] plot[0] keeps[0] chugging[0] along[0] and[0] there's[0] barely[0] a[0] dull[-1] moment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the film is a little over indulgent , and it could have been trimmed . 	however , the film is a little over indulgent , and it could have been trimmed .	1	-1	 however[0] the[0] film[0] is[0] a[0] little[0] over[0] indulgent[0] and[0] it[0] could[0] have[0] been[0] trimmed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it manages to hold the attention , thankfully , and the adventure and charm holds right up to the last reel . 	it manages to hold the attention , thankfully , and the adventure and charm holds right up to the last reel .	2	-1	 it[0] manages[0] to[0] hold[0] the[0] attention[0] thankfully[1] and[0] the[0] adventure[0] and[0] charm[1] holds[0] right[0] up[0] to[0] the[0] last[0] reel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
screenwriters john eskow , ted elliot and terry rosio have unfortunately written an cliched and one dimensional script . 	screenwriters john eskow , ted elliot and terry rosio have unfortunately written an cliched and one dimensional script .	1	-2	 screenwriters[0] john[0] eskow[0] ted[0] elliot[0] and[0] terry[0] rosio[0] have[0] unfortunately[-1] written[0] an[0] cliched[0] and[0] one[0] dimensional[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although they've bought zorro up to date with big explosions and wild action , the plot itself is barely existent . 	although they've bought zorro up to date with big explosions and wild action , the plot itself is barely existent .	1	-2	 although[0] they've[0] bought[0] zorro[0] up[0] to[0] date[0] with[0] big[0] explosions[-1] and[0] wild[0] action[0] the[0] plot[0] itself[0] is[0] barely[0] existent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's lots of little sub plots hanging around , but there's nothing substantial to bring them all together . 	there's lots of little sub plots hanging around , but there's nothing substantial to bring them all together .	1	-1	 there's[0] lots[0] of[0] little[0] sub[0] plots[0] hanging[0] around[0] but[0] there's[0] nothing[0] substantial[0] to[0] bring[0] them[0] all[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main story seems to be the fact that rafael wants to 'buy' california using gold stolen from the guy he's buying the land off . 	the main story seems to be the fact that rafael wants to 'buy' california using gold stolen from the guy he's buying the land off .	1	-2	 the[0] main[0] story[0] seems[0] to[0] be[0] the[0] fact[0] that[0] rafael[0] wants[0] to[0] 'buy'[0] california[0] using[0] gold[0] stolen[-1] from[0] the[0] guy[0] he's[0] buying[0] the[0] land[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this sets up for a temple of doom type plot where we see peasants slave driven into getting the gold from little mines . 	this sets up for a temple of doom type plot where we see peasants slave driven into getting the gold from little mines .	1	-2	 this[0] sets[0] up[0] for[0] a[0] temple[0] of[0] doom[-1] type[0] plot[0] where[0] we[0] see[0] peasants[0] slave[0] driven[0] into[0] getting[0] the[0] gold[0] from[0] little[0] mines[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , this doesn't seem to appear until nearly over a hour into the film , so the film is never quite sure where it's going . 	however , this doesn't seem to appear until nearly over a hour into the film , so the film is never quite sure where it's going .	1	-1	 however[0] this[0] doesn't[0] seem[0] to[0] appear[0] until[0] nearly[0] over[0] a[0] hour[0] into[0] the[0] film[0] so[0] the[0] film[0] is[0] never[0] quite[0] sure[0] where[0] it's[0] going[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end however , zorro provides action and comedy in spades . 	in the end however , zorro provides action and comedy in spades .	1	-1	 in[0] the[0] end[0] however[0] zorro[0] provides[0] action[0] and[0] comedy[0] in[0] spades[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it suitable for everyone , so put the guilt behind , and put some more money into spielbergs bank account . 	it suitable for everyone , so put the guilt behind , and put some more money into spielbergs bank account .	1	-4	 it[0] suitable[0] for[0] everyone[0] so[0] put[0] the[0] guilt[-3] behind[0] and[0] put[0] some[0] more[0] money[0] into[0] spielbergs[0] bank[0] account[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you won't regret it . 	you won't regret it .	2	-1	 you[0] won't[0] regret[-1][NegatedDueToPreviousWord] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
