it has been three long years since quentin tarantino stunned the cinema world by claiming the cannes film festival's palme d'or , a $100 million-plus box office gross , and an oscar nomination ? all for his sophomore outing , pulp fiction . 	Translation	Positive	Negative	EmotionRationale
and there aren't nearly as many deliciously offbeat conversations this time around . 	and there aren't nearly as many deliciously offbeat conversations this time around .	3	-1	 and[0] there[0] aren't[0] nearly[0] as[0] many[0] deliciously[2] offbeat[0] conversations[0] this[0] time[0] around[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's a samuel l . jackson monologue about guns , a jackson/chris tucker argument regarding the merits of hiding in a car trunk , and a jackson/robert de niro exchange that recalls some of the jackson/travolta material from pulp fiction , but that's about it . 	there's a samuel l .<br> jackson monologue about guns , a jackson/chris tucker argument regarding the merits of hiding in a car trunk , and a jackson/robert de niro exchange that recalls some of the jackson/travolta material from pulp fiction , but that's about it .	2	-2	 there's[0] a[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] monologue[0] about[0] guns[-1] a[0] jackson/chris[0] tucker[0] argument[-1] regarding[0] the[0] merits[1] of[0] hiding[0] in[0] a[0] car[0] trunk[0] and[0] a[0] jackson/robert[0] de[0] niro[0] exchange[0] that[0] recalls[0] some[0] of[0] the[0] jackson/travolta[0] material[0] from[0] pulp[0] fiction[0] but[0] that's[0] about[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jackie brown's lone " innovation " is its presentation of a crucial sequence from three different perspectives . 	jackie brown's lone " innovation " is its presentation of a crucial sequence from three different perspectives .	1	-2	 jackie[0] brown's[0] lone[-1] innovation[0] is[0] its[0] presentation[0] of[0] a[0] crucial[0] sequence[0] from[0] three[0] different[0] perspectives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this isn't exactly an original technique ? it has been done numerous times before , most famously in akira kurosawa's rashomon and most recently in edward zwick's courage under fire . 	this isn't exactly an original technique ?<br> it has been done numerous times before , most famously in akira kurosawa's rashomon and most recently in edward zwick's courage under fire .	2	-1	 this[0] isn't[0] exactly[0] an[0] original[0] technique[0] [[Sentence=-1,1=word max, 1-5]] it[0] has[0] been[0] done[0] numerous[0] times[0] before[0] most[0] famously[0] in[0] akira[0] kurosawa's[0] rashomon[0] and[0] most[0] recently[0] in[0] edward[0] zwick's[0] courage[1] under[0] fire[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , while in those two movies ( and others ) , there was a legitimate plot reason for the multiple points-of- view , tarantino's sole purpose for using it appears to be because it's unconventional . 	however , while in those two movies ( and others ) , there was a legitimate plot reason for the multiple points-of- view , tarantino's sole purpose for using it appears to be because it's unconventional .	1	-1	 however[0] while[0] in[0] those[0] two[0] movies[0] and[0] others[0] there[0] was[0] a[0] legitimate[0] plot[0] reason[0] for[0] the[0] multiple[0] points[0] of[0] view[0] tarantino's[0] sole[0] purpose[0] for[0] using[0] it[0] appears[0] to[0] be[0] because[0] it's[0] unconventional[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
had the scenes in question been shown from only one of the three vantages , nothing would have been lost . 	had the scenes in question been shown from only one of the three vantages , nothing would have been lost .	1	-1	 had[0] the[0] scenes[0] in[0] question[0] been[0] shown[0] from[0] only[0] one[0] of[0] the[0] three[0] vantages[0] nothing[0] would[0] have[0] been[0] lost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a result , this aspect of the film is little more than a curiosity . 	as a result , this aspect of the film is little more than a curiosity .	1	-1	 as[0] a[0] result[0] this[0] aspect[0] of[0] the[0] film[0] is[0] little[0] more[0] than[0] a[0] curiosity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the second picture in a row , tarantino is attempting to revive the career of a '70s icon . 	for the second picture in a row , tarantino is attempting to revive the career of a '70s icon .	1	-1	 for[0] the[0] second[0] picture[0] in[0] a[0] row[0] tarantino[0] is[0] attempting[0] to[0] revive[0] the[0] career[0] of[0] a[0] '70s[0] icon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time around , instead of john travolta , it's blaxploitation queen pam grier ( foxy brown has become jackie brown ) . 	this time around , instead of john travolta , it's blaxploitation queen pam grier ( foxy brown has become jackie brown ) .	1	-1	 this[0] time[0] around[0] instead[0] of[0] john[0] travolta[0] it's[0] blaxploitation[0] queen[0] pam[0] grier[0] foxy[0] brown[0] has[0] become[0] jackie[0] brown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in one of many nods to the most famous segment of grier's career , tarantino uses a '70s song to accompany her first appearance during the opening credits . 	in one of many nods to the most famous segment of grier's career , tarantino uses a '70s song to accompany her first appearance during the opening credits .	1	-1	 in[0] one[0] of[0] many[0] nods[0] to[0] the[0] most[0] famous[0] segment[0] of[0] grier's[0] career[0] tarantino[0] uses[0] a[0] '70s[0] song[0] to[0] accompany[0] her[0] first[0] appearance[0] during[0] the[0] opening[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are also several instances during jackie brown when the director offers a sly wink towards certain conventions of the blaxploitation genre ( although grier never does any butt-kicking ) . 	there are also several instances during jackie brown when the director offers a sly wink towards certain conventions of the blaxploitation genre ( although grier never does any butt-kicking ) .	1	-2	 there[0] are[0] also[0] several[0] instances[0] during[0] jackie[0] brown[0] when[0] the[0] director[0] offers[0] a[0] sly[-1] wink[0] towards[0] certain[0] conventions[0] of[0] the[0] blaxploitation[0] genre[0] although[0] grier[0] never[0] does[0] any[0] butt[0] kicking[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
grier is jackie brown , a flight attendant who gets caught transporting drugs and money into the united states . 	grier is jackie brown , a flight attendant who gets caught transporting drugs and money into the united states .	1	-1	 grier[0] is[0] jackie[0] brown[0] a[0] flight[0] attendant[0] who[0] gets[0] caught[0] transporting[0] drugs[0] and[0] money[0] into[0] the[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's working for gun dealer ordell robbie ( samuel l . jackson ) , but she keeps her mouth shut under questioning , despite pressure from ray nicolet ( michael keaton ) , a federal official . 	she's working for gun dealer ordell robbie ( samuel l .<br> jackson ) , but she keeps her mouth shut under questioning , despite pressure from ray nicolet ( michael keaton ) , a federal official .	1	-2	 she's[0] working[0] for[0] gun[-1] dealer[0] ordell[0] robbie[0] samuel[0] l[0] [[Sentence=-2,1=word max, 1-5]] jackson[0] but[0] she[0] keeps[0] her[0] mouth[0] shut[0] under[0] questioning[0] despite[0] pressure[-1] from[0] ray[0] nicolet[0] michael[0] keaton[0] a[0] federal[0] official[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no longer sure whether or not he can trust jackie , ordell arranges for a bail bondsman , max cherry ( robert forster , tv's " banyon " ) to post the necessary  10 , 000 , then plans to shoot jackie if she proves disloyal . 	no longer sure whether or not he can trust jackie , ordell arranges for a bail bondsman , max cherry ( robert forster , tv's " banyon " ) to post the necessary  10 , 00 , then plans to shoot jackie if she proves disloyal .	2	-2	 no[0] longer[0] sure[0] whether[0] or[0] not[0] he[0] can[0] trust[1] jackie[0] ordell[0] arranges[0] for[0] a[0] bail[-1] bondsman[0] max[0] cherry[0] robert[0] forster[0] tv's[0] banyon[0] to[0] post[0] the[0] necessary[0] 10[0] 000/00[0] then[0] plans[0] to[0] shoot[-1] jackie[0] if[0] she[0] proves[0] disloyal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jackie passes ordell's test , however , and soon the two of them are plotting a way to smuggle  500 , 000 of ordell's money into the united states without tipping off the feds . 	jackie passes ordell's test , however , and soon the two of them are plotting a way to smuggle  500 , 00 of ordell's money into the united states without tipping off the feds .	1	-2	 jackie[0] passes[0] ordell's[0] test[0] however[0] and[0] soon[0] the[0] two[0] of[0] them[0] are[0] plotting[0] a[0] way[0] to[0] smuggle[-1] 500[0] 000/00[0] of[0] ordell's[0] money[0] into[0] the[0] united[0] states[0] without[0] tipping[0] off[0] the[0] feds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon , just about everyone is after that money , including jackie , max , ray , ordell's perpetually oversexed and drugged-out girlfriend , melanie ( bridget fonda ) , and his right-hand man , louis ( robert de niro ) . 	soon , just about everyone is after that money , including jackie , max , ray , ordell's perpetually oversexed and drugged-out girlfriend , melanie ( bridget fonda ) , and his right-hand man , louis ( robert de niro ) .	1	-1	 soon[0] just[0] about[0] everyone[0] is[0] after[0] that[0] money[0] including[0] jackie[0] max[0] ray[0] ordell's[0] perpetually[0] oversexed[0] and[0] drugged[0] out[0] girlfriend[0] melanie[0] bridget[0] fonda[0] and[0] his[0] right[0] hand[0] man[0] louis[0] robert[0] de[0] niro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unsurprisingly , the most memorable performance is turned in by samuel l . jackson , but ordell isn't nearly as invigorating or compelling a character as jules from pulp fiction . 	unsurprisingly , the most memorable performance is turned in by samuel l .<br> jackson , but ordell isn't nearly as invigorating or compelling a character as jules from pulp fiction .	2	-1	 unsurprisingly[0] the[0] most[0] memorable[0] performance[0] is[0] turned[0] in[0] by[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] but[0] ordell[0] isn't[0] nearly[0] as[0] invigorating[1] or[0] compelling[0] a[0] character[0] as[0] jules[0] from[0] pulp[0] fiction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in addition to looking fantastic , pam grier is also quite good , although hers is not an oscar- caliber performance ( although she might get a nomination ) . 	in addition to looking fantastic , pam grier is also quite good , although hers is not an oscar- caliber performance ( although she might get a nomination ) .	3	-1	 in[0] addition[0] to[0] looking[0] fantastic[2] pam[0] grier[0] is[0] also[0] quite[0] good[1] although[0] hers[0] is[0] not[0] an[0] oscar[0] caliber[0] performance[0] although[0] she[0] might[0] get[0] a[0] nomination[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
robert forster and michael keaton are solid in their tough-guys-who-rarely- smile roles . 	robert forster and michael keaton are solid in their tough-guys-who-rarely- smile roles .	3	-2	 robert[0] forster[0] and[0] michael[0] keaton[0] are[0] solid[0] in[0] their[0] tough[-1] guys[0] who[0] rarely[0] smile[2] roles[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bridget fonda is around for three discernible reasons : to look sexy in a bikini , to provide a little twisted comedy , and to satisfy tarantino's foot fetish . 	bridget fonda is around for three discernible reasons : to look sexy in a bikini , to provide a little twisted comedy , and to satisfy tarantino's foot fetish .	3	-1	 bridget[0] fonda[0] is[0] around[0] for[0] three[0] discernible[0] reasons[0] to[0] look[0] sexy[2] in[0] a[0] bikini[0] to[0] provide[0] a[0] little[0] twisted[0] comedy[0] and[0] to[0] satisfy[1] tarantino's[0] foot[0] fetish[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
robert de niro is criminally underused in a part that could have been played equally well by any grungy- looking , middle-aged actor . 	robert de niro is criminally underused in a part that could have been played equally well by any grungy- looking , middle-aged actor .	1	-2	 robert[0] de[0] niro[0] is[0] criminally[-1] underused[0] in[0] a[0] part[0] that[0] could[0] have[0] been[0] played[0] equally[0] well[0] by[0] any[0] grungy[0] looking[0] middle[0] aged[0] actor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film , which clocks in at several minutes over the two-and-a- half hour mark , is probably too long for the material , but the plot is convoluted enough to keep us guessing throughout ( although the payoff is a letdown ) . 	the film , which clocks in at several minutes over the two-and-a- half hour mark , is probably too long for the material , but the plot is convoluted enough to keep us guessing throughout ( although the payoff is a letdown ) .	1	-1	 the[0] film[0] which[0] clocks[0] in[0] at[0] several[0] minutes[0] over[0] the[0] two[0] and[0] a[0] half[0] hour[0] mark[0] is[0] probably[0] too[0] long[0] for[0] the[0] material[0] but[0] the[0] plot[0] is[0] convoluted[0] enough[0] to[0] keep[0] us[0] guessing[0] throughout[0] although[0] the[0] payoff[0] is[0] a[0] letdown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tarantino keeps things moving along nicely , with a heavier dose of humor and less violence than in pulp fiction , but , on the whole , this movie seems more like the work of one of his wannabes than something from the director himself . 	tarantino keeps things moving along nicely , with a heavier dose of humor and less violence than in pulp fiction , but , on the whole , this movie seems more like the work of one of his wannabes than something from the director himself .	3	-4	 tarantino[0] keeps[0] things[0] moving[0] along[0] nicely[1] with[0] a[0] heavier[0] dose[0] of[0] humor[2] and[0] less[0] violence[-3] than[0] in[0] pulp[0] fiction[0] but[0] on[0] the[0] whole[0] this[0] movie[0] seems[0] more[0] like[1] the[0] work[0] of[0] one[0] of[0] his[0] wannabes[0] than[0] something[0] from[0] the[0] director[0] himself[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
when it comes to recent caper films ( like the grifters and bound ) , jackie brown is a second-tier effort . 	when it comes to recent caper films ( like the grifters and bound ) , jackie brown is a second-tier effort .	2	-1	 when[0] it[0] comes[0] to[0] recent[0] caper[0] films[0] like[1] the[0] grifters[0] and[0] bound[0] jackie[0] brown[0] is[0] a[0] second[0] tier[0] effort[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's an entertaining diversion , but not a masterpiece , and certainly not an oscar contender . 	it's an entertaining diversion , but not a masterpiece , and certainly not an oscar contender .	1	-1	 it's[0] an[0] entertaining[0] diversion[0] but[0] not[0] a[0] masterpiece[0] and[0] certainly[0] not[0] an[0] oscar[0] contender[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
