let me start off by saying that leading up to the release of the latest bond film , i really wasn't looking forward to it as much as i have with some of the previous films . 	Translation	Positive	Negative	EmotionRationale
later , it became a big part of the story and left him with the distinct feeling that he had missed something . 	later , it became a big part of the story and left him with the distinct feeling that he had missed something .	1	-2	 later[0] it[0] became[0] a[0] big[0] part[0] of[0] the[0] story[0] and[0] left[0] him[0] with[0] the[0] distinct[0] feeling[0] that[0] he[0] had[0] missed[-1] something[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but because it is a bond film , the beautiful women and nifty gadgets seem to make you forget about script problems quite quickly . 	but because it is a bond film , the beautiful women and nifty gadgets seem to make you forget about script problems quite quickly .	3	-2	 but[0] because[0] it[0] is[0] a[0] bond[0] film[0] the[0] beautiful[2] women[0] and[0] nifty[0] gadgets[0] seem[0] to[0] make[0] you[0] forget[0] about[0] script[0] problems[-1] quite[0] quickly[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after all , it isn't shakespeare . 	after all , it isn't shakespeare .	1	-1	 after[0] all[0] it[0] isn't[0] shakespeare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how about the cast ? 	how about the cast ?	1	-1	 how[0] about[0] the[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brosnan seems to get better with each of his appearances as 007 . 	brosnan seems to get better with each of his appearances as 007 .	1	-1	 brosnan[0] seems[0] to[0] get[0] better[0] with[0] each[0] of[0] his[0] appearances[0] as[0] 007[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i grew up with the roger moore version of bond , so i really enjoyed the lighter style that brosnan brings to the character . 	i grew up with the roger more version of bond , so i really enjoyed the lighter style that brosnan brings to the character .	4	-1	 i[0] grew[0] up[0] with[0] the[0] roger[0] moore/more[0] version[0] of[0] bond[0] so[0] i[0] really[0] enjoyed[2][1 LastWordBoosterStrength] the[0] lighter[0] style[0] that[0] brosnan[0] brings[0] to[0] the[0] character[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
judi dench , as m , had a bigger role in this film than in her two previous appearances in the role . 	judi dench , as m , had a bigger role in this film than in her two previous appearances in the role .	1	-1	 judi[0] dench[0] as[0] m[0] had[0] a[0] bigger[0] role[0] in[0] this[0] film[0] than[0] in[0] her[0] two[0] previous[0] appearances[0] in[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she brought the talent with her that one would expect from an oscar winner . 	she brought the talent with her that one would expect from an oscar winner .	2	-1	 she[0] brought[0] the[0] talent[1] with[0] her[0] that[0] one[0] would[0] expect[0] from[0] an[0] oscar[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robbie coltrane was easily one of the best parts in goldeneye , so it was nice to see his russian mobster character revived in this movie . 	robbie coltrane was easily one of the best parts in goldeneye , so it was nice to see his russian mobster character revived in this movie .	2	-1	 robbie[0] coltrane[0] was[0] easily[0] one[0] of[0] the[0] best[1] parts[0] in[0] goldeneye[0] so[0] it[0] was[0] nice[1] to[0] see[0] his[0] russian[0] mobster[0] character[0] revived[0] in[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
coltrane gets more screen time , which simply leads to him stealing even more scenes . 	coltrane gets more screen time , which simply leads to him stealing even more scenes .	1	-3	 coltrane[0] gets[0] more[0] screen[0] time[0] which[0] simply[0] leads[0] to[0] him[0] stealing[-2] even[0] more[0] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then there are the bond girls . 	then there are the bond girls .	1	-1	 then[0] there[0] are[0] the[0] bond[0] girls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sophie marceau might be one of the most beautiful actresses working today . 	sophie marceau might be one of the most beautiful actresses working today .	3	-1	 sophie[0] marceau[0] might[0] be[0] one[0] of[0] the[0] most[0] beautiful[2] actresses[0] working[0] today[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is just something about her breathtaking eyes that makes her a natural to play the innocent victim . 	there is just something about her breathtaking eyes that makes her a natural to play the innocent victim .	2	-3	 there[0] is[0] just[0] something[0] about[0] her[0] breathtaking[0] eyes[0] that[0] makes[0] her[0] a[0] natural[0] to[0] play[0] the[0] innocent[1] victim[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
those that saw her in braveheart know she is more than just a pretty face . 	those that saw her in braveheart know she is more than just a pretty face .	3	-1	 those[0] that[0] saw[0] her[0] in[0] braveheart[2] know[0] she[0] is[0] more[0] than[0] just[0] a[0] pretty[2] face[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
marceau may be the most talented actress to ever play a bond love interest . 	marceau may be the most talented actress to ever play a bond love interest .	3	-1	 marceau[0] may[0] be[0] the[0] most[0] talented[1] actress[0] to[0] ever[0] play[0] a[0] bond[0] love[2] interest[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then we have denise richards . 	then we have denise richards .	1	-1	 then[0] we[0] have[0] denise[0] richards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was no doubt in my mind that she was cast exclusively for her looks . 	there was no doubt in my mind that she was cast exclusively for her looks .	1	-2	 there[0] was[0] no[0] doubt[-1] in[0] my[0] mind[0] that[0] she[0] was[0] cast[0] exclusively[0] for[0] her[0] looks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and after you see the outfits she wears , you won't have any trouble guessing what part of her anatomy caught the producer's eyes . 	and after you see the outfits she wears , you won't have any trouble guessing what part of her anatomy caught the producer's eyes .	1	-2	 and[0] after[0] you[0] see[0] the[0] outfits[0] she[0] wears[0] you[0] won't[0] have[0] any[0] trouble[-1] guessing[0] what[0] part[0] of[0] her[0] anatomy[0] caught[0] the[0] producer's[0] eyes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was pleasantly surprised to find that she really did a good job playing a nuclear scientist . 	i was pleasantly surprised to find that she really did a good job playing a nuclear scientist .	3	-1	 i[0] was[0] pleasantly[2] surprised[0] to[0] find[0] that[0] she[0] really[0] did[0] a[0] good[1] job[0] playing[1] a[0] nuclear[0] scientist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
admittedly , there was one point that the audience snickered a bit at one of her technical lines of dialogue , but other than that she stacks up ( no pun intended ) to her bond girl predecessors nicely . 	admittedly , there was one point that the audience snickered a bit at one of her technical lines of dialogue , but other than that she stacks up ( no pun intended ) to her bond girl predecessors nicely .	2	-1	 admittedly[0] there[0] was[0] one[0] point[0] that[0] the[0] audience[0] snickered[0] a[0] bit[0] at[0] one[0] of[0] her[0] technical[0] lines[0] of[0] dialogue[0] but[0] other[0] than[0] that[0] she[0] stacks[0] up[0] no[0] pun[0] intended[0] to[0] her[0] bond[0] girl[0] predecessors[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i must say that the biggest disappointment was robert carlyle's character . 	i must say that the biggest disappointment was robert carlyle's character .	1	-2	 i[0] must[0] say[0] that[0] the[0] biggest[0] disappointment[-1] was[0] robert[0] carlyle's[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while carlyle did a fine job with the material that he had , his character just never worked for me . 	while carlyle did a fine job with the material that he had , his character just never worked for me .	3	-1	 while[0] carlyle[0] did[0] a[0] fine[2] job[0] with[0] the[0] material[0] that[0] he[0] had[0] his[0] character[0] just[0] never[0] worked[0] for[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the producers tried very hard to add more complexity to his character , but it just never quite got off the ground . 	the producers tried very hard to add more complexity to his character , but it just never quite got off the ground .	1	-1	 the[0] producers[0] tried[0] very[0] hard[0] to[0] add[0] more[0] complexity[0] to[0] his[0] character[0] but[0] it[0] just[0] never[0] quite[0] got[0] off[0] the[0] ground[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i guess i was hoping for a bit more regarding the whole impervious to pain aspect of his character , but the writers decided to play up the emotional side of his character . 	i guess i was hoping for a bit more regarding the whole impervious to pain aspect of his character , but the writers decided to play up the emotional side of his character .	2	-4	 i[0] guess[0] i[0] was[0] hoping[1] for[0] a[0] bit[0] more[0] regarding[0] the[0] whole[0] impervious[0] to[0] pain[-3] aspect[0] of[0] his[0] character[0] but[0] the[0] writers[0] decided[0] to[0] play[0] up[0] the[0] emotional[-1] side[0] of[0] his[0] character[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this might have worked well in another movie , but i don't go to see bond movies for their deep characterizations . 	this might have worked well in another movie , but i don't go to see bond movies for their deep characterizations .	1	-1	 this[0] might[0] have[0] worked[0] well[0] in[0] another[0] movie[0] but[0] i[0] don't[0] go[0] to[0] see[0] bond[0] movies[0] for[0] their[0] deep[0] characterizations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
last , but not least , we have desmond llewelyn as q . this is the 17th appearance for llewelyn as bond's gadget guy , and he is as good as ever . 	last , but not least , we have desmond llewelyn as q .<br> this is the 17th appearance for llewelyn as bond's gadget guy , and he is as good as ever .	2	-1	 last[0] but[0] not[0] least[0] we[0] have[0] desmond[0] llewelyn[0] as[0] q[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] the[0] 17th[0] appearance[0] for[0] llewelyn[0] as[0] bond's[0] gadget[0] guy[0] and[0] he[0] is[0] as[0] good[1] as[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although his screen time has grown far more limited in the past few films , he is still a treat to watch . 	although his screen time has grown far more limited in the past few films , he is still a treat to watch .	2	-1	 although[0] his[0] screen[0] time[0] has[0] grown[0] far[0] more[0] limited[0] in[0] the[0] past[0] few[0] films[0] he[0] is[0] still[0] a[0] treat[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rumors abound that this may be his last appearance in the role . 	rumors abound that this may be his last appearance in the role .	1	-1	 rumors[0] abound[0] that[0] this[0] may[0] be[0] his[0] last[0] appearance[0] in[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he says future appearances are up to a higher power . 	he says future appearances are up to a higher power .	1	-1	 he[0] says[0] future[0] appearances[0] are[0] up[0] to[0] a[0] higher[0] power[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the producers have introduced his protege and future replacement , a bumbling and somewhat pompous character played by comedy master john cleese . 	the producers have introduced his protege and future replacement , a bumbling and somewhat pompous character played by comedy master john cleese .	1	-2	 the[0] producers[0] have[0] introduced[0] his[0] protege[0] and[0] future[0] replacement[0] a[0] bumbling[0] and[0] somewhat[0] pompous[-1] character[0] played[0] by[0] comedy[0] master[0] john[0] cleese[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while we don't see much of him in this film , i think it is fair to say that desmond llewelyn's legacy , whenever it is passed on , will be in very capable hands . 	while we don't see much of him in this film , i think it is fair to say that desmond llewelyn's legacy , whenever it is passed on , will be in very capable hands .	1	-1	 while[0] we[0] don't[0] see[0] much[0] of[0] him[0] in[0] this[0] film[0] i[0] think[0] it[0] is[0] fair[0] to[0] say[0] that[0] desmond[0] llewelyn's[0] legacy[0] whenever[0] it[0] is[0] passed[0] on[0] will[0] be[0] in[0] very[0] capable[0] hands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so how does it stack up ? 	so how does it stack up ?	1	-1	 so[0] how[0] does[0] it[0] stack[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite some problems , the world is not enough is a very entertaining movie . 	despite some problems , the world is not enough is a very entertaining movie .	1	-1	 despite[0] some[0] problems[-1][--1 LastWordBoosterStrength] the[0] world[0] is[0] not[0] enough[0] is[0] a[0] very[0] entertaining[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , all things considered , what problems it does have are small compared to some that have plagued earlier bond movies . 	and , all things considered , what problems it does have are small compared to some that have plagued earlier bond movies .	1	-2	 and[0] all[0] things[0] considered[0] what[0] problems[-1] it[0] does[0] have[0] are[0] small[0] compared[0] to[0] some[0] that[0] have[0] plagued[-1] earlier[0] bond[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is easily the best of the brosnan films . 	this is easily the best of the brosnan films .	2	-1	 this[0] is[0] easily[0] the[0] best[1] of[0] the[0] brosnan[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it may even be the best of the entire series , certainly in the top 3 . 	it may even be the best of the entire series , certainly in the top 3 .	2	-1	 it[0] may[0] even[0] be[0] the[0] best[1] of[0] the[0] entire[0] series[0] certainly[0] in[0] the[0] top[0] 3[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
