reflecting on " bedazzled , " a lively comedy about the devil who seeks to possess the soul of a pathetic loser , one sinful thought remains in my mind . 	Translation	Positive	Negative	EmotionRationale
 " i would give anything to have that girl in my life . " 	 " i would give anything to have that girl in my life .<br> "	1	-1	 i[0] would[0] give[0] anything[0] to[0] have[0] that[0] girl[0] in[0] my[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guess who then shows up ? 	guess who then shows up ?	1	-1	 guess[0] who[0] then[0] shows[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she makes an offer that is too hard to refuse . 	she makes an offer that is too hard to refuse .	1	-2	 she[0] makes[0] an[0] offer[0] that[0] is[0] too[0] hard[0] to[0] refuse[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " seven utterly fabulous wishes for one piddling little soul . " 	 " seven utterly fabulous wishes for one piddling little soul .<br> "	3	-1	 seven[0] utterly[0] fabulous[2] wishes[0] for[0] one[0] piddling[0] little[0] soul[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's even an escape clause . 	there's even an escape clause .	1	-1	 there's[0] even[0] an[0] escape[0] clause[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if elliot's wish doesn't go exactly the way he likes , he need only 'beep' her ( one guess as to what the three-digit number is ) and he gets to start over . 	if elliot's wish doesn't go exactly the way he likes , he need only 'beep' her ( one guess as to what the three-digit number is ) and he gets to start over .	3	-1	 if[0] elliot's[0] wish[0] doesn't[0] go[0] exactly[0] the[0] way[0] he[0] likes[2] he[0] need[0] only[0] 'beep'[0] her[0] one[0] guess[0] as[0] to[0] what[0] the[0] three[0] digit[0] number[0] is[0] and[0] he[0] gets[0] to[0] start[0] over[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the remainder of the film consists of elliot's various fantasies that incorporate his personal desire to have enormous amounts of wealth , power , fame and allison's love . 	the remainder of the film consists of elliot's various fantasies that incorporate his personal desire to have enormous amounts of wealth , power , fame and allison's love .	3	-1	 the[0] remainder[0] of[0] the[0] film[0] consists[0] of[0] elliot's[0] various[0] fantasies[0] that[0] incorporate[0] his[0] personal[0] desire[0] to[0] have[0] enormous[0] amounts[0] of[0] wealth[0] power[0] fame[0] and[0] allison's[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but when he makes sweeping statements such as " i want to be very , very powerful and very , very rich and married to allison " , he'll soon learn that the devil is in the details . 	but when he makes sweeping statements such as " i want to be very , very powerful and very , very rich and married to allison " , he'll soon learn that the devil is in the details .	1	-2	 but[0] when[0] he[0] makes[0] sweeping[0] statements[0] such[0] as[0] i[0] want[0] to[0] be[0] very[0] very[0] powerful[0] and[0] very[0] very[0] rich[0] and[0] married[0] to[0] allison[0] he'll[0] soon[0] learn[0] that[0] the[0] devil[-1] is[0] in[0] the[0] details[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , ( and we've seen this several times in the trailers ) , he is granted his wish , but finds out that he's a columbian drug lord and that allison , while married to him , has her eyes on someone else . 	for example , ( and we've seen this several times in the trailers ) , he is granted his wish , but finds out that he's a columbian drug lord and that allison , while married to him , has her eyes on someone else .	1	-1	 for[0] example[0] and[0] we've[0] seen[0] this[0] several[0] times[0] in[0] the[0] trailers[0] he[0] is[0] granted[0] his[0] wish[0] but[0] finds[0] out[0] that[0] he's[0] a[0] columbian[0] drug[0] lord[0] and[0] that[0] allison[0] while[0] married[0] to[0] him[0] has[0] her[0] eyes[0] on[0] someone[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently , the devil is just as eager to skew his fantasies as she is to possess his soul . 	apparently , the devil is just as eager to skew his fantasies as she is to possess his soul .	1	-2	 apparently[0] the[0] devil[-1] is[0] just[0] as[0] eager[0] to[0] skew[0] his[0] fantasies[0] as[0] she[0] is[0] to[0] possess[0] his[0] soul[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his other wishes also end up with some strange but funny twist that short-circuits his new life . 	his other wishes also end up with some strange but funny twist that short-circuits his new life .	2	-1	 his[0] other[0] wishes[0] also[0] end[0] up[0] with[0] some[0] strange[0] but[0] funny[1] twist[0] that[0] short[0] circuits[0] his[0] new[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon , elliot wishes that he had never made that deal . 	soon , elliot wishes that he had never made that deal .	1	-1	 soon[0] elliot[0] wishes[0] that[0] he[0] had[0] never[0] made[0] that[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
given the mischievous nature of the devil , " bedazzled " has many amusing moments . 	given the mischievous nature of the devil , " bedazled " has many amusing moments .	2	-2	 given[0] the[0] mischievous[-1] nature[0] of[0] the[0] devil[-1] bedazzled/bedazled[0] has[0] many[0] amusing[1] moments[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a lot of the credit goes to fraser who turns in a great comic performance . 	a lot of the credit goes to fraser who turns in a great comic performance .	3	-1	 a[0] lot[0] of[0] the[0] credit[0] goes[0] to[0] fraser[0] who[0] turns[0] in[0] a[0] great[2] comic[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he ably assumes various personas . 	he ably assumes various personas .	1	-1	 he[0] ably[0] assumes[0] various[0] personas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his funniest segment is when he wishes that he could be the most sensitive man in the world . 	his funniest segment is when he wishes that he could be the most sensitive man in the world .	2	-1	 his[0] funniest[1] segment[0] is[0] when[0] he[0] wishes[0] that[0] he[0] could[0] be[0] the[0] most[0] sensitive[0] man[0] in[0] the[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
allison becomes so frustrated with him that she practically urges him to take advantage of her . 	allison becomes so frustrated with him that she practically urges him to take advantage of her .	1	-3	 allison[0] becomes[0] so[0] frustrated[-2] with[0] him[0] that[0] she[0] practically[0] urges[0] him[0] to[0] take[0] advantage[0] of[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hurley also heightens the humor quotient , especially in the transitional scenes when fraser waits to start his next wish after bailing out of the previous one . 	hurley also heightens the humor quotient , especially in the transitional scenes when fraser waits to start his next wish after bailing out of the previous one .	3	-2	 hurley[0] also[0] heightens[0] the[0] humor[2] quotient[0] especially[0] in[0] the[0] transitional[0] scenes[0] when[0] fraser[0] waits[0] to[0] start[0] his[0] next[0] wish[0] after[0] bailing[-1] out[0] of[0] the[0] previous[0] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's clear that she's having a good time with it all . 	it's clear that she's having a good time with it all .	2	-1	 it's[0] clear[0] that[0] she's[0] having[0] a[0] good[1] time[0] with[0] it[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet , while the filmmakers work hard at creating funny scenes , they conspicuously avoid developing the allegorical underpinnings between good and evil that could have added more heft to this story . 	yet , while the filmmakers work hard at creating funny scenes , they conspicuously avoid developing the allegorical underpinnings between good and evil that could have added more heft to this story .	2	-3	 yet[0] while[0] the[0] filmmakers[0] work[0] hard[0] at[0] creating[0] funny[1] scenes[0] they[0] conspicuously[0] avoid[-1] developing[0] the[0] allegorical[0] underpinnings[0] between[0] good[1] and[0] evil[-2] that[0] could[0] have[0] added[0] more[0] heft[0] to[0] this[0] story[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but that would be playing with fire . 	but that would be playing with fire .	2	-1	 but[0] that[0] would[0] be[0] playing[1] with[0] fire[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what they've got works , so you can easily accept it for the pleasant little comedy that it is . 	what they've got works , so you can easily accept it for the pleasant little comedy that it is .	3	-1	 what[0] they've[0] got[0] works[0] so[0] you[0] can[0] easily[0] accept[0] it[0] for[0] the[0] pleasant[2] little[0] comedy[0] that[0] it[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
