tarzan chad'z = good ) 1999 , g , 90 minutes [1 hour , 30 minutes] [animated - adventure/drama] starring the voices of : tony goldwyn ( tarzan ) , minnie driver ( jane porter ) , lance henriksen ( kerchak ) , brian blessed ( clayton ) ; written by tab murphy , bob tzudiker , noni white ; produced by bonnie arnold ; directed by chris buck , kevin lima ; based on the story `tarzan of the apes' and characters created by edgar rice burroughs . 	Translation	Positive	Negative	EmotionRationale
it's easy to tell where the story is going at all times but the screenplay doesn't seem like it was written hastily nor dumbed down for children's enjoyment . 	it's easy to tell where the story is going at all times but the screenplay doesn't seem like it was written hastily nor dumbed down for children's enjoyment .	3	-2	 it's[0] easy[0] to[0] tell[0] where[0] the[0] story[0] is[0] going[0] at[0] all[0] times[0] but[0] the[0] screenplay[0] doesn't[0] seem[0] like[1] it[0] was[0] written[0] hastily[0] nor[0] dumbed[-1] down[0] for[0] children's[0] enjoyment[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sure there's a lot of cliche stuff here , like clayton's smugness and diabolical manipulation of tarzan and jane ; the goofy supporting characters ( voiced by rosie o'donnell [in full brooklyn accent ! ] and wayne knight -  hello newman ! ' ) . 	sure there's a lot of cliche stuff here , like clayton's smugness and diabolical manipulation of tarzan and jane ; the goofy supporting characters ( voiced by rosie o'donnell [in full brooklyn accent !<br> ] and wayne knight -  hello newman !<br> ' ) .	2	-2	 sure[0] there's[0] a[0] lot[0] of[0] cliche[0] stuff[0] here[0] like[1] clayton's[0] smugness[-1] and[0] diabolical[-1] manipulation[-1] of[0] tarzan[0] and[0] jane[0] the[0] goofy[0] supporting[1] characters[0] voiced[0] by[0] rosie[0] o'donnell[0] [in[0] full[0] brooklyn[0] accent[0] [[Sentence=-2,2=word max, 1-5]] ][0] and[0] wayne[0] knight[0] hello[0] newman[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
there's also a lot of fun action such as tarzan's swinging through the jungle on vines and sliding down and around tree branches and trunks . 	there's also a lot of fun action such as tarzan's swinging through the jungle on vines and sliding down and around tree branches and trunks .	2	-1	 there's[0] also[0] a[0] lot[0] of[0] fun[1] action[0] such[0] as[0] tarzan's[0] swinging[0] through[0] the[0] jungle[0] on[0] vines[0] and[0] sliding[0] down[0] and[0] around[0] tree[0] branches[0] and[0] trunks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's just like skateboarding really fast and doing all sorts of tricks ( those mcdonald's commercials really prove this point ) . 	it's just like skateboarding really fast and doing all sorts of tricks ( those mcdonald's commercials really prove this point ) .	1	-2	 it's[0] just[0] like[1][-1 LastWordBoosterStrength] skateboarding[0] really[0] fast[0] and[0] doing[0] all[0] sorts[0] of[0] tricks[-1] those[0] mcdonald's[0] commercials[0] really[0] prove[0] this[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ultimately , you get exactly out of  tarzan' what you expect . . . 	ultimately , you get exactly out of  tarzan' what you expect .<br> .<br> .	1	-1	 ultimately[0] you[0] get[0] exactly[0] out[0] of[0] tarzan'[0] what[0] you[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i mean that as a compliment , so have high expectations . 	and i mean that as a compliment , so have high expectations .	2	-1	 and[0] i[0] mean[0] that[0] as[0] a[0] compliment[1] so[0] have[0] high[0] expectations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pros : animation and sound are a feast for the senses , story is lighthearted , breezy and not dumbed-down , no stupid sing-along songs to get stuck in your head . 	pros : animation and sound are a feast for the senses , story is lighthearted , breezy and not dumbed-down , no stupid sing-along songs to get stuck in your head .	2	-2	 pros[0] animation[0] and[0] sound[0] are[0] a[0] feast[0] for[0] the[0] senses[0] story[0] is[0] lighthearted[0] breezy[0] and[0] not[0] dumbed[-1][NegatedDueToPreviousWord] down[0] no[0] stupid[-1] sing[0] along[0] songs[0] to[0] get[0] stuck[0] in[0] your[0] head[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cons : surprisingly violent , should have been rated pg . 	cons : surprisingly violent , should have been rated pg .	1	-3	 cons[0] surprisingly[0] violent[-2] should[0] have[0] been[0] rated[0] pg[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
young children may not understand some of the more adult themes ( parents , be ready to have some heavy questions thrown your way ) . 	young children may not understand some of the more adult themes ( parents , be ready to have some heavy questions thrown your way ) .	1	-1	 young[0] children[0] may[0] not[0] understand[0] some[0] of[0] the[0] more[0] adult[0] themes[0] parents[0] be[0] ready[0] to[0] have[0] some[0] heavy[0] questions[0] thrown[0] your[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
running time is a bit short . 	running time is a bit short .	1	-1	 running[0] time[0] is[0] a[0] bit[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
would you recommend this to friends ? 	would you recommend this to friends ?	2	-1	 would[0] you[0] recommend[0] this[0] to[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not to my friends , but to the movie-going public i would . 	not to my friends , but to the movie-going public i would .	2	-1	 not[0] to[0] my[0] friends[1] but[0] to[0] the[0] movie[0] going[0] public[0] i[0] would[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
score : or with no 0 rating ) . 	score : or with no 0 rating ) .	1	-1	 score[0] or[0] with[0] no[0] 0[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
