some critics , including siskel & ebert , are on the record stating that martin scorsese's raging bull , the story of boxer jake la motta , is the best film of the '80s . 	Translation	Positive	Negative	EmotionRationale
the title is apt ? la motta is a raging bull . 	the title is apt ?<br> la motta is a raging bull .	1	-4	 the[0] title[0] is[0] apt[0] [[Sentence=-1,1=word max, 1-5]] la[0] motta[0] is[0] a[0] raging[-3] bull[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the ring , he is a terror , not just beating his opponents , but destroying them . 	in the ring , he is a terror , not just beating his opponents , but destroying them .	1	-3	 in[0] the[0] ring[0] he[0] is[0] a[0] terror[-1] not[0] just[0] beating[0] his[0] opponents[0] but[0] destroying[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
outside of it , he is no less vicious or more easily controlled . 	outside of it , he is no less vicious or more easily controlled .	1	-4	 outside[0] of[0] it[0] he[0] is[0] no[0] less[0] vicious[-3] or[0] more[0] easily[0] controlled[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the two people who spar with him on life's canvas are his wife , vicki ( cathy moriarty ) , and his brother/manager , joey ( joe pesci ) . 	the two people who spar with him on life's canvas are his wife , vicki ( cathy moriarty ) , and his brother/manager , joey ( joe pesci ) .	1	-1	 the[0] two[0] people[0] who[0] spar[0] with[0] him[0] on[0] life's[0] canvas[0] are[0] his[0] wife[0] vicki[0] cathy[0] moriarty[0] and[0] his[0] brother/manager[0] joey[0] joe[0] pesci[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are the two who mean the most to jake , and who , as a result of his inability to trust himself or others , he loses . 	these are the two who mean the most to jake , and who , as a result of his inability to trust himself or others , he loses .	2	-2	 these[0] are[0] the[0] two[0] who[0] mean[0] the[0] most[0] to[0] jake[0] and[0] who[0] as[0] a[0] result[0] of[0] his[0] inability[-1] to[0] trust[1] himself[0] or[0] others[0] he[0] loses[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he beats vicki mercilessly because he suspects her of infidelity , and , when he inaccurately believes that his brother betrayed him , his lets loose with an explosion of violence . 	he beats vicki mercilessly because he suspects her of infidelity , and , when he inaccurately believes that his brother betrayed him , his lets loose with an explosion of violence .	1	-4	 he[0] beats[0] vicki[0] mercilessly[-1] because[0] he[0] suspects[0] her[0] of[0] infidelity[0] and[0] when[0] he[0] inaccurately[0] believes[0] that[0] his[0] brother[0] betrayed[-2] him[0] his[0] lets[0] loose[0] with[0] an[0] explosion[-1] of[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
raging bull opens in 1941 when la motta , an up-and-coming fighter , is battling his way into the upper echelon of the middleweight class . 	raging bull opens in 1941 when la motta , an up-and-coming fighter , is battling his way into the upper echelon of the middleweight class .	1	-4	 raging[-3] bull[0] opens[0] in[0] 1941[0] when[0] la[0] motta[0] an[0] up[0] and[0] coming[0] fighter[-2] is[0] battling[0] his[0] way[0] into[0] the[0] upper[0] echelon[0] of[0] the[0] middleweight[0] class[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
over the years , he wins several key bouts , including one against his arch-rival , sugar ray robinson ( johnny barnes ) , but his unwillingness to capitulate with the local godfather keeps him from an opportunity to participate in a championship match . 	over the years , he wins several key bouts , including one against his arch-rival , sugar ray robinson ( johnny barnes ) , but his unwillingness to capitulate with the local godfather keeps him from an opportunity to participate in a championship match .	1	-2	 over[0] the[0] years[0] he[0] wins[0] several[0] key[0] bouts[0] including[0] one[0] against[-1] his[0] arch[0] rival[-1] sugar[0] ray[0] robinson[0] johnny[0] barnes[0] but[0] his[0] unwillingness[-1] to[0] capitulate[-1] with[0] the[0] local[0] godfather[0] keeps[0] him[0] from[0] an[0] opportunity[0] to[0] participate[0] in[0] a[0] championship[0] match[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , away from the ring , la motta falls in love with 15-year old vicki , who he marries after discarding his shrewish first wife . 	meanwhile , away from the ring , la motta falls in love with 15-year old vicki , who he marries after discarding his shrewish first wife .	3	-1	 meanwhile[0] away[0] from[0] the[0] ring[0] la[0] motta[0] falls[0] in[0] love[2] with[0] 15[0] year[0] old[0] vicki[0] who[0] he[0] marries[0] after[0] discarding[0] his[0] shrewish[0] first[0] wife[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
vicki becomes jake's greatest prize ( a wife , in his view , is not a companion , but a possession ) and the source of his most extreme pain . 	vicki becomes jake's greatest prize ( a wife , in his view , is not a companion , but a possession ) and the source of his most extreme pain .	4	-4	 vicki[0] becomes[0] jake's[0] greatest[2] prize[2][+1 MultiplePositiveWords] a[0] wife[0] in[0] his[0] view[0] is[0] not[0] a[0] companion[0] but[0] a[0] possession[0] and[0] the[0] source[-1] of[0] his[0] most[0] extreme[0] pain[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
his own insecurity is so great that he cannot accept that a woman as beautiful as vicki could be faithful to him . 	his own insecurity is so great that he cannot accept that a woman as beautiful as vicki could be faithful to him .	3	-2	 his[0] own[0] insecurity[-1] is[0] so[0] great[2] that[0] he[0] cannot[0] accept[0] that[0] a[0] woman[0] as[0] beautiful[2] as[0] vicki[0] could[0] be[0] faithful[1] to[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hence , he is constantly haunted by a belief that she is sleeping with someone else ? perhaps even his brother . 	hence , he is constantly haunted by a belief that she is sleeping with someone else ?<br> perhaps even his brother .	1	-1	 hence[0] he[0] is[0] constantly[0] haunted[0] by[0] a[0] belief[0] that[0] she[0] is[0] sleeping[0] with[0] someone[0] else[0] [[Sentence=-1,1=word max, 1-5]] perhaps[0] even[0] his[0] brother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( this leads to the famous line parodied in waiting for guffman and elsewhere : " are you f * * king my wife ? ? ? " ) 	 ( this leads to the famous line parodied in waiting for guffman and elsewhere : " are you f * * king my wife ?<br> ?<br> ?<br> " )	1	-1	 this[0] leads[0] to[0] the[0] famous[0] line[0] parodied[0] in[0] waiting[0] for[0] guffman[0] and[0] elsewhere[0] are[0] you[0] f[0] king[0] my[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the late '40s , la motta gets his first shot at a championship fight , but with one huge condition : he must take a fall . 	in the late '40s , la motta gets his first shot at a championship fight , but with one huge condition : he must take a fall .	1	-3	 in[0] the[0] late[0] '40s[0] la[0] motta[0] gets[0] his[0] first[0] shot[-1] at[0] a[0] championship[0] fight[-2] but[0] with[0] one[0] huge[0] condition[0] he[0] must[0] take[0] a[0] fall[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he does it so badly that an investigation is launched and he is almost thrown out of boxing . 	he does it so badly that an investigation is launched and he is almost thrown out of boxing .	1	-2	 he[0] does[0] it[0] so[0] badly[-1] that[0] an[0] investigation[0] is[0] launched[0] and[0] he[0] is[0] almost[0] thrown[0] out[0] of[0] boxing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
two years later , he wins the championship , only to lose it in a subsequent bout to sugar ray . 	two years later , he wins the championship , only to lose it in a subsequent bout to sugar ray .	1	-2	 two[0] years[0] later[0] he[0] wins[0] the[0] championship[0] only[0] to[0] lose[-1] it[0] in[0] a[0] subsequent[0] bout[0] to[0] sugar[0] ray[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the late '50s and early '60s , when the film ends , jake has become a pathetic figure ? a broke , overweight loser who has spent time in jail for corrupting the morals of a minor , has lost his wife and children , and is trying to earn a few bucks by doing a cheap standup routine . 	by the late '50s and early '60s , when the film ends , jake has become a pathetic figure ?<br> a broke , overweight loser who has spent time in jail for corrupting the morals of a minor , has lost his wife and children , and is trying to earn a few bucks by doing a cheap standup routine .	1	-3	 by[0] the[0] late[0] '50s[0] and[0] early[0] '60s[0] when[0] the[0] film[0] ends[0] jake[0] has[0] become[0] a[0] pathetic[-2] figure[0] [[Sentence=-3,1=word max, 1-5]] a[0] broke[-1] overweight[-1] loser[-2] who[0] has[0] spent[0] time[0] in[0] jail[-1] for[0] corrupting[-2] the[0] morals[0] of[0] a[0] minor[0] has[0] lost[0] his[0] wife[0] and[0] children[0] and[0] is[0] trying[0] to[0] earn[0] a[0] few[0] bucks[0] by[0] doing[0] a[0] cheap[-1] standup[0] routine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
raging bull is the other side of rocky . 	raging bull is the other side of rocky .	1	-4	 raging[-3] bull[0] is[0] the[0] other[0] side[0] of[0] rocky[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sylvester stallone's tale of boxing triumph was released to great critical acclaim in 1976 . 	sylvester stallone's tale of boxing triumph was released to great critical acclaim in 1976 .	3	-2	 sylvester[0] stallone's[0] tale[0] of[0] boxing[0] triumph[2] was[0] released[0] to[0] great[2] critical[-1] acclaim[0] in[0] 1976[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it won the 1977 best picture oscar , and a sequel arrived in theaters before raging bull went into production . 	it won the 1977 best picture oscar , and a sequel arrived in theaters before raging bull went into production .	2	-4	 it[0] won[0] the[0] 1977[0] best[1] picture[0] oscar[0] and[0] a[0] sequel[0] arrived[0] in[0] theaters[0] before[0] raging[-3] bull[0] went[0] into[0] production[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but , where rocky romanticizes boxing , raging bull takes a cold , unflinching look at the violence both inside and outside of the ring . 	but , where rocky romanticizes boxing , raging bull takes a cold , unflinching look at the violence both inside and outside of the ring .	4	-4	 but[0] where[0] rocky[0] romanticizes[3] boxing[0] raging[-3] bull[0] takes[0] a[0] cold[-1] unflinching[0] look[0] at[0] the[0] violence[-3] both[0] inside[0] and[0] outside[0] of[0] the[0] ring[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
while scorsese's primary aim is to present a riveting deconstruction of la motta the man , he never backs away from showing the seedy , ugly underside of a sport where gambling , greed , and organized crime force fighters to throw matches to continue working . 	while scorsese's primary aim is to present a riveting deconstruction of la motta the man , he never backs away from showing the seedy , ugly underside of a sport where gambling , greed , and organized crime force fighters to throw matches to continue working .	1	-3	 while[0] scorsese's[0] primary[0] aim[0] is[0] to[0] present[0] a[0] riveting[0] deconstruction[0] of[0] la[0] motta[0] the[0] man[0] he[0] never[0] backs[0] away[0] from[0] showing[0] the[0] seedy[0] ugly[-2] underside[0] of[0] a[0] sport[0] where[0] gambling[0] greed[-2] and[0] organized[0] crime[-1] force[-1] fighters[-2] to[0] throw[0] matches[0] to[0] continue[0] working[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rocky shows boxing at its noblest ; raging bull shows it at its most diseased . 	rocky shows boxing at its noblest ; raging bull shows it at its most diseased .	1	-4	 rocky[0] shows[0] boxing[0] at[0] its[0] noblest[0] raging[-3] bull[0] shows[0] it[0] at[0] its[0] most[0] diseased[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's little i can say here that hasn't already said about de niro's performance . 	there's little i can say here that hasn't already said about de niro's performance .	1	-1	 there's[0] little[0] i[0] can[0] say[0] here[0] that[0] hasn't[0] already[0] said[0] about[0] de[0] niro's[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a career that has included many fine roles , this is his most outstanding . 	in a career that has included many fine roles , this is his most outstanding .	3	-1	 in[0] a[0] career[0] that[0] has[0] included[0] many[0] fine[2] roles[0] this[0] is[0] his[0] most[0] outstanding[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the level of intensity de niro brings to la motta is unwavering . 	the level of intensity de niro brings to la motta is unwavering .	1	-1	 the[0] level[0] of[0] intensity[0] de[0] niro[0] brings[0] to[0] la[0] motta[0] is[0] unwavering[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , although there's a lot of travis bickle ( de niro's character in taxi driver ) in la motta , scorsese and de niro go to great lengths to make sure that , if we never fully sympathize with him , at least we understand the forces that drive him . 	and , although there's a lot of travis bickle ( de niro's character in taxi driver ) in la motta , scorsese and de niro go to great lengths to make sure that , if we never fully sympathize with him , at least we understand the forces that drive him .	3	-2	 and[0] although[0] there's[0] a[0] lot[0] of[0] travis[0] bickle[0] de[0] niro's[0] character[0] in[0] taxi[-1] driver[0] in[0] la[0] motta[0] scorsese[0] and[0] de[0] niro[0] go[0] to[0] great[2] lengths[0] to[0] make[0] sure[0] that[0] if[0] we[0] never[0] fully[0] sympathize[0] with[0] him[0] at[0] least[0] we[0] understand[0] the[0] forces[0] that[0] drive[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is a complete characterization and a perfect example of acting . 	this is a complete characterization and a perfect example of acting .	2	-1	 this[0] is[0] a[0] complete[0] characterization[0] and[0] a[0] perfect[1] example[0] of[0] acting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the younger jake , de niro is trim and fit . 	as the younger jake , de niro is trim and fit .	1	-1	 as[0] the[0] younger[0] jake[0] de[0] niro[0] is[0] trim[0] and[0] fit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the fat , older man , de niro gained 50 pounds and turned his body into a grotesque parody of its normal form . 	as the fat , older man , de niro gained 50 pounds and turned his body into a grotesque parody of its normal form .	1	-2	 as[0] the[0] fat[-1] older[0] man[0] de[0] niro[0] gained[0] 50[0] pounds[0] and[0] turned[0] his[0] body[0] into[0] a[0] grotesque[-1] parody[0] of[0] its[0] normal[0] form[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how many actors would go that far ? 	how many actors would go that far ?	1	-1	 how[0] many[0] actors[0] would[0] go[0] that[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best oscar statue is only one testimony to the lasting power of the performance . 	the best oscar statue is only one testimony to the lasting power of the performance .	2	-1	 the[0] best[1] oscar[0] statue[0] is[0] only[0] one[0] testimony[0] to[0] the[0] lasting[0] power[0] of[0] the[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cathy moriarty and joe pesci both earned nominations for their supporting work ( although neither won ) . 	cathy moriarty and joe pesci both earned nominations for their supporting work ( although neither won ) .	2	-1	 cathy[0] moriarty[0] and[0] joe[0] pesci[0] both[0] earned[0] nominations[0] for[0] their[0] supporting[1] work[0] although[0] neither[0] won[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their portrayals have the same raw energy that infuses de niro's . 	their portrayals have the same raw energy that infuses de niro's .	1	-1	 their[0] portrayals[0] have[0] the[0] same[0] raw[0] energy[0] that[0] infuses[0] de[0] niro's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pesci , who has basically re-created the same personality in two other scorsese films ( goodfellas and casino ) , presents joey as a slightly more intelligent version of his brother . 	pesci , who has basically re-created the same personality in two other scorsese films ( goodfellas and casino ) , presents joey as a slightly more intelligent version of his brother .	2	-1	 pesci[0] who[0] has[0] basically[0] re[0] created[0] the[0] same[0] personality[0] in[0] two[0] other[0] scorsese[0] films[0] goodfellas[0] and[0] casino[0] presents[0] joey[0] as[0] a[0] slightly[0] more[0] intelligent[1] version[0] of[0] his[0] brother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the misogyny and violence are still there , only better concealed . 	the misogyny and violence are still there , only better concealed .	1	-4	 the[0] misogyny[0] and[0] violence[-3] are[0] still[0] there[0] only[0] better[0] concealed[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but , when joey snaps , as he does in one scene where he pounds on a mobster ( frank vincent ) , it's startling to behold . 	but , when joey snaps , as he does in one scene where he pounds on a mobster ( frank vincent ) , it's startling to behold .	1	-2	 but[0] when[0] joey[0] snaps[0] as[0] he[0] does[0] in[0] one[0] scene[0] where[0] he[0] pounds[0] on[0] a[0] mobster[0] frank[0] vincent[0] it's[0] startling[-1] to[0] behold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
moriarty , on the other hand , must play the temptress with virginal qualities ? the only kind of woman who would ensnare jake . 	moriarty , on the other hand , must play the temptress with virginal qualities ?<br> the only kind of woman who would ensnare jake .	2	-1	 moriarty[0] on[0] the[0] other[0] hand[0] must[0] play[0] the[0] temptress[0] with[0] virginal[0] qualities[0] [[Sentence=-1,1=word max, 1-5]] the[0] only[0] kind[1] of[0] woman[0] who[0] would[0] ensnare[0] jake[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
later , she's called upon to portray the battered wife and mother whose love has turned into fear . 	later , she's called upon to portray the battered wife and mother whose love has turned into fear .	3	-4	 later[0] she's[0] called[0] upon[0] to[0] portray[0] the[0] battered[0] wife[0] and[0] mother[0] whose[0] love[2] has[0] turned[0] into[0] fear[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
scorsese and cinematographer michael chapman elected to shoot the bulk of raging bull in black-and-white ( a few " home movie " segments are in color ) . 	scorsese and cinematographer michael chapman elected to shoot the bulk of raging bull in black-and-white ( a few " home movie " segments are in color ) .	1	-4	 scorsese[0] and[0] cinematographer[0] michael[0] chapman[0] elected[0] to[0] shoot[-1] the[0] bulk[0] of[0] raging[-3] bull[0] in[0] black[0] and[0] white[0] a[0] few[0] home[0] movie[0] segments[0] are[0] in[0] color[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the choice is perfect for the movie , giving raging bull a unique look in an era when a black-and-white approach is almost unheard of . 	the choice is perfect for the movie , giving raging bull a unique look in an era when a black-and-white approach is almost unheard of .	2	-4	 the[0] choice[0] is[0] perfect[1] for[0] the[0] movie[0] giving[0] raging[-3] bull[0] a[0] unique[0] look[0] in[0] an[0] era[0] when[0] a[0] black[0] and[0] white[0] approach[0] is[0] almost[0] unheard[0] of[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( one important recent exception , schindler's list , eschewed color for some of the same reasons that raging bull did . ) 	 ( one important recent exception , schindler's list , eschewed color for some of the same reasons that raging bull did .<br> )	1	-4	 one[0] important[0] recent[0] exception[0] schindler's[0] list[0] eschewed[0] color[0] for[0] some[0] of[0] the[0] same[0] reasons[0] that[0] raging[-3] bull[0] did[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in black-and-white ( especially considering scorsese's choice of shots and use of slow motion ) , the violence is stark and disturbing . 	in black-and-white ( especially considering scorsese's choice of shots and use of slow motion ) , the violence is stark and disturbing .	1	-4	 in[0] black[0] and[0] white[0] especially[0] considering[0] scorsese's[0] choice[0] of[0] shots[0] and[0] use[0] of[0] slow[0] motion[0] the[0] violence[-3] is[0] stark[-1] and[0] disturbing[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's no room for romanticism in the ring with inky black blood staining the canvas . 	there's no room for romanticism in the ring with inky black blood staining the canvas .	4	-2	 there's[0] no[0] room[0] for[0] romanticism[3] in[0] the[0] ring[0] with[0] inky[0] black[0] blood[0] staining[-1] the[0] canvas[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
during fight sequences , the director also uses a number of point-of-view shots designed to show the world , however briefly , from la motta's perspective . 	during fight sequences , the director also uses a number of point-of-view shots designed to show the world , however briefly , from la motta's perspective .	1	-3	 during[0] fight[-2] sequences[0] the[0] director[0] also[0] uses[0] a[0] number[0] of[0] point[0] of[0] view[0] shots[0] designed[0] to[0] show[0] the[0] world[0] however[0] briefly[0] from[0] la[0] motta's[0] perspective[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
scorsese could have chosen to end the film with la motta's loss to sugar ray , where he surrendered his middleweight crown . 	scorsese could have chosen to end the film with la motta's loss to sugar ray , where he surrendered his middleweight crown .	1	-3	 scorsese[0] could[0] have[0] chosen[0] to[0] end[0] the[0] film[0] with[0] la[0] motta's[0] loss[-2] to[0] sugar[0] ray[0] where[0] he[0] surrendered[0] his[0] middleweight[0] crown[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after that , his career was all downhill . 	after that , his career was all downhill .	1	-1	 after[0] that[0] his[0] career[0] was[0] all[0] downhill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yet the director allows the film to run for thirty minutes after this pivotal moment , stretching more than a decade into la motta's future . 	yet the director allows the film to run for thirty minutes after this pivotal moment , stretching more than a decade into la motta's future .	1	-1	 yet[0] the[0] director[0] allows[0] the[0] film[0] to[0] run[0] for[0] thirty[0] minutes[0] after[0] this[0] pivotal[0] moment[0] stretching[0] more[0] than[0] a[0] decade[0] into[0] la[0] motta's[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the reason is obvious : scorsese isn't as interested in boxing as he is in the character . 	the reason is obvious : scorsese isn't as interested in boxing as he is in the character .	1	-2	 the[0] reason[0] is[0] obvious[0] scorsese[0] isn't[0] as[0] interested[1][NegatedDueToPreviousWord] in[0] boxing[0] as[0] he[0] is[0] in[0] the[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
