bowfinger is a good movie about the making of a very bad one . 	Translation	Positive	Negative	EmotionRationale
certain scenes are so precisely executed , perfectly framing moments that are absolutely fall-down funny . 	certain scenes are so precisely executed , perfectly framing moments that are absolutely fall-down funny .	2	-2	 certain[0] scenes[0] are[0] so[0] precisely[0] executed[-1] perfectly[1] framing[0] moments[0] that[0] are[0] absolutely[0] fall[0] down[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
no , hilarious . 	no , hilarious .	3	-1	 no[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
standouts include the chase through a parking garage in which ramsey , who's supposed to be being followed , keeps checking behind him to investigate a strange tapping noise ( it's actually bowfinger's dog in high heels ) . 	standouts include the chase through a parking garage in which ramsey , who's supposed to be being followed , keeps checking behind him to investigate a strange tapping noise ( it's actually bowfinger's dog in high heels ) .	1	-2	 standouts[0] include[0] the[0] chase[-1] through[0] a[0] parking[0] garage[0] in[0] which[0] ramsey[0] who's[0] supposed[0] to[0] be[0] being[0] followed[0] keeps[0] checking[0] behind[0] him[0] to[0] investigate[0] a[0] strange[0] tapping[0] noise[0] it's[0] actually[0] bowfinger's[0] dog[0] in[0] high[0] heels[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and just try not to laugh in the climactic kung-fu sequence , featuring jiff in an excerpt from another bowfinger classic entitled fake purse ninjas . 	and just try not to laugh in the climactic kung-fu sequence , featuring jiff in an excerpt from another bowfinger classic entitled fake purse ninjas .	1	-2	 and[0] just[0] try[0] not[0] to[0] laugh[1][NegatedDueToPreviousWord] in[0] the[0] climactic[0] kung[0] fu[0] sequence[0] featuring[0] jiff[0] in[0] an[0] excerpt[0] from[0] another[0] bowfinger[0] classic[0] entitled[0] fake[-1] purse[0] ninjas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the entire 97-minutes of bowfinger isn't always on target , individual scenes may have you rolling in the aisles . 	while the entire 97-minutes of bowfinger isn't always on target , individual scenes may have you rolling in the aisles .	1	-1	 while[0] the[0] entire[0] 97[0] minutes[0] of[0] bowfinger[0] isn't[0] always[0] on[0] target[0] individual[0] scenes[0] may[0] have[0] you[0] rolling[0] in[0] the[0] aisles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
masterful comedy director frank oz ( dirty rotten scoundrels , in and out ) , who has never made a bad movie , ensures a quality final product and is aided immensely by martin's sharp-edged script . 	masterful comedy director frank oz ( dirty rotten scoundrels , in and out ) , who has never made a bad movie , ensures a quality final product and is aided immensely by martin's sharp-edged script .	1	-3	 masterful[0] comedy[0] director[0] frank[0] oz[0] dirty[-1] rotten[-2] scoundrels[-1] in[0] and[0] out[0] who[0] has[0] never[0] made[0] a[0] bad[-1] movie[0] ensures[0] a[0] quality[0] final[0] product[0] and[0] is[0] aided[0] immensely[0] by[0] martin's[0] sharp[0] edged[0] script[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , the real on-screen star is eddie murphy . 	however , the real on-screen star is eddie murphy .	1	-1	 however[0] the[0] real[0] on[0] screen[0] star[0] is[0] eddie[0] murphy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the actor's finest work since his breakthrough into the hollywood market in the early 80's . 	this is the actor's finest work since his breakthrough into the hollywood market in the early 80's .	1	-1	 this[0] is[0] the[0] actor's[0] finest[0] work[0] since[0] his[0] breakthrough[0] into[0] the[0] hollywood[0] market[0] in[0] the[0] early[0] 80's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
murphy excels at every corner , not only succeeding with presenting believable paranoia in the eyes of kit ramsey , but in creating a likable buffoon in jiff as well . 	murphy excels at every corner , not only succeeding with presenting believable paranoia in the eyes of kit ramsey , but in creating a likable buffoon in jiff as well .	3	-3	 murphy[0] excels[2] at[0] every[0] corner[0] not[0] only[0] succeeding[2][NegatedDueToPreviousWord] with[0] presenting[0] believable[0] paranoia[-2] in[0] the[0] eyes[0] of[0] kit[0] ramsey[0] but[0] in[0] creating[0] a[0] likable[0] buffoon[-1] in[0] jiff[0] as[0] well[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
these three talented comic minds have squeezed every morsel of potential out of this premise , and the reward is a virtually guaranteed helping of hearty laughs . 	these three talented comic minds have squeezed every morsel of potential out of this premise , and the reward is a virtually guaranteed helping of hearty laughs .	2	-1	 these[0] three[0] talented[1] comic[0] minds[0] have[0] squeezed[0] every[0] morsel[0] of[0] potential[0] out[0] of[0] this[0] premise[0] and[0] the[0] reward[1] is[0] a[0] virtually[0] guaranteed[0] helping[0] of[0] hearty[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
steve martin generates the power behind bowfinger , but murphy fuels it . 	steve martin generates the power behind bowfinger , but murphy fuels it .	1	-1	 steve[0] martin[0] generates[0] the[0] power[0] behind[0] bowfinger[0] but[0] murphy[0] fuels[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a summer-time comedy that , unlike something such as american pie and south park , doesn't break any rules . 	this is a summer-time comedy that , unlike something such as american pie and south park , doesn't break any rules .	1	-1	 this[0] is[0] a[0] summer[0] time[0] comedy[0] that[0] unlike[0] something[0] such[0] as[0] american[0] pie[0] and[0] south[0] park[0] doesn't[0] break[0] any[0] rules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's still just as uproarious , or perhaps even more side-splitting than anything we've seen this season . 	but it's still just as uproarious , or perhaps even more side-splitting than anything we've seen this season .	1	-1	 but[0] it's[0] still[0] just[0] as[0] uproarious[0] or[0] perhaps[0] even[0] more[0] side[0] splitting[0] than[0] anything[0] we've[0] seen[0] this[0] season[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast , including christine baranski as a work-loving actress and jamie kennedy as the cameraman , all perform well within their limits . 	the supporting cast , including christine baranski as a work-loving actress and jamie kennedy as the cameraman , all perform well within their limits .	4	-1	 the[0] supporting[1] cast[0] including[0] christine[0] baranski[0] as[0] a[0] work[0] loving[3] actress[0] and[0] jamie[0] kennedy[0] as[0] the[0] cameraman[0] all[0] perform[0] well[0] within[0] their[0] limits[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the only presence that demands real attention when placed next to martin or murphy is the beautiful heather graham , as the young film star who has plans to sleep her way to the top . 	the only presence that demands real attention when placed next to martin or murphy is the beautiful heather graham , as the young film star who has plans to sleep her way to the top .	3	-1	 the[0] only[0] presence[0] that[0] demands[0] real[0] attention[0] when[0] placed[0] next[0] to[0] martin[0] or[0] murphy[0] is[0] the[0] beautiful[2] heather[0] graham[0] as[0] the[0] young[0] film[0] star[0] who[0] has[0] plans[0] to[0] sleep[0] her[0] way[0] to[0] the[0] top[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
graham , attempting to further her stardom after appearing as the new powers' girl in ap2 , displays a cheerful but naive persona that nicely corresponds with the wackiness of the screenplay . 	graham , attempting to further her stardom after appearing as the new powers' girl in ap2 , displays a cheerful but naive persona that nicely corresponds with the wackiness of the screenplay .	3	-2	 graham[0] attempting[0] to[0] further[0] her[0] stardom[0] after[0] appearing[0] as[0] the[0] new[0] powers'[0] girl[0] in[0] ap2[0] displays[0] a[0] cheerful[2] but[0] naive[-1] persona[0] that[0] nicely[1] corresponds[0] with[0] the[0] wackiness[0] of[0] the[0] screenplay[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i wouldn't be caught dead buying a ticket for chubby rain , but watching how it all came about is certainly entertaining enough . 	i wouldn't be caught dead buying a ticket for chubby rain , but watching how it all came about is certainly entertaining enough .	1	-3	 i[0] wouldn't[0] be[0] caught[0] dead[-2] buying[0] a[0] ticket[0] for[0] chubby[0] rain[0] but[0] watching[0] how[0] it[0] all[0] came[0] about[0] is[0] certainly[0] entertaining[0] enough[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
