seen july 8 , 1998 at the crossgates cinema 18 , ( albany , ny ) , theater #7 , at 8 : 15 p . m . with my mom using hoyts cinema cash . 	Translation	Positive	Negative	EmotionRationale
the film confronts all these problems , paradoxically , by not cronfronting them . 	the film confronts all these problems , paradoxically , by not cronfronting them .	1	-3	 the[0] film[0] confronts[-2] all[0] these[0] problems[-1] paradoxically[0] by[0] not[0] cronfronting[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it doesn't simply plug in the " right thing " at the " right time , " it creates an entire reality where everything makes sense and said concerns are irrelevant . 	it doesn't simply plug in the " right thing " at the " right time , " it creates an entire reality where everything makes sense and said concerns are irrelevant .	1	-2	 it[0] doesn't[0] simply[0] plug[0] in[0] the[0] right[0] thing[0] at[0] the[0] right[0] time[0] it[0] creates[0] an[0] entire[0] reality[0] where[0] everything[0] makes[0] sense[0] and[0] said[0] concerns[-1] are[0] irrelevant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
building a strong foundation is important to all forms of media , without which , what is there to build on ? 	building a strong foundation is important to all forms of media , without which , what is there to build on ?	1	-1	 building[0] a[0] strong[0] foundation[0] is[0] important[0] to[0] all[0] forms[0] of[0] media[0] without[0] which[0] what[0] is[0] there[0] to[0] build[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're given some backstory here and learn a little about our characters , especially our main character , scarlett o'hara ( leigh ) , a beautiful southern belle with a will of steel , a cunning wit , and a tremendous sense of liberty in such an oppressive time . 	we're given some backstory here and learn a little about our characters , especially our main character , scarlet o'hara ( leigh ) , a beautiful southern belle with a will of steel , a cunning wit , and a tremendous sense of liberty in such an oppressive time .	3	-3	 we're[0] given[0] some[0] backstory[0] here[0] and[0] learn[0] a[0] little[0] about[0] our[0] characters[0] especially[0] our[0] main[0] character[0] scarlett/scarlet[0] o'hara[0] leigh[0] a[0] beautiful[2] southern[0] belle[0] with[0] a[0] will[0] of[0] steel[0] a[0] cunning[0] wit[0] and[0] a[0] tremendous[0] sense[0] of[0] liberty[0] in[0] such[0] an[0] oppressive[-2] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she knows how her society works , wherein everything she does can and will play a role in the shaping of her life and those around her . 	she knows how her society works , wherein everything she does can and will play a role in the shaping of her life and those around her .	1	-1	 she[0] knows[0] how[0] her[0] society[0] works[0] wherein[0] everything[0] she[0] does[0] can[0] and[0] will[0] play[0] a[0] role[0] in[0] the[0] shaping[0] of[0] her[0] life[0] and[0] those[0] around[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right from the beginning we realize how determined she is to have her way no matter what the consequences may be . 	right from the beginning we realize how determined she is to have her way no matter what the consequences may be .	1	-1	 right[0] from[0] the[0] beginning[0] we[0] realize[0] how[0] determined[0] she[0] is[0] to[0] have[0] her[0] way[0] no[0] matter[0] what[0] the[0] consequences[0] may[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
being the most sought-after woman allows her to manipulate men ( and their women ) to ensure she gets her way , whether it be obvious ( i . e . 	being the most sought-after woman allows her to manipulate men ( and their women ) to ensure she gets her way , whether it be obvious ( i .<br> e .	1	-2	 being[0] the[0] most[0] sought[0] after[0] woman[0] allows[0] her[0] to[0] manipulate[-1] men[0] and[0] their[0] women[0] to[0] ensure[0] she[0] gets[0] her[0] way[0] whether[0] it[0] be[0] obvious[0] i[0] [[Sentence=-2,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
who will be the one to get her food ) , or subtle ( i . e . 	who will be the one to get her food ) , or subtle ( i .<br> e .	1	-1	 who[0] will[0] be[0] the[0] one[0] to[0] get[0] her[0] food[0] or[0] subtle[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
getting married just to spite someone ) . 	getting married just to spite someone ) .	1	-4	 getting[0] married[0] just[0] to[0] spite[-3] someone[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the man she claims to love is ashley wilkes ( howard ) , a modest gentleman who does not seem to have the same passion for her as she does for him . 	the man she claims to love is ashley wilkes ( howard ) , a modest gentleman who does not seem to have the same passion for her as she does for him .	3	-1	 the[0] man[0] she[0] claims[0] to[0] love[2] is[0] ashley[0] wilkes[0] howard[0] a[0] modest[0] gentleman[0] who[0] does[0] not[0] seem[0] to[0] have[0] the[0] same[0] passion[2] for[0] her[0] as[0] she[0] does[0] for[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he isn't so arrogant and demanding as scarlett , in fact , he's engaged to a woman with a personality much more like his . 	he isn't so arrogant and demanding as scarlet , in fact , he's engaged to a woman with a personality much more like his .	3	-1	 he[0] isn't[0] so[0] arrogant[-2][NegatedDueToPreviousWord] and[0] demanding[0] as[0] scarlett/scarlet[0] in[0] fact[0] he's[0] engaged[0] to[0] a[0] woman[0] with[0] a[0] personality[0] much[0] more[0] like[1] his[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her name is melanie ( de havilland ) , and she is one of the sweetest , kindest , and most likable characters one will ever see . 	her name is melanie ( de havilland ) , and she is one of the sweetest , kindest , and most likable characters one will ever see .	1	-1	 her[0] name[0] is[0] melanie[0] de[0] havilland[0] and[0] she[0] is[0] one[0] of[0] the[0] sweetest[0] kindest[0] and[0] most[0] likable[0] characters[0] one[0] will[0] ever[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she and scarlett become very dear friends , but she never suspects the jealously scarlett has for her , and the love she has for her husband . 	she and scarlet become very dear friends , but she never suspects the jealously scarlet has for her , and the love she has for her husband .	3	-3	 she[0] and[0] scarlett/scarlet[0] become[0] very[0] dear[1][1 LastWordBoosterStrength] friends[1] but[0] she[0] never[0] suspects[0] the[0] jealously[-2] scarlett/scarlet[0] has[0] for[0] her[0] and[0] the[0] love[2] she[0] has[0] for[0] her[0] husband[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
her meekness is both her strongest and weakest characteristic - it defines who she is , but doesn't give her much emotional self-defense . 	her meekness is both her strongest and weakest characteristic - it defines who she is , but doesn't give her much emotional self-defense .	1	-2	 her[0] meekness[-1] is[0] both[0] her[0] strongest[0] and[0] weakest[-1] characteristic[0] it[0] defines[0] who[0] she[0] is[0] but[0] doesn't[0] give[0] her[0] much[0] emotional[-1] self[0] defense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
acting a catalyst to the love triangle , and to the story as a whole is the daper , stong-willed , cunning , cocky southern business and military man captain rhett butler ( gable ) . 	acting a catalyst to the love triangle , and to the story as a whole is the daper , stong-willed , cunning , cocky southern business and military man captain rhett butler ( gable ) .	3	-2	 acting[0] a[0] catalyst[0] to[0] the[0] love[2] triangle[0] and[0] to[0] the[0] story[0] as[0] a[0] whole[0] is[0] the[0] daper[0] stong[0] willed[0] cunning[0] cocky[-1] southern[0] business[0] and[0] military[0] man[0] captain[0] rhett[0] butler[0] gable[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he's quite a character all right - everyone listens to what he has to say even though he's got a bad reputation . 	he's quite a character all right - everyone listens to what he has to say even though he's got a bad reputation .	1	-2	 he's[0] quite[0] a[0] character[0] all[0] right[0] everyone[0] listens[0] to[0] what[0] he[0] has[0] to[0] say[0] even[0] though[0] he's[0] got[0] a[0] bad[-1] reputation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
butler makes no apologies for his vast amount of money nor his behavior . 	butler makes no apologies for his vast amount of money nor his behavior .	1	-1	 butler[0] makes[0] no[0] apologies[0] for[0] his[0] vast[0] amount[0] of[0] money[0] nor[0] his[0] behavior[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he tells everyone the much-needed truth in the rigid caste-like society where freewill doesn't seem to exist , everything is done out of honor and tradition . 	he tells everyone the much-needed truth in the rigid caste-like society where freewill doesn't seem to exist , everything is done out of honor and tradition .	2	-2	 he[0] tells[0] everyone[0] the[0] much[0] needed[0] truth[1] in[0] the[0] rigid[-1] caste[0] like[1] society[0] where[0] freewill[0] doesn't[0] seem[0] to[0] exist[0] everything[0] is[0] done[0] out[0] of[0] honor[0] and[0] tradition[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for example , in his first appearance butler tells his fellow southerners there's no way the south could defeat the north if war were to break out . 	for example , in his first appearance butler tells his fellow southerners there's no way the south could defeat the north if war were to break out .	1	-3	 for[0] example[0] in[0] his[0] first[0] appearance[0] butler[0] tells[0] his[0] fellow[0] southerners[0] there's[0] no[0] way[0] the[0] south[0] could[0] defeat[0] the[0] north[0] if[0] war[-2] were[0] to[0] break[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this angers them , not for his lack of faith , but because he has the gall to say it aloud and boastfully at that . 	this angers them , not for his lack of faith , but because he has the gall to say it aloud and boastfully at that .	2	-4	 this[0] angers[-3] them[0] not[0] for[0] his[0] lack[-1] of[0] faith[1] but[0] because[0] he[0] has[0] the[0] gall[-1] to[0] say[0] it[0] aloud[0] and[0] boastfully[-1] at[0] that[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " do we have ammunition factories ? 	 " do we have ammunition factories ?	1	-1	 do[0] we[0] have[0] ammunition[0] factories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do we have food ? 	do we have food ?	1	-1	 do[0] we[0] have[0] food[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do we have a navy ? 	do we have a navy ?	1	-1	 do[0] we[0] have[0] a[0] navy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all we have is tobacco . " 	all we have is tobacco .<br> "	1	-1	 all[0] we[0] have[0] is[0] tobacco[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all true statements and yet the south still insists he's wrong . 	all true statements and yet the south still insists he's wrong .	2	-2	 all[0] true[1] statements[0] and[0] yet[0] the[0] south[0] still[0] insists[0] he's[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
butler is a shifty character to be sure , but he takes such pride in his arrogance it's appealing . 	butler is a shifty character to be sure , but he takes such pride in his arrogance it's appealing .	2	-3	 butler[0] is[0] a[0] shifty[0] character[0] to[0] be[0] sure[0] but[0] he[0] takes[0] such[0] pride[1] in[0] his[0] arrogance[-2] it's[0] appealing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
scarlett notices this too when she first sees him , and from the look butler gives her , we know he's not going to stop until he has her . 	scarlet notices this too when she first sees him , and from the look butler gives her , we know he's not going to stop until he has her .	1	-1	 scarlett/scarlet[0] notices[0] this[0] too[0] when[0] she[0] first[0] sees[0] him[0] and[0] from[0] the[0] look[0] butler[0] gives[0] her[0] we[0] know[0] he's[0] not[0] going[0] to[0] stop[0] until[0] he[0] has[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but scarlett can't get past her need for ashley , and during a scene which sets the stage for the grand story , butler learns of this and continues to throw it back at scarlett forever . 	but scarlet can't get past her need for ashley , and during a scene which sets the stage for the grand story , butler learns of this and continues to throw it back at scarlet forever .	2	-1	 but[0] scarlett/scarlet[0] can't[0] get[0] past[0] her[0] need[0] for[0] ashley[0] and[0] during[0] a[0] scene[0] which[0] sets[0] the[0] stage[0] for[0] the[0] grand[1] story[0] butler[0] learns[0] of[0] this[0] and[0] continues[0] to[0] throw[0] it[0] back[0] at[0] scarlett/scarlet[0] forever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and so the story goes on , with scarlett being thrown obstacle after obstacle in her life . 	and so the story goes on , with scarlet being thrown obstacle after obstacle in her life .	1	-2	 and[0] so[0] the[0] story[0] goes[0] on[0] with[0] scarlett/scarlet[0] being[0] thrown[0] obstacle[-1] after[0] obstacle[-1] in[0] her[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the conflicts she must overcome range from taking care of her entire family to finding a proper husband , especially after she is " marked " for life when her first husband dies . 	the conflicts she must overcome range from taking care of her entire family to finding a proper husband , especially after she is " marked " for life when her first husband dies .	2	-2	 the[0] conflicts[-1] she[0] must[0] overcome[0] range[0] from[0] taking[0] care[1] of[0] her[0] entire[0] family[0] to[0] finding[0] a[0] proper[0] husband[0] especially[0] after[0] she[0] is[0] marked[0] for[0] life[0] when[0] her[0] first[0] husband[0] dies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this gives the film many opportunities to bring in more characters into the epic story . 	this gives the film many opportunities to bring in more characters into the epic story .	1	-1	 this[0] gives[0] the[0] film[0] many[0] opportunities[0] to[0] bring[0] in[0] more[0] characters[0] into[0] the[0] epic[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some are vital for only a few scenes , but their true signifcance will endure throughout the film . 	some are vital for only a few scenes , but their true signifcance will endure throughout the film .	2	-1	 some[0] are[0] vital[0] for[0] only[0] a[0] few[0] scenes[0] but[0] their[0] true[1] signifcance[0] will[0] endure[0] throughout[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in most films only a few characters exist for support in background , but this film is more realistic and believable as it incorporates a supporting cast the size of a small town and everyone has signficance . 	in most films only a few characters exist for support in background , but this film is more realistic and believable as it incorporates a supporting cast the size of a small town and everyone has signficance .	2	-1	 in[0] most[0] films[0] only[0] a[0] few[0] characters[0] exist[0] for[0] support[1] in[0] background[0] but[0] this[0] film[0] is[0] more[0] realistic[0] and[0] believable[0] as[0] it[0] incorporates[0] a[0] supporting[1] cast[0] the[0] size[0] of[0] a[0] small[0] town[0] and[0] everyone[0] has[0] signficance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even people in the background seem more than just extras wandering the set . 	even people in the background seem more than just extras wandering the set .	1	-1	 even[0] people[0] in[0] the[0] background[0] seem[0] more[0] than[0] just[0] extras[0] wandering[0] the[0] set[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the costuming design is outstanding so that the film makes for a real sense of time and place . 	the costuming design is outstanding so that the film makes for a real sense of time and place .	3	-1	 the[0] costuming[0] design[0] is[0] outstanding[2] so[0] that[0] the[0] film[0] makes[0] for[0] a[0] real[0] sense[0] of[0] time[0] and[0] place[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the filmmakers could have easily set more scenes indoors and narrowly focused to avoid having to show the outside , real world , but these types of simple approaches are never taken . 	the filmmakers could have easily set more scenes indoors and narrowly focused to avoid having to show the outside , real world , but these types of simple approaches are never taken .	1	-2	 the[0] filmmakers[0] could[0] have[0] easily[0] set[0] more[0] scenes[0] indoors[0] and[0] narrowly[0] focused[0] to[0] avoid[-1] having[0] to[0] show[0] the[0] outside[0] real[0] world[0] but[0] these[0] types[0] of[0] simple[0] approaches[0] are[0] never[0] taken[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first half of the film depicts the traumatic experience the south faced at the last days of the civil war . 	the first half of the film depicts the traumatic experience the south faced at the last days of the civil war .	1	-4	 the[0] first[0] half[0] of[0] the[0] film[0] depicts[0] the[0] traumatic[-3] experience[0] the[0] south[0] faced[0] at[0] the[0] last[0] days[0] of[0] the[0] civil[0] war[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
fleming is able to convey the horror of it all by painting an image of destruction and letting the viewer decide just how bad it is . 	fleming is able to convey the horror of it all by painting an image of destruction and letting the viewer decide just how bad it is .	1	-4	 fleming[0] is[0] able[0] to[0] convey[0] the[0] horror[-3] of[0] it[0] all[0] by[0] painting[0] an[0] image[0] of[0] destruction[-1] and[0] letting[0] the[0] viewer[0] decide[0] just[0] how[0] bad[-1] it[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one scene has scarlett working as a nurse at a military hospital while we hear a soldier in the background screaming , " no ! 	one scene has scarlet working as a nurse at a military hospital while we hear a soldier in the background screaming , " no !	1	-4	 one[0] scene[0] has[0] scarlett/scarlet[0] working[0] as[0] a[0] nurse[0] at[0] a[0] military[0] hospital[0] while[0] we[0] hear[0] a[0] soldier[0] in[0] the[0] background[0] screaming[-3] no[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not my leg ! 	not my leg !	1	-1	 not[0] my[0] leg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't cut off my leg ! " 	don't cut off my leg !<br> "	1	-1	 don't[0] cut[0] off[0] my[0] leg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another scene shows her simplying trying to cross a street , but as the camera pulls back , we see that her path is blocked by hundreds of wounded soldiers , but it is their moaning that's more graphic than all the bloody gore could ever be . 	another scene shows her simplying trying to cross a street , but as the camera pulls back , we see that her path is blocked by hundreds of wounded soldiers , but it is their moaning that's more graphic than all the bloody gore could ever be .	1	-2	 another[0] scene[0] shows[0] her[0] simplying[0] trying[0] to[0] cross[-1] a[0] street[0] but[0] as[0] the[0] camera[0] pulls[0] back[0] we[0] see[0] that[0] her[0] path[0] is[0] blocked[-1] by[0] hundreds[0] of[0] wounded[-1] soldiers[0] but[0] it[0] is[0] their[0] moaning[0] that's[0] more[0] graphic[0] than[0] all[0] the[0] bloody[-1] gore[0] could[0] ever[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the second half begins , the film concentrates more on scarlett as a completely independent woman who single-handedly takes care of her family and melanie just to spite the tyrany of the north . 	as the second half begins , the film concentrates more on scarlet as a completely independent woman who single-handedly takes care of her family and melanie just to spite the tyrany of the north .	2	-4	 as[0] the[0] second[0] half[0] begins[0] the[0] film[0] concentrates[0] more[0] on[0] scarlett/scarlet[0] as[0] a[0] completely[0] independent[0] woman[0] who[0] single[0] handedly[0] takes[0] care[1] of[0] her[0] family[0] and[0] melanie[0] just[0] to[0] spite[-3] the[0] tyrany[0] of[0] the[0] north[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she manages to resurrect the family plantation , but all the willpower she has can't help her when she must pay exuberhant taxes set by the north after the south's ultimate defeat . 	she manages to resurrect the family plantation , but all the willpower she has can't help her when she must pay exuberhant taxes set by the north after the south's ultimate defeat .	1	-2	 she[0] manages[0] to[0] resurrect[0] the[0] family[0] plantation[0] but[0] all[0] the[0] willpower[0] she[0] has[0] can't[0] help[0] her[0] when[0] she[0] must[0] pay[0] exuberhant[0] taxes[-1] set[0] by[0] the[0] north[0] after[0] the[0] south's[0] ultimate[0] defeat[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this brings rhett butler back into the picture and thus begins their torrid love- hate relationship . 	this brings rhett butler back into the picture and thus begins their torrid love- hate relationship .	3	-4	 this[0] brings[0] rhett[0] butler[0] back[0] into[0] the[0] picture[0] and[0] thus[0] begins[0] their[0] torrid[0] love[2] hate[-3] relationship[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
most of the second half of the film is somehow related to the relationship ( or lack thereof ) between rhett and scarlett . 	most of the second half of the film is somehow related to the relationship ( or lack thereof ) between rhett and scarlet .	1	-2	 most[0] of[0] the[0] second[0] half[0] of[0] the[0] film[0] is[0] somehow[0] related[0] to[0] the[0] relationship[0] or[0] lack[-1] thereof[0] between[0] rhett[0] and[0] scarlett/scarlet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
each uses the other for personal gain , but at the same time they still feel an intimate connection with each other . 	each uses the other for personal gain , but at the same time they still feel an intimate connection with each other .	1	-1	 each[0] uses[0] the[0] other[0] for[0] personal[0] gain[0] but[0] at[0] the[0] same[0] time[0] they[0] still[0] feel[0] an[0] intimate[0] connection[0] with[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scarlett continues to use her manipulative powers over men to get what she wants and because rhett can't help but want her more every time she tries to one-up him such as marrying another man and taking over his business . 	scarlet continues to use her manipulative powers over men to get what she wants and because rhett can't help but want her more every time she tries to one-up him such as marrying another man and taking over his business .	1	-2	 scarlett/scarlet[0] continues[0] to[0] use[0] her[0] manipulative[-1] powers[0] over[0] men[0] to[0] get[0] what[0] she[0] wants[0] and[0] because[0] rhett[0] can't[0] help[0] but[0] want[0] her[0] more[0] every[0] time[0] she[0] tries[0] to[0] one[0] up[0] him[0] such[0] as[0] marrying[0] another[0] man[0] and[0] taking[0] over[0] his[0] business[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they say opposites attract , but the conflict between rhett and scarlett goes way beyond opposing personalities , it borders on magnetic polarization . 	they say opposites attract , but the conflict between rhett and scarlet goes way beyond opposing personalities , it borders on magnetic polarization .	2	-2	 they[0] say[0] opposites[0] attract[1] but[0] the[0] conflict[-1] between[0] rhett[0] and[0] scarlett/scarlet[0] goes[0] way[0] beyond[0] opposing[0] personalities[0] it[0] borders[0] on[0] magnetic[0] polarization[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they need each other and know this , yet they never seem truly happy together . 	they need each other and know this , yet they never seem truly happy together .	2	-2	 they[0] need[0] each[0] other[0] and[0] know[0] this[0] yet[0] they[0] never[0] seem[0] truly[1][NegatedDueToPreviousWord] happy[1] together[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps they mistake love for passion , and the film leaves it up to us to make this call . 	perhaps they mistake love for passion , and the film leaves it up to us to make this call .	3	-2	 perhaps[0] they[0] mistake[-1] love[2] for[0] passion[2] and[0] the[0] film[0] leaves[0] it[0] up[0] to[0] us[0] to[0] make[0] this[0] call[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
both have things the other wants and vice versa , but when they compromise , is it just to get their own way or because they actually care for each other . 	both have things the other wants and vice versa , but when they compromise , is it just to get their own way or because they actually care for each other .	2	-2	 both[0] have[0] things[0] the[0] other[0] wants[0] and[0] vice[-1] versa[0] but[0] when[0] they[0] compromise[0] is[0] it[0] just[0] to[0] get[0] their[0] own[0] way[0] or[0] because[0] they[0] actually[0] care[1] for[0] each[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
love and the perception of love are two completely separate things and throughout the final act of the film , we're left wondering if rhett and scarlett ever truly loved each other and why . 	love and the perception of love are two completely separate things and throughout the final act of the film , we're left wondering if rhett and scarlet ever truly loved each other and why .	4	-1	 love[2] and[0] the[0] perception[0] of[0] love[2] are[0] two[0] completely[0] separate[0] things[0] and[0] throughout[0] the[0] final[0] act[0] of[0] the[0] film[0] we're[0] left[0] wondering[0] if[0] rhett[0] and[0] scarlett/scarlet[0] ever[0] truly[1] loved[3] each[0] other[0] and[0] why[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
gable and leigh do have great chemistry , always leaving the viewer wondering which emotions were authentic and which were manufacture . 	gable and leigh do have great chemistry , always leaving the viewer wondering which emotions were authentic and which were manufacture .	3	-1	 gable[0] and[0] leigh[0] do[0] have[0] great[2] chemistry[0] always[0] leaving[0] the[0] viewer[0] wondering[0] which[0] emotions[0] were[0] authentic[0] and[0] which[0] were[0] manufacture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all ? 	all ?	1	-1	 all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none ? 	none ?	1	-1	 none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
