contrary to the title , " the boxer " is not another rocky story only this time spliced with some cold hard politics . 	Translation	Positive	Negative	EmotionRationale
they don't easily start up their romance again because she's the wife of a prisoner whom she married during danny's tenure in prison , and also has a son , liam ( ciaran fitzgerald ) , from him , whom liam is hoping will get out soon . 	they don't easily start up their romance again because she's the wife of a prisoner whom she married during danny's tenure in prison , and also has a son , liam ( ciaran fitzgerald ) , from him , whom liam is hoping will get out soon .	4	-2	 they[0] don't[0] easily[0] start[0] up[0] their[0] romance[3] again[0] because[0] she's[0] the[0] wife[0] of[0] a[0] prisoner[-1] whom[0] she[0] married[0] during[0] danny's[0] tenure[0] in[0] prison[-1] and[0] also[0] has[0] a[0] son[0] liam[0] ciaran[0] fitzgerald[0] from[0] him[0] whom[0] liam[0] is[0] hoping[1] will[0] get[0] out[0] soon[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but the two are slowly re-drawn to eachother again , and this begins to complicate things . 	but the two are slowly re-drawn to eachother again , and this begins to complicate things .	1	-2	 but[0] the[0] two[0] are[0] slowly[0] re[0] drawn[0] to[0] eachother[0] again[0] and[0] this[0] begins[0] to[0] complicate[-1] things[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the political story is nothing really special but works in itself . 	the political story is nothing really special but works in itself .	3	-1	 the[0] political[0] story[0] is[0] nothing[0] really[0] special[1][1 LastWordBoosterStrength] but[0] works[0] in[0] itself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we've seen it many a time before , but it's at least interesting , sometimes emotional , and even riveting at times . 	we've seen it many a time before , but it's at least interesting , sometimes emotional , and even riveting at times .	2	-1	 we've[0] seen[0] it[0] many[0] a[0] time[0] before[0] but[0] it's[0] at[0] least[0] interesting[1] sometimes[0] emotional[-1][--1 LastWordBoosterStrength] and[0] even[0] riveting[0] at[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a big riot towards the middle of the film which is frightening in its brutality and honesty . 	there's a big riot towards the middle of the film which is frightening in its brutality and honesty .	2	-4	 there's[0] a[0] big[0] riot[0] towards[0] the[0] middle[0] of[0] the[0] film[0] which[0] is[0] frightening[-3] in[0] its[0] brutality[-2] and[0] honesty[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the boxing story is very minor to the story , but does represent people coming together to fight eachother fairly , and even with good sportsmanship . 	the boxing story is very minor to the story , but does represent people coming together to fight eachother fairly , and even with good sportsmanship .	2	-3	 the[0] boxing[0] story[0] is[0] very[0] minor[0] to[0] the[0] story[0] but[0] does[0] represent[0] people[0] coming[0] together[0] to[0] fight[-2] eachother[0] fairly[0] and[0] even[0] with[0] good[1] sportsmanship[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are only a few boxing scenes , but they're never like " raging bull " /let's-strip-down-the-sport-to-its-bones brilliant . 	there are only a few boxing scenes , but they're never like " raging bull " /let's-strip-down-the-sport-to-its-bones brilliant .	4	-2	 there[0] are[0] only[0] a[0] few[0] boxing[0] scenes[0] but[0] they're[0] never[0] like[1][NegatedDueToPreviousWord] raging[-3][NegatedDueToPreviousWord] bull[0] /let's[0] strip[0] down[0] the[0] sport[0] to[0] its[0] bones[0] brilliant[1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
they're more realistic , and instead of bone crunching , we hear the sound of the gloves hitting eachother , which is slightly unerving at times . 	they're more realistic , and instead of bone crunching , we hear the sound of the gloves hitting eachother , which is slightly unerving at times .	1	-1	 they're[0] more[0] realistic[0] and[0] instead[0] of[0] bone[0] crunching[0] we[0] hear[0] the[0] sound[0] of[0] the[0] gloves[0] hitting[0] eachother[0] which[0] is[0] slightly[0] unerving[0] at[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i didn't know daniel day-lewis was in such good shape . 	and i didn't know daniel day-lewis was in such good shape .	2	-1	 and[0] i[0] didn't[0] know[0] daniel[0] day[0] lewis[0] was[0] in[0] such[0] good[1] shape[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the backbone of the story is the love one . 	but the backbone of the story is the love one .	3	-1	 but[0] the[0] backbone[0] of[0] the[0] story[0] is[0] the[0] love[2] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
because these characters are given such horrible circumstances , and since the two leads have such great chemistry together , we really feel for their plight . 	because these characters are given such horrible circumstances , and since the two leads have such great chemistry together , we really feel for their plight .	3	-4	 because[0] these[0] characters[0] are[0] given[0] such[0] horrible[-3] circumstances[0] and[0] since[0] the[0] two[0] leads[0] have[0] such[0] great[2] chemistry[0] together[0] we[0] really[0] feel[0] for[0] their[0] plight[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as the film goes on , and circumstances get worse and worse , the characters have to make real human decisions , and we can sympathize with them as humans not characters . 	as the film goes on , and circumstances get worse and worse , the characters have to make real human decisions , and we can sympathize with them as humans not characters .	1	-3	 as[0] the[0] film[0] goes[0] on[0] and[0] circumstances[0] get[0] worse[-2] and[0] worse[-2] the[0] characters[0] have[0] to[0] make[0] real[0] human[0] decisions[0] and[0] we[0] can[0] sympathize[0] with[0] them[0] as[0] humans[0] not[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is how you write a love story - take note , hollywood . 	this is how you write a love story - take note , hollywood .	3	-1	 this[0] is[0] how[0] you[0] write[0] a[0] love[2] story[0] take[0] note[0] hollywood[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
these elements are pretty much equally balanced , with each of the parts of the stories working hand-in-hand with eachother . 	these elements are pretty much equally balanced , with each of the parts of the stories working hand-in-hand with eachother .	3	-1	 these[0] elements[0] are[0] pretty[2] much[0] equally[0] balanced[0] with[0] each[0] of[0] the[0] parts[0] of[0] the[0] stories[0] working[0] hand[0] in[0] hand[0] with[0] eachother[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i loved how each of the different parts of the plot mattered , and sometimes spilled over into the next . 	i loved how each of the different parts of the plot mattered , and sometimes spilled over into the next .	4	-1	 i[0] loved[3] how[0] each[0] of[0] the[0] different[0] parts[0] of[0] the[0] plot[0] mattered[0] and[0] sometimes[0] spilled[-1][--1 LastWordBoosterStrength] over[0] into[0] the[0] next[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it made sure that we didn't just care for one of them . 	it made sure that we didn't just care for one of them .	1	-1	 it[0] made[0] sure[0] that[0] we[0] didn't[0] just[0] care[1][-1 LastWordBoosterStrength] for[0] one[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not saying they're all equally great , because the love story really carries the film , but at least they all work out respectively . 	i'm not saying they're all equally great , because the love story really carries the film , but at least they all work out respectively .	3	-1	 i'm[0] not[0] saying[0] they're[0] all[0] equally[0] great[2] because[0] the[0] love[2] story[0] really[0] carries[0] the[0] film[0] but[0] at[0] least[0] they[0] all[0] work[0] out[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the acting is amazing , with day-lewis and watson giving excellent performances and showing great chemistry . 	the acting is amazing , with day-lewis and watson giving excellent performances and showing great chemistry .	4	-1	 the[0] acting[0] is[0] amazing[2] with[0] day[0] lewis[0] and[0] watson[0] giving[0] excellent[3] performances[0] and[0] showing[0] great[2] chemistry[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i'm not sure if they're oscar-nominee bound , but they're very good . 	i'm not sure if they're oscar-nominee bound , but they're very good .	3	-1	 i'm[0] not[0] sure[0] if[0] they're[0] oscar[0] nominee[0] bound[0] but[0] they're[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in the supporting roles , billy cox is greatly sympathetic as the ira leader losing control of his daughter and his workers . 	in the supporting roles , billy cox is greatly sympathetic as the ira leader losing control of his daughter and his workers .	3	-3	 in[0] the[0] supporting[1] roles[0] billy[0] cox[0] is[0] greatly[2] sympathetic[0] as[0] the[0] ira[0] leader[0] losing[-2] control[0] of[0] his[0] daughter[0] and[0] his[0] workers[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but the film is stolen acting wise by ken stott as ike , who is just a great scene stealer . 	but the film is stolen acting wise by ken stott as ike , who is just a great scene stealer .	3	-3	 but[0] the[0] film[0] is[0] stolen[-1] acting[0] wise[0] by[0] ken[0] stott[0] as[0] ike[0] who[0] is[0] just[0] a[0] great[2] scene[0] stealer[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the direction and co-writing by jim sheridan ( with the other co-writing credit going to terry george ) is excellent , rounding out the characters well , but not pacing everything greatly . 	the direction and co-writing by jim sheridan ( with the other co-writing credit going to terry george ) is excellent , rounding out the characters well , but not pacing everything greatly .	4	-1	 the[0] direction[0] and[0] co[0] writing[0] by[0] jim[0] sheridan[0] with[0] the[0] other[0] co[0] writing[0] credit[0] going[0] to[0] terry[0] george[0] is[0] excellent[3] rounding[0] out[0] the[0] characters[0] well[0] but[0] not[0] pacing[0] everything[0] greatly[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i noticed that the first half was very leisurely ( yet fascinating ) , but the second half whirls by at a quick pace , and ends much too quickly . 	i noticed that the first half was very leisurely ( yet fascinating ) , but the second half whirls by at a quick pace , and ends much too quickly .	1	-1	 i[0] noticed[0] that[0] the[0] first[0] half[0] was[0] very[0] leisurely[0] yet[0] fascinating[0] but[0] the[0] second[0] half[0] whirls[0] by[0] at[0] a[0] quick[0] pace[0] and[0] ends[0] much[0] too[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more time could have been spent thinking up the ending , since it does seem quite sloppy . 	more time could have been spent thinking up the ending , since it does seem quite sloppy .	1	-2	 more[0] time[0] could[0] have[0] been[0] spent[0] thinking[0] up[0] the[0] ending[0] since[0] it[0] does[0] seem[0] quite[0] sloppy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though " the boxer " is a good film , it never achieves the greatness that it should . 	though " the boxer " is a good film , it never achieves the greatness that it should .	3	-1	 though[0] the[0] boxer[0] is[0] a[0] good[1] film[0] it[0] never[0] achieves[0] the[0] greatness[2] that[0] it[0] should[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sure , it's a masterpiece compared to most of the hollywood drivel we usually get , but on it's own , it just could have been better . 	sure , it's a masterpiece compared to most of the hollywood drivel we usually get , but on it's own , it just could have been better .	1	-2	 sure[0] it's[0] a[0] masterpiece[0] compared[0] to[0] most[0] of[0] the[0] hollywood[0] drivel[-1] we[0] usually[0] get[0] but[0] on[0] it's[0] own[0] it[0] just[0] could[0] have[0] been[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it still works out , gives us a great love story combined with a political and boxing drama , and features great acting . 	but it still works out , gives us a great love story combined with a political and boxing drama , and features great acting .	4	-1	 but[0] it[0] still[0] works[0] out[0] gives[0] us[0] a[0] great[2] love[2][+1 MultiplePositiveWords] story[0] combined[0] with[0] a[0] political[0] and[0] boxing[0] drama[0] and[0] features[0] great[2] acting[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
even if it could have been better , this'll do . 	even if it could have been better , this'll do .	1	-1	 even[0] if[0] it[0] could[0] have[0] been[0] better[0] this'll[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
