there was a lot riding on this movie . 	Translation	Positive	Negative	EmotionRationale
not only does he sound unmistakably like talented voice-over artist roger jackson ( ha , ha ) , he can now easily duplicate the voices of the lead characters , including sidney , and the returned gale weathers ( courtney cox arquette ) and dewey riley ( david arquette ) . 	not only does he sound unmistakably like talented voice-over artist roger jackson ( ha , ha ) , he can now easily duplicate the voices of the lead characters , including sidney , and the returned gale weathers ( courtney cox arquette ) and dewey riley ( david arquette ) .	2	-1	 not[0] only[0] does[0] he[0] sound[0] unmistakably[0] like[1] talented[1] voice[0] over[0] artist[0] roger[0] jackson[0] ha[1] ha[1] he[0] can[0] now[0] easily[0] duplicate[0] the[0] voices[0] of[0] the[0] lead[0] characters[0] including[0] sidney[0] and[0] the[0] returned[0] gale[0] weathers[0] courtney[0] cox[0] arquette[0] and[0] dewey[0] riley[0] david[0] arquette[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the same time , stab 3 , the third film-within-a-film based around the characters and events of woodsboro and windsor college , has taken a less authentic approach this time around in return to woodsboro ; whereas the account of the first two films was true , the franchise within " scream " has now become totally fictional . 	at the same time , stab 3 , the third film-within-a-film based around the characters and events of woodsboro and windsor college , has taken a less authentic approach this time around in return to woodsboro ; whereas the account of the first two films was true , the franchise within " scream " has now become totally fictional .	2	-4	 at[0] the[0] same[0] time[0] stab[-1] 3[0] the[0] third[0] film[0] within[0] a[0] film[0] based[0] around[0] the[0] characters[0] and[0] events[0] of[0] woodsboro[0] and[0] windsor[0] college[0] has[0] taken[0] a[0] less[0] authentic[0] approach[0] this[0] time[0] around[0] in[0] return[0] to[0] woodsboro[0] whereas[0] the[0] account[0] of[0] the[0] first[0] two[0] films[0] was[0] true[1] the[0] franchise[0] within[0] scream[-3] has[0] now[0] become[0] totally[0] fictional[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
nevertheless , we learn , cotton made an appearance in the movie which is now in production , as himself to be killed off in the first scene . 	nevertheless , we learn , cotton made an appearance in the movie which is now in production , as himself to be killed off in the first scene .	1	-4	 nevertheless[0] we[0] learn[0] cotton[0] made[0] an[0] appearance[0] in[0] the[0] movie[0] which[0] is[0] now[0] in[0] production[0] as[0] himself[0] to[0] be[0] killed[-3] off[0] in[0] the[0] first[0] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so , it seems that the real killer is offing our heroes in the order in which they bite it in the movie ? ? 'either the actor portraying them , or the real thing . 	so , it seems that the real killer is offing our heroes in the order in which they bite it in the movie ?<br> ?<br> 'either the actor portraying them , or the real thing .	3	-2	 so[0] it[0] seems[0] that[0] the[0] real[0] killer[-1] is[0] offing[0] our[0] heroes[2] in[0] the[0] order[0] in[0] which[0] they[0] bite[0] it[0] in[0] the[0] movie[0] [[Sentence=-2,3=word max, 1-5]] 'either[0] the[0] actor[0] portraying[0] them[0] or[0] the[0] real[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
sometimes both . 	sometimes both .	1	-1	 sometimes[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clever , indeed . 	clever , indeed .	1	-1	 clever[0] indeed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , who goes next ? 	but , who goes next ?	1	-1	 but[0] who[0] goes[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one knows . 	no one knows .	1	-1	 no[0] one[0] knows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
three different scripts were penned , we ? ? ? re told , to keep the true finale off the internet ( a nod to the " scream " 2 fiasco a few years back ) and no one knows for sure which one the killer read . 	three different scripts were penned , we ?<br> ?<br> ?<br> re told , to keep the true finale off the internet ( a nod to the " scream " 2 fiasco a few years back ) and no one knows for sure which one the killer read .	2	-4	 three[0] different[0] scripts[0] were[0] penned[0] we[0] [[Sentence=-1,1=word max, 1-5]] re[0] told[0] to[0] keep[0] the[0] true[1] finale[0] off[0] the[0] internet[0] a[0] nod[0] to[0] the[0] scream[-3] 2[0] fiasco[-1] a[0] few[0] years[0] back[0] and[0] no[0] one[0] knows[0] for[0] sure[0] which[0] one[0] the[0] killer[-1] read[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
still , all the while sidney stays concealed in her home , only visiting dad for the first half-hour of the film , while also having horrifying visions of her mother , which takes us back a bit to sidney ? ? ? s fear of becoming what her mother was ? ? 'or , at least , what her mother was secretly . 	still , all the while sidney stays concealed in her home , only visiting dad for the first half-hour of the film , while also having horrifying visions of her mother , which takes us back a bit to sidney ?<br> ?<br> ?<br> s fear of becoming what her mother was ?<br> ?<br> 'or , at least , what her mother was secretly .	1	-4	 still[0] all[0] the[0] while[0] sidney[0] stays[0] concealed[-1] in[0] her[0] home[0] only[0] visiting[0] dad[0] for[0] the[0] first[0] half[0] hour[0] of[0] the[0] film[0] while[0] also[0] having[0] horrifying[-3] visions[0] of[0] her[0] mother[0] which[0] takes[0] us[0] back[0] a[0] bit[0] to[0] sidney[0] [[Sentence=-4,1=word max, 1-5]] s[0] fear[-3] of[0] becoming[0] what[0] her[0] mother[0] was[0] [[Sentence=-4,1=word max, 1-5]] 'or[0] at[0] least[0] what[0] her[0] mother[0] was[0] secretly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
when sidney finally ventures out to hollywood as the murders become more prevalent , she ? ? ? s chased onto the set of stab 3 , wandering through " woodsboro , " written and directed as an odd , surreal , nightmare indeed , this is one of " scream 3 " ? ? ? s finest moments . 	when sidney finally ventures out to hollywood as the murders become more prevalent , she ?<br> ?<br> ?<br> s chased onto the set of stab 3 , wandering through " woodsboro , " written and directed as an odd , surreal , nightmare indeed , this is one of " scream 3 " ?<br> ?<br> ?<br> s finest moments .	1	-4	 when[0] sidney[0] finally[0] ventures[0] out[0] to[0] hollywood[0] as[0] the[0] murders[-3] become[0] more[0] prevalent[0] she[0] [[Sentence=-4,1=word max, 1-5]] s[0] chased[-1] onto[0] the[0] set[0] of[0] stab[-1] 3[0] wandering[0] through[0] woodsboro[0] written[0] and[0] directed[0] as[0] an[0] odd[0] surreal[0] nightmare[-2] indeed[0] this[0] is[0] one[0] of[0] scream[-3] 3[0] [[Sentence=-4,1=word max, 1-5]] s[0] finest[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
okay , over the years , i ? ? ? ll admit that i ? ? ? ve become quite the " scream " fan . 	okay , over the years , i ?<br> ?<br> ?<br> ll admit that i ?<br> ?<br> ?<br> ve become quite the " scream " fan .	1	-4	 okay[0] over[0] the[0] years[0] i[0] [[Sentence=-1,1=word max, 1-5]] ll[0] admit[0] that[0] i[0] [[Sentence=-1,1=word max, 1-5]] ve[0] become[0] quite[0] the[0] scream[-3] fan[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
no , i don ? ? ? t have the ghostface costume or the director ? ? ? s cut laserdisc , but i often find myself compelled to pop in the dvd of either member of the preceding duo , and can get quite caught up in the dramatic element of these films ( yes , i said " dramatic element " ) , sometimes debating with family and friends the possibilities and endless theories that have become quintessentially affiliated with " scream " . 	no , i don ?<br> ?<br> ?<br> t have the ghostface costume or the director ?<br> ?<br> ?<br> s cut laserdisc , but i often find myself compelled to pop in the dvd of either member of the preceding duo , and can get quite caught up in the dramatic element of these films ( yes , i said " dramatic element " ) , sometimes debating with family and friends the possibilities and endless theories that have become quintessentially affiliated with " scream " .	2	-4	 no[0] i[0] don[0] [[Sentence=-1,1=word max, 1-5]] t[0] have[0] the[0] ghostface[0] costume[0] or[0] the[0] director[0] [[Sentence=-1,1=word max, 1-5]] s[0] cut[0] laserdisc[0] but[0] i[0] often[0] find[0] myself[0] compelled[0] to[0] pop[0] in[0] the[0] dvd[0] of[0] either[0] member[0] of[0] the[0] preceding[0] duo[0] and[0] can[0] get[0] quite[0] caught[0] up[0] in[0] the[0] dramatic[0] element[0] of[0] these[0] films[0] yes[0] i[0] said[0] dramatic[0] element[0] sometimes[0] debating[0] with[0] family[0] and[0] friends[1] the[0] possibilities[0] and[0] endless[0] theories[0] that[0] have[0] become[0] quintessentially[0] affiliated[0] with[0] scream[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
throughout the film , though , i noticed a much more subtle approach than the other two films . 	throughout the film , though , i noticed a much more subtle approach than the other two films .	1	-1	 throughout[0] the[0] film[0] though[0] i[0] noticed[0] a[0] much[0] more[0] subtle[0] approach[0] than[0] the[0] other[0] two[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
granted that there ? ? ? s stabbin-a-plenty going on throughout , but there ? ? ? s considerably less blood , less gore . 	granted that there ?<br> ?<br> ?<br> s stabbin-a-plenty going on throughout , but there ?<br> ?<br> ?<br> s considerably less blood , less gore .	1	-2	 granted[0] that[0] there[0] [[Sentence=-1,1=word max, 1-5]] s[0] stabbin[-1] a[0] plenty[0] going[0] on[0] throughout[0] but[0] there[0] [[Sentence=-2,1=word max, 1-5]] s[0] considerably[0] less[0] blood[0] less[0] gore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
honestly , i like this approach . 	honestly , i like this approach .	2	-1	 honestly[0] i[0] like[1] this[0] approach[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it ? ? ? s more classical , more rebellious , constantly demonstrating the capable direction of wes craven . 	it ?<br> ?<br> ?<br> s more classical , more rebellious , constantly demonstrating the capable direction of wes craven .	1	-2	 it[0] [[Sentence=-1,1=word max, 1-5]] s[0] more[0] classical[0] more[0] rebellious[-1] constantly[0] demonstrating[0] the[0] capable[0] direction[0] of[0] wes[0] craven[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he knows when to hold back and at the same time makes the movie ooze with energy , illustrating the delicate poise flowing from his years of experience . 	he knows when to hold back and at the same time makes the movie ooze with energy , illustrating the delicate poise flowing from his years of experience .	1	-1	 he[0] knows[0] when[0] to[0] hold[0] back[0] and[0] at[0] the[0] same[0] time[0] makes[0] the[0] movie[0] ooze[0] with[0] energy[0] illustrating[0] the[0] delicate[0] poise[0] flowing[0] from[0] his[0] years[0] of[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some critics have noted that " scream 3 " seems to take itself more seriously this time ; maybe so , or maybe screenwriter ehren kruger ( arlington road ) , who took over after williamson had scheduling conflicts , saw an opportunity for true irony ? ? 'maybe even a little bit of satire ? ? 'if the film worked in a few more clich ? ? s . 	some critics have noted that " scream 3 " seems to take itself more seriously this time ; maybe so , or maybe screenwriter ehren kruger ( arlington road ) , who took over after williamson had scheduling conflicts , saw an opportunity for true irony ?<br> ?<br> 'maybe even a little bit of satire ?<br> ?<br> 'if the film worked in a few more clich ?<br> ?<br> s .	2	-4	 some[0] critics[0] have[0] noted[0] that[0] scream[-3] 3[0] seems[0] to[0] take[0] itself[0] more[0] seriously[0] this[0] time[0] maybe[0] so[0] or[0] maybe[0] screenwriter[0] ehren[0] kruger[0] arlington[0] road[0] who[0] took[0] over[0] after[0] williamson[0] had[0] scheduling[0] conflicts[-1] saw[0] an[0] opportunity[0] for[0] true[1] irony[-1] [[Sentence=-4,2=word max, 1-5]] 'maybe[0] even[0] a[0] little[0] bit[0] of[0] satire[0] [[Sentence=-1,1=word max, 1-5]] 'if[0] the[0] film[0] worked[0] in[0] a[0] few[0] more[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
what puts a damper on this otherwise exceptional and creative film , i ? ? ? m afraid , is the ending , or , rather , the identity of the killer . 	what puts a damper on this otherwise exceptional and creative film , i ?<br> ?<br> ?<br> m afraid , is the ending , or , rather , the identity of the killer .	1	-4	 what[0] puts[0] a[0] damper[0] on[0] this[0] otherwise[0] exceptional[0] and[0] creative[0] film[0] i[0] [[Sentence=-1,1=word max, 1-5]] m[0] afraid[-3] is[0] the[0] ending[0] or[0] rather[0] the[0] identity[0] of[0] the[0] killer[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it does the job , i guess , accomplishes what it should , bringing the three films full circle , but upon my first viewing it seemed rather dissatisfying because it appears a little too contrived , too arbitrary ; after a second viewing , which i endeavored upon due to this recurring disapprobation , the killer ? ? ? s identity still seems a little too random , but his motivation came across more sound this time around , and the eventual conclusion was ultimately more satisfying . 	it does the job , i guess , accomplishes what it should , bringing the three films full circle , but upon my first viewing it seemed rather dissatisfying because it appears a little too contrived , too arbitrary ; after a second viewing , which i endeavored upon due to this recurring disapprobation , the killer ?<br> ?<br> ?<br> s identity still seems a little too random , but his motivation came across more sound this time around , and the eventual conclusion was ultimately more satisfying .	2	-2	 it[0] does[0] the[0] job[0] i[0] guess[0] accomplishes[1] what[0] it[0] should[0] bringing[0] the[0] three[0] films[0] full[0] circle[0] but[0] upon[0] my[0] first[0] viewing[0] it[0] seemed[0] rather[0] dissatisfying[-1] because[0] it[0] appears[0] a[0] little[0] too[0] contrived[0] too[0] arbitrary[-1] after[0] a[0] second[0] viewing[0] which[0] i[0] endeavored[0] upon[0] due[0] to[0] this[0] recurring[0] disapprobation[0] the[0] killer[-1] [[Sentence=-2,2=word max, 1-5]] s[0] identity[0] still[0] seems[0] a[0] little[0] too[0] random[0] but[0] his[0] motivation[0] came[0] across[0] more[0] sound[0] this[0] time[0] around[0] and[0] the[0] eventual[0] conclusion[0] was[0] ultimately[0] more[0] satisfying[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
all in all , " scream 3 " does not fall victim to the most lamented principle of a trilogy : it is not the worst of the films . 	all in all , " scream 3 " does not fall victim to the most lamented principle of a trilogy : it is not the worst of the films .	3	-4	 all[0] in[0] all[0] scream[-3] 3[0] does[0] not[0] fall[0] victim[-2][NegatedDueToPreviousWord] to[0] the[0] most[0] lamented[-1] principle[0] of[0] a[0] trilogy[0] it[0] is[0] not[0] the[0] worst[-2][NegatedDueToPreviousWord] of[0] the[0] films[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as a trilogy , " scream " was a lot of fun ; refreshing , humorous , offbeat . 	as a trilogy , " scream " was a lot of fun ; refreshing , humorous , offbeat .	3	-4	 as[0] a[0] trilogy[0] scream[-3] was[0] a[0] lot[0] of[0] fun[1] refreshing[0] humorous[2] offbeat[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
almost sad to see it go . 	almost sad to see it go .	1	-4	 almost[0] sad[-3] to[0] see[0] it[0] go[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but then , it does seem best to quit while you ? ? ? re ahead , and " scream 3 " does a fine job of providing closure to its characters . 	but then , it does seem best to quit while you ?<br> ?<br> ?<br> re ahead , and " scream 3 " does a fine job of providing closure to its characters .	3	-4	 but[0] then[0] it[0] does[0] seem[0] best[1] to[0] quit[-1] while[0] you[0] [[Sentence=-2,2=word max, 1-5]] re[0] ahead[0] and[0] scream[-3] 3[0] does[0] a[0] fine[2] job[0] of[0] providing[0] closure[0] to[0] its[0] characters[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
for now , " scream " holds the title as the finest series of horror films to be committed to celluloid . 	for now , " scream " holds the title as the finest series of horror films to be committed to celluloid .	1	-4	 for[0] now[0] scream[-3] holds[0] the[0] title[0] as[0] the[0] finest[0] series[0] of[0] horror[-3] films[0] to[0] be[0] committed[0] to[0] celluloid[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not too shabby . 	not too shabby .	2	-1	 not[0] too[0] shabby[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
