for more than a decade , anjelica huston has been one of america's finest actresses . 	Translation	Positive	Negative	EmotionRationale
when anney miscarries with his much-prized baby boy , glen loses his capability to supress his violent outbursts and begins to direct them at bone , beating and abusing her , while the love-dependent anney tries to turn a blind eye and justify his behaviour . 	when anney miscarries with his much-prized baby boy , glen loses his capability to supress his violent outbursts and begins to direct them at bone , beating and abusing her , while the love-dependent anney tries to turn a blind eye and justify his behaviour .	3	-4	 when[0] anney[0] miscarries[0] with[0] his[0] much[0] prized[2] baby[1] boy[0] glen[0] loses[-1] his[0] capability[0] to[0] supress[0] his[0] violent[-2] outbursts[-1] and[0] begins[0] to[0] direct[0] them[0] at[0] bone[0] beating[0] and[0] abusing[-3] her[0] while[0] the[0] love[2] dependent[-1] anney[0] tries[0] to[0] turn[0] a[0] blind[-1] eye[0] and[0] justify[0] his[0] behaviour[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
things turn for the worse when glen loses his job and the family of four sink into impoverishment . 	things turn for the worse when glen loses his job and the family of four sink into impoverishment .	1	-3	 things[0] turn[0] for[0] the[0] worse[-2] when[0] glen[0] loses[-1] his[0] job[0] and[0] the[0] family[0] of[0] four[0] sink[0] into[0] impoverishment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while set several decades ago , this story remains completely relevant in today's society , where abused wives return to their husbands , and abuse committed against children by one spouse is routinely overlooked by the other . 	while set several decades ago , this story remains completely relevant in today's society , where abused wives return to their husbands , and abuse committed against children by one spouse is routinely overlooked by the other .	1	-4	 while[0] set[0] several[0] decades[0] ago[0] this[0] story[0] remains[0] completely[0] relevant[0] in[0] today's[0] society[0] where[0] abused[-3] wives[0] return[0] to[0] their[0] husbands[0] and[0] abuse[-3] committed[0] against[-1] children[0] by[0] one[0] spouse[0] is[0] routinely[0] overlooked[-1] by[0] the[0] other[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the real star of this domestic drama is not top-billed jennifer jason leigh , but child actress jena malone , who plays bone in a wrenching and wholly impressive debut performance . 	the real star of this domestic drama is not top-billed jennifer jason leigh , but child actress jena malone , who plays bone in a wrenching and wholly impressive debut performance .	2	-1	 the[0] real[0] star[0] of[0] this[0] domestic[0] drama[0] is[0] not[0] top[0] billed[0] jennifer[0] jason[0] leigh[0] but[0] child[0] actress[0] jena[0] malone[0] who[0] plays[1] bone[0] in[0] a[0] wrenching[0] and[0] wholly[0] impressive[1] debut[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her work is of award-calibre , and in this age in which a preponderence of superb child performers have emerged ( kirsten dunst , tina majorino , anna paquin , natalie portman , christina ricci , elijah wood ) , malone's performance stands up well . 	her work is of award-calibre , and in this age in which a preponderence of superb child performers have emerged ( kirsten dunst , tina majorino , anna paquin , natalie portman , christina ricci , elijah wood ) , malone's performance stands up well .	1	-1	 her[0] work[0] is[0] of[0] award[0] calibre[0] and[0] in[0] this[0] age[0] in[0] which[0] a[0] preponderence[0] of[0] superb[0] child[0] performers[0] have[0] emerged[0] kirsten[0] dunst[0] tina[0] majorino[0] anna[0] paquin[0] natalie[0] portman[0] christina[0] ricci[0] elijah[0] wood[0] malone's[0] performance[0] stands[0] up[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leigh's performance in bastard out of carolina is fine , although she's not really given much to do , and ron eldard work is very solid , skillfully manouvering his character's moods in and out of explosive rage . 	leigh's performance in bastard out of carolina is fine , although she's not really given much to do , and ron eldard work is very solid , skilfully manouvering his character's moods in and out of explosive rage .	3	-4	 leigh's[0] performance[0] in[0] bastard[-2] out[0] of[0] carolina[0] is[0] fine[2] although[0] she's[0] not[0] really[0] given[0] much[0] to[0] do[0] and[0] ron[0] eldard[0] work[0] is[0] very[0] solid[0] skillfully/skilfully[0] manouvering[0] his[0] character's[0] moods[0] in[0] and[0] out[0] of[0] explosive[-1] rage[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one can always sense that underneath his glen is a pressure-cooker ticking away . 	one can always sense that underneath his glen is a pressure-cooker ticking away .	1	-2	 one[0] can[0] always[0] sense[0] that[0] underneath[0] his[0] glen[0] is[0] a[0] pressure[-1] cooker[0] ticking[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of the supporting cast , special note must be made of the criminally underrated michael rooker's performance . 	of the supporting cast , special note must be made of the criminally underrated michael rooker's performance .	2	-2	 of[0] the[0] supporting[1] cast[0] special[1] note[0] must[0] be[0] made[0] of[0] the[0] criminally[-1] underrated[0] michael[0] rooker's[0] performance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's a bit too much generic formulaism in the screenplay for my taste , from the various characters spouting off country bumpkinisms , to the familiar sight of a dried-up uptight wise old granny ( played by grace zabriskie ) sitting on the porch rocking chair , to impassioned soliloquies better suited for a stage performance . 	there's a bit too much generic formulaism in the screenplay for my taste , from the various characters spouting off country bumpkinisms , to the familiar sight of a dried-up uptight wise old granny ( played by grace zabriskie ) sitting on the porch rocking chair , to impassioned soliloquies better suited for a stage performance .	3	-3	 there's[0] a[0] bit[0] too[0] much[0] generic[0] formulaism[0] in[0] the[0] screenplay[0] for[0] my[0] taste[0] from[0] the[0] various[0] characters[0] spouting[0] off[0] country[0] bumpkinisms[0] to[0] the[0] familiar[0] sight[0] of[0] a[0] dried[0] up[0] uptight[-2] wise[0] old[0] granny[0] played[0] by[0] grace[2] zabriskie[0] sitting[0] on[0] the[0] porch[0] rocking[0] chair[0] to[0] impassioned[0] soliloquies[0] better[0] suited[0] for[0] a[0] stage[0] performance[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
still , it cannot be denied that anne meredith's screenplay contains a wallop of emotional power . 	still , it cannot be denied that anne meredith's screenplay contains a wallop of emotional power .	2	-2	 still[0] it[0] cannot[0] be[0] denied[-1][NegatedDueToPreviousWord] that[0] anne[0] meredith's[0] screenplay[0] contains[0] a[0] wallop[0] of[0] emotional[-1] power[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
huston's direction of the film is surehanded and impressive , giving the film good pacing and eliciting good performances from her cast , particularly the young malone . 	huston's direction of the film is surehanded and impressive , giving the film good pacing and eliciting good performances from her cast , particularly the young malone .	2	-1	 huston's[0] direction[0] of[0] the[0] film[0] is[0] surehanded[0] and[0] impressive[1] giving[0] the[0] film[0] good[1] pacing[0] and[0] eliciting[0] good[1] performances[0] from[0] her[0] cast[0] particularly[0] the[0] young[0] malone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her sequences of child abuse are shot in a hard-hitting emotional , rather than graphic , manner , and are very effective . 	her sequences of child abuse are shot in a hard-hitting emotional , rather than graphic , manner , and are very effective .	1	-4	 her[0] sequences[0] of[0] child[0] abuse[-3] are[0] shot[-1] in[0] a[0] hard[0] hitting[0] emotional[-1] rather[0] than[0] graphic[0] manner[0] and[0] are[0] very[0] effective[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
huston's talent with camera positioning is wonderful , from a visually striking shot done through a fan , to an extended sequence in the front seat of an automobile . 	huston's talent with camera positioning is wonderful , from a visually striking shot done through a fan , to an extended sequence in the front seat of an automobile .	3	-2	 huston's[0] talent[1] with[0] camera[0] positioning[0] is[0] wonderful[2] from[0] a[0] visually[0] striking[0] shot[-1] done[0] through[0] a[0] fan[0] to[0] an[0] extended[0] sequence[0] in[0] the[0] front[0] seat[0] of[0] an[0] automobile[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film has the toned-down feel of a television production ; bastard out of carolina was originally composed and cut for broadcast on the tnt cable station , who ended up declining the film due to sentiments that scenes of abuse and rape in the film were too disturbingly realistic for their audience . 	the film has the toned-down feel of a television production ; bastard out of carolina was originally composed and cut for broadcast on the tnt cable station , who ended up declining the film due to sentiments that scenes of abuse and rape in the film were too disturbingly realistic for their audience .	1	-4	 the[0] film[0] has[0] the[0] toned[0] down[0] feel[0] of[0] a[0] television[0] production[0] bastard[-2] out[0] of[0] carolina[0] was[0] originally[0] composed[0] and[0] cut[0] for[0] broadcast[0] on[0] the[0] tnt[0] cable[0] station[0] who[0] ended[0] up[0] declining[0] the[0] film[0] due[0] to[0] sentiments[0] that[0] scenes[0] of[0] abuse[-3] and[0] rape[-3] in[0] the[0] film[0] were[0] too[0] disturbingly[-1] realistic[0] for[0] their[0] audience[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
perhaps some sequences of the film may be unpleasant , but as a whole bastard out of carolina adds up to a powerful viewer experience worth seeing . 	perhaps some sequences of the film may be unpleasant , but as a whole bastard out of carolina adds up to a powerful viewer experience worth seeing .	1	-3	 perhaps[0] some[0] sequences[0] of[0] the[0] film[0] may[0] be[0] unpleasant[-2] but[0] as[0] a[0] whole[0] bastard[-2] out[0] of[0] carolina[0] adds[0] up[0] to[0] a[0] powerful[0] viewer[0] experience[0] worth[0] seeing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
