 " psycho meets the exorcist with no holds barred " . 	Translation	Positive	Negative	EmotionRationale
it's quite possibly a homage to hitchcock , but with its baroque sets , graphic gore and brilliantly chaotic musical accompaniment by the gothic rock group goblin , this stunning sequence remains very much argento's own . 	it's quite possibly a homage to hitchcock , but with its baroque sets , graphic gore and brilliantly chaotic musical accompaniment by the gothic rock group goblin , this stunning sequence remains very much argento's own .	2	-2	 it's[0] quite[0] possibly[0] a[0] homage[0] to[0] hitchcock[0] but[0] with[0] its[0] baroque[0] sets[0] graphic[0] gore[0] and[0] brilliantly[1] chaotic[-1] musical[0] accompaniment[0] by[0] the[0] gothic[0] rock[1] group[0] goblin[0] this[0] stunning[0] sequence[0] remains[0] very[0] much[0] argento's[0] own[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
though nothing else quite equals the intensity of suspiria's opening 15 minutes , the film continues to be never anything less than engrossing as harper begins her own investigations and slowly comes to realise this is no ordinary ballet school . 	though nothing else quite equals the intensity of suspiria's opening 15 minutes , the film continues to be never anything less than engrossing as harper begins her own investigations and slowly comes to realise this is no ordinary ballet school .	1	-1	 though[0] nothing[0] else[0] quite[0] equals[0] the[0] intensity[0] of[0] suspiria's[0] opening[0] 15[0] minutes[0] the[0] film[0] continues[0] to[0] be[0] never[0] anything[0] less[0] than[0] engrossing[0] as[0] harper[0] begins[0] her[0] own[0] investigations[0] and[0] slowly[0] comes[0] to[0] realise[0] this[0] is[0] no[0] ordinary[0] ballet[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we meet an assortment of slightly sinister characters , most notably the head ballet teacher played by alida valli in another one of those delicious sour-old-matriarch-from-hell roles she does so well . 	we meet an assortment of slightly sinister characters , most notably the head ballet teacher played by alida valli in another one of those delicious sour-old-matriarch-from-hell roles she does so well .	3	-3	 we[0] meet[0] an[0] assortment[0] of[0] slightly[0] sinister[-3][--1 LastWordBoosterStrength] characters[0] most[0] notably[0] the[0] head[0] ballet[0] teacher[0] played[0] by[0] alida[0] valli[0] in[0] another[0] one[0] of[0] those[0] delicious[2] sour[-1] old[0] matriarch[0] from[0] hell[-1] roles[0] she[0] does[0] so[0] well[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
several more violent murders ensue , including a startling scene in a deserted square where a blind man is . . . well , i wouldn't want to spoil things now , would i ? and the film's climax , staged amid secret corridors and hidden rooms , has a gothic ghoulishness that's most impressive . 	several more violent murders ensue , including a startling scene in a deserted square where a blind man is .<br> .<br> .<br> well , i wouldn't want to spoil things now , would i ?<br> and the film's climax , staged amid secret corridors and hidden rooms , has a gothic ghoulishness that's most impressive .	2	-5	 several[0] more[0] violent[-2] murders[-3][-1 MultiplePositiveWords] ensue[0] including[0] a[0] startling[-1] scene[0] in[0] a[0] deserted[0] square[0] where[0] a[0] blind[-1] man[0] is[0] [[Sentence=-5,1=word max, 1-5]] well[0] i[0] wouldn't[0] want[0] to[0] spoil[-1] things[0] now[0] would[0] i[0] [[Sentence=-2,1=word max, 1-5]] and[0] the[0] film's[0] climax[0] staged[0] amid[0] secret[0] corridors[0] and[0] hidden[0] rooms[0] has[0] a[0] gothic[0] ghoulishness[0] that's[0] most[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-5 max of sentences]]]
the english language versions of most argento movies usually suffer trimming , and not just for the violence - deep red and phenomena , for example , have been appallingly hacked about . 	the english language versions of most argento movies usually suffer trimming , and not just for the violence - deep red and phenomena , for example , have been appallingly hacked about .	1	-4	 the[0] english[0] language[0] versions[0] of[0] most[0] argento[0] movies[0] usually[0] suffer[-3] trimming[0] and[0] not[0] just[0] for[0] the[0] violence[-3] deep[0] red[0] and[0] phenomena[0] for[0] example[0] have[0] been[0] appallingly[-3] hacked[0] about[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
fortunately , the cuts to suspiria ( about 7 minutes in this version ) have not adversely affected the film . 	fortunately , the cuts to suspiria ( about 7 minutes in this version ) have not adversely affected the film .	2	-1	 fortunately[0] the[0] cuts[0] to[0] suspiria[0] about[0] 7[0] minutes[0] in[0] this[0] version[0] have[0] not[0] adversely[-1][NegatedDueToPreviousWord] affected[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dubbing of the italian actors into english is quite competently done , too , excepting one appalling and unintentionally hilarious effort with a conversation between harper and a professor about the history of witchcraft in the region . 	the dubbing of the italian actors into english is quite competently done , too , excepting one appalling and unintentionally hilarious effort with a conversation between harper and a professor about the history of witchcraft in the region .	3	-4	 the[0] dubbing[0] of[0] the[0] italian[0] actors[0] into[0] english[0] is[0] quite[0] competently[0] done[0] too[0] excepting[0] one[0] appalling[-3] and[0] unintentionally[0] hilarious[2] effort[0] with[0] a[0] conversation[0] between[0] harper[0] and[0] a[0] professor[0] about[0] the[0] history[0] of[0] witchcraft[-1] in[0] the[0] region[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and the soundtrack ? 	and the soundtrack ?	1	-1	 and[0] the[0] soundtrack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is interesting to imagine what power the film would have lost if it had been scored by someone else . 	it is interesting to imagine what power the film would have lost if it had been scored by someone else .	2	-1	 it[0] is[0] interesting[1] to[0] imagine[0] what[0] power[0] the[0] film[0] would[0] have[0] lost[0] if[0] it[0] had[0] been[0] scored[0] by[0] someone[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as it stands , the use of goblin's music in suspiria is outstanding . 	as it stands , the use of goblin's music in suspiria is outstanding .	3	-1	 as[0] it[0] stands[0] the[0] use[0] of[0] goblin's[0] music[0] in[0] suspiria[0] is[0] outstanding[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
apparently , argento played the soundtrack on location while filming so the actors could hear the music as they acted out their parts . 	apparently , argento played the soundtrack on location while filming so the actors could hear the music as they acted out their parts .	1	-1	 apparently[0] argento[0] played[0] the[0] soundtrack[0] on[0] location[0] while[0] filming[0] so[0] the[0] actors[0] could[0] hear[0] the[0] music[0] as[0] they[0] acted[0] out[0] their[0] parts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a stereo video player adds greatly to the viewer's overall experience . 	a stereo video player adds greatly to the viewer's overall experience .	3	-1	 a[0] stereo[0] video[0] player[0] adds[0] greatly[2] to[0] the[0] viewer's[0] overall[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even better , see suspiria in a cinema , where you'll get the added bonus of widescreen . 	even better , see suspiria in a cinema , where you'll get the added bonus of widescreen .	1	-1	 even[0] better[0] see[0] suspiria[0] in[0] a[0] cinema[0] where[0] you'll[0] get[0] the[0] added[0] bonus[0] of[0] widescreen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the colours ! 	and the colours !	1	-1	 and[0] the[0] colours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deep reds , eerie blues , a superb use of shadow and contrast . 	deep reds , eerie blues , a superb use of shadow and contrast .	1	-1	 deep[0] reds[0] eerie[0] blues[0] a[0] superb[0] use[0] of[0] shadow[0] and[0] contrast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cinematography of luciano tovoli , whose more recent credits include reversal of fortune and single white female , is uniformly superb . 	the cinematography of luciano tovoli , whose more recent credits include reversal of fortune and single white female , is uniformly superb .	1	-1	 the[0] cinematography[0] of[0] luciano[0] tovoli[0] whose[0] more[0] recent[0] credits[0] include[0] reversal[0] of[0] fortune[0] and[0] single[0] white[0] female[0] is[0] uniformly[0] superb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a nod also must go to production designer giuseppe bassan for his wonderful baroque interiors . 	a nod also must go to production designer giuseppe bassan for his wonderful baroque interiors .	3	-1	 a[0] nod[0] also[0] must[0] go[0] to[0] production[0] designer[0] giuseppe[0] bassan[0] for[0] his[0] wonderful[2] baroque[0] interiors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
these kinds of settings are crucial to the atmosphere of argento's more surreal excursions , the other most notable example being inferno ( 1980 ) on which bassan also worked . 	these kinds of settings are crucial to the atmosphere of argento's more surreal excursions , the other most notable example being inferno ( 1980 ) on which bassan also worked .	1	-1	 these[0] kinds[0] of[0] settings[0] are[0] crucial[0] to[0] the[0] atmosphere[0] of[0] argento's[0] more[0] surreal[0] excursions[0] the[0] other[0] most[0] notable[0] example[0] being[0] inferno[0] 1980[0] on[0] which[0] bassan[0] also[0] worked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suspiria is the film that broke dario argento into the major league of european directors , and it is fully deserving of its cult status . 	suspiria is the film that broke dario argento into the major league of european directors , and it is fully deserving of its cult status .	1	-2	 suspiria[0] is[0] the[0] film[0] that[0] broke[-1] dario[0] argento[0] into[0] the[0] major[0] league[0] of[0] european[0] directors[0] and[0] it[0] is[0] fully[0] deserving[0] of[0] its[0] cult[0] status[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the gore is at times a little excessive and overstated - that's always been one of argento's shortcomings - but overall this is a fascinating , compelling example of italian horror . 	the gore is at times a little excessive and overstated - that's always been one of argento's shortcomings - but overall this is a fascinating , compelling example of italian horror .	1	-4	 the[0] gore[0] is[0] at[0] times[0] a[0] little[0] excessive[-1] and[0] overstated[0] that's[0] always[0] been[0] one[0] of[0] argento's[0] shortcomings[-1] but[0] overall[0] this[0] is[0] a[0] fascinating[0] compelling[0] example[0] of[0] italian[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
