scream 2 , like its predecessor , is a genre-crossing film . 	Translation	Positive	Negative	EmotionRationale
i recommend it for other reasons as well . 	i recommend it for other reasons as well .	1	-1	 i[0] recommend[0] it[0] for[0] other[0] reasons[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what i liked best about the horror aspect of the movie is that the monster is not supernatural . 	what i liked best about the horror aspect of the movie is that the monster is not supernatural .	3	-4	 what[0] i[0] liked[2] best[1] about[0] the[0] horror[-3] aspect[0] of[0] the[0] movie[0] is[0] that[0] the[0] monster[-1] is[0] not[0] supernatural[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
no werewolf or ghost or psycho with superhuman strength is responsible . 	no werewolf or ghost or psycho with superhuman strength is responsible .	1	-1	 no[0] werewolf[0] or[0] ghost[0] or[0] psycho[0] with[0] superhuman[0] strength[0] is[0] responsible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a person in a mask and a robe , his only advantage the fear he strikes into his victims . 	it is a person in a mask and a robe , his only advantage the fear he strikes into his victims .	1	-4	 it[0] is[0] a[0] person[0] in[0] a[0] mask[0] and[0] a[0] robe[0] his[0] only[0] advantage[0] the[0] fear[-3] he[0] strikes[0] into[0] his[0] victims[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
no extraordinary leap of faith is needed to believe in the killer . 	no extraordinary leap of faith is needed to believe in the killer .	2	-2	 no[0] extraordinary[0] leap[0] of[0] faith[1] is[0] needed[0] to[0] believe[0] in[0] the[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the down side is that if you are frightened by horror movies , you have less grounds to say " it's just a movie . " 	the down side is that if you are frightened by horror movies , you have less grounds to say " it's just a movie .<br> "	1	-4	 the[0] down[0] side[0] is[0] that[0] if[0] you[0] are[0] frightened[-3] by[0] horror[-3] movies[0] you[0] have[0] less[0] grounds[0] to[0] say[0] it's[0] just[0] a[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the whodunit aspect of the movie is not that great by itself - gale weathers and deputy dewey ( david arquette , also from the original ) track down a killer . 	the whodunit aspect of the movie is not that great by itself - gale weathers and deputy dewey ( david arquette , also from the original ) track down a killer .	1	-3	 the[0] whodunit[0] aspect[0] of[0] the[0] movie[0] is[0] not[0] that[0] great[2][NegatedDueToPreviousWord] by[0] itself[0] gale[0] weathers[0] and[0] deputy[0] dewey[0] david[0] arquette[0] also[0] from[0] the[0] original[0] track[0] down[0] a[0] killer[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are likeable , but not outstanding . 	they are likeable , but not outstanding .	3	-3	 they[0] are[0] likeable[2] but[0] not[0] outstanding[2][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but in combination with the horror aspect , the whodunit is a perfect counterpoint . 	but in combination with the horror aspect , the whodunit is a perfect counterpoint .	2	-4	 but[0] in[0] combination[0] with[0] the[0] horror[-3] aspect[0] the[0] whodunit[0] is[0] a[0] perfect[1] counterpoint[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it was exactly a year ago today that i wrote the review for scream . 	it was exactly a year ago today that i wrote the review for scream .	1	-4	 it[0] was[0] exactly[0] a[0] year[0] ago[0] today[0] that[0] i[0] wrote[0] the[0] review[0] for[0] scream[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the internet movie database says that scream 3 is in the works , so i wonder if i'll be doing the same thing on january 1 , 1999 . 	the internet movie database says that scream 3 is in the works , so i wonder if i'll be doing the same thing on january 1 , 199 .	1	-4	 the[0] internet[0] movie[0] database[0] says[0] that[0] scream[-3] 3[0] is[0] in[0] the[0] works[0] so[0] i[0] wonder[0] if[0] i'll[0] be[0] doing[0] the[0] same[0] thing[0] on[0] january[0] 1[0] 1999/199[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if craven and screenwriter kevin williamson are able to keep the quality high , i'll be happy to mark my calendar . 	if craven and screenwriter kevin williamson are able to keep the quality high , i'll be happy to mark my calendar .	2	-2	 if[0] craven[-1] and[0] screenwriter[0] kevin[0] williamson[0] are[0] able[0] to[0] keep[0] the[0] quality[0] high[0] i'll[0] be[0] happy[1] to[0] mark[0] my[0] calendar[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
