on re-watching italian writer/director dario argento's much lauded murder mystery tenebrae , i was struck more than anything else by how many sins he commits as a storyteller and manages to get away with . 	Translation	Positive	Negative	EmotionRationale
in that respect it strongly recalls his previous giallo deep red/profondo rosso ( the full-length italian language version ) and fans will enjoy spotting the recurring themes . 	in that respect it strongly recalls his previous giallo deep red/profondo rosso ( the full-length italian language version ) and fans will enjoy spotting the recurring themes .	3	-1	 in[0] that[0] respect[2] it[0] strongly[0] recalls[0] his[0] previous[0] giallo[0] deep[0] red/profondo[0] rosso[0] the[0] full[0] length[0] italian[0] language[0] version[0] and[0] fans[0] will[0] enjoy[2] spotting[0] the[0] recurring[0] themes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
needless to say for argento fans , there is no denying the director's brilliance as a stylist . 	needless to say for argento fans , there is no denying the director's brilliance as a stylist .	2	-1	 needless[0] to[0] say[0] for[0] argento[0] fans[0] there[0] is[0] no[0] denying[0] the[0] director's[0] brilliance[1] as[0] a[0] stylist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many of the action and murder sequences are directed with his characteristic finesse and feature plenty of intriguing camerawork . 	many of the action and murder sequences are directed with his characteristic finesse and feature plenty of intriguing camerawork .	1	-4	 many[0] of[0] the[0] action[0] and[0] murder[-3] sequences[0] are[0] directed[0] with[0] his[0] characteristic[0] finesse[0] and[0] feature[0] plenty[0] of[0] intriguing[0] camerawork[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they are all the more impressive for the fact that in this film argento creates mood by filling his scenes with light , rather than the dark shadows and deep rich colours of earlier works like deep red and suspiria . 	they are all the more impressive for the fact that in this film argento creates mood by filling his scenes with light , rather than the dark shadows and deep rich colours of earlier works like deep red and suspiria .	2	-1	 they[0] are[0] all[0] the[0] more[0] impressive[1] for[0] the[0] fact[0] that[0] in[0] this[0] film[0] argento[0] creates[0] mood[0] by[0] filling[0] his[0] scenes[0] with[0] light[0] rather[0] than[0] the[0] dark[0] shadows[0] and[0] deep[0] rich[0] colours[0] of[0] earlier[0] works[0] like[1] deep[0] red[0] and[0] suspiria[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , tenebrae's set design and lighting paints a sleek , clinical , chilly vision of a vaguely futuristic urban world . 	instead , tenebrae's set design and lighting paints a sleek , clinical , chilly vision of a vaguely futuristic urban world .	1	-2	 instead[0] tenebrae's[0] set[0] design[0] and[0] lighting[0] paints[0] a[0] sleek[0] clinical[0] chilly[0] vision[0] of[0] a[0] vaguely[-1] futuristic[0] urban[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the soundtrack's mix of electronic atmospheres and gothic rock by frequent argento collaborators goblin is the perfect accompaniment . 	and the soundtrack's mix of electronic atmospheres and gothic rock by frequent argento collaborators goblin is the perfect accompaniment .	2	-1	 and[0] the[0] soundtrack's[0] mix[0] of[0] electronic[0] atmospheres[0] and[0] gothic[0] rock[1] by[0] frequent[0] argento[0] collaborators[0] goblin[0] is[0] the[0] perfect[1] accompaniment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so tenebrae has much to recommend it , no question . 	so tenebrae has much to recommend it , no question .	1	-1	 so[0] tenebrae[0] has[0] much[0] to[0] recommend[0] it[0] no[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , constantly nagging at the back of this viewers mind is several lumps in the narrative . 	still , constantly nagging at the back of this viewers mind is several lumps in the narrative .	1	-2	 still[0] constantly[0] nagging[-1] at[0] the[0] back[0] of[0] this[0] viewers[0] mind[0] is[0] several[0] lumps[0] in[0] the[0] narrative[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some critics argue that logic doesn't matter in argento films , but damnit , it matters in all films to the point where viewers don't deserve to feel cheated . 	some critics argue that logic doesn't matter in argento films , but damnit , it matters in all films to the point where viewers don't deserve to feel cheated .	1	-3	 some[0] critics[0] argue[-1] that[0] logic[0] doesn't[0] matter[0] in[0] argento[0] films[0] but[0] damnit[-1] it[0] matters[0] in[0] all[0] films[0] to[0] the[0] point[0] where[0] viewers[0] don't[0] deserve[0] to[0] feel[0] cheated[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by the way , if you don't want to know the solution to the mystery then skip the next three paragraphs . 	by the way , if you don't want to know the solution to the mystery then skip the next three paragraphs .	1	-1	 by[0] the[0] way[0] if[0] you[0] don't[0] want[0] to[0] know[0] the[0] solution[0] to[0] the[0] mystery[0] then[0] skip[0] the[0] next[0] three[0] paragraphs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
about an hour into tenebrae the story takes an unexpected twist which , properly handled , could have proved ingenious . 	about an hour into tenebrae the story takes an unexpected twist which , properly handled , could have proved ingenious .	1	-1	 about[0] an[0] hour[0] into[0] tenebrae[0] the[0] story[0] takes[0] an[0] unexpected[0] twist[0] which[0] properly[0] handled[0] could[0] have[0] proved[0] ingenious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we witness the murder of the serial killer himself by a man who , we later discover , is none other than the author peter neal . 	we witness the murder of the serial killer himself by a man who , we later discover , is none other than the author peter neal .	1	-4	 we[0] witness[0] the[0] murder[-3] of[0] the[0] serial[0] killer[-1] himself[0] by[0] a[0] man[0] who[0] we[0] later[0] discover[0] is[0] none[0] other[0] than[0] the[0] author[0] peter[0] neal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is insane , apparently . 	he is insane , apparently .	1	-2	 he[0] is[0] insane[-1] apparently[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the murders then continue for the remainder of the film as neal decides it's time to settle some personal business involving his neurotic wife . 	the murders then continue for the remainder of the film as neal decides it's time to settle some personal business involving his neurotic wife .	1	-4	 the[0] murders[-3] then[0] continue[0] for[0] the[0] remainder[0] of[0] the[0] film[0] as[0] neal[0] decides[0] it's[0] time[0] to[0] settle[0] some[0] personal[0] business[0] involving[0] his[0] neurotic[-2] wife[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is finally revealed to us as this " second killer " in the film's bloody climax . 	he is finally revealed to us as this " second killer " in the film's bloody climax .	1	-2	 he[0] is[0] finally[0] revealed[0] to[0] us[0] as[0] this[0] second[0] killer[-1] in[0] the[0] film's[0] bloody[-1] climax[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but argento muffs the twist , both technically and narratively . 	but argento muffs the twist , both technically and narratively .	1	-1	 but[0] argento[0] muffs[0] the[0] twist[0] both[0] technically[0] and[0] narratively[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you see , we are supposed to be tricked into thinking that during this scene peter neal is actually an innocent witness who was crouching in the bushes nearby the whole time and spying on the killer's house . 	you see , we are supposed to be tricked into thinking that during this scene peter neal is actually an innocent witness who was crouching in the bushes nearby the whole time and spying on the killer's house .	2	-2	 you[0] see[0] we[0] are[0] supposed[0] to[0] be[0] tricked[-1] into[0] thinking[0] that[0] during[0] this[0] scene[0] peter[0] neal[0] is[0] actually[0] an[0] innocent[1] witness[0] who[0] was[0] crouching[0] in[0] the[0] bushes[0] nearby[0] the[0] whole[0] time[0] and[0] spying[0] on[0] the[0] killer's[0] house[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but thanks to poor editing , its had to believe neal could have murdered the killer anyway . 	but thanks to poor editing , its had to believe neal could have murdered the killer anyway .	2	-4	 but[0] thanks[1] to[0] poor[-1] editing[0] its[0] had[0] to[0] believe[0] neal[0] could[0] have[0] murdered[-3] the[0] killer[-1] anyway[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
bad cutting puts the timing way out . 	bad cutting puts the timing way out .	1	-2	 bad[-1] cutting[0] puts[0] the[0] timing[0] way[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in other words , he's almost in two places at once . 	in other words , he's almost in two places at once .	1	-1	 in[0] other[0] words[0] he's[0] almost[0] in[0] two[0] places[0] at[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during this crucial scene we are also thrown a ridiculous red herring . 	during this crucial scene we are also thrown a ridiculous red herring .	1	-3	 during[0] this[0] crucial[0] scene[0] we[0] are[0] also[0] thrown[0] a[0] ridiculous[-2] red[0] herring[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by the film's end you realise that for the sake of an alibi neal must have self-inflicted a nasty injury in this earlier scene to make it look like he was attacked by a fleeing assailant . 	by the film's end you realise that for the sake of an alibi neal must have self-inflicted a nasty injury in this earlier scene to make it look like he was attacked by a fleeing assailant .	2	-3	 by[0] the[0] film's[0] end[0] you[0] realise[0] that[0] for[0] the[0] sake[0] of[0] an[0] alibi[-1] neal[0] must[0] have[0] self[0] inflicted[0] a[0] nasty[-2] injury[-1] in[0] this[0] earlier[0] scene[0] to[0] make[0] it[0] look[0] like[1] he[0] was[0] attacked[-2] by[0] a[0] fleeing[-1] assailant[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the injury ? 	the injury ?	1	-2	 the[0] injury[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he banged himself on the head with a bloody great rock ! 	he banged himself on the head with a bloody great rock !	3	-2	 he[0] banged[0] himself[0] on[0] the[0] head[0] with[0] a[0] bloody[-1] great[2] rock[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
thus , the revelation of the " hero " as a killer ( and anti-hero ) in the final scenes may still prove shocking , but its all somewhat implausible by the time the end credits have rolled . 	thus , the revelation of the " hero " as a killer ( and anti-hero ) in the final scenes may still prove shocking , but its all somewhat implausible by the time the end credits have rolled .	3	-3	 thus[0] the[0] revelation[0] of[0] the[0] hero[2] as[0] a[0] killer[-1] and[0] anti[0] hero[2] in[0] the[0] final[0] scenes[0] may[0] still[0] prove[0] shocking[-2] but[0] its[0] all[0] somewhat[0] implausible[0] by[0] the[0] time[0] the[0] end[0] credits[0] have[0] rolled[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
helpfully , in the end we do learn that the bizarre flashbacks of personal humiliation and murder that have permeated the film belonged to neal all along . 	helpfully , in the end we do learn that the bizarre flashbacks of personal humiliation and murder that have permeated the film belonged to neal all along .	2	-4	 helpfully[1] in[0] the[0] end[0] we[0] do[0] learn[0] that[0] the[0] bizarre[-1] flashbacks[0] of[0] personal[0] humiliation[-3] and[0] murder[-3] that[0] have[0] permeated[0] the[0] film[0] belonged[0] to[0] neal[0] all[0] along[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but there too is a problem , as the explanations offered for his motivations are psychologically fuzzy to say the least . 	but there too is a problem , as the explanations offered for his motivations are psychologically fuzy to say the least .	1	-2	 but[0] there[0] too[0] is[0] a[0] problem[-1] as[0] the[0] explanations[0] offered[0] for[0] his[0] motivations[0] are[0] psychologically[0] fuzzy/fuzy[0] to[0] say[0] the[0] least[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story owes us a better understanding of franciosa's mind , his concealed madness and his sudden murderous rampage . 	the story owes us a better understanding of franciosa's mind , his concealed madness and his sudden murderous rampage .	1	-4	 the[0] story[0] owes[0] us[0] a[0] better[0] understanding[0] of[0] franciosa's[0] mind[0] his[0] concealed[-1] madness[-1] and[0] his[0] sudden[0] murderous[-3] rampage[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
tenebrae is also marred by annoying little inconsistencies . 	tenebrae is also marred by annoying little inconsistencies .	1	-3	 tenebrae[0] is[0] also[0] marred[0] by[0] annoying[-2] little[0] inconsistencies[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for instance , a teenage boy and girl leave a hotel room and minutes later we see the girl riding off on the back of a motorbike . 	for instance , a teenage boy and girl leave a hotel room and minutes later we see the girl riding off on the back of a motorbike .	1	-1	 for[0] instance[0] a[0] teenage[0] boy[0] and[0] girl[0] leave[0] a[0] hotel[0] room[0] and[0] minutes[0] later[0] we[0] see[0] the[0] girl[0] riding[0] off[0] on[0] the[0] back[0] of[0] a[0] motorbike[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we would assume the rider is the same boy , but it turns out to be some male character we aren't even introduced too ! 	we would assume the rider is the same boy , but it turns out to be some male character we aren't even introduced too !	1	-1	 we[0] would[0] assume[0] the[0] rider[0] is[0] the[0] same[0] boy[0] but[0] it[0] turns[0] out[0] to[0] be[0] some[0] male[0] character[0] we[0] aren't[0] even[0] introduced[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's careless filmmaking , pure and simple . 	that's careless filmmaking , pure and simple .	1	-2	 that's[0] careless[-1] filmmaking[0] pure[0] and[0] simple[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why , you may ask , do i go on about the story's flaws ? 	why , you may ask , do i go on about the story's flaws ?	1	-1	 why[0] you[0] may[0] ask[0] do[0] i[0] go[0] on[0] about[0] the[0] story's[0] flaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because when it comes to visuals and set pieces , argento is one of the most exciting filmmakers in the world . 	because when it comes to visuals and set pieces , argento is one of the most exciting filmmakers in the world .	3	-1	 because[0] when[0] it[0] comes[0] to[0] visuals[0] and[0] set[0] pieces[0] argento[0] is[0] one[0] of[0] the[0] most[0] exciting[2] filmmakers[0] in[0] the[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
take one of the extended scenes in tenebrae . 	take one of the extended scenes in tenebrae .	1	-1	 take[0] one[0] of[0] the[0] extended[0] scenes[0] in[0] tenebrae[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an upset girl wandering the streets at night needlessly taunts a guard dog to the point where - almost unbelievably - it jumps a high fence and chases her across town . 	an upset girl wandering the streets at night needlessly taunts a guard dog to the point where - almost unbelievably - it jumps a high fence and chases her across town .	1	-3	 an[0] upset[-2] girl[0] wandering[0] the[0] streets[0] at[0] night[0] needlessly[0] taunts[-1] a[0] guard[0] dog[0] to[0] the[0] point[0] where[0] almost[0] unbelievably[-1] it[0] jumps[0] a[0] high[0] fence[0] and[0] chases[-1] her[0] across[0] town[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
finally , as she desperately seeks escape from this crazed canine , she accidentally stumbles on the serial killer's lair . 	finally , as she desperately seeks escape from this crazed canine , she accidentally stumbles on the serial killer's lair .	1	-3	 finally[0] as[0] she[0] desperately[-2] seeks[0] escape[0] from[0] this[0] crazed[0] canine[0] she[0] accidentally[-1] stumbles[0] on[0] the[0] serial[0] killer's[0] lair[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's an absolutely masterful sequence , tense and exciting , and communicating a wealth of information through visuals alone . 	it's an absolutely masterful sequence , tense and exciting , and communicating a wealth of information through visuals alone .	3	-3	 it's[0] an[0] absolutely[0] masterful[0] sequence[0] tense[-2] and[0] exciting[2] and[0] communicating[0] a[0] wealth[0] of[0] information[0] through[0] visuals[0] alone[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and that's exactly the kind of thing that makes the flaws so frustrating . 	and that's exactly the kind of thing that makes the flaws so frustrating .	2	-3	 and[0] that's[0] exactly[0] the[0] kind[1] of[0] thing[0] that[0] makes[0] the[0] flaws[0] so[0] frustrating[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
too often , it seems , argento's films as a whole are less than the sum of their impressive parts . 	too often , it seems , argento's films as a whole are less than the sum of their impressive parts .	2	-1	 too[0] often[0] it[0] seems[0] argento's[0] films[0] as[0] a[0] whole[0] are[0] less[0] than[0] the[0] sum[0] of[0] their[0] impressive[1] parts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mind you , if you love murder mysteries then tenebrae is still worth a look . 	mind you , if you love murder mysteries then tenebrae is still worth a look .	3	-4	 mind[0] you[0] if[0] you[0] love[2] murder[-3] mysteries[0] then[0] tenebrae[0] is[0] still[0] worth[0] a[0] look[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and if you're a fan of argento's unique style of giallo thriller then it's essential . 	and if you're a fan of argento's unique style of giallo thriller then it's essential .	2	-1	 and[0] if[0] you're[0] a[0] fan[0] of[0] argento's[0] unique[0] style[0] of[0] giallo[0] thriller[1] then[0] it's[0] essential[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see the uncut widescreen version if you can and drink in some of the wonderful cinematography by luciano tovoli . 	see the uncut widescreen version if you can and drink in some of the wonderful cinematography by luciano tovoli .	3	-1	 see[0] the[0] uncut[0] widescreen[0] version[0] if[0] you[0] can[0] and[0] drink[0] in[0] some[0] of[0] the[0] wonderful[2] cinematography[0] by[0] luciano[0] tovoli[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a stylish , great-looking and quirky film despite the problem narrative . 	it's a stylish , great-looking and quirky film despite the problem narrative .	3	-2	 it's[0] a[0] stylish[0] great[2] looking[0] and[0] quirky[0] film[0] despite[0] the[0] problem[-1] narrative[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a shame , because it doesn't have to be that way . 	a shame , because it doesn't have to be that way .	1	-3	 a[0] shame[-2] because[0] it[0] doesn't[0] have[0] to[0] be[0] that[0] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
take argento's more recent stendhal syndrome ( 1992 ) , where with the aid of co-writer franco ferrini he fashioned a solid storyline without sacrificing any of his surreal weirdness or visual panache . 	take argento's more recent stendhal syndrome ( 1992 ) , where with the aid of co-writer franco ferrini he fashioned a solid storyline without sacrificing any of his surreal weirdness or visual panache .	1	-2	 take[0] argento's[0] more[0] recent[0] stendhal[0] syndrome[0] 1992[0] where[0] with[0] the[0] aid[0] of[0] co[0] writer[0] franco[0] ferrini[0] he[0] fashioned[0] a[0] solid[0] storyline[0] without[0] sacrificing[0] any[0] of[0] his[0] surreal[0] weirdness[-1] or[0] visual[0] panache[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
proof that he can do it , if he tries . . . 	proof that he can do it , if he tries .<br> .<br> .	1	-1	 proof[0] that[0] he[0] can[0] do[0] it[0] if[0] he[0] tries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
