it was easy to fear the worst . 	Translation	Positive	Negative	EmotionRationale
tommy lee jones is nothing short of brilliant as gerard , because he manages an incredibly challenging feat . 	tommy lee jones is nothing short of brilliant as gerard , because he manages an incredibly challenging feat .	2	-1	 tommy[0] lee[0] jones[0] is[0] nothing[0] short[0] of[0] brilliant[1] as[0] gerard[0] because[0] he[0] manages[0] an[0] incredibly[0] challenging[0] feat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the first third of the film , there is really no * villain * per se ; kimble is on the run , and gerard is out to find him . 	for the first third of the film , there is really no * villain * per se ; kimble is on the run , and gerard is out to find him .	1	-3	 for[0] the[0] first[0] third[0] of[0] the[0] film[0] there[0] is[0] really[0] no[0] villain[-2] per[0] se[0] kimble[0] is[0] on[0] the[0] run[0] and[0] gerard[0] is[0] out[0] to[0] find[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it would have been very easy to turn gerard into a malevolent , vindictive inspector javert , but that never happens . 	it would have been very easy to turn gerard into a malevolent , vindictive inspector javert , but that never happens .	1	-1	 it[0] would[0] have[0] been[0] very[0] easy[0] to[0] turn[0] gerard[0] into[0] a[0] malevolent[0] vindictive[0] inspector[0] javert[0] but[0] that[0] never[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead jones plays him as a sharp , committed man who's just doing his job , so that when he responds to kimble's comment , " i didn't kill my wife , " with a matter-of-fact , " i don't care , " we know exactly what he means . 	instead jones plays him as a sharp , committed man who's just doing his job , so that when he responds to kimble's comment , " i didn't kill my wife , " with a matter-of-fact , " i don't care , " we know exactly what he means .	2	-2	 instead[0] jones[0] plays[1] him[0] as[0] a[0] sharp[0] committed[0] man[0] who's[0] just[0] doing[0] his[0] job[0] so[0] that[0] when[0] he[0] responds[0] to[0] kimble's[0] comment[0] i[0] didn't[0] kill[-1] my[0] wife[0] with[0] a[0] matter[0] of[0] fact[0] i[0] don't[0] care[1][NegatedDueToPreviousWord] we[0] know[0] exactly[0] what[0] he[0] means[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not his job to determine guilt or innocence . 	it's not his job to determine guilt or innocence .	2	-4	 it's[0] not[0] his[0] job[0] to[0] determine[0] guilt[-3] or[0] innocence[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's his job to bring in a fugitive . 	it's his job to bring in a fugitive .	1	-2	 it's[0] his[0] job[0] to[0] bring[0] in[0] a[0] fugitive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a well- written character played with relish by an actor at the top of his form . 	this is a well- written character played with relish by an actor at the top of his form .	1	-1	 this[0] is[0] a[0] well[0] written[0] character[0] played[0] with[0] relish[0] by[0] an[0] actor[0] at[0] the[0] top[0] of[0] his[0] form[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only unfortunate thing about jones' stunning turn is that it's likely to overshadow harrison ford , and that's a shame . 	the only unfortunate thing about jones' stunning turn is that it's likely to overshadow harrison ford , and that's a shame .	1	-3	 the[0] only[0] unfortunate[-1] thing[0] about[0] jones'[0] stunning[0] turn[0] is[0] that[0] it's[0] likely[0] to[0] overshadow[0] harrison[0] ford[0] and[0] that's[0] a[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for his entire career , ford has been underappreciated as an actor due to his pigeonholing as an action hero . 	for his entire career , ford has been underappreciated as an actor due to his pigeonholing as an action hero .	3	-1	 for[0] his[0] entire[0] career[0] ford[0] has[0] been[0] underappreciated[0] as[0] an[0] actor[0] due[0] to[0] his[0] pigeonholing[0] as[0] an[0] action[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , he does a fine job with the less flashy part of kimble , always keeping at the forefront the advantage this man has because of his intelligence . 	however , he does a fine job with the less flashy part of kimble , always keeping at the forefront the advantage this man has because of his intelligence .	3	-1	 however[0] he[0] does[0] a[0] fine[2] job[0] with[0] the[0] less[0] flashy[0] part[0] of[0] kimble[0] always[0] keeping[0] at[0] the[0] forefront[0] the[0] advantage[0] this[0] man[0] has[0] because[0] of[0] his[0] intelligence[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the fugitive could only work to its fullest if the two protagonists always seemed to be on equal footing , and ford is up to the task . 	the fugitive could only work to its fullest if the two protagonists always seemed to be on equal footing , and ford is up to the task .	1	-2	 the[0] fugitive[-1] could[0] only[0] work[0] to[0] its[0] fullest[0] if[0] the[0] two[0] protagonists[0] always[0] seemed[0] to[0] be[0] on[0] equal[0] footing[0] and[0] ford[0] is[0] up[0] to[0] the[0] task[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this summer has been loaded with action/suspense films , and most of them have been doing brisk business . 	this summer has been loaded with action/suspense films , and most of them have been doing brisk business .	1	-1	 this[0] summer[0] has[0] been[0] loaded[0] with[0] action/suspense[0] films[0] and[0] most[0] of[0] them[0] have[0] been[0] doing[0] brisk[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , it's time for clint , sean , and various dinosaurs to step aside . 	however , it's time for clint , sean , and various dinosaurs to step aside .	1	-1	 however[0] it's[0] time[0] for[0] clint[0] sean[0] and[0] various[0] dinosaurs[0] to[0] step[0] aside[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the chase is on . 	the chase is on .	1	-2	 the[0] chase[-1] is[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my advice is to catch it . 	my advice is to catch it .	1	-1	 my[0] advice[0] is[0] to[0] catch[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
