one of the best movies i've ever seen . 	Translation	Positive	Negative	EmotionRationale
the three male leads - guy pearce , kevin spacey and russell crowe are all just terrific . 	the three male leads - guy pearce , kevin spacey and russell crowe are all just terrific .	3	-1	 the[0] three[0] male[0] leads[0] guy[0] pearce[0] kevin[0] spacey[0] and[0] russell[0] crowe[0] are[0] all[0] just[0] terrific[3][-1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the 'best actor' oscar talk surrounding this film should have netted one of them a statue , but there is one problem there . 	the 'best actor' oscar talk surrounding this film should have netted one of them a statue , but there is one problem there .	1	-2	 the[0] 'best[0] actor'[0] oscar[0] talk[0] surrounding[0] this[0] film[0] should[0] have[0] netted[0] one[0] of[0] them[0] a[0] statue[0] but[0] there[0] is[0] one[0] problem[-1] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how could they have chosen between these three actors ? 	how could they have chosen between these three actors ?	1	-1	 how[0] could[0] they[0] have[0] chosen[0] between[0] these[0] three[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no way i could look at this film and say one of them was better than the other two . 	there is no way i could look at this film and say one of them was better than the other two .	1	-1	 there[0] is[0] no[0] way[0] i[0] could[0] look[0] at[0] this[0] film[0] and[0] say[0] one[0] of[0] them[0] was[0] better[0] than[0] the[0] other[0] two[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's impossible . 	it's impossible .	1	-1	 it's[0] impossible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kim bassinger's performance is also a revelation . 	kim bassinger's performance is also a revelation .	1	-1	 kim[0] bassinger's[0] performance[0] is[0] also[0] a[0] revelation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd never been a big fan of hers before and always thought she was , well . . . what's the word - a twinky ? 	i'd never been a big fan of hers before and always thought she was , well .<br> .<br> .<br> what's the word - a twinky ?	1	-1	 i'd[0] never[0] been[0] a[0] big[0] fan[0] of[0] hers[0] before[0] and[0] always[0] thought[0] she[0] was[0] well[0] [[Sentence=-1,1=word max, 1-5]] what's[0] the[0] word[0] a[0] twinky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that impression has changed , as she complemented crowe and pearce perfectly . 	that impression has changed , as she complemented crowe and pearce perfectly .	2	-1	 that[0] impression[0] has[0] changed[0] as[0] she[0] complemented[0] crowe[0] and[0] pearce[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the depth to the story and characters is truly astounding . 	the depth to the story and characters is truly astounding .	2	-1	 the[0] depth[0] to[0] the[0] story[0] and[0] characters[0] is[0] truly[1] astounding[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no cardboard characters here . 	no cardboard characters here .	1	-1	 no[0] cardboard[0] characters[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is full of twists and turns and some very clever sequences . 	the plot is full of twists and turns and some very clever sequences .	1	-1	 the[0] plot[0] is[0] full[0] of[0] twists[0] and[0] turns[0] and[0] some[0] very[0] clever[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pearce's interogation of three seperate suspects is nothing short of brilliant . 	pearce's interogation of three seperate suspects is nothing short of brilliant .	2	-1	 pearce's[0] interogation[0] of[0] three[0] seperate[0] suspects[0] is[0] nothing[0] short[0] of[0] brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i really can't fault this movie at all . 	i really can't fault this movie at all .	2	-1	 i[0] really[0] can't[0] fault[-1][NegatedDueToPreviousWord] this[0] movie[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was so glad to see fellow australian's pearce and crowe star in such a breathtaking movie . 	i was so glad to see fellow australian's pearce and crowe star in such a breathtaking movie .	2	-1	 i[0] was[0] so[0] glad[1] to[0] see[0] fellow[0] australian's[0] pearce[0] and[0] crowe[0] star[0] in[0] such[0] a[0] breathtaking[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i had been very familiar with russell crowe beforehand from his many australian films , but had not seen much of guy pearce . 	i had been very familiar with russell crowe beforehand from his many australian films , but had not seen much of guy pearce .	1	-1	 i[0] had[0] been[0] very[0] familiar[0] with[0] russell[0] crowe[0] beforehand[0] from[0] his[0] many[0] australian[0] films[0] but[0] had[0] not[0] seen[0] much[0] of[0] guy[0] pearce[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i intend to change this next time i visit the video store : ) 	i intend to change this next time i visit the video store : )	1	-1	 i[0] intend[0] to[0] change[0] this[0] next[0] time[0] i[0] visit[0] the[0] video[0] store[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
