every once in a while you see a film that is so effective in delivering the goods that it is easy to forget , and forgive , its glaring imperfections . 	Translation	Positive	Negative	EmotionRationale
even though we ? ve seen movies about misunderstood , erratic prodigies before ( ? shine ? ring a bell ? ) , the script here creates a complex narrative that doesn ? t just focus solely on one character . 	even though we ?<br> ve seen movies about misunderstood , erratic prodigies before ( ?<br> shine ?<br> ring a bell ?<br> ) , the script here creates a complex narrative that doesn ?<br> t just focus solely on one character .	1	-2	 even[0] though[0] we[0] [[Sentence=-1,1=word max, 1-5]] ve[0] seen[0] movies[0] about[0] misunderstood[-1] erratic[0] prodigies[0] before[0] [[Sentence=-2,1=word max, 1-5]] shine[0] [[Sentence=-1,1=word max, 1-5]] ring[0] a[0] bell[0] [[Sentence=-1,1=word max, 1-5]] the[0] script[0] here[0] creates[0] a[0] complex[0] narrative[0] that[0] doesn[0] [[Sentence=-1,1=word max, 1-5]] t[0] just[0] focus[0] solely[0] on[0] one[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
alas though , this is not a perfect film , as much as you feel like it could ? ve been while watching it . 	alas though , this is not a perfect film , as much as you feel like it could ?<br> ve been while watching it .	2	-2	 alas[-1] though[0] this[0] is[0] not[0] a[0] perfect[1][NegatedDueToPreviousWord] film[0] as[0] much[0] as[0] you[0] feel[0] like[1] it[0] could[0] [[Sentence=-2,2=word max, 1-5]] ve[0] been[0] while[0] watching[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
the one real problem i had with it is the unrealistic nature of the main character . 	the one real problem i had with it is the unrealistic nature of the main character .	1	-2	 the[0] one[0] real[0] problem[-1] i[0] had[0] with[0] it[0] is[0] the[0] unrealistic[0] nature[0] of[0] the[0] main[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is it possible for a lowly janitor to be this intelligent ? 	is it possible for a lowly janitor to be this intelligent ?	2	-2	 is[0] it[0] possible[0] for[0] a[0] lowly[-1] janitor[0] to[0] be[0] this[0] intelligent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course . 	of course .	1	-1	 of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it possible for him to be estranged from any deep , human relationships ? 	is it possible for him to be estranged from any deep , human relationships ?	1	-2	 is[0] it[0] possible[0] for[0] him[0] to[0] be[0] estranged[-1] from[0] any[0] deep[0] human[0] relationships[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
usually , yes . 	usually , yes .	1	-1	 usually[0] yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , is it possible for him to also be so handsome , funny , quick with the tongue , and city-street tough ? 	but , is it possible for him to also be so handsome , funny , quick with the tongue , and city-street tough ?	2	-2	 but[0] is[0] it[0] possible[0] for[0] him[0] to[0] also[0] be[0] so[0] handsome[1] funny[1] quick[0] with[0] the[0] tongue[0] and[0] city[0] street[0] tough[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not very likely . 	not very likely .	1	-1	 not[0] very[0] likely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
come on , usually these guys are total nerds who can ? t even buy their own shirts , much less talk down a harvard student in a hip pub while picking up phone numbers from pretty med . -school 	come on , usually these guys are total nerds who can ?<br> t even buy their own shirts , much less talk down a harvard student in a hip pub while picking up phone numbers from pretty med .<br> -school	3	-4	 come[0] on[0] usually[0] these[0] guys[0] are[0] total[0] nerds[-2][-1 LastWordBoosterStrength] who[0] can[0] [[Sentence=-4,1=word max, 1-5]] t[0] even[0] buy[0] their[0] own[0] shirts[0] much[0] less[0] talk[0] down[0] a[0] harvard[0] student[0] in[0] a[0] hip[0] pub[0] while[0] picking[0] up[0] phone[0] numbers[0] from[0] pretty[2] med[0] [[Sentence=-1,3=word max, 1-5]] school[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
girls . 	girls .	1	-1	 girls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will is just a little too perfect , and in order to accept the character your disbelief suspension needs to be in excellent working condition . 	will is just a little too perfect , and in order to accept the character your disbelief suspension needs to be in excellent working condition .	4	-2	 will[0] is[0] just[0] a[0] little[0] too[0] perfect[1] and[0] in[0] order[0] to[0] accept[0] the[0] character[0] your[0] disbelief[-1] suspension[-1] needs[0] to[0] be[0] in[0] excellent[3] working[0] condition[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the heavy-handed , anti-war statement made by will at a government job interview late in the film is also boorish , overlong , pompous , and completely unnecessary . 	the heavy-handed , anti-war statement made by will at a government job interview late in the film is also boorish , overlong , pompous , and completely unnecessary .	1	-3	 the[0] heavy[0] handed[0] anti[0] war[-2] statement[0] made[0] by[0] will[0] at[0] a[0] government[0] job[0] interview[0] late[0] in[0] the[0] film[0] is[0] also[0] boorish[0] overlong[0] pompous[-1] and[0] completely[0] unnecessary[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all this sounds pretty bad , but the film somehow makes up for it in other ways . 	all this sounds pretty bad , but the film somehow makes up for it in other ways .	3	-2	 all[0] this[0] sounds[0] pretty[2] bad[-1] but[0] the[0] film[0] somehow[0] makes[0] up[0] for[0] it[0] in[0] other[0] ways[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
damon ? s acting overshadows the fact that the character is slightly unbelievable , his performance is truly extraordinary . 	damon ?<br> s acting overshadows the fact that the character is slightly unbelievable , his performance is truly extraordinary .	2	-1	 damon[0] [[Sentence=-1,1=word max, 1-5]] s[0] acting[0] overshadows[0] the[0] fact[0] that[0] the[0] character[0] is[0] slightly[0] unbelievable[-1][--1 LastWordBoosterStrength] his[0] performance[0] is[0] truly[1] extraordinary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
which leads me to the really good part of the review . 	which leads me to the really good part of the review .	3	-1	 which[0] leads[0] me[0] to[0] the[0] really[0] good[1][1 LastWordBoosterStrength] part[0] of[0] the[0] review[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the strength of this movie can be summed up in one single word : acting . 	the strength of this movie can be summed up in one single word : acting .	1	-1	 the[0] strength[0] of[0] this[0] movie[0] can[0] be[0] summed[0] up[0] in[0] one[0] single[0] word[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can ? t recall seeing a film recently that was so well-acted from top to bottom . 	i can ?<br> t recall seeing a film recently that was so well-acted from top to bottom .	1	-1	 i[0] can[0] [[Sentence=-1,1=word max, 1-5]] t[0] recall[0] seeing[0] a[0] film[0] recently[0] that[0] was[0] so[0] well[0] acted[0] from[0] top[0] to[0] bottom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from minnie driver ? s frustrated lover to ben affleck ? s laid-back best friend , and all the small roles in between , the performances are magnificent . 	from minnie driver ?<br> s frustrated lover to ben affleck ?<br> s laid-back best friend , and all the small roles in between , the performances are magnificent .	4	-3	 from[0] minnie[0] driver[0] [[Sentence=-1,1=word max, 1-5]] s[0] frustrated[-2] lover[3] to[0] ben[0] affleck[0] [[Sentence=-3,4=word max, 1-5]] s[0] laid[0] back[0] best[1] friend[1] and[0] all[0] the[0] small[0] roles[0] in[0] between[0] the[0] performances[0] are[0] magnificent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-3 max of sentences]]]
robin williams ? skill is a given as a bereaved psychologist who could ? ve had a legendary career but was knocked off the path somewhere down the line . 	robin williams ?<br> skill is a given as a bereaved psychologist who could ?<br> ve had a legendary career but was knocked off the path somewhere down the line .	1	-4	 robin[0] williams[0] [[Sentence=-1,1=word max, 1-5]] skill[0] is[0] a[0] given[0] as[0] a[0] bereaved[-3] psychologist[0] who[0] could[0] [[Sentence=-4,1=word max, 1-5]] ve[0] had[0] a[0] legendary[0] career[0] but[0] was[0] knocked[0] off[0] the[0] path[0] somewhere[0] down[0] the[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
the real gem though is stellan skarsg ? rd ? s turn as professor lambeau , an award-winning mathematician who feels reduced in comparison to a younger , smarter will hunting . 	the real gem though is stellan skarsg ?<br> rd ?<br> s turn as professor lambeau , an award-winning mathematician who feels reduced in comparison to a younger , smarter will hunting .	2	-1	 the[0] real[0] gem[0] though[0] is[0] stellan[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] [[Sentence=-1,1=word max, 1-5]] s[0] turn[0] as[0] professor[0] lambeau[0] an[0] award[0] winning[1] mathematician[0] who[0] feels[0] reduced[0] in[0] comparison[0] to[0] a[0] younger[0] smarter[1] will[0] hunting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the scenes between williams and skarsg ? rd , as two old college pals who ? ve been brought back together by this enigmatic kid , display some of the best acting i ? ve ever seen . 	the scenes between williams and skarsg ?<br> rd , as two old college pals who ?<br> ve been brought back together by this enigmatic kid , display some of the best acting i ?<br> ve ever seen .	2	-1	 the[0] scenes[0] between[0] williams[0] and[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] as[0] two[0] old[0] college[0] pals[0] who[0] [[Sentence=-1,1=word max, 1-5]] ve[0] been[0] brought[0] back[0] together[0] by[0] this[0] enigmatic[0] kid[0] display[0] some[0] of[0] the[0] best[1] acting[0] i[0] [[Sentence=-1,2=word max, 1-5]] ve[0] ever[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
when i say delivering the goods , this is what i ? m talking about . 	when i say delivering the goods , this is what i ?<br> m talking about .	1	-1	 when[0] i[0] say[0] delivering[0] the[0] goods[0] this[0] is[0] what[0] i[0] [[Sentence=-1,1=word max, 1-5]] m[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching these two work is what going to see movies is all about . 	watching these two work is what going to see movies is all about .	1	-1	 watching[0] these[0] two[0] work[0] is[0] what[0] going[0] to[0] see[0] movies[0] is[0] all[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gus van sant ? s ( to die for , drugstore cowboy ) cold , urban direction is right on , as well as danny elfman ? s sauntering musical score . 	gus van sant ?<br> s ( to die for , drugstore cowboy ) cold , urban direction is right on , as well as danny elfman ?<br> s sauntering musical score .	1	-2	 gus[0] van[0] sant[0] [[Sentence=-1,1=word max, 1-5]] s[0] to[0] die[0] for[0] drugstore[0] cowboy[0] cold[-1] urban[0] direction[0] is[0] right[0] on[0] as[0] well[0] as[0] danny[0] elfman[0] [[Sentence=-2,1=word max, 1-5]] s[0] sauntering[0] musical[0] score[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
i highly recommend ? good will hunting ? . 	i highly recommend ?<br> good will hunting ?<br> .	2	-1	 i[0] highly[0] recommend[0] [[Sentence=-1,1=word max, 1-5]] good[1] will[0] hunting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
despite its faults , it is still an intriguing and fascinating film and you are not likely to see a better acted one this year . 	despite its faults , it is still an intriguing and fascinating film and you are not likely to see a better acted one this year .	1	-2	 despite[0] its[0] faults[-1] it[0] is[0] still[0] an[0] intriguing[0] and[0] fascinating[0] film[0] and[0] you[0] are[0] not[0] likely[0] to[0] see[0] a[0] better[0] acted[0] one[0] this[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
