director david fincher has such an eye for detail which is very rare in hollywood these days ( terry gilliam comes to mind as another one ) . 	Translation	Positive	Negative	EmotionRationale
as skeptical as nicholas is , he is somewhat intrigued , and annoyed by the lack of information--something this businessman hates . 	as skeptical as nicholas is , he is somewhat intrigued , and annoyed by the lack of information-something this businessman hates .	1	-4	 as[0] skeptical[-1] as[0] nicholas[0] is[0] he[0] is[0] somewhat[0] intrigued[0] and[0] annoyed[-2] by[0] the[0] lack[-1] of[0] information[0] something[0] this[0] businessman[0] hates[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
seeing a billboard in an office , he decides to visit the mysterious company . 	seeing a billboard in an office , he decides to visit the mysterious company .	1	-1	 seeing[0] a[0] billboard[0] in[0] an[0] office[0] he[0] decides[0] to[0] visit[0] the[0] mysterious[0] company[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jim feingold ( james rebhorn ) greets nicholas and guides him through the sign-up process , which consists of psych-tests , physicals , emotional responses , and other mind games . 	jim feingold ( james rebhorn ) greets nicholas and guides him through the sign-up process , which consists of psych-tests , physicals , emotional responses , and other mind games .	1	-2	 jim[0] feingold[0] james[0] rebhorn[0] greets[0] nicholas[0] and[0] guides[0] him[0] through[0] the[0] sign[0] up[0] process[0] which[0] consists[0] of[0] psych[0] tests[0] physicals[0] emotional[-1] responses[0] and[0] other[0] mind[0] games[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " each game is suited to each person's emotional and psychological needs , " explains feingold . 	 " each game is suited to each person's emotional and psychological needs , " explains feingold .	1	-2	 each[0] game[0] is[0] suited[0] to[0] each[0] person's[0] emotional[-1] and[0] psychological[0] needs[0] explains[0] feingold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one day , nicholas gets a call from crs and they explain that he failed the tests . 	one day , nicholas gets a call from crs and they explain that he failed the tests .	1	-3	 one[0] day[0] nicholas[0] gets[0] a[0] call[0] from[0] crs[0] and[0] they[0] explain[0] that[0] he[0] failed[-2] the[0] tests[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even more intrigued and now somewhat angered at the time he spent signing up , he starts asking around to see what people can tell him about the company . 	even more intrigued and now somewhat angered at the time he spent signing up , he starts asking around to see what people can tell him about the company .	1	-4	 even[0] more[0] intrigued[0] and[0] now[0] somewhat[0] angered[-3] at[0] the[0] time[0] he[0] spent[0] signing[0] up[0] he[0] starts[0] asking[0] around[0] to[0] see[0] what[0] people[0] can[0] tell[0] him[0] about[0] the[0] company[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what he doesn't realize is that the game has already begun . 	what he doesn't realize is that the game has already begun .	1	-1	 what[0] he[0] doesn't[0] realize[0] is[0] that[0] the[0] game[0] has[0] already[0] begun[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the phone call is just the first of many strange events to be thrown nicholas' way . 	the phone call is just the first of many strange events to be thrown nicholas' way .	1	-1	 the[0] phone[0] call[0] is[0] just[0] the[0] first[0] of[0] many[0] strange[0] events[0] to[0] be[0] thrown[0] nicholas'[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how he finds out that he is involved has to be witnessed because it is amusing and fun and visually impressive . 	how he finds out that he is involved has to be witnessed because it is amusing and fun and visually impressive .	2	-1	 how[0] he[0] finds[0] out[0] that[0] he[0] is[0] involved[0] has[0] to[0] be[0] witnessed[0] because[0] it[0] is[0] amusing[1] and[0] fun[1] and[0] visually[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the detail involved in fincher's shots is incredible and almost requires a second viewing just to appreciate the effort that went into them . 	the detail involved in fincher's shots is incredible and almost requires a second viewing just to appreciate the effort that went into them .	2	-1	 the[0] detail[0] involved[0] in[0] fincher's[0] shots[0] is[0] incredible[0] and[0] almost[0] requires[0] a[0] second[0] viewing[0] just[0] to[0] appreciate[1] the[0] effort[0] that[0] went[0] into[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with " seven , " fincher had almost every single shot mean something . 	with " seven , " fincher had almost every single shot mean something .	1	-2	 with[0] seven[0] fincher[0] had[0] almost[0] every[0] single[0] shot[-1] mean[0] something[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also has the unique ability to make you look at exactly what he wants you to . 	he also has the unique ability to make you look at exactly what he wants you to .	1	-1	 he[0] also[0] has[0] the[0] unique[0] ability[0] to[0] make[0] you[0] look[0] at[0] exactly[0] what[0] he[0] wants[0] you[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
compared to " seven , " though , the game is light and comical . 	compared to " seven , " though , the game is light and comical .	1	-1	 compared[0] to[0] seven[0] though[0] the[0] game[0] is[0] light[0] and[0] comical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because of this film's sense of humor and self-awareness , nothing can be taken quite seriously . 	because of this film's sense of humor and self-awareness , nothing can be taken quite seriously .	3	-1	 because[0] of[0] this[0] film's[0] sense[0] of[0] humor[2] and[0] self[0] awareness[0] nothing[0] can[0] be[0] taken[0] quite[0] seriously[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so don't try to make much sense of what goes on in the game , because it doesn't want you to . 	so don't try to make much sense of what goes on in the game , because it doesn't want you to .	1	-1	 so[0] don't[0] try[0] to[0] make[0] much[0] sense[0] of[0] what[0] goes[0] on[0] in[0] the[0] game[0] because[0] it[0] doesn't[0] want[0] you[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what does make sense is the final revelation--when everything becomes apparent and clear . 	what does make sense is the final revelation-when everything becomes apparent and clear .	1	-1	 what[0] does[0] make[0] sense[0] is[0] the[0] final[0] revelation[0] when[0] everything[0] becomes[0] apparent[0] and[0] clear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if taken as it is , the game's ending makes complete sense . 	if taken as it is , the game's ending makes complete sense .	1	-1	 if[0] taken[0] as[0] it[0] is[0] the[0] game's[0] ending[0] makes[0] complete[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but if you try and critique every minute detail , then you get yourself into plot holes and incredibility . 	but if you try and critique every minute detail , then you get yourself into plot holes and incredibility .	1	-1	 but[0] if[0] you[0] try[0] and[0] critique[0] every[0] minute[0] detail[0] then[0] you[0] get[0] yourself[0] into[0] plot[0] holes[0] and[0] incredibility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps that is the reason i docked the film . 	perhaps that is the reason i docked the film .	1	-1	 perhaps[0] that[0] is[0] the[0] reason[0] i[0] docked[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while trying to remain realistic and plausible , the plot is too unbelievable to create any real tension on screen . 	while trying to remain realistic and plausible , the plot is too unbelievable to create any real tension on screen .	1	-3	 while[0] trying[0] to[0] remain[0] realistic[0] and[0] plausible[0] the[0] plot[0] is[0] too[0] unbelievable[-1] to[0] create[0] any[0] real[0] tension[-2] on[0] screen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we don't really care if douglas' character lives or not because it isn't believable . 	we don't really care if douglas' character lives or not because it isn't believable .	1	-3	 we[0] don't[0] really[0] care[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] if[0] douglas'[0] character[0] lives[0] or[0] not[0] because[0] it[0] isn't[0] believable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ending requires you to have believed anything that has happened previously , but if you suspend disbelief and take the film as it is , you can accept the game as an emotionally and psycholically disturbing thriller . 	the ending requires you to have believed anything that has happened previously , but if you suspend disbelief and take the film as it is , you can accept the game as an emotionally and psycholically disturbing thriller .	2	-2	 the[0] ending[0] requires[0] you[0] to[0] have[0] believed[0] anything[0] that[0] has[0] happened[0] previously[0] but[0] if[0] you[0] suspend[-1] disbelief[-1] and[0] take[0] the[0] film[0] as[0] it[0] is[0] you[0] can[0] accept[0] the[0] game[0] as[0] an[0] emotionally[0] and[0] psycholically[0] disturbing[-1] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
michael douglas gives a terrific performance as nicholas . 	michael douglas gives a terrific performance as nicholas .	4	-1	 michael[0] douglas[0] gives[0] a[0] terrific[3] performance[0] as[0] nicholas[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
douglas has played lonely businessmen before , but here he adds another level to his performance . 	douglas has played lonely businessmen before , but here he adds another level to his performance .	1	-2	 douglas[0] has[0] played[0] lonely[-1] businessmen[0] before[0] but[0] here[0] he[0] adds[0] another[0] level[0] to[0] his[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his character , who is normally level-headed and relies on facts , is forced to trust nobody . 	his character , who is normally level-headed and relies on facts , is forced to trust nobody .	2	-1	 his[0] character[0] who[0] is[0] normally[0] level[0] headed[0] and[0] relies[0] on[0] facts[0] is[0] forced[0] to[0] trust[1] nobody[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
can he believe the waitress he bumped into ? 	can he believe the waitress he bumped into ?	1	-1	 can[0] he[0] believe[0] the[0] waitress[0] he[0] bumped[0] into[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what about his brother who got him involved in the game in the first place ? 	what about his brother who got him involved in the game in the first place ?	1	-1	 what[0] about[0] his[0] brother[0] who[0] got[0] him[0] involved[0] in[0] the[0] game[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
douglas portrays this aspect of his character extremely well , and gives one of his best performances ( even better than his " falling down " persona ) . 	douglas portrays this aspect of his character extremely well , and gives one of his best performances ( even better than his " falling down " persona ) .	2	-1	 douglas[0] portrays[0] this[0] aspect[0] of[0] his[0] character[0] extremely[0] well[0] and[0] gives[0] one[0] of[0] his[0] best[1] performances[0] even[0] better[0] than[0] his[0] falling[0] down[0] persona[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the supporting cast is essential in this film , and casting was critical . 	the supporting cast is essential in this film , and casting was critical .	2	-2	 the[0] supporting[1] cast[0] is[0] essential[0] in[0] this[0] film[0] and[0] casting[0] was[0] critical[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sean penn is always good , and he gives yet another credible performance as douglas' brother . 	sean pen is always good , and he gives yet another credible performance as douglas' brother .	2	-1	 sean[0] penn/pen[0] is[0] always[0] good[1] and[0] he[0] gives[0] yet[0] another[0] credible[0] performance[0] as[0] douglas'[0] brother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
deborah kara unger ( from " crash " ) is the waitress he bumps into , and her performance is extremely good . 	deborah kara unger ( from " crash " ) is the waitress he bumps into , and her performance is extremely good .	4	-1	 deborah[0] kara[0] unger[0] from[0] crash[0] is[0] the[0] waitress[0] he[0] bumps[0] into[0] and[0] her[0] performance[0] is[0] extremely[0] good[1][2 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in fact , she almost steals the film from douglas . 	in fact , she almost steals the film from douglas .	1	-3	 in[0] fact[0] she[0] almost[0] steals[-2] the[0] film[0] from[0] douglas[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
james rebhorn portrays his character very well , and adds some confusion and desparation to douglas' predicament . 	james rebhorn portrays his character very well , and adds some confusion and desparation to douglas' predicament .	1	-2	 james[0] rebhorn[0] portrays[0] his[0] character[0] very[0] well[0] and[0] adds[0] some[0] confusion[-1][--1 LastWordBoosterStrength] and[0] desparation[0] to[0] douglas'[0] predicament[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another good performance comes from armin mueller-stahl ( from " shine " ) as the book editor . 	another good performance comes from armin mueller-stahl ( from " shine " ) as the book editor .	2	-1	 another[0] good[1] performance[0] comes[0] from[0] armin[0] mueller[0] stahl[0] from[0] shine[0] as[0] the[0] book[0] editor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but considering that douglas is in every single scene of the game , he not only commands this cast , but makes this distant and lonely character come to colorful life . 	but considering that douglas is in every single scene of the game , he not only commands this cast , but makes this distant and lonely character come to colorful life .	1	-2	 but[0] considering[0] that[0] douglas[0] is[0] in[0] every[0] single[0] scene[0] of[0] the[0] game[0] he[0] not[0] only[0] commands[0] this[0] cast[0] but[0] makes[0] this[0] distant[0] and[0] lonely[-1] character[0] come[0] to[0] colorful[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the game is rated r for language , violence , some gore , and some nudity and drugs . 	the game is rated are for language , violence , some gore , and some nudity and drugs .	1	-4	 the[0] game[0] is[0] rated[0] r[0] for[0] language[0] violence[-3] some[0] gore[0] and[0] some[0] nudity[0] and[0] drugs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what is essential for this film to work is the writing . 	what is essential for this film to work is the writing .	1	-1	 what[0] is[0] essential[0] for[0] this[0] film[0] to[0] work[0] is[0] the[0] writing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john brancato and michael ferris have woven a confusing and compelling screenplay with witty dialogue , and some very funny moments . 	john brancato and michael ferris have woven a confusing and compelling screenplay with witty dialogue , and some very funny moments .	3	-2	 john[0] brancato[0] and[0] michael[0] ferris[0] have[0] woven[0] a[0] confusing[-1] and[0] compelling[0] screenplay[0] with[0] witty[0] dialogue[0] and[0] some[0] very[0] funny[1][1 LastWordBoosterStrength] moments[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this screenplay will probably get an oscar nomination for best original screenplay because it does almost exactly the same thing the usual suspects' did . 	this screenplay will probably get an oscar nomination for best original screenplay because it does almost exactly the same thing the usual suspects' did .	2	-1	 this[0] screenplay[0] will[0] probably[0] get[0] an[0] oscar[0] nomination[0] for[0] best[1] original[0] screenplay[0] because[0] it[0] does[0] almost[0] exactly[0] the[0] same[0] thing[0] the[0] usual[0] suspects'[0] did[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the visuals of the game are enough to make the viewer enjoy the vexing plot . 	however , the visuals of the game are enough to make the viewer enjoy the vexing plot .	3	-3	 however[0] the[0] visuals[0] of[0] the[0] game[0] are[0] enough[0] to[0] make[0] the[0] viewer[0] enjoy[2] the[0] vexing[-2] plot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and if you can get yourself to believe everything occuring on the screen , you will be thoroughly entertained by one of this year's best films . 	and if you can get yourself to believe everything occuring on the screen , you will be thoroughly entertained by one of this year's best films .	2	-1	 and[0] if[0] you[0] can[0] get[0] yourself[0] to[0] believe[0] everything[0] occuring[0] on[0] the[0] screen[0] you[0] will[0] be[0] thoroughly[0] entertained[0] by[0] one[0] of[0] this[0] year's[0] best[1] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
