1992's alien3 marked not only the death ( by suicide ) of its popular protagonist , ellen ripley ( sigourney weaver ) , but , in many ways , the alien franchise itself--box office receipts were anemic , thanks to poor audience word of mouth ; and the critics who rallied around the first two installments , 1979's alien and 1986's aliens , savaged david fincher's slog of a sendoff ( myself included ) . 	Translation	Positive	Negative	EmotionRationale
the movie begins with a plot involving some military types attempting to train aliens to do their bidding , but once the creatures break free , it is once again ripley and a ragtag crew ( this time a bunch of interstellar smugglers , including tough waif call , played by a game winona ryder ) trying to exterminate them . 	the movie begins with a plot involving some military types attempting to train aliens to do their bidding , but once the creatures break free , it is once again ripley and a ragtag crew ( this time a bunch of interstellar smugglers , including tough waif call , played by a game winona ryder ) trying to exterminate them .	1	-2	 the[0] movie[0] begins[0] with[0] a[0] plot[0] involving[0] some[0] military[0] types[0] attempting[0] to[0] train[0] aliens[0] to[0] do[0] their[0] bidding[0] but[0] once[0] the[0] creatures[0] break[0] free[0] it[0] is[0] once[0] again[0] ripley[0] and[0] a[0] ragtag[0] crew[0] this[0] time[0] a[0] bunch[0] of[0] interstellar[0] smugglers[-1] including[0] tough[-1] waif[0] call[0] played[0] by[0] a[0] game[0] winona[0] ryder[0] trying[0] to[0] exterminate[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the alien ripley scenario is ultimately not exploited to its full potential ; i would have liked deeper exploration into the quandary of becoming one of the species she has spent her entire life trying to destroy . 	and the alien ripley scenario is ultimately not exploited to its full potential ; i would have liked deeper exploration into the quandary of becoming one of the species she has spent her entire life trying to destroy .	3	-3	 and[0] the[0] alien[-1] ripley[0] scenario[0] is[0] ultimately[0] not[0] exploited[0] to[0] its[0] full[0] potential[0] i[0] would[0] have[0] liked[2] deeper[0] exploration[0] into[0] the[0] quandary[-1] of[0] becoming[0] one[0] of[0] the[0] species[0] she[0] has[0] spent[0] her[0] entire[0] life[0] trying[0] to[0] destroy[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while the settling into tried-and-true formula is a little disconcerting , the formula is tried-and-true for a reason , and jeunet tackles the proceedings with giddy abandon . 	while the settling into tried-and-true formula is a little disconcerting , the formula is tried-and-true for a reason , and jeunet tackles the proceedings with giddy abandon .	2	-2	 while[0] the[0] settling[0] into[0] tried[0] and[0] true[1] formula[0] is[0] a[0] little[0] disconcerting[0] the[0] formula[0] is[0] tried[0] and[0] true[1] for[0] a[0] reason[0] and[0] jeunet[0] tackles[0] the[0] proceedings[0] with[0] giddy[0] abandon[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the alien , after all these years , is still terrifying , and a new breed that is introduced is no less so . 	the alien , after all these years , is still terrifying , and a new breed that is introduced is no less so .	1	-4	 the[0] alien[-1] after[0] all[0] these[0] years[0] is[0] still[0] terrifying[-3] and[0] a[0] new[0] breed[0] that[0] is[0] introduced[0] is[0] no[0] less[0] so[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the violence is appropriately grisly and extreme , and the action set pieces are suspenseful and exciting , most notably an extended underwater sequence . 	the violence is appropriately grisly and extreme , and the action set pieces are suspenseful and exciting , most notably an extended underwater sequence .	3	-4	 the[0] violence[-3] is[0] appropriately[0] grisly[0] and[0] extreme[0] and[0] the[0] action[0] set[0] pieces[0] are[0] suspenseful[0] and[0] exciting[2] most[0] notably[0] an[0] extended[0] underwater[0] sequence[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film is absolutely mesmerizing visually , thanks to the solid work done by production designer nigel phelps and cinematographer darius khondji . 	the film is absolutely mesmerizing visually , thanks to the solid work done by production designer nigel phelps and cinematographer darius khondji .	2	-1	 the[0] film[0] is[0] absolutely[0] mesmerizing[0] visually[0] thanks[1] to[0] the[0] solid[0] work[0] done[0] by[0] production[0] designer[0] nigel[0] phelps[0] and[0] cinematographer[0] darius[0] khondji[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as technically adept as jeunet's direction is , perhaps his ( and , for that matter , whedon's ) greatest contribution is the infusion of humor into this notably downbeat and serious series . 	as technically adept as jeunet's direction is , perhaps his ( and , for that matter , whedon's ) greatest contribution is the infusion of humor into this notably downbeat and serious series .	3	-2	 as[0] technically[0] adept[0] as[0] jeunet's[0] direction[0] is[0] perhaps[0] his[0] and[0] for[0] that[0] matter[0] whedon's[0] greatest[2] contribution[0] is[0] the[0] infusion[0] of[0] humor[2] into[0] this[0] notably[0] downbeat[0] and[0] serious[-1] series[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a sense of humor may seem to go against everything this horror show stands for , but the self-awareness of the excess just adds to the fun . 	a sense of humor may seem to go against everything this horror show stands for , but the self-awareness of the excess just adds to the fun .	3	-4	 a[0] sense[0] of[0] humor[2] may[0] seem[0] to[0] go[0] against[-1] everything[0] this[0] horror[-3] show[0] stands[0] for[0] but[0] the[0] self[0] awareness[0] of[0] the[0] excess[-1] just[0] adds[0] to[0] the[0] fun[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
no , alien resurrection is not the great film that ridley scott's alien or the even greater film that james cameron's aliens was . 	no , alien resurrection is not the great film that ridley scott's alien or the even greater film that james cameron's aliens was .	3	-3	 no[0] alien[-1] resurrection[0] is[0] not[0] the[0] great[2][NegatedDueToPreviousWord] film[0] that[0] ridley[0] scott's[0] alien[-1] or[0] the[0] even[0] greater[2] film[0] that[0] james[0] cameron's[0] aliens[0] was[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but after the dauntingly slow gloom and doom of fincher's alien3 , jeunet's resurrection is a welcome return to its roots as a wild , reckless thrill ride . 	but after the dauntingly slow gloom and doom of fincher's alien3 , jeunet's resurrection is a welcome return to its roots as a wild , reckless thrill ride .	4	-3	 but[0] after[0] the[0] dauntingly[0] slow[0] gloom[-2] and[0] doom[-1] of[0] fincher's[0] alien3[0] jeunet's[0] resurrection[0] is[0] a[0] welcome[1] return[0] to[0] its[0] roots[0] as[0] a[0] wild[0] reckless[-1] thrill[3] ride[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
that is what made the alien series so popular in the first place , and that is what will keep the series popular in any future installments . 	that is what made the alien series so popular in the first place , and that is what will keep the series popular in any future instalments .	1	-2	 that[0] is[0] what[0] made[0] the[0] alien[-1] series[0] so[0] popular[0] in[0] the[0] first[0] place[0] and[0] that[0] is[0] what[0] will[0] keep[0] the[0] series[0] popular[0] in[0] any[0] future[0] installments/instalments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
