the latest epos from lars is a blast , although a rather moody one . 	Translation	Positive	Negative	EmotionRationale
she can't stand the thought of life without her husband . 	she can't stand the thought of life without her husband .	1	-1	 she[0] can't[0] stand[0] the[0] thought[0] of[0] life[0] without[0] her[0] husband[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we witness her dialogues with god ( she speaks both parts , paranoia ? ) 	we witness her dialogues with god ( she speaks both parts , paranoia ?<br> )	1	-3	 we[0] witness[0] her[0] dialogues[0] with[0] god[0] she[0] speaks[0] both[0] parts[0] paranoia[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
convincing god to return jan from the oilrig , and her prayers are heard . 	convincing god to return jan from the oilrig , and her prayers are heard .	1	-1	 convincing[0] god[0] to[0] return[0] jan[0] from[0] the[0] oilrig[0] and[0] her[0] prayers[0] are[0] heard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an accident on the rig bring him back , paralysed from the neck and down . 	an accident on the rig bring him back , paralysed from the neck and down .	1	-2	 an[0] accident[-1] on[0] the[0] rig[0] bring[0] him[0] back[0] paralysed[0] from[0] the[0] neck[0] and[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now he can't satisfy her need for physical love , he try to persuade her into finding a lover , with the ulterior motive to make her describe these affairs to him in every detail . 	now he can't satisfy her need for physical love , he try to persuade her into finding a lover , with the ulterior motive to make her describe these affairs to him in every detail .	4	-2	 now[0] he[0] can't[0] satisfy[1][NegatedDueToPreviousWord] her[0] need[0] for[0] physical[0] love[2] he[0] try[0] to[0] persuade[0] her[0] into[0] finding[0] a[0] lover[3] with[0] the[0] ulterior[0] motive[0] to[0] make[0] her[0] describe[0] these[0] affairs[0] to[0] him[0] in[0] every[0] detail[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
at first she resist , but her love for jan and his assurance that this will make him recover more rapidly make her comply . 	at first she resist , but her love for jan and his assurance that this will make him recover more rapidly make her comply .	3	-1	 at[0] first[0] she[0] resist[0] but[0] her[0] love[2] for[0] jan[0] and[0] his[0] assurance[0] that[0] this[0] will[0] make[0] him[0] recover[0] more[0] rapidly[0] make[0] her[0] comply[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
imagine what this is doing to the poor girl ? 	imagine what this is doing to the poor girl ?	1	-2	 imagine[0] what[0] this[0] is[0] doing[0] to[0] the[0] poor[-1] girl[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story is cleverly divided into eight chapters parted by beautiful pictures made by danish artist per kirkeby , accompanied by music from the era ; procol harum , deep purple , t-rex and others . 	the story is cleverly divided into eight chapters parted by beautiful pictures made by danish artist per kirkeby , accompanied by music from the era ; procol harum , deep purple , t-rex and others .	3	-1	 the[0] story[0] is[0] cleverly[0] divided[0] into[0] eight[0] chapters[0] parted[0] by[0] beautiful[2] pictures[0] made[0] by[0] danish[0] artist[0] per[0] kirkeby[0] accompanied[0] by[0] music[0] from[0] the[0] era[0] procol[0] harum[0] deep[0] purple[0] t[0] rex[0] and[0] others[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the use of hand-held camera and lack of any make-up make the characters solid and help to separate this movie from others in the sentimental genre . 	the use of hand-held camera and lack of any make-up make the characters solid and help to separate this movie from others in the sentimental genre .	3	-2	 the[0] use[0] of[0] hand[0] held[0] camera[0] and[0] lack[-1] of[0] any[0] make[0] up[0] make[0] the[0] characters[0] solid[0] and[0] help[0] to[0] separate[0] this[0] movie[0] from[0] others[0] in[0] the[0] sentimental[2] genre[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the incredible performance from the actors makes the movie brilliant , though a bit too gloomy for my taste . 	the incredible performance from the actors makes the movie brilliant , though a bit too gloomy for my taste .	2	-3	 the[0] incredible[0] performance[0] from[0] the[0] actors[0] makes[0] the[0] movie[0] brilliant[1] though[0] a[0] bit[0] too[0] gloomy[-2] for[0] my[0] taste[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i would say that it is in the genre of betty blue ( 37 . 2 le matin ) and bitter moon ( lunes de fiel ) . 	i would say that it is in the genre of betty blue ( 37 .<br> 2 le matin ) and bitter moon ( lunes de fiel ) .	1	-2	 i[0] would[0] say[0] that[0] it[0] is[0] in[0] the[0] genre[0] of[0] betty[0] blue[0] 37[0] [[Sentence=-1,1=word max, 1-5]] 2[0] le[0] matin[0] and[0] bitter[-1] moon[0] lunes[0] de[0] fiel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
emily watson as bess and katrin cartlidge as her best friend dodo deliver outstanding performances , this must be the reason for giving it the " grand prix du jury " in cannes this year ( although we had hoped for the " palme d'or " ) . 	emily watson as bess and katrin cartlidge as her best friend dodo deliver outstanding performances , this must be the reason for giving it the " grand prix du jury " in cannes this year ( although we had hoped for the " palme d'or " ) .	3	-1	 emily[0] watson[0] as[0] bess[0] and[0] katrin[0] cartlidge[0] as[0] her[0] best[1] friend[1] dodo[0] deliver[0] outstanding[2] performances[0] this[0] must[0] be[0] the[0] reason[0] for[0] giving[0] it[0] the[0] grand[1] prix[0] du[0] jury[0] in[0] cannes[0] this[0] year[0] although[0] we[0] had[0] hoped[1] for[0] the[0] palme[0] d'or[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the screenplay is now available in print , the transformation being made in the period from ultimo may to july , just in time for the danish premiere . 	the screenplay is now available in print , the transformation being made in the period from ultimo may to july , just in time for the danish premiere .	1	-1	 the[0] screenplay[0] is[0] now[0] available[0] in[0] print[0] the[0] transformation[0] being[0] made[0] in[0] the[0] period[0] from[0] ultimo[0] may[0] to[0] july[0] just[0] in[0] time[0] for[0] the[0] danish[0] premiere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
