warning : if you actually wish to see the film , stop reading this and see it . 	Translation	Positive	Negative	EmotionRationale
the phantom menace has taken a literal beating from various film critics , leaving me to lower my expectations somewhat . 	the phantom menace has taken a literal beating from various film critics , leaving me to lower my expectations somewhat .	1	-3	 the[0] phantom[0] menace[-2] has[0] taken[0] a[0] literal[0] beating[0] from[0] various[0] film[0] critics[0] leaving[0] me[0] to[0] lower[0] my[0] expectations[0] somewhat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
common complaints range from lack of characterization , weak narrative , poor direction of actors , the dated style , and too much focus over special effects . 	common complaints range from lack of characterization , weak narrative , poor direction of actors , the dated style , and too much focus over special effects .	2	-2	 common[0] complaints[-1] range[0] from[0] lack[-1] of[0] characterization[0] weak[-1] narrative[0] poor[-1] direction[0] of[0] actors[0] the[0] dated[0] style[0] and[0] too[0] much[0] focus[0] over[0] special[1] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , film critics often apply much historical theory in regards to film criticism , much of which the average film buff does not care for . 	still , film critics often apply much historical theory in regards to film criticism , much of which the average film buff does not care for .	1	-2	 still[0] film[0] critics[0] often[0] apply[0] much[0] historical[0] theory[0] in[0] regards[0] to[0] film[0] criticism[-1] much[0] of[0] which[0] the[0] average[0] film[0] buff[0] does[0] not[0] care[1][NegatedDueToPreviousWord] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hence , this film is a lot of fun and definitely an improvement over the previous films ( even with the " improvements " in the special editions ) . 	hence , this film is a lot of fun and definitely an improvement over the previous films ( even with the " improvements " in the special editions ) .	2	-1	 hence[0] this[0] film[0] is[0] a[0] lot[0] of[0] fun[1] and[0] definitely[0] an[0] improvement[1] over[0] the[0] previous[0] films[0] even[0] with[0] the[0] improvements[1] in[0] the[0] special[1] editions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are many memorable sequences throughout the film , ranging from the fast and furious " pod race " sequence ( which is a take on the chariot races in " ben hur " ) and the many fight scenes involving legions of battle droids . 	there are many memorable sequences throughout the film , ranging from the fast and furious " pod race " sequence ( which is a take on the chariot races in " ben hur " ) and the many fight scenes involving legions of battle droids .	1	-4	 there[0] are[0] many[0] memorable[0] sequences[0] throughout[0] the[0] film[0] ranging[0] from[0] the[0] fast[0] and[0] furious[-3] pod[0] race[0] sequence[0] which[0] is[0] a[0] take[0] on[0] the[0] chariot[0] races[0] in[0] ben[0] hur[0] and[0] the[0] many[0] fight[-2] scenes[0] involving[0] legions[0] of[0] battle[-1] droids[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
utilizing technology that is light years beyond anything made before , special effects and computers are used to create everything from monsters to robots to amazing cityscapes with incredible detail . 	utilizing technology that is light years beyond anything made before , special effects and computers are used to create everything from monsters to robots to amazing cityscapes with incredible detail .	3	-1	 utilizing[0] technology[0] that[0] is[0] light[0] years[0] beyond[0] anything[0] made[0] before[0] special[1] effects[0] and[0] computers[0] are[0] used[0] to[0] create[0] everything[0] from[0] monsters[0] to[0] robots[0] to[0] amazing[2] cityscapes[0] with[0] incredible[0] detail[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no matter how many times you watch this film , you will catch something new . 	no matter how many times you watch this film , you will catch something new .	1	-1	 no[0] matter[0] how[0] many[0] times[0] you[0] watch[0] this[0] film[0] you[0] will[0] catch[0] something[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the level of humour is a bit higher than the previous films as well , mostly conveyed through the reluctant hero jar jar binks , who belongs to a race known as the gungans . 	the level of humour is a bit higher than the previous films as well , mostly conveyed through the reluctant hero jar jar binks , who belongs to a race known as the gungans .	3	-2	 the[0] level[0] of[0] humour[2] is[0] a[0] bit[0] higher[0] than[0] the[0] previous[0] films[0] as[0] well[0] mostly[0] conveyed[0] through[0] the[0] reluctant[-1] hero[2] jar[0] jar[0] binks[0] who[0] belongs[0] to[0] a[0] race[0] known[0] as[0] the[0] gungans[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
best described as an mr . bean from the planet naboo , he steals the show . 	best described as an mr .<br> bean from the planet naboo , he steals the show .	2	-3	 best[1] described[0] as[0] an[0] mr[0] [[Sentence=-1,2=word max, 1-5]] bean[0] from[0] the[0] planet[0] naboo[0] he[0] steals[-2] the[0] show[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately , being that he is a computer-generated character , tells a bit about the direction of the actors ( although natalie portman as the queen is pretty effective , as is jake lloyd as the young anakin skywalker ) . 	unfortunately , being that he is a computer-generated character , tells a bit about the direction of the actors ( although natalie portman as the queen is pretty effective , as is jake lloyd as the young anakin skywalker ) .	3	-2	 unfortunately[-1] being[0] that[0] he[0] is[0] a[0] computer[0] generated[0] character[0] tells[0] a[0] bit[0] about[0] the[0] direction[0] of[0] the[0] actors[0] although[0] natalie[0] portman[0] as[0] the[0] queen[0] is[0] pretty[2] effective[0] as[0] is[0] jake[0] lloyd[0] as[0] the[0] young[0] anakin[0] skywalker[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with star wars mania at an all time high , there is the risk that the film will disappoint ( i myself had my doubts ) , which this film does have a tendency to do at times . 	with star wars mania at an all time high , there is the risk that the film will disappoint ( i myself had my doubts ) , which this film does have a tendency to do at times .	1	-3	 with[0] star[0] wars[-2] mania[0] at[0] an[0] all[0] time[0] high[0] there[0] is[0] the[0] risk[-1] that[0] the[0] film[0] will[0] disappoint[-1] i[0] myself[0] had[0] my[0] doubts[-1] which[0] this[0] film[0] does[0] have[0] a[0] tendency[0] to[0] do[0] at[0] times[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are a few logic problems with the plot , several things are left unchecked , and at times seems to be made only for diehard star wars fans ( although the appearance of the tusken raiders makes for more than a few laughs ) . 	there are a few logic problems with the plot , several things are left unchecked , and at times seems to be made only for diehard star wars fans ( although the appearance of the tusken raiders makes for more than a few laughs ) .	2	-3	 there[0] are[0] a[0] few[0] logic[0] problems[-1] with[0] the[0] plot[0] several[0] things[0] are[0] left[0] unchecked[0] and[0] at[0] times[0] seems[0] to[0] be[0] made[0] only[0] for[0] diehard[0] star[0] wars[-2] fans[0] although[0] the[0] appearance[0] of[0] the[0] tusken[0] raiders[0] makes[0] for[0] more[0] than[0] a[0] few[0] laughs[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that , and young anakin skywalker is a really annoying character , coming off as a smarmy , arrogant brat ( with such an attitude , it's no wonder why he turns to the dark side ) . 	that , and young anakin skywalker is a really annoying character , coming off as a smarmy , arrogant brat ( with such an attitude , it's no wonder why he turns to the dark side ) .	1	-4	 that[0] and[0] young[0] anakin[0] skywalker[0] is[0] a[0] really[0] annoying[-2][-1 LastWordBoosterStrength] character[0] coming[0] off[0] as[0] a[0] smarmy[0] arrogant[-2] brat[-1] with[0] such[0] an[0] attitude[0] it's[0] no[0] wonder[0] why[0] he[0] turns[0] to[0] the[0] dark[0] side[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
still , it seems that many people , especially critics , are missing the point . 	still , it seems that many people , especially critics , are missing the point .	1	-1	 still[0] it[0] seems[0] that[0] many[0] people[0] especially[0] critics[0] are[0] missing[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is some of the most fun 2 and a half hours that you'll blow in your life , which is something i wouldn't mind doing again . 	the film is some of the most fun 2 and a half hours that you'll blow in your life , which is something i wouldn't mind doing again .	2	-1	 the[0] film[0] is[0] some[0] of[0] the[0] most[0] fun[1] 2[0] and[0] a[0] half[0] hours[0] that[0] you'll[0] blow[0] in[0] your[0] life[0] which[0] is[0] something[0] i[0] wouldn't[0] mind[0] doing[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while it may not have the psychological impact of an academy award contender , who really cares ? 	while it may not have the psychological impact of an academy award contender , who really cares ?	3	-1	 while[0] it[0] may[0] not[0] have[0] the[0] psychological[0] impact[0] of[0] an[0] academy[0] award[0] contender[0] who[0] really[0] cares[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film is pure fun from beginning to end . 	the film is pure fun from beginning to end .	2	-1	 the[0] film[0] is[0] pure[0] fun[1] from[0] beginning[0] to[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and isn't that what really matters ? 	and isn't that what really matters ?	1	-1	 and[0] isn't[0] that[0] what[0] really[0] matters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
