truman ( " true-man " ) burbank is the perfect name for jim carrey's character in this film . 	Translation	Positive	Negative	EmotionRationale
the elevator doors open up on a small lounge with people on coffee breaks . 	the elevator doors open up on a small lounge with people on coffee breaks .	1	-1	 the[0] elevator[0] doors[0] open[0] up[0] on[0] a[0] small[0] lounge[0] with[0] people[0] on[0] coffee[0] breaks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a grip sees truman him and quickly moves a paneled door , made to look like the back of an elevator , into place . 	a grip sees truman him and quickly moves a paneled door , made to look like the back of an elevator , into place .	2	-1	 a[0] grip[0] sees[0] truman[0] him[0] and[0] quickly[0] moves[0] a[0] paneled[0] door[0] made[0] to[0] look[0] like[1] the[0] back[0] of[0] an[0] elevator[0] into[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
two security guards grab him and throw him out . 	two security guards grab him and throw him out .	2	-2	 two[0] security[1] guards[0] grab[-1] him[0] and[0] throw[0] him[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
truman is really suspicious now . 	truman is really suspicious now .	1	-3	 truman[0] is[0] really[0] suspicious[-1][-1 LastWordBoosterStrength] now[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it gets even worse the next day when his wife , a nurse , describes an elevator accident in the building where he saw the lounge . 	it gets even worse the next day when his wife , a nurse , describes an elevator accident in the building where he saw the lounge .	1	-3	 it[0] gets[0] even[0] worse[-2] the[0] next[0] day[0] when[0] his[0] wife[0] a[0] nurse[0] describes[0] an[0] elevator[0] accident[-1] in[0] the[0] building[0] where[0] he[0] saw[0] the[0] lounge[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " it's best not to think about it , " she says , trying vainly to change truman's memory . 	 " it's best not to think about it , " she says , trying vainly to change truman's memory .	2	-1	 it's[0] best[1] not[0] to[0] think[0] about[0] it[0] she[0] says[0] trying[0] vainly[0] to[0] change[0] truman's[0] memory[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
truman becomes determined to see who or what is behind this apparently elaborate hoax at his expense . 	truman becomes determined to see who or what is behind this apparently elaborate hoax at his expense .	1	-2	 truman[0] becomes[0] determined[0] to[0] see[0] who[0] or[0] what[0] is[0] behind[0] this[0] apparently[0] elaborate[0] hoax[0] at[0] his[0] expense[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at every turn he is stopped by an amazing coincidence that just happens to keep him in his own little town . 	at every turn he is stopped by an amazing coincidence that just happens to keep him in his own little town .	3	-1	 at[0] every[0] turn[0] he[0] is[0] stopped[0] by[0] an[0] amazing[2] coincidence[0] that[0] just[0] happens[0] to[0] keep[0] him[0] in[0] his[0] own[0] little[0] town[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his last hope is to quell his fear of the ocean and sail to the edge of the world . 	his last hope is to quell his fear of the ocean and sail to the edge of the world .	3	-4	 his[0] last[0] hope[2] is[0] to[0] quell[0] his[0] fear[-3] of[0] the[0] ocean[0] and[0] sail[0] to[0] the[0] edge[0] of[0] the[0] world[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
you know by now that truman's life is the subject of a television program . 	you know by now that truman's life is the subject of a television program .	1	-1	 you[0] know[0] by[0] now[0] that[0] truman's[0] life[0] is[0] the[0] subject[0] of[0] a[0] television[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his actions are " real " but everything else is carefully scripted , from the death of his father to the choice of his wife . 	his actions are " real " but everything else is carefully scripted , from the death of his father to the choice of his wife .	1	-3	 his[0] actions[0] are[0] real[0] but[0] everything[0] else[0] is[0] carefully[0] scripted[0] from[0] the[0] death[-2] of[0] his[0] father[0] to[0] the[0] choice[0] of[0] his[0] wife[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
truman is determined to find out what the big hoax is . 	truman is determined to find out what the big hoax is .	1	-1	 truman[0] is[0] determined[0] to[0] find[0] out[0] what[0] the[0] big[0] hoax[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , christof , the all-seeing creator of truman's world does his best to keep him unaware and happy . 	meanwhile , christof , the all-seeing creator of truman's world does his best to keep him unaware and happy .	2	-1	 meanwhile[0] christof[0] the[0] all[0] seeing[0] creator[0] of[0] truman's[0] world[0] does[0] his[0] best[1] to[0] keep[0] him[0] unaware[0] and[0] happy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's sort of like westworld told from the robots' point of view , or jurassic park from the dinosaurs' point of view . 	it's sort of like westworld told from the robots' point of view , or jurassic park from the dinosaurs' point of view .	2	-1	 it's[0] sort[0] of[0] like[1] westworld[0] told[0] from[0] the[0] robots'[0] point[0] of[0] view[0] or[0] jurassic[0] park[0] from[0] the[0] dinosaurs'[0] point[0] of[0] view[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we root for the captive of the cage-world . 	we root for the captive of the cage-world .	1	-2	 we[0] root[0] for[0] the[0] captive[-1] of[0] the[0] cage[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our protagonist is counting on " chaos theory " to help him escape his elaborate trap . 	our protagonist is counting on " chaos theory " to help him escape his elaborate trap .	1	-2	 our[0] protagonist[0] is[0] counting[0] on[0] chaos[-1] theory[0] to[0] help[0] him[0] escape[0] his[0] elaborate[0] trap[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story , written by andrew niccol ( writer/director of gattaca ) , introduces some interesting questions , such as the ethics of subjecting a person to this type of life , or the psychological impact of learning that your entire life has all been fake . 	the story , written by andrew niccol ( writer/director of gattaca ) , introduces some interesting questions , such as the ethics of subjecting a person to this type of life , or the psychological impact of learning that your entire life has all been fake .	1	-2	 the[0] story[0] written[0] by[0] andrew[0] niccol[0] writer/director[0] of[0] gattaca[0] introduces[0] some[0] interesting[1][-1 LastWordBoosterStrength] questions[0] such[0] as[0] the[0] ethics[0] of[0] subjecting[0] a[0] person[0] to[0] this[0] type[0] of[0] life[0] or[0] the[0] psychological[0] impact[0] of[0] learning[0] that[0] your[0] entire[0] life[0] has[0] all[0] been[0] fake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although these questions came to mind , i don't think the film itself asked them . 	although these questions came to mind , i don't think the film itself asked them .	1	-1	 although[0] these[0] questions[0] came[0] to[0] mind[0] i[0] don't[0] think[0] the[0] film[0] itself[0] asked[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it certainly didn't address them or try to answer them . 	it certainly didn't address them or try to answer them .	1	-1	 it[0] certainly[0] didn't[0] address[0] them[0] or[0] try[0] to[0] answer[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was particularly disappointed that the film didn't deal more with the trauma of learning one's life is a tv show . 	i was particularly disappointed that the film didn't deal more with the trauma of learning one's life is a tv show .	1	-4	 i[0] was[0] particularly[0] disappointed[-1] that[0] the[0] film[0] didn't[0] deal[0] more[0] with[0] the[0] trauma[-3] of[0] learning[0] one's[0] life[0] is[0] a[0] tv[0] show[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
carrey's performance at the end showed a smidgen of truman's pain , but i almost felt that he got over it too easily for the sake of the film's pacing . 	carrey's performance at the end showed a smidgen of truman's pain , but i almost felt that he got over it too easily for the sake of the film's pacing .	1	-4	 carrey's[0] performance[0] at[0] the[0] end[0] showed[0] a[0] smidgen[0] of[0] truman's[0] pain[-3] but[0] i[0] almost[0] felt[0] that[0] he[0] got[0] over[0] it[0] too[0] easily[0] for[0] the[0] sake[0] of[0] the[0] film's[0] pacing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
earlier in the movie i found myself wondering if it would be better for truman to find out the truth or whether i should root for him to be well . 	earlier in the movie i found myself wondering if it would be better for truman to find out the truth or whether i should root for him to be well .	2	-1	 earlier[0] in[0] the[0] movie[0] i[0] found[0] myself[0] wondering[0] if[0] it[0] would[0] be[0] better[0] for[0] truman[0] to[0] find[0] out[0] the[0] truth[1] or[0] whether[0] i[0] should[0] root[0] for[0] him[0] to[0] be[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two seemed exclusive of one another , but weir and niccol didn't see it that way . 	the two seemed exclusive of one another , but weir and niccol didn't see it that way .	1	-1	 the[0] two[0] seemed[0] exclusive[0] of[0] one[0] another[0] but[0] weir[0] and[0] niccol[0] didn't[0] see[0] it[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps it's not fair to criticize a movie for what it isn't , but it seems like there were some missed opportunities here . 	perhaps it's not fair to criticize a movie for what it isn't , but it seems like there were some missed opportunities here .	2	-2	 perhaps[0] it's[0] not[0] fair[0] to[0] criticize[-1] a[0] movie[0] for[0] what[0] it[0] isn't[0] but[0] it[0] seems[0] like[1] there[0] were[0] some[0] missed[-1][--1 LastWordBoosterStrength] opportunities[0] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but on its own terms , the movie is well made . 	but on its own terms , the movie is well made .	1	-1	 but[0] on[0] its[0] own[0] terms[0] the[0] movie[0] is[0] well[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sight , sound and pacing are all handled competently . 	sight , sound and pacing are all handled competently .	1	-1	 sight[0] sound[0] and[0] pacing[0] are[0] all[0] handled[0] competently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much of the first part of the movie is the truman show . 	much of the first part of the movie is the truman show .	1	-1	 much[0] of[0] the[0] first[0] part[0] of[0] the[0] movie[0] is[0] the[0] truman[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scenes are all apparently shot from hidden cameras , with snoots and obstructions covering the corners of the screen . 	the scenes are all apparently shot from hidden cameras , with snoots and obstructions covering the corners of the screen .	1	-2	 the[0] scenes[0] are[0] all[0] apparently[0] shot[-1] from[0] hidden[0] cameras[0] with[0] snoots[0] and[0] obstructions[-1] covering[0] the[0] corners[0] of[0] the[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one hidden camera is apparently in his car radio , the green led numbers obscuring the lower part of the screen . 	one hidden camera is apparently in his car radio , the green led numbers obscuring the lower part of the screen .	1	-1	 one[0] hidden[0] camera[0] is[0] apparently[0] in[0] his[0] car[0] radio[0] the[0] green[0] led[0] numbers[0] obscuring[0] the[0] lower[0] part[0] of[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the music is well-chosen and scored . 	the music is well-chosen and scored .	1	-1	 the[0] music[0] is[0] well[0] chosen[0] and[0] scored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with what sounds like family drama theme music , when truman's world is still beautiful and perfect . 	the film opens with what sounds like family drama theme music , when truman's world is still beautiful and perfect .	3	-1	 the[0] film[0] opens[0] with[0] what[0] sounds[0] like[1] family[0] drama[0] theme[0] music[0] when[0] truman's[0] world[0] is[0] still[0] beautiful[2] and[0] perfect[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the movie ends , the score sounds more like a frantic , driven , tangerine dream opus , while still keeping the same timbre . 	when the movie ends , the score sounds more like a frantic , driven , tangerine dream opus , while still keeping the same timbre .	2	-2	 when[0] the[0] movie[0] ends[0] the[0] score[0] sounds[0] more[0] like[1] a[0] frantic[-1] driven[0] tangerine[0] dream[0] opus[0] while[0] still[0] keeping[0] the[0] same[0] timbre[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
philip glass' epic music ( from powaqqatsi ) permeates truman's scenes of suspicion and awakening . 	philip glass' epic music ( from powaqatsi ) permeates truman's scenes of suspicion and awakening .	1	-2	 philip[0] glass'[0] epic[0] music[0] from[0] powaqqatsi/powaqatsi[0] permeates[0] truman's[0] scenes[0] of[0] suspicion[-1] and[0] awakening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( glass has a small cameo as a keyboardist for the show . ) 	 ( glass has a small cameo as a keyboardist for the show .<br> )	1	-1	 glass[0] has[0] a[0] small[0] cameo[0] as[0] a[0] keyboardist[0] for[0] the[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the pacing of the story was brisk . 	and the pacing of the story was brisk .	1	-1	 and[0] the[0] pacing[0] of[0] the[0] story[0] was[0] brisk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was no unnecessarily long setup explaining the concept behind the truman show , just a few quick title cards , a few interviews , and then right into the show , and the movie . 	there was no unnecessarily long setup explaining the concept behind the truman show , just a few quick title cards , a few interviews , and then right into the show , and the movie .	1	-2	 there[0] was[0] no[0] unnecessarily[-1] long[0] setup[0] explaining[0] the[0] concept[0] behind[0] the[0] truman[0] show[0] just[0] a[0] few[0] quick[0] title[0] cards[0] a[0] few[0] interviews[0] and[0] then[0] right[0] into[0] the[0] show[0] and[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the first scenes is of the studio light falling ; there was no token scene of truman's idyllic life before it falls apart , because it wasn't necessary , we pick up the story at the first sign of trouble , and no sooner . 	one of the first scenes is of the studio light falling ; there was no token scene of truman's idyllic life before it falls apart , because it wasn't necessary , we pick up the story at the first sign of trouble , and no sooner .	1	-2	 one[0] of[0] the[0] first[0] scenes[0] is[0] of[0] the[0] studio[0] light[0] falling[0] there[0] was[0] no[0] token[0] scene[0] of[0] truman's[0] idyllic[0] life[0] before[0] it[0] falls[0] apart[0] because[0] it[0] wasn't[0] necessary[0] we[0] pick[0] up[0] the[0] story[0] at[0] the[0] first[0] sign[0] of[0] trouble[-1] and[0] no[0] sooner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's also no point in the movie where the plot slows down . 	there's also no point in the movie where the plot slows down .	1	-1	 there's[0] also[0] no[0] point[0] in[0] the[0] movie[0] where[0] the[0] plot[0] slows[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a quick , straight shot to the movie's end . 	it's a quick , straight shot to the movie's end .	1	-2	 it's[0] a[0] quick[0] straight[0] shot[-1] to[0] the[0] movie's[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in terms of overall quality , i would compare the truman show to niccol's gattaca . 	in terms of overall quality , i would compare the truman show to niccol's gattaca .	1	-1	 in[0] terms[0] of[0] overall[0] quality[0] i[0] would[0] compare[0] the[0] truman[0] show[0] to[0] niccol's[0] gattaca[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both films are well made with interesting stories set in interesting worlds . 	both films are well made with interesting stories set in interesting worlds .	2	-1	 both[0] films[0] are[0] well[0] made[0] with[0] interesting[1] stories[0] set[0] in[0] interesting[1] worlds[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but neither film really felt like it capitalized on all the great ideas ; neither film " clicked " and became an instant classic . 	but neither film really felt like it capitalized on all the great ideas ; neither film " clicked " and became an instant classic .	3	-1	 but[0] neither[0] film[0] really[0] felt[0] like[1] it[0] capitalized[0] on[0] all[0] the[0] great[2] ideas[0] neither[0] film[0] clicked[0] and[0] became[0] an[0] instant[0] classic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nevertheless , i look forward to niccol's next film , whatever it may be . 	nevertheless , i look forward to niccol's next film , whatever it may be .	1	-1	 nevertheless[0] i[0] look[0] forward[0] to[0] niccol's[0] next[0] film[0] whatever[0] it[0] may[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
