ralph fiennes is carving out a nice niche for himself in the genre of period piece romances . 	Translation	Positive	Negative	EmotionRationale
that day doesn't occur until 45 minutes into the film , when oscar boards a ship bound for sidney , australia , where he hopes to change his life and minister to anyone in need of his help . 	that day doesn't occur until 45 minutes into the film , when oscar boards a ship bound for sidney , australia , where he hopes to change his life and minister to anyone in need of his help .	2	-1	 that[0] day[0] doesn't[0] occur[0] until[0] 45[0] minutes[0] into[0] the[0] film[0] when[0] oscar[0] boards[0] a[0] ship[0] bound[0] for[0] sidney[0] australia[0] where[0] he[0] hopes[1] to[0] change[0] his[0] life[0] and[0] minister[0] to[0] anyone[0] in[0] need[0] of[0] his[0] help[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another of the passengers is lucinda , who is returning from england where she was shopping for machinery to equip her newly-acquired glassworks factory . 	another of the passengers is lucinda , who is returning from england where she was shopping for machinery to equip her newly-acquired glassworks factory .	1	-1	 another[0] of[0] the[0] passengers[0] is[0] lucinda[0] who[0] is[0] returning[0] from[0] england[0] where[0] she[0] was[0] shopping[0] for[0] machinery[0] to[0] equip[0] her[0] newly[0] acquired[0] glassworks[0] factory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at first , their relationship is that of a reverend and a confessor , but it doesn't take long for both of them to recognize a kindred spirit in the other . 	at first , their relationship is that of a reverend and a confessor , but it doesn't take long for both of them to recognize a kindred spirit in the other .	1	-2	 at[0] first[0] their[0] relationship[0] is[0] that[0] of[0] a[0] reverend[0] and[0] a[0] confessor[-1] but[0] it[0] doesn't[0] take[0] long[0] for[0] both[0] of[0] them[0] to[0] recognize[0] a[0] kindred[0] spirit[0] in[0] the[0] other[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a friendship is born , and , once they reach australia , it develops into something more potent . 	a friendship is born , and , once they reach australia , it develops into something more potent .	2	-1	 a[0] friendship[1] is[0] born[0] and[0] once[0] they[0] reach[0] australia[0] it[0] develops[0] into[0] something[0] more[0] potent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but oscar is uncertain of lucinda's affection , and feels he must do something to prove himself worthy of her . 	but oscar is uncertain of lucinda's affection , and feels he must do something to prove himself worthy of her .	3	-1	 but[0] oscar[0] is[0] uncertain[0] of[0] lucinda's[0] affection[2] and[0] feels[0] he[0] must[0] do[0] something[0] to[0] prove[0] himself[0] worthy[0] of[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
oscar and lucinda isn't beyond a little manipulation to get the desired emotional response , and there are times when the storyline curves in preposterous directions . 	oscar and lucinda isn't beyond a little manipulation to get the desired emotional response , and there are times when the storyline curves in preposterous directions .	1	-2	 oscar[0] and[0] lucinda[0] isn't[0] beyond[0] a[0] little[0] manipulation[-1] to[0] get[0] the[0] desired[0] emotional[-1] response[0] and[0] there[0] are[0] times[0] when[0] the[0] storyline[0] curves[0] in[0] preposterous[-1] directions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on more than one occasion , it's apparent that events are occurring specifically to funnel the characters into a position where there is only one possible route . 	on more than one occasion , it's apparent that events are occurring specifically to funnel the characters into a position where there is only one possible route .	1	-1	 on[0] more[0] than[0] one[0] occasion[0] it's[0] apparent[0] that[0] events[0] are[0] occurring[0] specifically[0] to[0] funnel[0] the[0] characters[0] into[0] a[0] position[0] where[0] there[0] is[0] only[0] one[0] possible[0] route[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
coincidence is a crucial plot device ; without it , this movie can't go anywhere . 	coincidence is a crucial plot device ; without it , this movie can't go anywhere .	1	-1	 coincidence[0] is[0] a[0] crucial[0] plot[0] device[0] without[0] it[0] this[0] movie[0] can't[0] go[0] anywhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the voiceover narration ( never one of my favorite techniques ) is too verbose and breaks into the story at undesirable moments . 	the voiceover narration ( never one of my favorite techniques ) is too verbose and breaks into the story at undesirable moments .	2	-2	 the[0] voiceover[0] narration[0] never[0] one[0] of[0] my[0] favorite[1] techniques[0] is[0] too[0] verbose[0] and[0] breaks[0] into[0] the[0] story[0] at[0] undesirable[-1] moments[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( however , without it , the final twist , which i will not reveal , would not be as poignant . ) 	 ( however , without it , the final twist , which i will not reveal , would not be as poignant .<br> )	1	-1	 however[0] without[0] it[0] the[0] final[0] twist[0] which[0] i[0] will[0] not[0] reveal[0] would[0] not[0] be[0] as[0] poignant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yet , despite these quibbles , i enjoyed oscar and lucinda . 	yet , despite these quibbles , i enjoyed oscar and lucinda .	3	-1	 yet[0] despite[0] these[0] quibbles[0] i[0] enjoyed[2] oscar[0] and[0] lucinda[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
storyline faults pale in the light of two such finely-realized characters . 	storyline faults pale in the light of two such finely-realized characters .	1	-2	 storyline[0] faults[-1] pale[0] in[0] the[0] light[0] of[0] two[0] such[0] finely[0] realized[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thematically , the film is also strong . 	thematically , the film is also strong .	1	-1	 thematically[0] the[0] film[0] is[0] also[0] strong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the unifying motif -- that everything in life is a gamble -- is successfully delineated . 	the unifying motif - that everything in life is a gamble - is successfully delineated .	3	-2	 the[0] unifying[0] motif[0] that[0] everything[0] in[0] life[0] is[0] a[0] gamble[-1] is[0] successfully[2] delineated[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
oscar and lucinda don't just wager their money , they bet their hearts , minds , and souls . 	oscar and lucinda don't just wager their money , they bet their hearts , minds , and souls .	1	-1	 oscar[0] and[0] lucinda[0] don't[0] just[0] wager[0] their[0] money[0] they[0] bet[0] their[0] hearts[0] minds[0] and[0] souls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a card game they engage in shortly after they first meet could easily be considered a form of emotional " strip poker " where defenses are peeled away to reveal their shared , secret passion . 	a card game they engage in shortly after they first meet could easily be considered a form of emotional " strip poker " where defenses are peeled away to reveal their shared , secret passion .	3	-2	 a[0] card[0] game[0] they[0] engage[0] in[0] shortly[0] after[0] they[0] first[0] meet[0] could[0] easily[0] be[0] considered[0] a[0] form[0] of[0] emotional[-1] strip[0] poker[0] where[0] defenses[0] are[0] peeled[0] away[0] to[0] reveal[0] their[0] shared[0] secret[0] passion[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
oscar does not see gambling as a vice . 	oscar does not see gambling as a vice .	1	-2	 oscar[0] does[0] not[0] see[0] gambling[0] as[0] a[0] vice[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , he believes that the greatest chance one takes in life is betting one's immortal soul on the truth of a religious faith . 	in fact , he believes that the greatest chance one takes in life is betting one's immortal soul on the truth of a religious faith .	3	-1	 in[0] fact[0] he[0] believes[0] that[0] the[0] greatest[2] chance[0] one[0] takes[0] in[0] life[0] is[0] betting[0] one's[0] immortal[1] soul[0] on[0] the[0] truth[1] of[0] a[0] religious[0] faith[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ralph fiennes , who normally plays strong , confident men , is very much at home as the fumbling , insecure oscar . 	ralph fiennes , who normally plays strong , confident men , is very much at home as the fumbling , insecure oscar .	2	-2	 ralph[0] fiennes[0] who[0] normally[0] plays[1] strong[0] confident[1] men[0] is[0] very[0] much[0] at[0] home[0] as[0] the[0] fumbling[0] insecure[-1] oscar[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the actor brings a variety of nervous tics to the part , all of which subtly add to a vague sense of discomfort whenever oscar is on-screen . 	the actor brings a variety of nervous tics to the part , all of which subtly add to a vague sense of discomfort whenever oscar is on-screen .	1	-3	 the[0] actor[0] brings[0] a[0] variety[0] of[0] nervous[-2] tics[0] to[0] the[0] part[0] all[0] of[0] which[0] subtly[0] add[0] to[0] a[0] vague[-1] sense[0] of[0] discomfort[-1] whenever[0] oscar[0] is[0] on[0] screen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as good as fiennes is , however , he is eclipsed by cate blanchett . 	as good as fiennes is , however , he is eclipsed by cate blanchett .	2	-1	 as[0] good[1] as[0] fiennes[0] is[0] however[0] he[0] is[0] eclipsed[0] by[0] cate[0] blanchett[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the actress , who appeared earlier this year as one of the leads in bruce beresford's paradise road , is mesmerizing as lucinda . 	the actress , who appeared earlier this year as one of the leads in bruce beresford's paradise road , is mesmerizing as lucinda .	4	-1	 the[0] actress[0] who[0] appeared[0] earlier[0] this[0] year[0] as[0] one[0] of[0] the[0] leads[0] in[0] bruce[0] beresford's[0] paradise[3] road[0] is[0] mesmerizing[0] as[0] lucinda[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she gives this liberated woman her flash , and feeds the chemistry between the two lead characters so that it sparkles rather than fizzles . 	she gives this liberated woman her flash , and feeds the chemistry between the two lead characters so that it sparkles rather than fizles .	1	-1	 she[0] gives[0] this[0] liberated[0] woman[0] her[0] flash[0] and[0] feeds[0] the[0] chemistry[0] between[0] the[0] two[0] lead[0] characters[0] so[0] that[0] it[0] sparkles[0] rather[0] than[0] fizzles/fizles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
effective support is provided by ciaran hinds ( the male lead in jane austen's persuasion ) as lucinda's close friend , tom wilkinson ( the full monty ) as oscar's mentor , and clive russell as a self-serving adventurer . 	effective support is provided by ciaran hinds ( the male lead in jane austen's persuasion ) as lucinda's close friend , tom wilkinson ( the full monty ) as oscar's mentor , and clive russell as a self-serving adventurer .	2	-1	 effective[0] support[1] is[0] provided[0] by[0] ciaran[0] hinds[0] the[0] male[0] lead[0] in[0] jane[0] austen's[0] persuasion[0] as[0] lucinda's[0] close[0] friend[1] tom[0] wilkinson[0] the[0] full[0] monty[0] as[0] oscar's[0] mentor[0] and[0] clive[0] russell[0] as[0] a[0] self[0] serving[0] adventurer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a real magic in the way armstrong develops the story , keeping things moving in unexpected directions without lingering too long on any one moment or sequence . 	there's a real magic in the way armstrong develops the story , keeping things moving in unexpected directions without lingering too long on any one moment or sequence .	1	-1	 there's[0] a[0] real[0] magic[0] in[0] the[0] way[0] armstrong[0] develops[0] the[0] story[0] keeping[0] things[0] moving[0] in[0] unexpected[0] directions[0] without[0] lingering[0] too[0] long[0] on[0] any[0] one[0] moment[0] or[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( in fact , i wish she had devoted a little more time to the luminous middle act , which has oscar and lucinda together . ) 	 ( in fact , i wish she had devoted a little more time to the luminous middle act , which has oscar and lucinda together .<br> )	3	-1	 in[0] fact[0] i[0] wish[0] she[0] had[0] devoted[2] a[0] little[0] more[0] time[0] to[0] the[0] luminous[0] middle[0] act[0] which[0] has[0] oscar[0] and[0] lucinda[0] together[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with the skill of a consummate storyteller , she weaves romance , friendship , passion , humor , and tragedy together into a complete package . 	with the skill of a consummate storyteller , she weaves romance , friendship , passion , humor , and tragedy together into a complete package .	4	-3	 with[0] the[0] skill[0] of[0] a[0] consummate[0] storyteller[0] she[0] weaves[0] romance[3] friendship[1] passion[2] humor[2][+1 MultiplePositiveWords] and[0] tragedy[-2] together[0] into[0] a[0] complete[0] package[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the characters , with all of their human foibles and neuroses , are wonderfully developed by fiennes and blanchett . 	the characters , with all of their human foibles and neuroses , are wonderfully developed by fiennes and blanchett .	3	-2	 the[0] characters[0] with[0] all[0] of[0] their[0] human[0] foibles[-1] and[0] neuroses[0] are[0] wonderfully[2] developed[0] by[0] fiennes[0] and[0] blanchett[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so who cares if the storyline is a little ripe and unwieldy ? 	so who cares if the storyline is a little ripe and unwieldy ?	2	-1	 so[0] who[0] cares[1] if[0] the[0] storyline[0] is[0] a[0] little[0] ripe[0] and[0] unwieldy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oscar and lucinda still offers abundant pleasures to reward the viewer . 	oscar and lucinda still offers abundant pleasures to reward the viewer .	3	-1	 oscar[0] and[0] lucinda[0] still[0] offers[0] abundant[0] pleasures[2] to[0] reward[1] the[0] viewer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
