making a sequel to a widely beloved film is a weighty proposition indeed , especially when the first film is considered by many to be a masterpiece . 	Translation	Positive	Negative	EmotionRationale
monkeys , kittens , and dogs of various breeds and sizes are some of the new " urbanites " that babe befriends , as well as some wonderfully comical pelicans that ferdinand the duck happens to encounter . 	monkeys , kittens , and dogs of various breeds and sizes are some of the new " urbanites " that babe befriends , as well as some wonderfully comical pelicans that ferdinand the duck happens to encounter .	2	-1	 monkeys[0] kittens[0] and[0] dogs[0] of[0] various[0] breeds[0] and[0] sizes[0] are[0] some[0] of[0] the[0] new[0] urbanites[0] that[0] babe[0] befriends[0] as[0] well[0] as[0] some[0] wonderfully[2][-1 LastWordBoosterStrength] comical[0] pelicans[0] that[0] ferdinand[0] the[0] duck[0] happens[0] to[0] encounter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
each character is distinctly unique , some of which are imbued with personal human-like struggles that are endearing and touching . 	each character is distinctly unique , some of which are imbued with personal human-like struggles that are endearing and touching .	2	-2	 each[0] character[0] is[0] distinctly[0] unique[0] some[0] of[0] which[0] are[0] imbued[0] with[0] personal[0] human[0] like[1] struggles[-1] that[0] are[0] endearing[0] and[0] touching[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and while this world focuses largely on these animals , we are introduced to two new human characters as well . 	and while this world focuses largely on these animals , we are introduced to two new human characters as well .	1	-1	 and[0] while[0] this[0] world[0] focuses[0] largely[0] on[0] these[0] animals[0] we[0] are[0] introduced[0] to[0] two[0] new[0] human[0] characters[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mary stein plays the owner of the flealands hotel , an animal-loving young spinster who harbors these lost creatures much to the dismaying anger of her fellow neighbors . 	mary stein plays the owner of the flealands hotel , an animal-loving young spinster who harbors these lost creatures much to the dismaying anger of her fellow neighbors .	4	-5	 mary[0] stein[0] plays[1] the[0] owner[0] of[0] the[0] flealands[0] hotel[0] an[0] animal[0] loving[3] young[0] spinster[-1] who[0] harbors[0] these[0] lost[0] creatures[0] much[0] to[0] the[0] dismaying[-2] anger[-3][-1 MultiplePositiveWords] of[0] her[0] fellow[0] neighbors[0] [[Sentence=-5,4=word max, 1-5]][[[4,-5 max of sentences]]]
stein's landlady is a wonderfully odd caricature . 	stein's landlady is a wonderfully odd caricature .	3	-1	 stein's[0] landlady[0] is[0] a[0] wonderfully[2] odd[0] caricature[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we also meet fugly floom , an old soft-spoken clown who owns many of the animals in the flealands hotel , utilizing them as a part of the act that he performs at different parties and functions . 	we also meet fugly floom , an old soft-spoken clown who owns many of the animals in the flealands hotel , utilizing them as a part of the act that he performs at different parties and functions .	1	-4	 we[0] also[0] meet[0] fugly[-3] floom[0] an[0] old[0] soft[0] spoken[0] clown[0] who[0] owns[0] many[0] of[0] the[0] animals[0] in[0] the[0] flealands[0] hotel[0] utilizing[0] them[0] as[0] a[0] part[0] of[0] the[0] act[0] that[0] he[0] performs[0] at[0] different[0] parties[0] and[0] functions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not having known who portrayed fugly floom prior to seeing the film , it came as an unexpected pleasant surprise to see who it was . 	not having known who portrayed fugly floom prior to seeing the film , it came as an unexpected pleasant surprise to see who it was .	3	-4	 not[0] having[0] known[0] who[0] portrayed[0] fugly[-3] floom[0] prior[0] to[0] seeing[0] the[0] film[0] it[0] came[0] as[0] an[0] unexpected[0] pleasant[2] surprise[0] to[0] see[0] who[0] it[0] was[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
so as not to ruin this well-kept secret , i won't reveal the actor's identity here . 	so as not to ruin this well-kept secret , i won't reveal the actor's identity here .	2	-1	 so[0] as[0] not[0] to[0] ruin[-1][NegatedDueToPreviousWord] this[0] well[0] kept[0] secret[0] i[0] won't[0] reveal[0] the[0] actor's[0] identity[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it was a treat indeed to see one of cinema's legends grace the screen again in what was a superbly gentle and heartwarming performance . 	it was a treat indeed to see one of cinema's legends grace the screen again in what was a superbly gentle and heartwarming performance .	3	-1	 it[0] was[0] a[0] treat[1] indeed[0] to[0] see[0] one[0] of[0] cinema's[0] legends[0] grace[2] the[0] screen[0] again[0] in[0] what[0] was[0] a[0] superbly[0] gentle[1] and[0] heartwarming[2] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the greatest triumph of " babe : pig in the city " is the art direction . 	the greatest triumph of " babe : pig in the city " is the art direction .	4	-1	 the[0] greatest[2] triumph[2][+1 MultiplePositiveWords] of[0] babe[0] pig[0] in[0] the[0] city[0] is[0] the[0] art[0] direction[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
simply put--it bleeds creativity , taking the look of the original film to a whole new level . 	simply put-it bleeds creativity , taking the look of the original film to a whole new level .	1	-1	 simply[0] put[0] it[0] bleeds[0] creativity[0] taking[0] the[0] look[0] of[0] the[0] original[0] film[0] to[0] a[0] whole[0] new[0] level[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
restricted primarily to a farm the first time around , this second installment creates an entire city , dazzling us with unique fable-like architecture . 	restricted primarily to a farm the first time around , this second instalment creates an entire city , dazling us with unique fable-like architecture .	2	-2	 restricted[-1] primarily[0] to[0] a[0] farm[0] the[0] first[0] time[0] around[0] this[0] second[0] installment/instalment[0] creates[0] an[0] entire[0] city[0] dazzling/dazling[0] us[0] with[0] unique[0] fable[0] like[1] architecture[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the stroke of pure genius by production designer roger ford is his use of our world's architectural landmarks . 	but the stroke of pure genius by production designer roger ford is his use of our world's architectural landmarks .	1	-1	 but[0] the[0] stroke[0] of[0] pure[0] genius[0] by[0] production[0] designer[0] roger[0] ford[0] is[0] his[0] use[0] of[0] our[0] world's[0] architectural[0] landmarks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
designing a skyline that includes the statue of liberty , the sydney opera house , the brooklyn bridge , the hollywood sign and the eiffel tower , ford has created a singular city that encompasses all of our cities ( as seen in the film photo and pre-production drawing to your right ) . 	designing a skyline that includes the statue of liberty , the sydney opera house , the brooklyn bridge , the hollywood sign and the eiffel tower , ford has created a singular city that encompasses all of our cities ( as seen in the film photo and pre-production drawing to your right ) .	1	-1	 designing[0] a[0] skyline[0] that[0] includes[0] the[0] statue[0] of[0] liberty[0] the[0] sydney[0] opera[0] house[0] the[0] brooklyn[0] bridge[0] the[0] hollywood[0] sign[0] and[0] the[0] eiffel[0] tower[0] ford[0] has[0] created[0] a[0] singular[0] city[0] that[0] encompasses[0] all[0] of[0] our[0] cities[0] as[0] seen[0] in[0] the[0] film[0] photo[0] and[0] pre[0] production[0] drawing[0] to[0] your[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
added to that , many of this city's streets are the twin siblings of venice's gondola-trekked rivers . 	added to that , many of this city's streets are the twin siblings of venice's gondola-treked rivers .	1	-1	 added[0] to[0] that[0] many[0] of[0] this[0] city's[0] streets[0] are[0] the[0] twin[0] siblings[0] of[0] venice's[0] gondola[0] trekked/treked[0] rivers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the metropolis that has sprung from ford's vision is a wondrous sight to behold . 	the metropolis that has sprung from ford's vision is a wondrous sight to behold .	1	-1	 the[0] metropolis[0] that[0] has[0] sprung[0] from[0] ford's[0] vision[0] is[0] a[0] wondrous[0] sight[0] to[0] behold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a world that you want to walk around in . 	it is a world that you want to walk around in .	1	-1	 it[0] is[0] a[0] world[0] that[0] you[0] want[0] to[0] walk[0] around[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
norma moriceau's costume designs belong in this world , vibrant in color and style equal to that of the ford's landscape . 	norma moriceau's costume designs belong in this world , vibrant in color and style equal to that of the ford's landscape .	1	-1	 norma[0] moriceau's[0] costume[0] designs[0] belong[0] in[0] this[0] world[0] vibrant[0] in[0] color[0] and[0] style[0] equal[0] to[0] that[0] of[0] the[0] ford's[0] landscape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the costumes are imaginatively cartoonish , with the most exotically grand design going to that of fugly floom's clown outfit . 	most of the costumes are imaginatively cartoonish , with the most exotically grand design going to that of fugly floom's clown outfit .	2	-4	 most[0] of[0] the[0] costumes[0] are[0] imaginatively[1] cartoonish[0] with[0] the[0] most[0] exotically[0] grand[1] design[0] going[0] to[0] that[0] of[0] fugly[-3] floom's[0] clown[0] outfit[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
andrew lesnie's photography captures these elements with various lighting moods that are beautifully effective in creating the film's multiple emotional tones . 	andrew lesnie's photography captures these elements with various lighting moods that are beautifully effective in creating the film's multiple emotional tones .	3	-2	 andrew[0] lesnie's[0] photography[0] captures[-1] these[0] elements[0] with[0] various[0] lighting[0] moods[0] that[0] are[0] beautifully[2] effective[0] in[0] creating[0] the[0] film's[0] multiple[0] emotional[-1] tones[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
much press fodder has been made over the weeks leading up to the release of " babe : pig in the city " . 	much press fodder has been made over the weeks leading up to the release of " babe : pig in the city " .	1	-1	 much[0] press[0] fodder[0] has[0] been[0] made[0] over[0] the[0] weeks[0] leading[0] up[0] to[0] the[0] release[0] of[0] babe[0] pig[0] in[0] the[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reports stated that its original cut was branded with a pg-13 rating . 	reports stated that its original cut was branded with a pg-13 rating .	1	-1	 reports[0] stated[0] that[0] its[0] original[0] cut[0] was[0] branded[0] with[0] a[0] pg[0] -13[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these reports were discovered to be false as it was assigned a pg rating . 	these reports were discovered to be false as it was assigned a pg rating .	1	-1	 these[0] reports[0] were[0] discovered[0] to[0] be[0] false[0] as[0] it[0] was[0] assigned[0] a[0] pg[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but even so , to be anything harsher than the original' s g rating had many parents and fans up in arms . 	but even so , to be anything harsher than the original' s grin� rating had many parents and fans up in arms .	1	-1	 but[0] even[0] so[0] to[0] be[0] anything[0] harsher[0] than[0] the[0] original'[0] s[0] g[0] rating[0] had[0] many[0] parents[0] and[0] fans[0] up[0] in[0] arms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by deleting a minimal number of shots , " babe : pig in the city " was eventually given the coveted g rating . 	by deleting a minimal number of shots , " babe : pig in the city " was eventually given the coveted grin� rating .	1	-2	 by[0] deleting[0] a[0] minimal[0] number[0] of[0] shots[0] babe[0] pig[0] in[0] the[0] city[0] was[0] eventually[0] given[0] the[0] coveted[-1] g[0] rating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although appeased , many fans were still concerned that it would be too dark , fearing that the film may have come to be possessed by tim burton himself . 	although appeased , many fans were still concerned that it would be too dark , fearing that the film may have come to be possessed by tim burton himself .	1	-3	 although[0] appeased[0] many[0] fans[0] were[0] still[0] concerned[-1] that[0] it[0] would[0] be[0] too[0] dark[0] fearing[-2] that[0] the[0] film[0] may[0] have[0] come[0] to[0] be[0] possessed[0] by[0] tim[0] burton[0] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
well , to coin a phrase , the reports of " babe : pig in the city " 's death at the hands of a dark , scary , felliniesque interpretation have been greatly exaggerated . 	well , to coin a phrase , the reports of " babe : pig in the city " 's death at the hands of a dark , scary , felliniesque interpretation have been greatly exaggerated .	3	-4	 well[0] to[0] coin[0] a[0] phrase[0] the[0] reports[0] of[0] babe[0] pig[0] in[0] the[0] city[0] 's[0] death[-2] at[0] the[0] hands[0] of[0] a[0] dark[0] scary[-3] felliniesque[0] interpretation[0] have[0] been[0] greatly[2] exaggerated[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
granted it has its moments of pseudo-morbidity , but all-in-all " babe : pig in the city " is the funny and charming adventure that everyone was hoping it would be . 	granted it has its moments of pseudo-morbidity , but all-in-all " babe : pig in the city " is the funny and charming adventure that everyone was hoping it would be .	2	-1	 granted[0] it[0] has[0] its[0] moments[0] of[0] pseudo[0] morbidity[0] but[0] all[0] in[0] all[0] babe[0] pig[0] in[0] the[0] city[0] is[0] the[0] funny[1] and[0] charming[1] adventure[0] that[0] everyone[0] was[0] hoping[1] it[0] would[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
whatever " dark " moments it may have can be attributed to director george miller ( the " mad max " trilogy , " the witches of eastwick " , " lorenzo's oil " ) . 	whatever " dark " moments it may have can be attributed to director george miller ( the " mad max " trilogy , " the witches of eastwick " , " lorenzo's oil " ) .	1	-2	 whatever[0] dark[0] moments[0] it[0] may[0] have[0] can[0] be[0] attributed[0] to[0] director[0] george[0] miller[0] the[0] mad[-1] max[0] trilogy[0] the[0] witches[0] of[0] eastwick[0] lorenzo's[0] oil[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
having served as a producer and co-writer on the first film , miller moves into the director's chair for this one , putting his own unique sense of style into this budding franchise . 	having served as a producer and co-writer on the first film , miller moves into the director's chair for this one , putting his own unique sense of style into this budding franchise .	1	-1	 having[0] served[0] as[0] a[0] producer[0] and[0] co[0] writer[0] on[0] the[0] first[0] film[0] miller[0] moves[0] into[0] the[0] director's[0] chair[0] for[0] this[0] one[0] putting[0] his[0] own[0] unique[0] sense[0] of[0] style[0] into[0] this[0] budding[0] franchise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story of " babe : pig in the city " is an enchanting yarn , but one that doesn't achieve the emotional or character depth of the original . 	the story of " babe : pig in the city " is an enchanting yarn , but one that doesn't achieve the emotional or character depth of the original .	1	-2	 the[0] story[0] of[0] babe[0] pig[0] in[0] the[0] city[0] is[0] an[0] enchanting[0] yarn[0] but[0] one[0] that[0] doesn't[0] achieve[0] the[0] emotional[-1] or[0] character[0] depth[0] of[0] the[0] original[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
missing here is the attempt to broach such heady themes as personal identity , an individual's worth , challenging conformity , and one's purpose in life . 	missing here is the attempt to broach such heady themes as personal identity , an individual's worth , challenging conformity , and one's purpose in life .	1	-1	 missing[0] here[0] is[0] the[0] attempt[0] to[0] broach[0] such[0] heady[0] themes[0] as[0] personal[0] identity[0] an[0] individual's[0] worth[0] challenging[0] conformity[0] and[0] one's[0] purpose[0] in[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " babe " dealt with this weighty subject matter , creating a timeless fable . 	 " babe " dealt with this weighty subject matter , creating a timeless fable .	1	-1	 babe[0] dealt[0] with[0] this[0] weighty[0] subject[0] matter[0] creating[0] a[0] timeless[0] fable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " babe : pig in the city " should not have rehashed these themes , but i do wish it would have attempted to explore new ones . 	 " babe : pig in the city " should not have rehashed these themes , but i do wish it would have attempted to explore new ones .	1	-1	 babe[0] pig[0] in[0] the[0] city[0] should[0] not[0] have[0] rehashed[0] these[0] themes[0] but[0] i[0] do[0] wish[0] it[0] would[0] have[0] attempted[0] to[0] explore[0] new[0] ones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is not bereft of moral or message as it parallels such issues as urban strife , class differences , sacrificial courage , and so on . 	this film is not bereft of moral or message as it parallels such issues as urban strife , class differences , sacrificial courage , and so on .	2	-2	 this[0] film[0] is[0] not[0] bereft[-1][NegatedDueToPreviousWord] of[0] moral[0] or[0] message[0] as[0] it[0] parallels[0] such[0] issues[0] as[0] urban[0] strife[-1] class[0] differences[0] sacrificial[0] courage[1] and[0] so[0] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but this film's goals aren't as lofty as the first's , instead choosing to take a more straightforward approach , allowing its themes to take a back seat to an exciting , sometimes intense , fable adventure that is undeniably clever and inventive . 	but this film's goals aren't as lofty as the first's , instead choosing to take a more straightforward approach , allowing its themes to take a back seat to an exciting , sometimes intense , fable adventure that is undeniably clever and inventive .	3	-1	 but[0] this[0] film's[0] goals[0] aren't[0] as[0] lofty[0] as[0] the[0] first's[0] instead[0] choosing[0] to[0] take[0] a[0] more[0] straightforward[0] approach[0] allowing[0] its[0] themes[0] to[0] take[0] a[0] back[0] seat[0] to[0] an[0] exciting[2] sometimes[0] intense[0] fable[0] adventure[0] that[0] is[0] undeniably[0] clever[0] and[0] inventive[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " babe : pig in the city " also decides against developing a relationship to the level of which was present in the first film , specifically the one between farmer hoggett and babe . 	 " babe : pig in the city " also decides against developing a relationship to the level of which was present in the first film , specifically the one between farmer hoggett and babe .	1	-2	 babe[0] pig[0] in[0] the[0] city[0] also[0] decides[0] against[-1] developing[0] a[0] relationship[0] to[0] the[0] level[0] of[0] which[0] was[0] present[0] in[0] the[0] first[0] film[0] specifically[0] the[0] one[0] between[0] farmer[0] hoggett[0] and[0] babe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hoggett's love for babe , which grew ever so gently , is what gave that film its charming and endearing quality . 	hoggett's love for babe , which grew ever so gently , is what gave that film its charming and endearing quality .	3	-1	 hoggett's[0] love[2] for[0] babe[0] which[0] grew[0] ever[0] so[0] gently[1] is[0] what[0] gave[0] that[0] film[0] its[0] charming[1] and[0] endearing[0] quality[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
