why do people hate the spice girls ? 	Translation	Positive	Negative	EmotionRationale
 ? there are a few slow segments , but overly , director bob spiers keeps things moving at a quick pace , with plenty of hummable spice girls songs in the background . 	 ?<br> there are a few slow segments , but overly , director bob spiers keeps things moving at a quick pace , with plenty of hummable spice girls songs in the background .	1	-1	 there[0] are[0] a[0] few[0] slow[0] segments[0] but[0] overly[0] director[0] bob[0] spiers[0] keeps[0] things[0] moving[0] at[0] a[0] quick[0] pace[0] with[0] plenty[0] of[0] hummable[0] spice[0] girls[0] songs[0] in[0] the[0] background[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? his camerawork is fairly pedestrian , though the final concert number is done quite well with effective use of editing . 	 ?<br> his camerawork is fairly pedestrian , though the final concert number is done quite well with effective use of editing .	1	-1	 his[0] camerawork[0] is[0] fairly[0] pedestrian[0] though[0] the[0] final[0] concert[0] number[0] is[0] done[0] quite[0] well[0] with[0] effective[0] use[0] of[0] editing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? 	 ?	1	-1	[[[0,0 max of sentences]]]
the look of the film promotes the high fun , with the design of the spicebus being quite original and eye-catching . 	the look of the film promotes the high fun , with the design of the spicebus being quite original and eye-catching .	2	-1	 the[0] look[0] of[0] the[0] film[0] promotes[0] the[0] high[0] fun[1] with[0] the[0] design[0] of[0] the[0] spicebus[0] being[0] quite[0] original[0] and[0] eye[0] catching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ? add in wall-to-wall spice girls music and this film is lovable romp . 	 ?<br> add in wall-to-wall spice girls music and this film is lovable romp .	1	-1	 add[0] in[0] wall[0] to[0] wall[0] spice[0] girls[0] music[0] and[0] this[0] film[0] is[0] lovable[0] romp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? if you don't like the spice girls , you won't change your mind with this film . 	 ?<br> if you don't like the spice girls , you won't change your mind with this film .	1	-2	 if[0] you[0] don't[0] like[1][NegatedDueToPreviousWord] the[0] spice[0] girls[0] you[0] won't[0] change[0] your[0] mind[0] with[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ? but , if you find them at least tolerable , get ready to sit back and chill because the spice girls are here to entertain you . 	 ?<br> but , if you find them at least tolerable , get ready to sit back and chill because the spice girls are here to entertain you .	1	-1	 but[0] if[0] you[0] find[0] them[0] at[0] least[0] tolerable[0] get[0] ready[0] to[0] sit[0] back[0] and[0] chill[0] because[0] the[0] spice[0] girls[0] are[0] here[0] to[0] entertain[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
and do it quite well . 	and do it quite well .	1	-1	 and[0] do[0] it[0] quite[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? 	 ?	1	-1	[[[0,0 max of sentences]]]
 " spice world " ( 1998 ) . 	 " spice world " ( 1998 ) .	1	-1	 spice[0] world[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? directed by bob spiers . 	 ?<br> directed by bob spiers .	1	-1	 directed[0] by[0] bob[0] spiers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? written by kim fuller . 	 ?<br> written by kim fuller .	1	-1	 written[0] by[0] kim[0] fuller[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? music by the spice girls . 	 ?<br> music by the spice girls .	1	-1	 music[0] by[0] the[0] spice[0] girls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? with geri halliwell , victoria adams , melanie chisolm , melanie brown , emma bunton , richard e . grant , claire rushbrook , roger moore . 	 ?<br> with geri halliwell , victoria adams , melanie chisolm , melanie brown , emma bunton , richard e .<br> grant , claire rushbrook , roger more .	1	-1	 with[0] geri[0] halliwell[0] victoria[0] adams[0] melanie[0] chisolm[0] melanie[0] brown[0] emma[0] bunton[0] richard[0] e[0] [[Sentence=-1,1=word max, 1-5]] grant[0] claire[0] rushbrook[0] roger[0] moore/more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? distributed by columbia pictures . 	 ?<br> distributed by columbia pictures .	1	-1	 distributed[0] by[0] columbia[0] pictures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? running time : 92 minutes . 	 ?<br> running time : 92 minutes .	1	-1	 running[0] time[0] 92[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? rated : pg . 	 ?<br> rated : pg .	1	-1	 rated[0] pg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? available on home video . 	 ?<br> available on home video .	1	-1	 available[0] on[0] home[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
---- 29 june 1998 	- 29 june 1998	1	-1	 29[0] june[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
