in roger michell's romantic comedy notting hill , william thacker ( hugh grant ) leads a rather dreary life maintaining his flagging travel bookshop in the quaint section of london which lends it's name to the film's title . 	Translation	Positive	Negative	EmotionRationale
most notable is rhys ifans as spike , william's eccentric roommate , who is in the film for no other purpose than to make us laugh . 	most notable is rhys ifans as spike , william's eccentric roommate , who is in the film for no other purpose than to make us laugh .	2	-2	 most[0] notable[0] is[0] rhys[0] ifans[0] as[0] spike[0] william's[0] eccentric[-1] roommate[0] who[0] is[0] in[0] the[0] film[0] for[0] no[0] other[0] purpose[0] than[0] to[0] make[0] us[0] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hugh bonneville , emma chambers , james dreyfus , and gina mckee bring up the guard as william's friends and family , particularly shining in a scene where william brings anna to his sister's birthday dinner , and we get to see how these common folks react to the presence of a movie star in their midst . 	hugh bonneville , emma chambers , james dreyfus , and gina mckee bring up the guard as william's friends and family , particularly shining in a scene where william brings anna to his sister's birthday dinner , and we get to see how these common folks react to the presence of a movie star in their midst .	2	-1	 hugh[0] bonneville[0] emma[0] chambers[0] james[0] dreyfus[0] and[0] gina[0] mckee[0] bring[0] up[0] the[0] guard[0] as[0] william's[0] friends[1] and[0] family[0] particularly[0] shining[0] in[0] a[0] scene[0] where[0] william[0] brings[0] anna[0] to[0] his[0] sister's[0] birthday[0] dinner[0] and[0] we[0] get[0] to[0] see[0] how[0] these[0] common[0] folks[0] react[0] to[0] the[0] presence[0] of[0] a[0] movie[0] star[0] in[0] their[0] midst[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a scene most of us will probably think would play out in our own living rooms were we faced with a similar situation . 	it's a scene most of us will probably think would play out in our own living rooms were we faced with a similar situation .	1	-1	 it's[0] a[0] scene[0] most[0] of[0] us[0] will[0] probably[0] think[0] would[0] play[0] out[0] in[0] our[0] own[0] living[0] rooms[0] were[0] we[0] faced[0] with[0] a[0] similar[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roger michell's use of visuals doesn't sweep us off our feet , but does give us more than your typical movie of this type . 	roger michell's use of visuals doesn't sweep us off our feet , but does give us more than your typical movie of this type .	1	-1	 roger[0] michell's[0] use[0] of[0] visuals[0] doesn't[0] sweep[0] us[0] off[0] our[0] feet[0] but[0] does[0] give[0] us[0] more[0] than[0] your[0] typical[0] movie[0] of[0] this[0] type[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , there are a couple of instances in this film where large amounts of time pass . 	for example , there are a couple of instances in this film where large amounts of time pass .	1	-1	 for[0] example[0] there[0] are[0] a[0] couple[0] of[0] instances[0] in[0] this[0] film[0] where[0] large[0] amounts[0] of[0] time[0] pass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whereas some films are content to simply put in a caption saying " eight months later , " michell presents us with more interesting cues , such as william's walk though his neighborhood while the seasons change around him . 	whereas some films are content to simply put in a caption saying " eight months later , " michell presents us with more interesting cues , such as william's walk though his neighborhood while the seasons change around him .	2	-1	 whereas[0] some[0] films[0] are[0] content[0] to[0] simply[0] put[0] in[0] a[0] caption[0] saying[0] eight[0] months[0] later[0] michell[0] presents[0] us[0] with[0] more[0] interesting[1] cues[0] such[0] as[0] william's[0] walk[0] though[0] his[0] neighborhood[0] while[0] the[0] seasons[0] change[0] around[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another memorable shot occurs in a park where the camera is lifted from ground level to a couple of hundred feet in the air . 	another memorable shot occurs in a park where the camera is lifted from ground level to a couple of hundred feet in the air .	1	-2	 another[0] memorable[0] shot[-1] occurs[0] in[0] a[0] park[0] where[0] the[0] camera[0] is[0] lifted[0] from[0] ground[0] level[0] to[0] a[0] couple[0] of[0] hundred[0] feet[0] in[0] the[0] air[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're generally used to scenes where our point of view is lifted from the earth to treetop level or so , but in this case , the camera just keeps going up and up until we have a bird's eye view of the ground below . 	we're generally used to scenes where our point of view is lifted from the earth to treetop level or so , but in this case , the camera just keeps going up and up until we have a bird's eye view of the ground below .	1	-1	 we're[0] generally[0] used[0] to[0] scenes[0] where[0] our[0] point[0] of[0] view[0] is[0] lifted[0] from[0] the[0] earth[0] to[0] treetop[0] level[0] or[0] so[0] but[0] in[0] this[0] case[0] the[0] camera[0] just[0] keeps[0] going[0] up[0] and[0] up[0] until[0] we[0] have[0] a[0] bird's[0] eye[0] view[0] of[0] the[0] ground[0] below[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
music is used rather glaringly as an enhancement to many of the film's scenes , and some of this might have been better toned down , but in other areas it works to full effect . 	music is used rather glaringly as an enhancement to many of the film's scenes , and some of this might have been better toned down , but in other areas it works to full effect .	1	-1	 music[0] is[0] used[0] rather[0] glaringly[0] as[0] an[0] enhancement[0] to[0] many[0] of[0] the[0] film's[0] scenes[0] and[0] some[0] of[0] this[0] might[0] have[0] been[0] better[0] toned[0] down[0] but[0] in[0] other[0] areas[0] it[0] works[0] to[0] full[0] effect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's kind of a mixed bag , but still fares better than many of today's lighthearted movies which are so influenced by the mtv fare that the film becomes one long music video . 	it's kind of a mixed bag , but still fares better than many of today's lighthearted movies which are so influenced by the mtv fare that the film becomes one long music video .	2	-1	 it's[0] kind[1] of[0] a[0] mixed[0] bag[0] but[0] still[0] fares[0] better[0] than[0] many[0] of[0] today's[0] lighthearted[0] movies[0] which[0] are[0] so[0] influenced[0] by[0] the[0] mtv[0] fare[0] that[0] the[0] film[0] becomes[0] one[0] long[0] music[0] video[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least this film has some pretty good music that for the most part remains relevant and appropriate . 	at least this film has some pretty good music that for the most part remains relevant and appropriate .	2	-1	 at[0] least[0] this[0] film[0] has[0] some[0] pretty[2][-1 LastWordBoosterStrength] good[1] music[0] that[0] for[0] the[0] most[0] part[0] remains[0] relevant[0] and[0] appropriate[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
notting hill's grant and roberts will not go down in history as one of the all-time greatest film pairings , but the chemistry is decent and the comedic aspects of the movie more than make up for it . 	noting hill's grant and roberts will not go down in history as one of the all-time greatest film pairings , but the chemistry is decent and the comedic aspects of the movie more than make up for it .	3	-1	 notting/noting[0] hill's[0] grant[0] and[0] roberts[0] will[0] not[0] go[0] down[0] in[0] history[0] as[0] one[0] of[0] the[0] all[0] time[0] greatest[2] film[0] pairings[0] but[0] the[0] chemistry[0] is[0] decent[0] and[0] the[0] comedic[0] aspects[0] of[0] the[0] movie[0] more[0] than[0] make[0] up[0] for[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for a couple of hours , you should expect to laugh more than cry , and that's not so bad , now is it ? 	for a couple of hours , you should expect to laugh more than cry , and that's not so bad , now is it ?	2	-4	 for[0] a[0] couple[0] of[0] hours[0] you[0] should[0] expect[0] to[0] laugh[1] more[0] than[0] cry[-3] and[0] that's[0] not[0] so[0] bad[-1][NegatedDueToPreviousWord] now[0] is[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
