here's a word analogy : amistad is to the lost world as schindler's list is to jurassic park . 	Translation	Positive	Negative	EmotionRationale
however , the event is a part of the american social and legal fabric , and , while amistad does not adhere rigorously to the actual account , most of the basic facts are in order . 	however , the event is a part of the american social and legal fabric , and , while amistad does not adhere rigorously to the actual account , most of the basic facts are in order .	1	-1	 however[0] the[0] event[0] is[0] a[0] part[0] of[0] the[0] american[0] social[0] and[0] legal[0] fabric[0] and[0] while[0] amistad[0] does[0] not[0] adhere[0] rigorously[0] to[0] the[0] actual[0] account[0] most[0] of[0] the[0] basic[0] facts[0] are[0] in[0] order[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
several , mostly minor changes have been made to enhance the film's dramatic force . 	several , mostly minor changes have been made to enhance the film's dramatic force .	1	-2	 several[0] mostly[0] minor[0] changes[0] have[0] been[0] made[0] to[0] enhance[0] the[0] film's[0] dramatic[0] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the whole , while amistad may not be faithful to all of the details of the situation , it is true to the spirit and meaning of what transpired . 	on the whole , while amistad may not be faithful to all of the details of the situation , it is true to the spirit and meaning of what transpired .	2	-2	 on[0] the[0] whole[0] while[0] amistad[0] may[0] not[0] be[0] faithful[1][NegatedDueToPreviousWord] to[0] all[0] of[0] the[0] details[0] of[0] the[0] situation[0] it[0] is[0] true[1] to[0] the[0] spirit[0] and[0] meaning[0] of[0] what[0] transpired[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one stormy night during the summer of 1839 , the 53 men imprisoned on the spanish slave ship la amistad escape . 	one stormy night during the summer of 1839 , the 53 men imprisoned on the spanish slave ship la amistad escape .	1	-2	 one[0] stormy[-1] night[0] during[0] the[0] summer[0] of[0] 1839[0] the[0] 53[0] men[0] imprisoned[-1] on[0] the[0] spanish[0] slave[0] ship[0] la[0] amistad[0] escape[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
led by the lion-hearted cinque ( djimon hounsou ) , they take control of the vessel , killing most of the crew . 	led by the lion-hearted cinque ( djimon hounsou ) , they take control of the vessel , killing most of the crew .	1	-2	 led[0] by[0] the[0] lion[0] hearted[0] cinque[0] djimon[0] hounsou[0] they[0] take[0] control[0] of[0] the[0] vessel[0] killing[-1] most[0] of[0] the[0] crew[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
adrift somewhere off the coast of cuba and uncertain how to make their way back to africa , they rely on the two surviving spaniards to navigate the eastward journey . 	adrift somewhere off the coast of cuba and uncertain how to make their way back to africa , they rely on the two surviving spaniards to navigate the eastward journey .	1	-1	 adrift[0] somewhere[0] off[0] the[0] coast[0] of[0] cuba[0] and[0] uncertain[0] how[0] to[0] make[0] their[0] way[0] back[0] to[0] africa[0] they[0] rely[0] on[0] the[0] two[0] surviving[0] spaniards[0] to[0] navigate[0] the[0] eastward[0] journey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are tricked , however , and the la amistad , which makes its way northward off the united states' eastern coastline , is eventually captured by an american naval ship near connecticut . 	they are tricked , however , and the la amistad , which makes its way northward off the united states' eastern coastline , is eventually captured by an american naval ship near connecticut .	1	-2	 they[0] are[0] tricked[-1] however[0] and[0] the[0] la[0] amistad[0] which[0] makes[0] its[0] way[0] northward[0] off[0] the[0] united[0] states'[0] eastern[0] coastline[0] is[0] eventually[0] captured[-1] by[0] an[0] american[0] naval[0] ship[0] near[0] connecticut[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the kidnapped africans are shackled and thrown into prison , charged with murder and piracy . 	the kidnapped africans are shackled and thrown into prison , charged with murder and piracy .	1	-4	 the[0] kidnapped[0] africans[0] are[0] shackled[0] and[0] thrown[0] into[0] prison[-1] charged[-1] with[0] murder[-3] and[0] piracy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the first men to come to the africans' defense are abolitionists theodore joadson ( morgan freeman ) and lewis tappan ( stellan skarsgard ) . 	the first men to come to the africans' defense are abolitionists theodore joadson ( morgan freeman ) and lewis tappan ( stellan skarsgard ) .	1	-1	 the[0] first[0] men[0] to[0] come[0] to[0] the[0] africans'[0] defense[0] are[0] abolitionists[0] theodore[0] joadson[0] morgan[0] freeman[0] and[0] lewis[0] tappan[0] stellan[0] skarsgard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are soon joined by roger baldwin ( matthew mcconaughey ) , a property attorney of little repute . 	they are soon joined by roger baldwin ( matthew mcconaughey ) , a property attorney of little repute .	1	-1	 they[0] are[0] soon[0] joined[0] by[0] roger[0] baldwin[0] matthew[0] mcconaughey[0] a[0] property[0] attorney[0] of[0] little[0] repute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aided by advice from former president john quincy adams ( anthony hopkins ) , baldwin proves a more persuasive orator than anyone gave him credit for , and his central argument -- that the prisoners were illegally kidnapped free men , not property -- convinces the judge . 	aided by advice from former president john quincy adams ( anthony hopkins ) , baldwin proves a more persuasive orator than anyone gave him credit for , and his central argument - that the prisoners were illegally kidnapped free men , not property - convinces the judge .	1	-2	 aided[0] by[0] advice[0] from[0] former[0] president[0] john[0] quincy[0] adams[0] anthony[0] hopkins[0] baldwin[0] proves[0] a[0] more[0] persuasive[0] orator[0] than[0] anyone[0] gave[0] him[0] credit[0] for[0] and[0] his[0] central[0] argument[-1] that[0] the[0] prisoners[-1] were[0] illegally[0] kidnapped[0] free[0] men[0] not[0] property[0] convinces[0] the[0] judge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but powerful forces have aligned against baldwin's cause . 	but powerful forces have aligned against baldwin's cause .	1	-2	 but[0] powerful[0] forces[0] have[0] aligned[0] against[-1] baldwin's[0] cause[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
current president martin van buren ( nigel hawthorne ) , eager to please southern voters and 11-year old queen isabella of spain ( anna paquin ) , begins pulling strings behind-the-scenes to ensure that none of the africans goes free . 	current president martin van buren ( nigel hawthorne ) , eager to please southern voters and 11-year old queen isabella of spain ( anna paquin ) , begins pulling strings behind-the-scenes to ensure that none of the africans goes free .	2	-1	 current[0] president[0] martin[0] van[0] buren[0] nigel[0] hawthorne[0] eager[0] to[0] please[1] southern[0] voters[0] and[0] 11[0] year[0] old[0] queen[0] isabella[0] of[0] spain[0] anna[0] paquin[0] begins[0] pulling[0] strings[0] behind[0] the[0] scenes[0] to[0] ensure[0] that[0] none[0] of[0] the[0] africans[0] goes[0] free[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at its heart , amistad is a tale of human courage . 	at its heart , amistad is a tale of human courage .	2	-1	 at[0] its[0] heart[0] amistad[0] is[0] a[0] tale[0] of[0] human[0] courage[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cinque is a heroic figure whose spirit remains unbreakable regardless of the pain and indignity he is subjected to . 	cinque is a heroic figure whose spirit remains unbreakable regardless of the pain and indignity he is subjected to .	3	-4	 cinque[0] is[0] a[0] heroic[2] figure[0] whose[0] spirit[0] remains[0] unbreakable[0] regardless[-1] of[0] the[0] pain[-3] and[0] indignity[0] he[0] is[0] subjected[0] to[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he is a free man , not a slave , and , while he recognizes that he may die as a result of his struggle , he will not give it up . 	he is a free man , not a slave , and , while he recognizes that he may die as a result of his struggle , he will not give it up .	1	-2	 he[0] is[0] a[0] free[0] man[0] not[0] a[0] slave[0] and[0] while[0] he[0] recognizes[0] that[0] he[0] may[0] die[0] as[0] a[0] result[0] of[0] his[0] struggle[-1] he[0] will[0] not[0] give[0] it[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
effectively portrayed by newcomer djimon hounsou , whose passion and screen presence arrest our attention , cinque is the key to viewers seeing the amistad africans as more than symbols in a battle of ideologies . 	effectively portrayed by newcomer djimon hounsou , whose passion and screen presence arrest our attention , cinque is the key to viewers seeing the amistad africans as more than symbols in a battle of ideologies .	3	-2	 effectively[0] portrayed[0] by[0] newcomer[0] djimon[0] hounsou[0] whose[0] passion[2] and[0] screen[0] presence[0] arrest[0] our[0] attention[0] cinque[0] is[0] the[0] key[0] to[0] viewers[0] seeing[0] the[0] amistad[0] africans[0] as[0] more[0] than[0] symbols[0] in[0] a[0] battle[-1] of[0] ideologies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they are individuals , and our ability to make that distinction is crucial to the movie's success . 	they are individuals , and our ability to make that distinction is crucial to the movie's success .	3	-1	 they[0] are[0] individuals[0] and[0] our[0] ability[0] to[0] make[0] that[0] distinction[0] is[0] crucial[0] to[0] the[0] movie's[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to amplify this point , spielberg presents many scenes from the africans' point-of-view , detailing their occasionally-humorous observations about some of the white man's seemingly-strange " rituals " . 	to amplify this point , spielberg presents many scenes from the africans' point-of-view , detailing their occasionally-humorous observations about some of the white man's seemingly-strange " rituals " .	3	-1	 to[0] amplify[0] this[0] point[0] spielberg[0] presents[0] many[0] scenes[0] from[0] the[0] africans'[0] point[0] of[0] view[0] detailing[0] their[0] occasionally[0] humorous[2] observations[0] about[0] some[0] of[0] the[0] white[0] man's[0] seemingly[0] strange[0] rituals[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the larger struggle is , of course , one of defining humanity . 	the larger struggle is , of course , one of defining humanity .	1	-2	 the[0] larger[0] struggle[-1] is[0] of[0] course[0] one[0] of[0] defining[0] humanity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the nazis felt justified in slaughtering jews because they viewed their victims as " sub-human , " so the pro-slavery forces of amistad use a similar defense . 	as the nazis felt justified in slaughtering jews because they viewed their victims as " sub-human , " so the pro-slavery forces of amistad use a similar defense .	1	-3	 as[0] the[0] nazis[-1] felt[0] justified[0] in[0] slaughtering[-1] jews[0] because[0] they[0] viewed[0] their[0] victims[-2] as[0] sub[0] human[0] so[0] the[0] pro[0] slavery[0] forces[0] of[0] amistad[0] use[0] a[0] similar[0] defense[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the abolitionists regard the africans as men , but the slavers and their supporters see them as animals or property . 	the abolitionists regard the africans as men , but the slavers and their supporters see them as animals or property .	2	-1	 the[0] abolitionists[0] regard[0] the[0] africans[0] as[0] men[0] but[0] the[0] slavers[0] and[0] their[0] supporters[1] see[0] them[0] as[0] animals[0] or[0] property[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a sense , the morality of slavery is on trial here with the specter of civil war , which would break out less than three decades later , looming over everything . 	in a sense , the morality of slavery is on trial here with the specter of civil war , which would break out less than three decades later , looming over everything .	1	-3	 in[0] a[0] sense[0] the[0] morality[0] of[0] slavery[0] is[0] on[0] trial[0] here[0] with[0] the[0] specter[0] of[0] civil[0] war[-2] which[0] would[0] break[0] out[0] less[0] than[0] three[0] decades[0] later[0] looming[0] over[0] everything[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
amistad's presentation of the legal and political intricacies surrounding the trial are fascinating , making this movie one of the most engrossing courtroom dramas in recent history . 	amistad's presentation of the legal and political intricacies surrounding the trial are fascinating , making this movie one of the most engrossing courtroom dramas in recent history .	1	-1	 amistad's[0] presentation[0] of[0] the[0] legal[0] and[0] political[0] intricacies[0] surrounding[0] the[0] trial[0] are[0] fascinating[0] making[0] this[0] movie[0] one[0] of[0] the[0] most[0] engrossing[0] courtroom[0] dramas[0] in[0] recent[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four claimants come forward against the africans : the state , which wants them tried for murder ; the queen of spain , who wants them handed over to her under the provision of an american/spanish treaty ; two american naval officers , who claim the right of high seas salvage ; and the two surviving spaniards from la amistad , who demand that their property be returned to them . 	four claimants come forward against the africans : the state , which wants them tried for murder ; the queen of spain , who wants them handed over to her under the provision of an american/spanish treaty ; two american naval officers , who claim the right of high seas salvage ; and the two surviving spaniards from la amistad , who demand that their property be returned to them .	1	-4	 four[0] claimants[0] come[0] forward[0] against[-1] the[0] africans[0] the[0] state[0] which[0] wants[0] them[0] tried[0] for[0] murder[-3] the[0] queen[0] of[0] spain[0] who[0] wants[0] them[0] handed[0] over[0] to[0] her[0] under[0] the[0] provision[0] of[0] an[0] american/spanish[0] treaty[0] two[0] american[0] naval[0] officers[0] who[0] claim[0] the[0] right[0] of[0] high[0] seas[0] salvage[0] and[0] the[0] two[0] surviving[0] spaniards[0] from[0] la[0] amistad[0] who[0] demand[0] that[0] their[0] property[0] be[0] returned[0] to[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
baldwin must counter all of these claims , while facing a challenge to his own preconceived notions as the result of a relationship he develops with cinque . 	baldwin must counter all of these claims , while facing a challenge to his own preconceived notions as the result of a relationship he develops with cinque .	1	-2	 baldwin[0] must[0] counter[0] all[0] of[0] these[0] claims[0] while[0] facing[0] a[0] challenge[-1] to[0] his[0] own[0] preconceived[0] notions[0] as[0] the[0] result[0] of[0] a[0] relationship[0] he[0] develops[0] with[0] cinque[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though attorney and client are divided by a language barrier , they gradually learn to communicate . 	even though attorney and client are divided by a language barrier , they gradually learn to communicate .	1	-2	 even[0] though[0] attorney[0] and[0] client[0] are[0] divided[0] by[0] a[0] language[0] barrier[-1] they[0] gradually[0] learn[0] to[0] communicate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aside from cinque , who is a fully-realized individual , characterization is spotty , but the acting is top-notch . 	aside from cinque , who is a fully-realized individual , characterization is spotty , but the acting is top-notch .	1	-1	 aside[0] from[0] cinque[0] who[0] is[0] a[0] fully[0] realized[0] individual[0] characterization[0] is[0] spotty[0] but[0] the[0] acting[0] is[0] top[0] notch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matthew mcconaughey successfully overcomes his " pretty boy " image to become baldwin , but the lawyer is never particularly well-defined outside of his role in the la amistad case . 	matthew mcconaughey successfully overcomes his " pretty boy " image to become baldwin , but the lawyer is never particularly well-defined outside of his role in the la amistad case .	3	-1	 matthew[0] mcconaughey[0] successfully[2] overcomes[0] his[0] pretty[2] boy[0] image[0] to[0] become[0] baldwin[0] but[0] the[0] lawyer[0] is[0] never[0] particularly[0] well[0] defined[0] outside[0] of[0] his[0] role[0] in[0] the[0] la[0] amistad[0] case[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
likewise , while morgan freeman and stellan skarsgard are effective as joadson and tappan , they are never anything more than " abolitionists . " 	likewise , while morgan freeman and stellan skarsgard are effective as joadson and tappan , they are never anything more than " abolitionists .<br> "	1	-1	 likewise[0] while[0] morgan[0] freeman[0] and[0] stellan[0] skarsgard[0] are[0] effective[0] as[0] joadson[0] and[0] tappan[0] they[0] are[0] never[0] anything[0] more[0] than[0] abolitionists[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nigel hawthorne , who played the title character in the madness of king george , presents martin van buren as a spineless sycophant to whom justice means far less than winning an election . 	nigel hawthorne , who played the title character in the madness of king george , presents martin van buren as a spineless sycophant to whom justice means far less than winning an election .	2	-2	 nigel[0] hawthorne[0] who[0] played[0] the[0] title[0] character[0] in[0] the[0] madness[-1] of[0] king[0] george[0] presents[0] martin[0] van[0] buren[0] as[0] a[0] spineless[0] sycophant[0] to[0] whom[0] justice[0] means[0] far[0] less[0] than[0] winning[1] an[0] election[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
finally , there's anthony hopkins , whose towering portrayal of john quincy adams is as compelling as anything the great actor has recently done . 	finally , there's anthony hopkins , whose towering portrayal of john quincy adams is as compelling as anything the great actor has recently done .	3	-1	 finally[0] there's[0] anthony[0] hopkins[0] whose[0] towering[0] portrayal[0] of[0] john[0] quincy[0] adams[0] is[0] as[0] compelling[0] as[0] anything[0] the[0] great[2] actor[0] has[0] recently[0] done[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hopkins , who can convincingly play such diverse figures as a serial killer , an emotionally-crippled english butler , and richard nixon , makes us believe that he is adams . 	hopkins , who can convincingly play such diverse figures as a serial killer , an emotionally-crippled english butler , and richard nixon , makes us believe that he is adams .	1	-2	 hopkins[0] who[0] can[0] convincingly[0] play[0] such[0] diverse[0] figures[0] as[0] a[0] serial[0] killer[-1] an[0] emotionally[0] crippled[-1] english[0] butler[0] and[0] richard[0] nixon[0] makes[0] us[0] believe[0] that[0] he[0] is[0] adams[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his ten-minute speech about freedom and human values is unforgettable . 	his ten-minute speech about freedom and human values is unforgettable .	2	-1	 his[0] ten[0] minute[0] speech[0] about[0] freedom[0] and[0] human[0] values[1] is[0] unforgettable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one point of difference worth noting between amistad and schindler's list is this film's lack of a well-defined human villain . 	one point of difference worth noting between amistad and schindler's list is this film's lack of a well-defined human villain .	1	-3	 one[0] point[0] of[0] difference[0] worth[0] noting[0] between[0] amistad[0] and[0] schindler's[0] list[0] is[0] this[0] film's[0] lack[-1] of[0] a[0] well[0] defined[0] human[0] villain[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
schindler's list had ralph fiennes' superbly-realized amon goeth , who was not only a three-dimensional character , but a personification of all that the nazis stood for . 	schindler's list had ralph fiennes' superbly-realized amon goeth , who was not only a three-dimensional character , but a personification of all that the nazis stood for .	1	-2	 schindler's[0] list[0] had[0] ralph[0] fiennes'[0] superbly[0] realized[0] amon[0] goeth[0] who[0] was[0] not[0] only[0] a[0] three[0] dimensional[0] character[0] but[0] a[0] personification[0] of[0] all[0] that[0] the[0] nazis[-1] stood[0] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no such figure in amistad . 	there is no such figure in amistad .	1	-1	 there[0] is[0] no[0] such[0] figure[0] in[0] amistad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the villain is slavery , but an ideology , no matter how evil , is rarely the best adversary . 	the villain is slavery , but an ideology , no matter how evil , is rarely the best adversary .	2	-3	 the[0] villain[-2] is[0] slavery[0] but[0] an[0] ideology[0] no[0] matter[0] how[0] evil[-2] is[0] rarely[0] the[0] best[1] adversary[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is to spielberg's credit that he has fashioned such a compelling motion picture without a prominent antagonist . 	it is to spielberg's credit that he has fashioned such a compelling motion picture without a prominent antagonist .	1	-2	 it[0] is[0] to[0] spielberg's[0] credit[0] that[0] he[0] has[0] fashioned[0] such[0] a[0] compelling[0] motion[0] picture[0] without[0] a[0] prominent[0] antagonist[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
amistad's trek to the screen , which encountered some choppy waters ( author barbara chase-riboud has cried plagiarism , a charge denied by the film makers ) , comes in the midst of an upsurge of interest in the incident . 	amistad's trek to the screen , which encountered some choppy waters ( author barbara chase-riboud has cried plagiarism , a charge denied by the film makers ) , comes in the midst of an upsurge of interest in the incident .	2	-4	 amistad's[0] trek[0] to[0] the[0] screen[0] which[0] encountered[0] some[0] choppy[0] waters[0] author[0] barbara[0] chase[-1] riboud[0] has[0] cried[-3] plagiarism[0] a[0] charge[-1] denied[-1] by[0] the[0] film[0] makers[0] comes[0] in[0] the[0] midst[0] of[0] an[0] upsurge[0] of[0] interest[1] in[0] the[0] incident[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
an opera of the same name opened in chicago on november 29 , 1997 . 	an opera of the same name opened in chicago on november 29 , 1997 .	1	-1	 an[0] opera[0] of[0] the[0] same[0] name[0] opened[0] in[0] chicago[0] on[0] november[0] 29[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
numerous books about the subject are showing up on bookstore shelves . 	numerous books about the subject are showing up on bookstore shelves .	1	-1	 numerous[0] books[0] about[0] the[0] subject[0] are[0] showing[0] up[0] on[0] bookstore[0] shelves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it remains to be seen how much longevity the amistad phenomena has , but one thing is certain -- with spielberg's rousing , substantive film leading the way , the spotlight has now illuminated this chapter of american history . 	it remains to be seen how much longevity the amistad phenomena has , but one thing is certain - with spielberg's rousing , substantive film leading the way , the spotlight has now illuminated this chapter of american history .	1	-1	 it[0] remains[0] to[0] be[0] seen[0] how[0] much[0] longevity[0] the[0] amistad[0] phenomena[0] has[0] but[0] one[0] thing[0] is[0] certain[0] with[0] spielberg's[0] rousing[0] substantive[0] film[0] leading[0] the[0] way[0] the[0] spotlight[0] has[0] now[0] illuminated[0] this[0] chapter[0] of[0] american[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
