pollock starring ed harris , marcia gay harden , tom bower , jennifer connelly screenplay by barbara turner and susan j . emshwiller , based on the book " jackson pollock : an american saga " by steven naifeh and gregory white smith directed by ed harris 	Translation	Positive	Negative	EmotionRationale
the movie _pollock_ is all purposeful gazes and silent exchanges dotted by tantrums , but the motivations are left to our own perceptions . 	the movie _pollock_ is all purposeful gazes and silent exchanges dotted by tantrums , but the motivations are left to our own perceptions .	1	-3	 the[0] movie[0] _pollock_[0] is[0] all[0] purposeful[0] gazes[0] and[0] silent[0] exchanges[0] dotted[0] by[0] tantrums[-2] but[0] the[0] motivations[0] are[0] left[0] to[0] our[0] own[0] perceptions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and it is a sympathetic yet not altogether forgiving film , as illustrated by a disheartening conclusion . 	and it is a sympathetic yet not altogether forgiving film , as illustrated by a disheartening conclusion .	1	-2	 and[0] it[0] is[0] a[0] sympathetic[0] yet[0] not[0] altogether[0] forgiving[1][NegatedDueToPreviousWord] film[0] as[0] illustrated[0] by[0] a[0] disheartening[-1] conclusion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
_pollock_ encapsulates the period in which he fought a losing battle against personal demons ( alcoholism , depression , and the general attendant miseries of an artist ) while finding a place of subconscious expression . 	_pollock_ encapsulates the period in which he fought a losing battle against personal demons ( alcoholism , depression , and the general attendant miseries of an artist ) while finding a place of subconscious expression .	1	-4	 _pollock_[0] encapsulates[0] the[0] period[0] in[0] which[0] he[0] fought[-2] a[0] losing[-2] battle[-1] against[-1] personal[0] demons[0] alcoholism[0] depression[-3] and[0] the[0] general[0] attendant[0] miseries[-2] of[0] an[0] artist[0] while[0] finding[0] a[0] place[0] of[0] subconscious[0] expression[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a brief introduction to pollock's raging drunk side segues into his getting accosted by a fellow new york artist , lee krasner ( marcia gay harden , awarded a best supporting actress oscar for this brilliant portrayal ) , who works from the outside-in , pre-intellectualizing every stroke of her brush . 	a brief introduction to pollock's raging drunk side segues into his getting accosted by a fellow new york artist , lee krasner ( marcia gay harden , awarded a best supporting actress oscar for this brilliant portrayal ) , who works from the outside-in , pre-intellectualizing every stroke of her brush .	2	-4	 a[0] brief[0] introduction[0] to[0] pollock's[0] raging[-3] drunk[-1] side[0] segues[0] into[0] his[0] getting[0] accosted[-1] by[0] a[0] fellow[0] new[0] york[0] artist[0] lee[0] krasner[0] marcia[0] gay[-1] harden[0] awarded[0] a[0] best[1] supporting[1] actress[0] oscar[0] for[0] this[0] brilliant[1] portrayal[0] who[0] works[0] from[0] the[0] outside[0] in[0] pre[0] intellectualizing[0] every[0] stroke[0] of[0] her[0] brush[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in a scene after they have moved in together and established adjoining studios , she asks what he hopes to achieve on his latest canvas , grilling him about the interplay of cubism and surrealism until he says , " you paint the fucking thing , " and leaves in a huff . 	in a scene after they have moved in together and established adjoining studios , she asks what he hopes to achieve on his latest canvas , grilling him about the interplay of cubism and surrealism until he says , " you paint the fucking thing , " and leaves in a huff .	2	-1	 in[0] a[0] scene[0] after[0] they[0] have[0] moved[0] in[0] together[0] and[0] established[0] adjoining[0] studios[0] she[0] asks[0] what[0] he[0] hopes[1] to[0] achieve[0] on[0] his[0] latest[0] canvas[0] grilling[0] him[0] about[0] the[0] interplay[0] of[0] cubism[0] and[0] surrealism[0] until[0] he[0] says[0] you[0] paint[0] the[0] fucking[0] thing[0] and[0] leaves[0] in[0] a[0] huff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by the time they wed , she has become his de facto manager ; it is form marrying function and chaos marrying discipline , a most harmonious collision . 	by the time they wed , she has become his de facto manager ; it is form marrying function and chaos marrying discipline , a most harmonious collision .	2	-2	 by[0] the[0] time[0] they[0] wed[0] she[0] has[0] become[0] his[0] de[0] facto[0] manager[0] it[0] is[0] form[0] marrying[0] function[0] and[0] chaos[-1] marrying[0] discipline[0] a[0] most[0] harmonious[1] collision[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( krasner denies him a baby , indicating that it would upset the balance . ) 	 ( krasner denies him a baby , indicating that it would upset the balance .<br> )	2	-2	 krasner[0] denies[0] him[0] a[0] baby[1] indicating[0] that[0] it[0] would[0] upset[-2][--1 LastWordBoosterStrength] the[0] balance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
such a union is destined to implode , and i hope i'm not ruining the _pollock_ experience by saying that it does . 	such a union is destined to implode , and i hope i'm not ruining the _pollock_ experience by saying that it does .	3	-1	 such[0] a[0] union[0] is[0] destined[0] to[0] implode[0] and[0] i[0] hope[2] i'm[0] not[0] ruining[-1][NegatedDueToPreviousWord] the[0] _pollock_[0] experience[0] by[0] saying[0] that[0] it[0] does[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while it is never depicted as a very romantic matrimony to start--pollock and wife channel their passions elsewhere--their symbiosis leaves each other picked dry after several years , and it comes down to krasner suffering one of pollock's conniptions too many : " you are killing me ! 	while it is never depicted as a very romantic matrimony to start-pollock and wife channel their passions elsewhere-their symbiosis leaves each other picked dry after several years , and it comes down to krasner suffering one of pollock's conniptions too many : " you are killing me !	5	-4	 while[0] it[0] is[0] never[0] depicted[0] as[0] a[0] very[0] romantic[3][1 LastWordBoosterStrength] matrimony[0] to[0] start[0] pollock[0] and[0] wife[0] channel[0] their[0] passions[2] elsewhere[0] their[0] symbiosis[0] leaves[0] each[0] other[0] picked[0] dry[0] after[0] several[0] years[0] and[0] it[0] comes[0] down[0] to[0] krasner[0] suffering[-3] one[0] of[0] pollock's[0] conniptions[0] too[0] many[0] you[0] are[0] killing[-1] me[0] [[Sentence=-4,5=word max, 1-5]][[[5,-4 max of sentences]]]
you are killing me ! 	you are killing me !	1	-2	 you[0] are[0] killing[-1] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you are killing me ! " 	you are killing me !<br> "	1	-2	 you[0] are[0] killing[-1] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( aside : harris' own wife , amy madigan , is unrecognizable and exceptional as gallery diva peggy guggenheim . ) 	 ( aside : harris' own wife , amy madigan , is unrecognizable and exceptional as gallery diva peggy guggenheim .<br> )	1	-1	 aside[0] harris'[0] own[0] wife[0] amy[0] madigan[0] is[0] unrecognizable[0] and[0] exceptional[0] as[0] gallery[0] diva[0] peggy[0] guggenheim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pollock himself moves on to dalliances with younger women like ruth klingman ( the scorching jennifer connelly ) , hoping , one supposes , to catch the revitalizing whiff of youth . 	pollock himself moves on to dalliances with younger women like ruth klingman ( the scorching jennifer connelly ) , hoping , one supposes , to catch the revitalizing whiff of youth .	2	-2	 pollock[0] himself[0] moves[0] on[0] to[0] dalliances[0] with[0] younger[0] women[0] like[1] ruth[0] klingman[0] the[0] scorching[-1] jennifer[0] connelly[0] hoping[1] one[0] supposes[0] to[0] catch[0] the[0] revitalizing[0] whiff[0] of[0] youth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i love jackson pollock's stuff and i am enamoured of harris' _pollock_ as well . 	i love jackson pollock's stuff and i am enamoured of harris' _pollock_ as well .	3	-1	 i[0] love[2] jackson[0] pollock's[0] stuff[0] and[0] i[0] am[0] enamoured[0] of[0] harris'[0] _pollock_[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's scrappy and observant ; no coincidence that its minor failings are the occasional invasive flourish , such as jeff beal's hummable but no less lamentable score--i can't imagine that pollock , or anyone , would paint to this music , which puts filling soundtrack voids ahead of complementing the images . 	it's scrappy and observant ; no coincidence that its minor failings are the occasional invasive flourish , such as jeff beal's hummable but no less lamentable score-i can't imagine that pollock , or anyone , would paint to this music , which puts filling soundtrack voids ahead of complementing the images .	1	-3	 it's[0] scrappy[0] and[0] observant[0] no[0] coincidence[0] that[0] its[0] minor[0] failings[-2] are[0] the[0] occasional[0] invasive[0] flourish[0] such[0] as[0] jeff[0] beal's[0] hummable[0] but[0] no[0] less[0] lamentable[-1] score[0] i[0] can't[0] imagine[0] that[0] pollock[0] or[0] anyone[0] would[0] paint[0] to[0] this[0] music[0] which[0] puts[0] filling[0] soundtrack[0] voids[0] ahead[0] of[0] complementing[0] the[0] images[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of my favourite sequences is an eerily quiet re-enactment of hans namuth shooting that famous pollock footage in east hampton , long island ; the mounting tension is almost comic , as namuth keeps interrupting pollock's process to reload his camera or take a dinner break . 	one of my favourite sequences is an eerily quiet re-enactment of hans namuth shooting that famous pollock footage in east hampton , long island ; the mounting tension is almost comic , as namuth keeps interrupting pollock's process to reload his camera or take a dinner break .	2	-3	 one[0] of[0] my[0] favourite[1] sequences[0] is[0] an[0] eerily[0] quiet[0] re[0] enactment[0] of[0] hans[0] namuth[0] shooting[-1] that[0] famous[0] pollock[0] footage[0] in[0] east[0] hampton[0] long[0] island[0] the[0] mounting[0] tension[-2] is[0] almost[0] comic[0] as[0] namuth[0] keeps[0] interrupting[-1] pollock's[0] process[0] to[0] reload[0] his[0] camera[0] or[0] take[0] a[0] dinner[0] break[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a more seasoned director might've been too arrogant to admit that not all artists or mediums are created equal . 	a more seasoned director might've been too arrogant to admit that not all artists or mediums are created equal .	1	-3	 a[0] more[0] seasoned[0] director[0] might've[0] been[0] too[0] arrogant[-2] to[0] admit[0] that[0] not[0] all[0] artists[0] or[0] mediums[0] are[0] created[0] equal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
