bruce willis and sixth sense director m . night shyamalan re-team to tell the story of david dunne ( willis ) , a stadium security guard who has been having some problems at home that are affecting his relationship with his wife and child . 	Translation	Positive	Negative	EmotionRationale
there are tons of great shots in the film , not least of which is a conversation that opens the film between willis' character and another train passenger . 	there are tons of great shots in the film , not least of which is a conversation that opens the film between willis' character and another train passenger .	3	-1	 there[0] are[0] tons[0] of[0] great[2] shots[0] in[0] the[0] film[0] not[0] least[0] of[0] which[0] is[0] a[0] conversation[0] that[0] opens[0] the[0] film[0] between[0] willis'[0] character[0] and[0] another[0] train[0] passenger[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the shot seems as though it were filmed like we were watching the two talk from between the train seats and the camera steadily glides back and forth between the two actors as they speak . 	the shot seems as though it were filmed like we were watching the two talk from between the train seats and the camera steadily glides back and forth between the two actors as they speak .	2	-2	 the[0] shot[-1] seems[0] as[0] though[0] it[0] were[0] filmed[0] like[1] we[0] were[0] watching[0] the[0] two[0] talk[0] from[0] between[0] the[0] train[0] seats[0] and[0] the[0] camera[0] steadily[0] glides[0] back[0] and[0] forth[0] between[0] the[0] two[0] actors[0] as[0] they[0] speak[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also very impressive is the film's score by james newton howard ( who also scored shyamalan's sixth sense and the similar film stir of echoes , as well as this year's dinosaur ) . 	also very impressive is the film's score by james newton howard ( who also scored shyamalan's sixth sense and the similar film stir of echoes , as well as this year's dinosaur ) .	3	-3	 also[0] very[0] impressive[1][1 LastWordBoosterStrength] is[0] the[0] film's[0] score[0] by[0] james[0] newton[0] howard[0] who[0] also[0] scored[0] shyamalan's[-2] sixth[0] sense[0] and[0] the[0] similar[0] film[0] stir[0] of[0] echoes[0] as[0] well[0] as[0] this[0] year's[0] dinosaur[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
several of the scenes are driven by a very catchy beat and help to increase the tempo of the film . 	several of the scenes are driven by a very catchy beat and help to increase the tempo of the film .	1	-1	 several[0] of[0] the[0] scenes[0] are[0] driven[0] by[0] a[0] very[0] catchy[0] beat[0] and[0] help[0] to[0] increase[0] the[0] tempo[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the best examples of this is a scene in which dunne goes into a train station to " exercise " his powers . 	one of the best examples of this is a scene in which dune goes into a train station to " exercise " his powers .	2	-1	 one[0] of[0] the[0] best[1] examples[0] of[0] this[0] is[0] a[0] scene[0] in[0] which[0] dunne/dune[0] goes[0] into[0] a[0] train[0] station[0] to[0] exercise[0] his[0] powers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the music , in combination with the stellar visuals , really go a long way towards making this an incredible movie . 	the music , in combination with the stellar visuals , really go a long way towards making this an incredible movie .	1	-1	 the[0] music[0] in[0] combination[0] with[0] the[0] stellar[0] visuals[0] really[0] go[0] a[0] long[0] way[0] towards[0] making[0] this[0] an[0] incredible[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if there was any one soundtrack i would make a must purchase this year , this one would be it . 	if there was any one soundtrack i would make a must purchase this year , this one would be it .	1	-1	 if[0] there[0] was[0] any[0] one[0] soundtrack[0] i[0] would[0] make[0] a[0] must[0] purchase[0] this[0] year[0] this[0] one[0] would[0] be[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film also boasts some great performances , including a precocious child actor trying to vie for the oscar throne left vacant by haley joel osment . 	the film also boasts some great performances , including a precocious child actor trying to vie for the oscar throne left vacant by haley joel osment .	2	-2	 the[0] film[0] also[0] boasts[-1] some[0] great[2][-1 LastWordBoosterStrength] performances[0] including[0] a[0] precocious[0] child[0] actor[0] trying[0] to[0] vie[-1] for[0] the[0] oscar[0] throne[0] left[0] vacant[0] by[0] haley[0] joel[0] osment[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
willis turns in a great performance as the sad sack dunne , who just can't seem to figure out why he's been depressed for the last few years . 	willis turns in a great performance as the sad sack dune , who just can't seem to figure out why he's been depressed for the last few years .	3	-4	 willis[0] turns[0] in[0] a[0] great[2] performance[0] as[0] the[0] sad[-3] sack[0] dunne/dune[0] who[0] just[0] can't[0] seem[0] to[0] figure[0] out[0] why[0] he's[0] been[0] depressed[-3] for[0] the[0] last[0] few[0] years[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
his character almost seems pathetic when we first meet him , but he eventually grows into his own under elijah's tutelage . 	his character almost seems pathetic when we first meet him , but he eventually grows into his own under elijah's tutelage .	1	-3	 his[0] character[0] almost[0] seems[0] pathetic[-2] when[0] we[0] first[0] meet[0] him[0] but[0] he[0] eventually[0] grows[0] into[0] his[0] own[0] under[0] elijah's[0] tutelage[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jackson is one of the better actors of our time , and here he turns in yet another great performance as the ever injured elijah . 	jackson is one of the better actors of our time , and here he turns in yet another great performance as the ever injured elijah .	3	-1	 jackson[0] is[0] one[0] of[0] the[0] better[0] actors[0] of[0] our[0] time[0] and[0] here[0] he[0] turns[0] in[0] yet[0] another[0] great[2] performance[0] as[0] the[0] ever[0] injured[0] elijah[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
though his hairstyle is absurd , jackson seems to infuse such a great deal of pain into his role that the mortar board hairdo can easily be overlooked . 	though his hairstyle is absurd , jackson seems to infuse such a great deal of pain into his role that the mortar board hairdo can easily be overlooked .	3	-4	 though[0] his[0] hairstyle[0] is[0] absurd[-1] jackson[0] seems[0] to[0] infuse[0] such[0] a[0] great[2] deal[0] of[0] pain[-3] into[0] his[0] role[0] that[0] the[0] mortar[0] board[0] hairdo[0] can[0] easily[0] be[0] overlooked[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
robin wright penn's role seems slightly underwritten , but she still manages to get across the intense hurt of her character's need for love from her husband and her desire to make things work again . 	robin wright penn's role seems slightly underwritten , but she still manages to get across the intense hurt of her character's need for love from her husband and her desire to make things work again .	3	-3	 robin[0] wright[0] penn's[0] role[0] seems[0] slightly[0] underwritten[0] but[0] she[0] still[0] manages[0] to[0] get[0] across[0] the[0] intense[0] hurt[-2] of[0] her[0] character's[0] need[0] for[0] love[2] from[0] her[0] husband[0] and[0] her[0] desire[0] to[0] make[0] things[0] work[0] again[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
spencer treat clark , as the dunne's young son jeremy , shows that shyamalan still has a knack for picking young actors , and he turns in one of the most competent performances in the film . 	spencer treat clark , as the dunne's young son jeremy , shows that shyamalan still has a knack for picking young actors , and he turns in one of the most competent performances in the film .	2	-3	 spencer[0] treat[1] clark[0] as[0] the[0] dunne's[0] young[0] son[0] jeremy[0] shows[0] that[0] shyamalan[-2] still[0] has[0] a[0] knack[0] for[0] picking[0] young[0] actors[0] and[0] he[0] turns[0] in[0] one[0] of[0] the[0] most[0] competent[0] performances[0] in[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
out of all the characters , jeremy's is perhaps the most emotional , and clark does a great job with the role . 	out of all the characters , jeremy's is perhaps the most emotional , and clark does a great job with the role .	3	-2	 out[0] of[0] all[0] the[0] characters[0] jeremy's[0] is[0] perhaps[0] the[0] most[0] emotional[-1] and[0] clark[0] does[0] a[0] great[2] job[0] with[0] the[0] role[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
where the film does lose points though , is during its " surprise " ending . 	where the film does lose points though , is during its " surprise " ending .	1	-2	 where[0] the[0] film[0] does[0] lose[-1] points[0] though[0] is[0] during[0] its[0] surprise[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shyamalan has said in interviews that he was going to do an ending that blew away the one presented by the sixth sense , but i found myself saying " that was it ? ! " 	shyamalan has said in interviews that he was going to do an ending that blew away the one presented by the sixth sense , but i found myself saying " that was it ?<br> !<br> "	1	-3	 shyamalan[-2] has[0] said[0] in[0] interviews[0] that[0] he[0] was[0] going[0] to[0] do[0] an[0] ending[0] that[0] blew[0] away[0] the[0] one[0] presented[0] by[0] the[0] sixth[0] sense[0] but[0] i[0] found[0] myself[0] saying[0] that[0] was[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when unbreakable revealed its own ending . 	when unbreakable revealed its own ending .	1	-1	 when[0] unbreakable[0] revealed[0] its[0] own[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not that the ending is bad , it's just that the ending doesn't quite have the emotional punch that the other film's did . 	it's not that the ending is bad , it's just that the ending doesn't quite have the emotional punch that the other film's did .	1	-2	 it's[0] not[0] that[0] the[0] ending[0] is[0] bad[-1] it's[0] just[0] that[0] the[0] ending[0] doesn't[0] quite[0] have[0] the[0] emotional[-1] punch[-1] that[0] the[0] other[0] film's[0] did[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plus , it almost seems like it sets itself up for sequels ( and i won't reveal the ending here , but you'll understand what i mean when you see it ) . 	plus , it almost seems like it sets itself up for sequels ( and i won't reveal the ending here , but you'll understand what i mean when you see it ) .	2	-1	 plus[0] it[0] almost[0] seems[0] like[1] it[0] sets[0] itself[0] up[0] for[0] sequels[0] and[0] i[0] won't[0] reveal[0] the[0] ending[0] here[0] but[0] you'll[0] understand[0] what[0] i[0] mean[0] when[0] you[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
essentially , what all of this means is that shyamalan has made another good film with unbreakable . 	essentially , what all of this means is that shyamalan has made another good film with unbreakable .	2	-3	 essentially[0] what[0] all[0] of[0] this[0] means[0] is[0] that[0] shyamalan[-2] has[0] made[0] another[0] good[1] film[0] with[0] unbreakable[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only real problem is that the ending doesn't quite fill the shadow left by its predecessor . 	the only real problem is that the ending doesn't quite fill the shadow left by its predecessor .	1	-2	 the[0] only[0] real[0] problem[-1] is[0] that[0] the[0] ending[0] doesn't[0] quite[0] fill[0] the[0] shadow[0] left[0] by[0] its[0] predecessor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as long as it isn't held to the standard that sixth sense set ( which it ultimately will be ) , it should be a remarkably well liked film . 	as long as it isn't held to the standard that sixth sense set ( which it ultimately will be ) , it should be a remarkably well liked film .	3	-1	 as[0] long[0] as[0] it[0] isn't[0] held[0] to[0] the[0] standard[0] that[0] sixth[0] sense[0] set[0] which[0] it[0] ultimately[0] will[0] be[0] it[0] should[0] be[0] a[0] remarkably[0] well[0] liked[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one thing seems clear , though . 	one thing seems clear , though .	1	-1	 one[0] thing[0] seems[0] clear[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shyamalan definitely has an affinity for comic books that he would like to share with the world and many comic book fans will also delight the vision he presents in this film . 	shyamalan definitely has an affinity for comic books that he would like to share with the world and many comic book fans will also delight the vision he presents in this film .	3	-3	 shyamalan[-2] definitely[0] has[0] an[0] affinity[0] for[0] comic[0] books[0] that[0] he[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] share[0] with[0] the[0] world[0] and[0] many[0] comic[0] book[0] fans[0] will[0] also[0] delight[2] the[0] vision[0] he[0] presents[0] in[0] this[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
