john carpenter directed this stylish and gory vampire flick to which has it's good side and it's bad . 	Translation	Positive	Negative	EmotionRationale
she is rescued by jack and ? flees with them on their search for valek . 	she is rescued by jack and ?<br> flees with them on their search for valek .	1	-2	 she[0] is[0] rescued[0] by[0] jack[0] and[0] [[Sentence=-1,1=word max, 1-5]] flees[-1] with[0] them[0] on[0] their[0] search[0] for[0] valek[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they have to fight they're way against vampires , leading up to a finale that is well-done with great special effects . 	they have to fight they're way against vampires , leading up to a finale that is well-done with great special effects .	3	-3	 they[0] have[0] to[0] fight[-2] they're[0] way[0] against[-1] vampires[0] leading[0] up[0] to[0] a[0] finale[0] that[0] is[0] well[0] done[0] with[0] great[2] special[1] effects[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
'vampires' definately could have been done better . 	'vampires' definately could have been done better .	1	-1	 'vampires'[0] definately[0] could[0] have[0] been[0] done[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the make-up , special effects and story are first rate , but there is no scares or terror that the film could have had . 	the make-up , special effects and story are first rate , but there is no scares or terror that the film could have had .	2	-4	 the[0] make[0] up[0] special[1] effects[0] and[0] story[0] are[0] first[0] rate[0] but[0] there[0] is[0] no[0] scares[-3] or[0] terror[-1] that[0] the[0] film[0] could[0] have[0] had[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it to me had more humor than horror , almost being compared to 'fright night' with the mix of violence and comedy . 	it to me had more humor than horror , almost being compared to 'fright night' with the mix of violence and comedy .	3	-4	 it[0] to[0] me[0] had[0] more[0] humor[2] than[0] horror[-3] almost[0] being[0] compared[0] to[0] 'fright[0] night'[0] with[0] the[0] mix[0] of[0] violence[-3] and[0] comedy[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
john carpenter does a great job of directing this film . 	john carpenter does a great job of directing this film .	3	-1	 john[0] carpenter[0] does[0] a[0] great[2] job[0] of[0] directing[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he eases through some tough times and saves the flaws , which are noticeable but forgettable . 	he eases through some tough times and saves the flaws , which are noticeable but forgettable .	2	-1	 he[0] eases[0] through[0] some[0] tough[-1][--1 LastWordBoosterStrength] times[0] and[0] saves[1] the[0] flaws[0] which[0] are[0] noticeable[0] but[0] forgettable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is clever and funny , with many lines that make us laugh out loud . 	the script is clever and funny , with many lines that make us laugh out loud .	2	-1	 the[0] script[0] is[0] clever[0] and[0] funny[1] with[0] many[0] lines[0] that[0] make[0] us[0] laugh[1] out[0] loud[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i much enjoyed 'vampires' with a few exceptions . 	i much enjoyed 'vampires' with a few exceptions .	3	-1	 i[0] much[0] enjoyed[2] 'vampires'[0] with[0] a[0] few[0] exceptions[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's one of those films you see but don't take to heart . 	it's one of those films you see but don't take to heart .	1	-1	 it's[0] one[0] of[0] those[0] films[0] you[0] see[0] but[0] don't[0] take[0] to[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you enjoy the time you spent and go on . 	you enjoy the time you spent and go on .	3	-1	 you[0] enjoy[2] the[0] time[0] you[0] spent[0] and[0] go[0] on[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the recently released 'psycho' is the same way , it's not as good as you'd hope but it is fun and entertaining . 	the recently released 'psycho' is the same way , it's not as good as you'd hope but it is fun and entertaining .	3	-2	 the[0] recently[0] released[0] 'psycho'[0] is[0] the[0] same[0] way[0] it's[0] not[0] as[0] good[1][NegatedDueToPreviousWord] as[0] you'd[0] hope[2] but[0] it[0] is[0] fun[1] and[0] entertaining[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
'vampires' is a good horror flick with no scares but plenty of other content to please the viewer . 	'vampires' is a good horror flick with no scares but plenty of other content to please the viewer .	2	-4	 'vampires'[0] is[0] a[0] good[1] horror[-3] flick[0] with[0] no[0] scares[-3] but[0] plenty[0] of[0] other[0] content[0] to[0] please[1] the[0] viewer[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
