the thirteenth floor , the third in what i would call " the reality check movie series " , is very similar to the other reality check movies released this year , the matrix and existenz . 	Translation	Positive	Negative	EmotionRationale
all of the people involved are just characters , or are they ? 	all of the people involved are just characters , or are they ?	1	-1	 all[0] of[0] the[0] people[0] involved[0] are[0] just[0] characters[0] or[0] are[0] they[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
douglas strongly believes that a character traveled through the transport from their world to ours , and killed fuller . 	douglas strongly believes that a character traveled through the transport from their world to ours , and killed fuller .	1	-4	 douglas[0] strongly[0] believes[0] that[0] a[0] character[0] traveled[0] through[0] the[0] transport[0] from[0] their[0] world[0] to[0] ours[0] and[0] killed[-3] fuller[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
along the way , douglas interacts with many different potential suspects , and a woman who claims to be the daughter of fuller , jane fuller , played wonderfully by a talented young actress , gretchen mol . 	along the way , douglas interacts with many different potential suspects , and a woman who claims to be the daughter of fuller , jane fuller , played wonderfully by a talented young actress , gretchen mol .	3	-1	 along[0] the[0] way[0] douglas[0] interacts[0] with[0] many[0] different[0] potential[0] suspects[0] and[0] a[0] woman[0] who[0] claims[0] to[0] be[0] the[0] daughter[0] of[0] fuller[0] jane[0] fuller[0] played[0] wonderfully[2] by[0] a[0] talented[1] young[0] actress[0] gretchen[0] mol[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the thirteenth floor is a plot driven movie from the time the film gets going , and doesn't use spectacular special effects and big sound to keep the viewer's interests . 	the thirteenth floor is a plot driven movie from the time the film gets going , and doesn't use spectacular special effects and big sound to keep the viewer's interests .	2	-1	 the[0] thirteenth[0] floor[0] is[0] a[0] plot[0] driven[0] movie[0] from[0] the[0] time[0] the[0] film[0] gets[0] going[0] and[0] doesn't[0] use[0] spectacular[0] special[1] effects[0] and[0] big[0] sound[0] to[0] keep[0] the[0] viewer's[0] interests[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was worried that this film would be too much like the matrix and existenz , and i wouldn't enjoy it , but there were enough twists and turns to keep me thinking and attentive to the film . 	i was worried that this film would be too much like the matrix and existenz , and i wouldn't enjoy it , but there were enough twists and turns to keep me thinking and attentive to the film .	2	-4	 i[0] was[0] worried[-3] that[0] this[0] film[0] would[0] be[0] too[0] much[0] like[1] the[0] matrix[0] and[0] existenz[0] and[0] i[0] wouldn't[0] enjoy[2][NegatedDueToPreviousWord] it[0] but[0] there[0] were[0] enough[0] twists[0] and[0] turns[0] to[0] keep[0] me[0] thinking[0] and[0] attentive[0] to[0] the[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
unfortunately , many potential would have been great scenes were thrown away with predictable content , letting the viewer know the outcome of the scene long before it happened . 	unfortunately , many potential would have been great scenes were thrown away with predictable content , letting the viewer know the outcome of the scene long before it happened .	3	-2	 unfortunately[-1] many[0] potential[0] would[0] have[0] been[0] great[2] scenes[0] were[0] thrown[0] away[0] with[0] predictable[0] content[0] letting[0] the[0] viewer[0] know[0] the[0] outcome[0] of[0] the[0] scene[0] long[0] before[0] it[0] happened[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the scenes that aren't original or interesting seem to go absolutely nowhere , leaving you wondering , " what is the point of this ? " 	the scenes that aren't original or interesting seem to go absolutely nowhere , leaving you wondering , " what is the point of this ?<br> "	2	-1	 the[0] scenes[0] that[0] aren't[0] original[0] or[0] interesting[1] seem[0] to[0] go[0] absolutely[0] nowhere[0] leaving[0] you[0] wondering[0] what[0] is[0] the[0] point[0] of[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sometimes it was hard to believe that this story , with terrible dialogue , some bad acting , especially from craig bierko , and scenes that go absolutely nowhere , are actually true . 	sometimes it was hard to believe that this story , with terrible dialogue , some bad acting , especially from craig bierko , and scenes that go absolutely nowhere , are actually true .	2	-4	 sometimes[0] it[0] was[0] hard[0] to[0] believe[0] that[0] this[0] story[0] with[0] terrible[-3] dialogue[0] some[0] bad[-1][--1 LastWordBoosterStrength] acting[0] especially[0] from[0] craig[0] bierko[0] and[0] scenes[0] that[0] go[0] absolutely[0] nowhere[0] are[0] actually[0] true[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i know this isn't a true story or anything , but a film should be able to make you think that it is . 	i know this isn't a true story or anything , but a film should be able to make you think that it is .	1	-2	 i[0] know[0] this[0] isn't[0] a[0] true[1][NegatedDueToPreviousWord] story[0] or[0] anything[0] but[0] a[0] film[0] should[0] be[0] able[0] to[0] make[0] you[0] think[0] that[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the plus side of acting , we get to see the missing from main character action since the film masterpiece shine in 1995 actor , armin mueller-stahl . 	on the plus side of acting , we get to see the missing from main character action since the film masterpiece shine in 1995 actor , armin mueller-stahl .	1	-1	 on[0] the[0] plus[0] side[0] of[0] acting[0] we[0] get[0] to[0] see[0] the[0] missing[0] from[0] main[0] character[0] action[0] since[0] the[0] film[0] masterpiece[0] shine[0] in[0] 1995[0] actor[0] armin[0] mueller[0] stahl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the thirteenth floor , he is back and is still giving believable and amazing performances . 	in the thirteenth floor , he is back and is still giving believable and amazing performances .	3	-1	 in[0] the[0] thirteenth[0] floor[0] he[0] is[0] back[0] and[0] is[0] still[0] giving[0] believable[0] and[0] amazing[2] performances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another plus is gretchen mol's realistic performance , creating her character with depth , not just staying in the one-dimensional phase . 	another plus is gretchen mol's realistic performance , creating her character with depth , not just staying in the one-dimensional phase .	1	-1	 another[0] plus[0] is[0] gretchen[0] mol's[0] realistic[0] performance[0] creating[0] her[0] character[0] with[0] depth[0] not[0] just[0] staying[0] in[0] the[0] one[0] dimensional[0] phase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't expect the intensity of the matrix or existenz to come out of the thirteenth floor , just expect another film that messes with your mind for awhile , and shuts you down like any other movie would . 	don't expect the intensity of the matrix or existenz to come out of the thirteenth floor , just expect another film that messes with your mind for awhile , and shuts you down like any other movie would .	2	-1	 don't[0] expect[0] the[0] intensity[0] of[0] the[0] matrix[0] or[0] existenz[0] to[0] come[0] out[0] of[0] the[0] thirteenth[0] floor[0] just[0] expect[0] another[0] film[0] that[0] messes[0] with[0] your[0] mind[0] for[0] awhile[0] and[0] shuts[0] you[0] down[0] like[1] any[0] other[0] movie[0] would[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thrills , chills , and spills aren't what you will get in this film , but you will just get another trip to send your mind on , scrambling it until you've had enough . 	thrills , chills , and spills aren't what you will get in this film , but you will just get another trip to send your mind on , scrambling it until you've had enough .	4	-2	 thrills[3] chills[0] and[0] spills[-1] aren't[0] what[0] you[0] will[0] get[0] in[0] this[0] film[0] but[0] you[0] will[0] just[0] get[0] another[0] trip[0] to[0] send[0] your[0] mind[0] on[0] scrambling[0] it[0] until[0] you've[0] had[0] enough[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the bottom line- let's hope this is the last of the " reality check " based movies for awhile . 	the bottom line- let's hope this is the last of the " reality check " based movies for awhile .	3	-1	 the[0] bottom[0] line[0] let's[0] hope[2] this[0] is[0] the[0] last[0] of[0] the[0] reality[0] check[0] based[0] movies[0] for[0] awhile[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
