jay and silent bob strike back can rightfully be subtitled " kevin smith's greatest hits " for the film is comprised of numerous references and characters from smith's earlier works including , clerks , mall rats . 	Translation	Positive	Negative	EmotionRationale
really , how can you not laugh at a film in which our heroes are picked up by the mystery van , and jay has a pot-induced hallucination concerning velma and daphne . 	really , how can you not laugh at a film in which our heroes are picked up by the mystery van , and jay has a pot-induced hallucination concerning velma and daphne .	3	-2	 really[0] how[0] can[0] you[0] not[0] laugh[1][NegatedDueToPreviousWord] at[0] a[0] film[0] in[0] which[0] our[0] heroes[2] are[0] picked[0] up[0] by[0] the[0] mystery[0] van[0] and[0] jay[0] has[0] a[0] pot[0] induced[0] hallucination[0] concerning[-1] velma[0] and[0] daphne[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie's highlight , though , is near the finale . 	the movie's highlight , though , is near the finale .	1	-1	 the[0] movie's[0] highlight[0] though[0] is[0] near[0] the[0] finale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in hollywood , jay and silent bob sneak onto the miramax lot where they crash the set and are mistaken for extras of the latest affleck-damon picture , good will hunting 2 : hunting season . 	in hollywood , jay and silent bob sneak onto the miramax lot where they crash the set and are mistaken for extras of the latest affleck-damon picture , good will hunting 2 : hunting season .	2	-2	 in[0] hollywood[0] jay[0] and[0] silent[0] bob[0] sneak[-1] onto[0] the[0] miramax[0] lot[0] where[0] they[0] crash[0] the[0] set[0] and[0] are[0] mistaken[-1] for[0] extras[0] of[0] the[0] latest[0] affleck[0] damon[0] picture[0] good[1] will[0] hunting[0] 2[0] hunting[0] season[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here we are privy to a hilarious conversation between affleck and damon in which the two put down each other's careers and film choices . 	here we are privy to a hilarious conversation between affleck and damon in which the two put down each other's careers and film choices .	3	-1	 here[0] we[0] are[0] privy[0] to[0] a[0] hilarious[2] conversation[0] between[0] affleck[0] and[0] damon[0] in[0] which[0] the[0] two[0] put[0] down[0] each[0] other's[0] careers[0] and[0] film[0] choices[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the laughs continue to grow . 	and the laughs continue to grow .	2	-1	 and[0] the[0] laughs[1] continue[0] to[0] grow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
next up is jason ( american pie ) biggs and james ( dawson's creek ) van der beek , the actors chosen to portray bluntman and chronic . 	next up is jason ( american pie ) biggs and james ( dawson's creek ) van der beek , the actors chosen to portray bluntman and chronic .	1	-3	 next[0] up[0] is[0] jason[0] american[0] pie[0] biggs[0] and[0] james[0] dawson's[0] creek[0] van[0] der[0] beek[0] the[0] actors[0] chosen[0] to[0] portray[0] bluntman[-1] and[0] chronic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the pair mistake jay and silent bob for their stunt doubles . 	the pair mistake jay and silent bob for their stunt doubles .	1	-2	 the[0] pair[0] mistake[-1] jay[0] and[0] silent[0] bob[0] for[0] their[0] stunt[-1] doubles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally , comes a star wars homage featuring one of the stars of that legendary feature . 	finally , comes a star wars homage featuring one of the stars of that legendary feature .	1	-3	 finally[0] comes[0] a[0] star[0] wars[-2] homage[0] featuring[0] one[0] of[0] the[0] stars[0] of[0] that[0] legendary[0] feature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this bit will leave you howling . 	this bit will leave you howling .	1	-1	 this[0] bit[0] will[0] leave[0] you[0] howling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
smith's obvious affection for pop culture icons is evident in the way he shoots these scenes and handles his performers . 	smith's obvious affection for pop culture icons is evident in the way he shoots these scenes and handles his performers .	3	-2	 smith's[0] obvious[0] affection[2] for[0] pop[0] culture[0] icons[0] is[0] evident[0] in[0] the[0] way[0] he[0] shoots[-1] these[0] scenes[0] and[0] handles[0] his[0] performers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he allows them to play it all tongue-in-cheek . 	he allows them to play it all tongue-in-cheek .	1	-1	 he[0] allows[0] them[0] to[0] play[0] it[0] all[0] tongue[0] in[0] cheek[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their fun comes through the screen to the audience . 	their fun comes through the screen to the audience .	2	-1	 their[0] fun[1] comes[0] through[0] the[0] screen[0] to[0] the[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is too bad that this is jay and silent bob's swan song . 	it is too bad that this is jay and silent bob's swan song .	1	-2	 it[0] is[0] too[0] bad[-1] that[0] this[0] is[0] jay[0] and[0] silent[0] bob's[0] swan[0] song[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the characters have grown since their supporting role debuts in clerks . 	the characters have grown since their supporting role debuts in clerks .	2	-1	 the[0] characters[0] have[0] grown[0] since[0] their[0] supporting[1] role[0] debuts[0] in[0] clerks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but smith realizes that times have changed , and he doesn't want his creations to overstay their welcome . 	but smith realizes that times have changed , and he doesn't want his creations to overstay their welcome .	2	-1	 but[0] smith[0] realizes[0] that[0] times[0] have[0] changed[0] and[0] he[0] doesn't[0] want[0] his[0] creations[0] to[0] overstay[0] their[0] welcome[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so smith has provided them with just the right kind of exit , saving the best for last . 	so smith has provided them with just the right kind of exit , saving the best for last .	2	-2	 so[0] smith[0] has[0] provided[0] them[0] with[0] just[0] the[0] right[0] kind[1] of[0] exit[-1] saving[0] the[0] best[1] for[0] last[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
goodbye jay and silent bob . 	goodbye jay and silent bob .	1	-1	 goodbye[0] jay[0] and[0] silent[0] bob[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least you're going out with a blast . 	at least you're going out with a blast .	1	-1	 at[0] least[0] you're[0] going[0] out[0] with[0] a[0] blast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
