i was pleasantly surprised by this film . 	Translation	Positive	Negative	EmotionRationale
the woman in the picture recognizes herself and phones lovett , who has her flown out to his exploration vessel on the high seas . 	the woman in the picture recognizes herself and phones lovett , who has her flown out to his exploration vessel on the high seas .	1	-1	 the[0] woman[0] in[0] the[0] picture[0] recognizes[0] herself[0] and[0] phones[0] lovett[0] who[0] has[0] her[0] flown[0] out[0] to[0] his[0] exploration[0] vessel[0] on[0] the[0] high[0] seas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there she tells her story to lovett and his team . 	there she tells her story to lovett and his team .	1	-1	 there[0] she[0] tells[0] her[0] story[0] to[0] lovett[0] and[0] his[0] team[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in 1912 , rose dewitt bukater ( kate winslett ) , a young lady belonging to society's upper class , boards the titanic for the ship's first atlantic crossing , from southampton , england to new york . 	in 1912 , rose dewitt bukater ( kate winslett ) , a young lady belonging to society's upper class , boards the titanic for the ship's first atlantic crossing , from southampton , england to new york .	1	-1	 in[0] 1912[0] rose[0] dewitt[0] bukater[0] kate[0] winslett[0] a[0] young[0] lady[0] belonging[0] to[0] society's[0] upper[0] class[0] boards[0] the[0] titanic[0] for[0] the[0] ship's[0] first[0] atlantic[0] crossing[0] from[0] southampton[0] england[0] to[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is engaged to cal hockley ( billy zane ) , an heir to old money , and a snob in every sense of the word . 	she is engaged to cal hockley ( billy zane ) , an heir to old money , and a snob in every sense of the word .	1	-3	 she[0] is[0] engaged[0] to[0] cal[0] hockley[0] billy[0] zane[0] an[0] heir[0] to[0] old[0] money[0] and[0] a[0] snob[-2] in[0] every[0] sense[0] of[0] the[0] word[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on board , rose feels the stifling trappings of high-society's expectations , and resolves to escape from it all by throwing herself off the titanic's stern , but is saved from her self-proclaimed fate by jack dawson ( leonardo dicaprio ) , a passenger in third-class ( " steerage " , as it's referred to ) , who talks her out of jumping . 	on board , rose feels the stifling trappings of high-society's expectations , and resolves to escape from it all by throwing herself off the titanic's stern , but is saved from her self-proclaimed fate by jack dawson ( leonardo dicaprio ) , a passenger in third-class ( " steerage " , as it's referred to ) , who talks her out of jumping .	2	-2	 on[0] board[0] rose[0] feels[0] the[0] stifling[0] trappings[0] of[0] high[0] society's[0] expectations[0] and[0] resolves[1] to[0] escape[0] from[0] it[0] all[0] by[0] throwing[0] herself[0] off[0] the[0] titanic's[0] stern[-1] but[0] is[0] saved[1] from[0] her[0] self[0] proclaimed[0] fate[0] by[0] jack[0] dawson[0] leonardo[0] dicaprio[0] a[0] passenger[0] in[0] third[0] class[0] steerage[0] as[0] it's[0] referred[0] to[0] who[0] talks[0] her[0] out[0] of[0] jumping[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although for rose the attraction is not immediate , a love affair soon develops between the two , which endangers rose's social standing as well as her engagement to the jealous cal . 	although for rose the attraction is not immediate , a love affair soon develops between the two , which endangers rose's social standing as well as her engagement to the jealous cal .	3	-3	 although[0] for[0] rose[0] the[0] attraction[1] is[0] not[0] immediate[0] a[0] love[2] affair[0] soon[0] develops[0] between[0] the[0] two[0] which[0] endangers[-1] rose's[0] social[0] standing[0] as[0] well[0] as[0] her[0] engagement[0] to[0] the[0] jealous[-2] cal[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the story sounds very simple , and perhaps even unexciting , but through solid performances by the leads and good direction by cameron , a good movie comes through . 	the story sounds very simple , and perhaps even unexciting , but through solid performances by the leads and good direction by cameron , a good movie comes through .	2	-1	 the[0] story[0] sounds[0] very[0] simple[0] and[0] perhaps[0] even[0] unexciting[0] but[0] through[0] solid[0] performances[0] by[0] the[0] leads[0] and[0] good[1] direction[0] by[0] cameron[0] a[0] good[1] movie[0] comes[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dicaprio is marvelous as the young , but worldly-wise jack , playing the role with the confidence usually found in older actors . 	dicaprio is marvelous as the young , but worldly-wise jack , playing the role with the confidence usually found in older actors .	2	-1	 dicaprio[0] is[0] marvelous[0] as[0] the[0] young[0] but[0] worldly[0] wise[0] jack[0] playing[1] the[0] role[0] with[0] the[0] confidence[1] usually[0] found[0] in[0] older[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his is a character that is immediately likable , as he knows what he wants out of life and is charmingly able to handle a variety of situations . 	his is a character that is immediately likable , as he knows what he wants out of life and is charmingly able to handle a variety of situations .	2	-1	 his[0] is[0] a[0] character[0] that[0] is[0] immediately[0] likable[0] as[0] he[0] knows[0] what[0] he[0] wants[0] out[0] of[0] life[0] and[0] is[0] charmingly[1] able[0] to[0] handle[0] a[0] variety[0] of[0] situations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
girls are going to swoon over him . 	girls are going to swoon over him .	1	-1	 girls[0] are[0] going[0] to[0] swoon[0] over[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
winslet also proves herself a good actress , delivering her lines convincingly , and the quality of performances between winslet and dicaprio makes the relationship believable . 	winslet also proves herself a good actress , delivering her lines convincingly , and the quality of performances between winslet and dicaprio makes the relationship believable .	2	-1	 winslet[0] also[0] proves[0] herself[0] a[0] good[1] actress[0] delivering[0] her[0] lines[0] convincingly[0] and[0] the[0] quality[0] of[0] performances[0] between[0] winslet[0] and[0] dicaprio[0] makes[0] the[0] relationship[0] believable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only problem with winslet is that she does not carry herself in accordance with her character's upbringing . 	the only problem with winslet is that she does not carry herself in accordance with her character's upbringing .	1	-2	 the[0] only[0] problem[-1] with[0] winslet[0] is[0] that[0] she[0] does[0] not[0] carry[0] herself[0] in[0] accordance[0] with[0] her[0] character's[0] upbringing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
simply by judgment of her gait , i was distracted from the fact that she was supposed to be an upper-crust debutante . 	simply by judgment of her gait , i was distracted from the fact that she was supposed to be an upper-crust debutante .	1	-2	 simply[0] by[0] judgment[0] of[0] her[0] gait[0] i[0] was[0] distracted[-1] from[0] the[0] fact[0] that[0] she[0] was[0] supposed[0] to[0] be[0] an[0] upper[0] crust[0] debutante[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rather than demonstrate the poise one would expect her character to possess , she sometimes looks positively clumsy , and it unfortunately detracts from her otherwise great acting . 	rather than demonstrate the poise one would expect her character to possess , she sometimes looks positively clumsy , and it unfortunately detracts from her otherwise great acting .	3	-2	 rather[0] than[0] demonstrate[0] the[0] poise[0] one[0] would[0] expect[0] her[0] character[0] to[0] possess[0] she[0] sometimes[0] looks[0] positively[2] clumsy[-1] and[0] it[0] unfortunately[-1] detracts[-1] from[0] her[0] otherwise[0] great[2] acting[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
billy zane is cast well as the aristocratic snob cal , since he has a certain look that immediately makes you want to hate him . 	billy zane is cast well as the aristocratic snob cal , since he has a certain look that immediately makes you want to hate him .	1	-4	 billy[0] zane[0] is[0] cast[0] well[0] as[0] the[0] aristocratic[0] snob[-2] cal[0] since[0] he[0] has[0] a[0] certain[0] look[0] that[0] immediately[0] makes[0] you[0] want[0] to[0] hate[-3] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his features are such that even when he smiles , there's something mistrustful about him , and when he scowls , he is evil incarnate . 	his features are such that even when he smiles , there's something mistrustful about him , and when he scowls , he is evil incarnate .	3	-3	 his[0] features[0] are[0] such[0] that[0] even[0] when[0] he[0] smiles[2] there's[0] something[0] mistrustful[-1] about[0] him[0] and[0] when[0] he[0] scowls[-1] he[0] is[0] evil[-2] incarnate[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he's something like a porcelain version of peter gallagher , but a cheaper model . 	he's something like a porcelain version of peter gallagher , but a cheaper model .	2	-2	 he's[0] something[0] like[1] a[0] porcelain[0] version[0] of[0] peter[0] gallagher[0] but[0] a[0] cheaper[-1] model[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like dicaprio and winslet , zane slips comfortably into his role and plays it well . 	like dicaprio and winslet , zane slips comfortably into his role and plays it well .	2	-1	 like[1] dicaprio[0] and[0] winslet[0] zane[0] slips[0] comfortably[1] into[0] his[0] role[0] and[0] plays[1] it[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
backing up zane is david warner as lovejoy , cal's personal assistant ( or " man " as they said at the turn of the century ) . 	backing up zane is david warner as lovejoy , cal's personal assistant ( or " man " as they said at the turn of the century ) .	1	-1	 backing[0] up[0] zane[0] is[0] david[0] warner[0] as[0] lovejoy[0] cal's[0] personal[0] assistant[0] or[0] man[0] as[0] they[0] said[0] at[0] the[0] turn[0] of[0] the[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter who else is in the cast , you can always count on a good performance by warner , who seems to be made to play the distinguished gentleman with a gaze of steel and will to match . 	no matter who else is in the cast , you can always count on a good performance by warner , who seems to be made to play the distinguished gentleman with a gaze of steel and will to match .	2	-1	 no[0] matter[0] who[0] else[0] is[0] in[0] the[0] cast[0] you[0] can[0] always[0] count[0] on[0] a[0] good[1] performance[0] by[0] warner[0] who[0] seems[0] to[0] be[0] made[0] to[0] play[0] the[0] distinguished[0] gentleman[0] with[0] a[0] gaze[0] of[0] steel[0] and[0] will[0] to[0] match[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
additionally , there are a number of smaller fictional and non-fictional roles thrown in for color , such as kathy bates as " the unsinkable " molly brown , danny nucci as jack's friend fabrizio de rossi , eric braeden as john jacob astor , and even bernard fox as colonel archibald gracie . 	additionally , there are a number of smaller fictional and non-fictional roles thrown in for color , such as kathy bates as " the unsinkable " molly brown , danny nucci as jack's friend fabrizio de rossi , eric braeden as john jacob astor , and even bernard fox as colonel archibald gracie .	2	-1	 additionally[0] there[0] are[0] a[0] number[0] of[0] smaller[0] fictional[0] and[0] non[0] fictional[0] roles[0] thrown[0] in[0] for[0] color[0] such[0] as[0] kathy[0] bates[0] as[0] the[0] unsinkable[0] molly[0] brown[0] danny[0] nucci[0] as[0] jack's[0] friend[1] fabrizio[0] de[0] rossi[0] eric[0] braeden[0] as[0] john[0] jacob[0] astor[0] and[0] even[0] bernard[0] fox[0] as[0] colonel[0] archibald[0] gracie[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nice to see dr . bombay getting work . 	nice to see dr .<br> bombay getting work .	2	-2	 nice[1] to[0] see[0] dr[0] [[Sentence=-1,2=word max, 1-5]] bombay[-1] getting[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
also scattered about are some of the other steerage passengers who are basically in the movie so you can feel sorry for them when they die . 	also scattered about are some of the other steerage passengers who are basically in the movie so you can feel sorry for them when they die .	1	-2	 also[0] scattered[0] about[0] are[0] some[0] of[0] the[0] other[0] steerage[0] passengers[0] who[0] are[0] basically[0] in[0] the[0] movie[0] so[0] you[0] can[0] feel[0] sorry[-1] for[0] them[0] when[0] they[0] die[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this by itself may have been largely compulsory in a film about the titanic , but it transcends this status by putting these characters in direct conflict with the ship's crewmembers who strive to maintain order and assure that the first-class passengers are placed aboard the lifeboats before anyone else . 	this by itself may have been largely compulsory in a film about the titanic , but it transcends this status by putting these characters in direct conflict with the ship's crewmembers who strive to maintain order and assure that the first-class passengers are placed aboard the lifeboats before anyone else .	1	-2	 this[0] by[0] itself[0] may[0] have[0] been[0] largely[0] compulsory[0] in[0] a[0] film[0] about[0] the[0] titanic[0] but[0] it[0] transcends[0] this[0] status[0] by[0] putting[0] these[0] characters[0] in[0] direct[0] conflict[-1] with[0] the[0] ship's[0] crewmembers[0] who[0] strive[0] to[0] maintain[0] order[0] and[0] assure[0] that[0] the[0] first[0] class[0] passengers[0] are[0] placed[0] aboard[0] the[0] lifeboats[0] before[0] anyone[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this way , titanic possesses a depth not usually found in action pictures . 	in this way , titanic possesses a depth not usually found in action pictures .	1	-1	 in[0] this[0] way[0] titanic[0] possesses[0] a[0] depth[0] not[0] usually[0] found[0] in[0] action[0] pictures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you don't just get a love story with a tragedy as a backdrop , but a very real account of class struggle as well . 	you don't just get a love story with a tragedy as a backdrop , but a very real account of class struggle as well .	3	-3	 you[0] don't[0] just[0] get[0] a[0] love[2] story[0] with[0] a[0] tragedy[-2] as[0] a[0] backdrop[0] but[0] a[0] very[0] real[0] account[0] of[0] class[0] struggle[-1] as[0] well[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as i mentioned before , the budget for this film was tremendous , and it certainly showed in the set dressing and special effects . 	as i mentioned before , the budget for this film was tremendous , and it certainly showed in the set dressing and special effects .	2	-1	 as[0] i[0] mentioned[0] before[0] the[0] budget[0] for[0] this[0] film[0] was[0] tremendous[0] and[0] it[0] certainly[0] showed[0] in[0] the[0] set[0] dressing[0] and[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the interiors of the titanic are nearly breathtaking with their elaborate trimmings and intricate detail , and one has very little doubt that the layouts are authentic . 	the interiors of the titanic are nearly breathtaking with their elaborate trimmings and intricate detail , and one has very little doubt that the layouts are authentic .	1	-2	 the[0] interiors[0] of[0] the[0] titanic[0] are[0] nearly[0] breathtaking[0] with[0] their[0] elaborate[0] trimmings[0] and[0] intricate[0] detail[0] and[0] one[0] has[0] very[0] little[0] doubt[-1] that[0] the[0] layouts[0] are[0] authentic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with regard to the exteriors , i would dare anyone to point out a film in which a vessel has been recreated with such meticulousness or on such a scale . 	with regard to the exteriors , i would dare anyone to point out a film in which a vessel has been recreated with such meticulousness or on such a scale .	1	-1	 with[0] regard[0] to[0] the[0] exteriors[0] i[0] would[0] dare[0] anyone[0] to[0] point[0] out[0] a[0] film[0] in[0] which[0] a[0] vessel[0] has[0] been[0] recreated[0] with[0] such[0] meticulousness[0] or[0] on[0] such[0] a[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cameron actually built a scale model of the titanic in a water tank , but only had room for 90% , and therefore had to computer-generate the remaining 40 feet . 	cameron actually built a scale model of the titanic in a water tank , but only had room for 90% , and therefore had to computer-generate the remaining 40 feet .	1	-1	 cameron[0] actually[0] built[0] a[0] scale[0] model[0] of[0] the[0] titanic[0] in[0] a[0] water[0] tank[0] but[0] only[0] had[0] room[0] for[0] 90%[0] and[0] therefore[0] had[0] to[0] computer[0] generate[0] the[0] remaining[0] 40[0] feet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
could've fooled me and everyone else in the theater , as the splicing is seamless . 	could've fooled me and everyone else in the theater , as the splicing is seamless .	1	-2	 could've[0] fooled[-1] me[0] and[0] everyone[0] else[0] in[0] the[0] theater[0] as[0] the[0] splicing[0] is[0] seamless[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also of note in this film is the way the audience is presented with the anatomy of the disaster right at the beginning . 	also of note in this film is the way the audience is presented with the anatomy of the disaster right at the beginning .	1	-2	 also[0] of[0] note[0] in[0] this[0] film[0] is[0] the[0] way[0] the[0] audience[0] is[0] presented[0] with[0] the[0] anatomy[0] of[0] the[0] disaster[-1] right[0] at[0] the[0] beginning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we are told of where the iceberg struck the ship , how the flooding occurred , the way the ship sank , and why it did so in that manner . 	we are told of where the iceberg struck the ship , how the flooding occurred , the way the ship sank , and why it did so in that manner .	1	-2	 we[0] are[0] told[0] of[0] where[0] the[0] iceberg[0] struck[-1] the[0] ship[0] how[0] the[0] flooding[0] occurred[0] the[0] way[0] the[0] ship[0] sank[-1] and[0] why[0] it[0] did[0] so[0] in[0] that[0] manner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these technical details serve as a guide for later on when the action starts happening , and allow us to view the sinking with informed analytic detraction , in addition to the more conventional placement in the midst of mayhem and confusion . 	these technical details serve as a guide for later on when the action starts happening , and allow us to view the sinking with informed analytic detraction , in addition to the more conventional placement in the midst of mayhem and confusion .	1	-2	 these[0] technical[0] details[0] serve[0] as[0] a[0] guide[0] for[0] later[0] on[0] when[0] the[0] action[0] starts[0] happening[0] and[0] allow[0] us[0] to[0] view[0] the[0] sinking[0] with[0] informed[0] analytic[0] detraction[-1] in[0] addition[0] to[0] the[0] more[0] conventional[0] placement[0] in[0] the[0] midst[0] of[0] mayhem[0] and[0] confusion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in all , james cameron's titanic is a good blend of love story , history , and action . 	in all , james cameron's titanic is a good blend of love story , history , and action .	3	-1	 in[0] all[0] james[0] cameron's[0] titanic[0] is[0] a[0] good[1] blend[0] of[0] love[2] story[0] history[0] and[0] action[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the fact that the film runs longer than most at about three hours is almost unnoticed as the viewer's attention is held alternately by those three main elements , from the movie's intriguing beginning to it's satisfactory ending . 	the fact that the film runs longer than most at about three hours is almost unnoticed as the viewer's attention is held alternately by those three main elements , from the movie's intriguing beginning to it's satisfactory ending .	2	-2	 the[0] fact[0] that[0] the[0] film[0] runs[0] longer[0] than[0] most[0] at[0] about[0] three[0] hours[0] is[0] almost[0] unnoticed[-1] as[0] the[0] viewer's[0] attention[0] is[0] held[0] alternately[0] by[0] those[0] three[0] main[0] elements[0] from[0] the[0] movie's[0] intriguing[0] beginning[0] to[0] it's[0] satisfactory[1] ending[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in box office receipts , titanic the movie will undoubtedly live up to the unsinkable expectations of titanic the ship . 	in box office receipts , titanic the movie will undoubtedly live up to the unsinkable expectations of titanic the ship .	1	-1	 in[0] box[0] office[0] receipts[0] titanic[0] the[0] movie[0] will[0] undoubtedly[0] live[0] up[0] to[0] the[0] unsinkable[0] expectations[0] of[0] titanic[0] the[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
