the film starts out with a creepy opening sequence to which has the now classic and creepy score by writer/director/producer john carpenter who in my mind is a brilliant director , he really is . 	Translation	Positive	Negative	EmotionRationale
in 'halloween' michael myers is a evil person whom killed his sister in cold blood 16 years ago in 1963 . 	in 'halloween' michael myers is a evil person whom killed his sister in cold blood 16 years ago in 1963 .	1	-4	 in[0] 'halloween'[0] michael[0] myers[0] is[0] a[0] evil[-2] person[0] whom[0] killed[-3] his[0] sister[0] in[0] cold[-1] blood[0] 16[0] years[0] ago[0] in[0] 1963[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now in 1978 grown up and in a mental hospital michael myers escapes to go back to his hometown of haddonfield , illinois , followed by his past doctor sam loomis . 	now in 1978 grown up and in a mental hospital michael myers escapes to go back to his hometown of haddonfield , illinois , followed by his past doctor sam loomis .	1	-1	 now[0] in[0] 1978[0] grown[0] up[0] and[0] in[0] a[0] mental[0] hospital[0] michael[0] myers[0] escapes[0] to[0] go[0] back[0] to[0] his[0] hometown[0] of[0] haddonfield[0] illinois[0] followed[0] by[0] his[0] past[0] doctor[0] sam[0] loomis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the person michael is targeting is laurie strode who is played by jamie lee curtis in her film debut . 	the person michael is targeting is laurie strode who is played by jamie lee curtis in her film debut .	1	-1	 the[0] person[0] michael[0] is[0] targeting[0] is[0] laurie[0] strode[0] who[0] is[0] played[0] by[0] jamie[0] lee[0] curtis[0] in[0] her[0] film[0] debut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why is he stalking her ? 	why is he stalking her ?	1	-1	 why[0] is[0] he[0] stalking[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
check out halloween ii it explains it all . 	check out halloween i it explains it all .	1	-1	 check[0] out[0] halloween[0] ii/i[0] it[0] explains[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on this unholy night on october 31 , 1978 laurie strode and her two friends are going to have the time of their lives , which is trying to stay alive . 	on this unholy night on october 31 , 1978 laurie strode and her two friends are going to have the time of their lives , which is trying to stay alive .	2	-1	 on[0] this[0] unholy[0] night[0] on[0] october[0] 31[0] 1978[0] laurie[0] strode[0] and[0] her[0] two[0] friends[1] are[0] going[0] to[0] have[0] the[0] time[0] of[0] their[0] lives[0] which[0] is[0] trying[0] to[0] stay[0] alive[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the whole film is filled with terrifying moments most coming from just seeing michael myers walk . 	the whole film is filled with terrifying moments most coming from just seeing michael myers walk .	1	-4	 the[0] whole[0] film[0] is[0] filled[0] with[0] terrifying[-3] moments[0] most[0] coming[0] from[0] just[0] seeing[0] michael[0] myers[0] walk[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
nick castle who played the shape in the first movie did an incredible job , and no other person in any other halloween flick can do what he did . 	nick castle who played the shape in the first movie did an incredible job , and no other person in any other halloween flick can do what he did .	1	-1	 nick[0] castle[0] who[0] played[0] the[0] shape[0] in[0] the[0] first[0] movie[0] did[0] an[0] incredible[0] job[0] and[0] no[0] other[0] person[0] in[0] any[0] other[0] halloween[0] flick[0] can[0] do[0] what[0] he[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what john carpenter did in 1978 is made a ground-breaking new film , with scares , wit , and style . 	what john carpenter did in 1978 is made a ground-breaking new film , with scares , wit , and style .	1	-4	 what[0] john[0] carpenter[0] did[0] in[0] 1978[0] is[0] made[0] a[0] ground[0] breaking[0] new[0] film[0] with[0] scares[-3] wit[0] and[0] style[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie is flawless if not perfect . 	the movie is flawless if not perfect .	2	-2	 the[0] movie[0] is[0] flawless[1] if[0] not[0] perfect[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
no other movie or sequel has lived up to this one , and in my opinion never will . 	no other movie or sequel has lived up to this one , and in my opinion never will .	1	-1	 no[0] other[0] movie[0] or[0] sequel[0] has[0] lived[0] up[0] to[0] this[0] one[0] and[0] in[0] my[0] opinion[0] never[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
'halloween' will be like 'psycho' and still be extremely popular even almost 40 years later . 	'halloween' will be like 'psycho' and still be extremely popular even almost 40 years later .	2	-1	 'halloween'[0] will[0] be[0] like[1] 'psycho'[0] and[0] still[0] be[0] extremely[0] popular[0] even[0] almost[0] 40[0] years[0] later[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i just hope someday 'halloween' will be released in a new dolby soundtrack with the 4 extra scenes on the dvd edition . 	i just hope someday 'halloween' will be released in a new dolby soundtrack with the 4 extra scenes on the dvd edition .	2	-1	 i[0] just[0] hope[2][-1 LastWordBoosterStrength] someday[0] 'halloween'[0] will[0] be[0] released[0] in[0] a[0] new[0] dolby[0] soundtrack[0] with[0] the[0] 4[0] extra[0] scenes[0] on[0] the[0] dvd[0] edition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
'halloween' isn't just another slice-and-dice horror flick , it's an intelligent , horrifying and best film experience ever made . 	'halloween' isn't just another slice-and-dice horror flick , it's an intelligent , horrifying and best film experience ever made .	2	-4	 'halloween'[0] isn't[0] just[0] another[0] slice[0] and[0] dice[0] horror[-3] flick[0] it's[0] an[0] intelligent[1] horrifying[-3] and[0] best[1] film[0] experience[0] ever[0] made[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
see 'halloween' and be scared . . . . then 	see 'halloween' and be scared .<br> .<br> .<br> .<br> then	1	-4	 see[0] 'halloween'[0] and[0] be[0] scared[-3] [[Sentence=-4,1=word max, 1-5]] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
watch it again ! 	watch it again !	1	-1	 watch[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reviewed by brandon herring october 7 , 1999 . 	reviewed by brandon herring october 7 , 199 .	1	-1	 reviewed[0] by[0] brandon[0] herring[0] october[0] 7[0] 1999/199[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
