the year is 1962 and the military is conducting nuclear testings . 	Translation	Positive	Negative	EmotionRationale
the new home in alabama is pretty run-down and depressing and sets carly off on a violent tantrum . 	the new home in alabama is pretty run-down and depressing and sets carly off on a violent tantrum .	3	-4	 the[0] new[0] home[0] in[0] alabama[0] is[0] pretty[2] run[0] down[0] and[0] depressing[-3] and[0] sets[0] carly[0] off[0] on[0] a[0] violent[-2] tantrum[-2][-1 MultiplePositiveWords] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
after meeting his new commanding officer ( booth ) , hank sees an all too familiar pattern begin to repeat . 	after meeting his new commanding officer ( booth ) , hank sees an all too familiar pattern begin to repeat .	1	-1	 after[0] meeting[0] his[0] new[0] commanding[0] officer[0] booth[0] hank[0] sees[0] an[0] all[0] too[0] familiar[0] pattern[0] begin[0] to[0] repeat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carly openly flirts with the co . hank tries to deal with the situation , but his only resort is to carry her off and throw her into a nearby pool . 	carly openly flirts with the co .<br> hank tries to deal with the situation , but his only resort is to carry her off and throw her into a nearby pool .	2	-1	 carly[0] openly[0] flirts[1] with[0] the[0] co[0] [[Sentence=-1,2=word max, 1-5]] hank[0] tries[0] to[0] deal[0] with[0] the[0] situation[0] but[0] his[0] only[0] resort[0] is[0] to[0] carry[0] her[0] off[0] and[0] throw[0] her[0] into[0] a[0] nearby[0] pool[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
arguments ensue . 	arguments ensue .	1	-2	 arguments[-1] ensue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the family becomes even more alienated . 	the family becomes even more alienated .	1	-2	 the[0] family[0] becomes[0] even[0] more[0] alienated[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the co is very interested in pursuing an encounter with carly and sends hank off to observe an underground test which causes the irradiation of two local ranchers , much to the vocal objections of hank , who spots them but is unable to cancel the detonation of the bomb . 	the co is very interested in pursuing an encounter with carly and sends hank off to observe an underground test which causes the irradiation of two local ranchers , much to the vocal objections of hank , who spots them but is unable to cancel the detonation of the bomb .	3	-2	 the[0] co[0] is[0] very[0] interested[1][1 LastWordBoosterStrength] in[0] pursuing[0] an[0] encounter[0] with[0] carly[0] and[0] sends[0] hank[0] off[0] to[0] observe[0] an[0] underground[0] test[0] which[0] causes[0] the[0] irradiation[0] of[0] two[0] local[0] ranchers[0] much[0] to[0] the[0] vocal[0] objections[-1] of[0] hank[0] who[0] spots[0] them[0] but[0] is[0] unable[0] to[0] cancel[-1] the[0] detonation[0] of[0] the[0] bomb[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
back at home , the two girls try to hold things together but they wonder why their father can't deal with their mother's problems . 	back at home , the two girls try to hold things together but they wonder why their father can't deal with their mother's problems .	1	-2	 back[0] at[0] home[0] the[0] two[0] girls[0] try[0] to[0] hold[0] things[0] together[0] but[0] they[0] wonder[0] why[0] their[0] father[0] can't[0] deal[0] with[0] their[0] mother's[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one daughter says , " he's blind and she's crazy . " 	one daughter says , " he's blind and she's crazy .<br> "	1	-2	 one[0] daughter[0] says[0] he's[0] blind[-1] and[0] she's[0] crazy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other answers , " they're perfect for each other . " 	the other answers , " they're perfect for each other .<br> "	2	-1	 the[0] other[0] answers[0] they're[0] perfect[1] for[0] each[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it reaches the breaking point when the older girl ( locane ) and a boy , the co's son ( o'donnell ) see her mother and the co making love in an abandoned shed . 	it reaches the breaking point when the older girl ( locane ) and a boy , the co's son ( o'donnell ) see her mother and the co making love in an abandoned shed .	3	-2	 it[0] reaches[0] the[0] breaking[0] point[0] when[0] the[0] older[0] girl[0] locane[0] and[0] a[0] boy[0] the[0] co's[0] son[0] o'donnell[0] see[0] her[0] mother[0] and[0] the[0] co[0] making[0] love[2] in[0] an[0] abandoned[-1] shed[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she forces her mother to tell hank and get it all out into the open . 	she forces her mother to tell hank and get it all out into the open .	1	-1	 she[0] forces[0] her[0] mother[0] to[0] tell[0] hank[0] and[0] get[0] it[0] all[0] out[0] into[0] the[0] open[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hank returns home and finds his wife in the middle of a musical put on by the military wives , including the co's wife ( snodgress ) . 	hank returns home and finds his wife in the middle of a musical put on by the military wives , including the co's wife ( snodgress ) .	1	-1	 hank[0] returns[0] home[0] and[0] finds[0] his[0] wife[0] in[0] the[0] middle[0] of[0] a[0] musical[0] put[0] on[0] by[0] the[0] military[0] wives[0] including[0] the[0] co's[0] wife[0] snodgress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he confronts the c . o . 	he confronts the c .<br> o .	1	-3	 he[0] confronts[-2] the[0] c[0] [[Sentence=-3,1=word max, 1-5]] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
but not about carly . 	but not about carly .	1	-1	 but[0] not[0] about[0] carly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is upset over the coverup surrounding the accident during the testing . 	he is upset over the coverup surrounding the accident during the testing .	1	-3	 he[0] is[0] upset[-2] over[0] the[0] coverup[0] surrounding[0] the[0] accident[-1] during[0] the[0] testing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a fight breaks out between the two when the co accuses hank of not being able to satisfy his wife . 	a fight breaks out between the two when the co accuses hank of not being able to satisfy his wife .	2	-3	 a[0] fight[-2] breaks[0] out[0] between[0] the[0] two[0] when[0] the[0] co[0] accuses[-1] hank[0] of[0] not[0] being[0] able[0] to[0] satisfy[1] his[0] wife[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hank is arrested . 	hank is arrested .	1	-1	 hank[0] is[0] arrested[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what follows is manipulation and revenge on the part of the co . he convinces carly to commit hank to a hospital for observation . 	what follows is manipulation and revenge on the part of the co .<br> he convinces carly to commit hank to a hospital for observation .	1	-2	 what[0] follows[0] is[0] manipulation[-1] and[0] revenge[-1] on[0] the[0] part[0] of[0] the[0] co[0] [[Sentence=-2,1=word max, 1-5]] he[0] convinces[0] carly[0] to[0] commit[0] hank[0] to[0] a[0] hospital[0] for[0] observation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead , they fill him with so many drugs that he can barely cope . 	instead , they fill him with so many drugs that he can barely cope .	1	-1	 instead[0] they[0] fill[0] him[0] with[0] so[0] many[0] drugs[0] that[0] he[0] can[0] barely[0] cope[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he foams at the mouth and cannot even finish sewing a leather wallet as presents for his daughters . 	he foams at the mouth and cannot even finish sewing a leather wallet as presents for his daughters .	1	-1	 he[0] foams[0] at[0] the[0] mouth[0] and[0] cannot[0] even[0] finish[0] sewing[0] a[0] leather[0] wallet[0] as[0] presents[0] for[0] his[0] daughters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carly is determined to free her husband from the clutches of the army and succeeds in doing so only by being the strong one in the family for the first time . 	carly is determined to free her husband from the clutches of the army and succeeds in doing so only by being the strong one in the family for the first time .	3	-1	 carly[0] is[0] determined[0] to[0] free[0] her[0] husband[0] from[0] the[0] clutches[0] of[0] the[0] army[0] and[0] succeeds[2] in[0] doing[0] so[0] only[0] by[0] being[0] the[0] strong[0] one[0] in[0] the[0] family[0] for[0] the[0] first[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film has an upbeat ending with hope that the family has found a way to deal with its problems . 	the film has an upbeat ending with hope that the family has found a way to deal with its problems .	3	-2	 the[0] film[0] has[0] an[0] upbeat[1] ending[0] with[0] hope[2] that[0] the[0] family[0] has[0] found[0] a[0] way[0] to[0] deal[0] with[0] its[0] problems[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the performances are solid throughout . 	the performances are solid throughout .	1	-1	 the[0] performances[0] are[0] solid[0] throughout[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jones is sympathetic and loving and is most effective in those quiet moments when he tries to deal with his wife's rage . 	jones is sympathetic and loving and is most effective in those quiet moments when he tries to deal with his wife's rage .	4	-4	 jones[0] is[0] sympathetic[0] and[0] loving[3] and[0] is[0] most[0] effective[0] in[0] those[0] quiet[0] moments[0] when[0] he[0] tries[0] to[0] deal[0] with[0] his[0] wife's[0] rage[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
he comforts her and offers protection . 	he comforts her and offers protection .	2	-1	 he[0] comforts[1] her[0] and[0] offers[0] protection[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lange gives a strong and spirited portrayal of a woman on the edge who draws up the courage to try and put things right for her family . 	lange gives a strong and spirited portrayal of a woman on the edge who draws up the courage to try and put things right for her family .	2	-1	 lange[0] gives[0] a[0] strong[0] and[0] spirited[0] portrayal[0] of[0] a[0] woman[0] on[0] the[0] edge[0] who[0] draws[0] up[0] the[0] courage[1] to[0] try[0] and[0] put[0] things[0] right[0] for[0] her[0] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
amy locane is very good as she fights to keep her family together while struggling with her own doubts as to whether she even should . 	amy locane is very good as she fights to keep her family together while struggling with her own doubts as to whether she even should .	3	-3	 amy[0] locane[0] is[0] very[0] good[1][1 LastWordBoosterStrength] as[0] she[0] fights[-2] to[0] keep[0] her[0] family[0] together[0] while[0] struggling[-1] with[0] her[0] own[0] doubts[-1] as[0] to[0] whether[0] she[0] even[0] should[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
blue sky is based on the story of the stagner family . 	blue sky is based on the story of the stagner family .	1	-1	 blue[0] sky[0] is[0] based[0] on[0] the[0] story[0] of[0] the[0] stagner[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the screenplay was written by rama laurie stagner ( with arlene sarner and jerry leichtling ) . 	the screenplay was written by rama laurie stagner ( with arlene sarner and jerry leichtling ) .	1	-1	 the[0] screenplay[0] was[0] written[0] by[0] rama[0] laurie[0] stagner[0] with[0] arlene[0] sarner[0] and[0] jerry[0] leichtling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film marks the final work of tony richardson who died shortly after its completion in 1991 . 	the film marks the final work of tony richardson who died shortly after its completion in 1991 .	1	-1	 the[0] film[0] marks[0] the[0] final[0] work[0] of[0] tony[0] richardson[0] who[0] died[0] shortly[0] after[0] its[0] completion[0] in[0] 1991[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he had made such classics as look back in anger ( 1958 ) and tom jones ( 1963 ) . 	he had made such classics as look back in anger ( 1958 ) and tom jones ( 1963 ) .	1	-4	 he[0] had[0] made[0] such[0] classics[0] as[0] look[0] back[0] in[0] anger[-3] 1958[0] and[0] tom[0] jones[0] 1963[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
orion pictures underwent bankruptcy and caused the film to sit on a shelf for three years . 	orion pictures underwent bankruptcy and caused the film to sit on a shelf for three years .	1	-3	 orion[0] pictures[0] underwent[0] bankruptcy[-2] and[0] caused[0] the[0] film[0] to[0] sit[0] on[0] a[0] shelf[0] for[0] three[0] years[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film joins an alread promising fall line-up of films and is well worth catching for the performances alone . 	the film joins an alread promising fall line-up of films and is well worth catching for the performances alone .	2	-1	 the[0] film[0] joins[0] an[0] alread[0] promising[1] fall[0] line[0] up[0] of[0] films[0] and[0] is[0] well[0] worth[0] catching[0] for[0] the[0] performances[0] alone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
