when a someone journeys to the theater to see a comedy , he always risks having to sit through inanity such as what we recently saw in films like edtv and office space . 	Translation	Positive	Negative	EmotionRationale
thus another installment was inevitable , but it's also undoubtedly welcome . 	thus another instalment was inevitable , but it's also undoubtedly welcome .	2	-1	 thus[0] another[0] installment/instalment[0] was[0] inevitable[0] but[0] it's[0] also[0] undoubtedly[0] welcome[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the spy who shagged me is one of the most unrestrained , over- the-top comedies i have ever seen in my entire life . 	the spy who shagged me is one of the most unrestrained , over- the-top comedies i have ever seen in my entire life .	1	-1	 the[0] spy[0] who[0] shagged[0] me[0] is[0] one[0] of[0] the[0] most[0] unrestrained[0] over[0] the[0] top[0] comedies[0] i[0] have[0] ever[0] seen[0] in[0] my[0] entire[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it brings back most of the characters from its predecessor ( even if only briefly ) and adds new ones . 	it brings back most of the characters from its predecessor ( even if only briefly ) and adds new ones .	1	-1	 it[0] brings[0] back[0] most[0] of[0] the[0] characters[0] from[0] its[0] predecessor[0] even[0] if[0] only[0] briefly[0] and[0] adds[0] new[0] ones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
austin powers ( mike myers ) , a swinging hipster from the 60s transported into the 90s has to go back to his own time to get back his mojo ( oh , you'll figure it out ) , which dr . evil ( meyers again ) has stolen . 	austin powers ( mike myers ) , a swinging hipster from the 60s transported into the 90s has to go back to his own time to get back his mojo ( oh , you'll figure it out ) , which dr .<br> evil ( meyers again ) has stolen .	1	-3	 austin[0] powers[0] mike[0] myers[0] a[0] swinging[0] hipster[0] from[0] the[0] 60s[0] transported[0] into[0] the[0] 90s[0] has[0] to[0] go[0] back[0] to[0] his[0] own[0] time[0] to[0] get[0] back[0] his[0] mojo[0] oh[0] you'll[0] figure[0] it[0] out[0] which[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] meyers[0] again[0] has[0] stolen[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he enlists the help of a gorgeous secret agent felicity shagwell ( now that his prior sidekick vanessa has been properly disposed of in a hilarious opening sequence ) , played without much distinguishable gusto by heather graham and together they go back to the 60s to defeat dr . evil yet again . 	he enlists the help of a gorgeous secret agent felicity shagwell ( now that his prior sidekick vanessa has been properly disposed of in a hilarious opening sequence ) , played without much distinguishable gusto by heather graham and together they go back to the 60s to defeat dr .<br> evil yet again .	3	-3	 he[0] enlists[0] the[0] help[0] of[0] a[0] gorgeous[2] secret[0] agent[0] felicity[0] shagwell[0] now[0] that[0] his[0] prior[0] sidekick[0] vanessa[0] has[0] been[0] properly[0] disposed[-1] of[0] in[0] a[0] hilarious[2] opening[0] sequence[0] played[0] without[0] much[0] distinguishable[0] gusto[0] by[0] heather[0] graham[0] and[0] together[0] they[0] go[0] back[0] to[0] the[0] 60s[0] to[0] defeat[0] dr[0] [[Sentence=-2,3=word max, 1-5]] evil[-2] yet[0] again[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
surprisingly , the real star is dr . evil rather than austin . 	surprisingly , the real star is dr .<br> evil rather than austin .	1	-3	 surprisingly[0] the[0] real[0] star[0] is[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] rather[0] than[0] austin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he gets most of the screen time because he was so popular in the first movie . 	he gets most of the screen time because he was so popular in the first movie .	1	-1	 he[0] gets[0] most[0] of[0] the[0] screen[0] time[0] because[0] he[0] was[0] so[0] popular[0] in[0] the[0] first[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps this is true because he is portrayed and written so affectionately . 	perhaps this is true because he is portrayed and written so affectionately .	3	-1	 perhaps[0] this[0] is[0] true[1] because[0] he[0] is[0] portrayed[0] and[0] written[0] so[0] affectionately[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead of being the scheming , villainous mad scientist we might expect from a character like this he is a bumbling , often sweet mad scientist wannabe . 	instead of being the scheming , villainous mad scientist we might expect from a character like this he is a bumbling , often sweet mad scientist wannabe .	2	-3	 instead[0] of[0] being[0] the[0] scheming[0] villainous[-2] mad[-1] scientist[0] we[0] might[0] expect[0] from[0] a[0] character[0] like[1] this[0] he[0] is[0] a[0] bumbling[0] often[0] sweet[1] mad[-1] scientist[0] wannabe[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the spy who shagged me has much of the same stuff we saw in the original , but that's okay by me because the original left us wanting more . 	the spy who shagged me has much of the same stuff we saw in the original , but that's okay by me because the original left us wanting more .	1	-1	 the[0] spy[0] who[0] shagged[0] me[0] has[0] much[0] of[0] the[0] same[0] stuff[0] we[0] saw[0] in[0] the[0] original[0] but[0] that's[0] okay[0] by[0] me[0] because[0] the[0] original[0] left[0] us[0] wanting[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the time that one was over we haven't had nearly our share of shag jokes , crude puns and powers' antics and this sequel satisfies our appetites . 	by the time that one was over we haven't had nearly our share of shag jokes , crude puns and powers' antics and this sequel satisfies our appetites .	2	-2	 by[0] the[0] time[0] that[0] one[0] was[0] over[0] we[0] haven't[0] had[0] nearly[0] our[0] share[0] of[0] shag[0] jokes[1] crude[-1] puns[0] and[0] powers'[0] antics[0] and[0] this[0] sequel[0] satisfies[1] our[0] appetites[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even by its conclusions , i'm still not sure i've had my fill of bits like " do you smoke after sex ? " 	even by its conclusions , i'm still not sure i've had my fill of bits like " do you smoke after sex ?<br> "	2	-1	 even[0] by[0] its[0] conclusions[0] i'm[0] still[0] not[0] sure[0] i've[0] had[0] my[0] fill[0] of[0] bits[0] like[1] do[0] you[0] smoke[0] after[0] sex[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " i don't know , baby , i never looked . " 	 " i don't know , baby , i never looked .<br> "	1	-2	 i[0] don't[0] know[0] baby[1][NegatedDueToPreviousWord] i[0] never[0] looked[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this may seem awfully immature of me , but understand that the austin powers series , unlike most of the crap hollywood feeds us these days , is genuinely funny . 	this may seem awfully immature of me , but understand that the austin powers series , unlike most of the crap hollywood feeds us these days , is genuinely funny .	2	-4	 this[0] may[0] seem[0] awfully[-3] immature[-1] of[0] me[0] but[0] understand[0] that[0] the[0] austin[0] powers[0] series[0] unlike[0] most[0] of[0] the[0] crap[-2] hollywood[0] feeds[0] us[0] these[0] days[0] is[0] genuinely[0] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i don't know if i've ever laughed harder at any movie than i did during the jerry springer send up or the indubitably hilarious " just the two of us " rendition by dr . evil and his new miniature clone named " mini-me " . 	i don't know if i've ever laughed harder at any movie than i did during the jerry springer send up or the indubitably hilarious " just the two of us " rendition by dr .<br> evil and his new miniature clone named " mini-me " .	3	-3	 i[0] don't[0] know[0] if[0] i've[0] ever[0] laughed[1] harder[0] at[0] any[0] movie[0] than[0] i[0] did[0] during[0] the[0] jerry[0] springer[0] send[0] up[0] or[0] the[0] indubitably[0] hilarious[2] just[0] the[0] two[0] of[0] us[0] rendition[0] by[0] dr[0] [[Sentence=-1,3=word max, 1-5]] evil[-2] and[0] his[0] new[0] miniature[0] clone[0] named[0] mini[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
i don't have any pretensions that this is particularly smart social satire or anything of the sort . 	i don't have any pretensions that this is particularly smart social satire or anything of the sort .	2	-1	 i[0] don't[0] have[0] any[0] pretensions[0] that[0] this[0] is[0] particularly[0] smart[1] social[0] satire[0] or[0] anything[0] of[0] the[0] sort[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
indeed there is little beyond the joy a viewer feels when he sees something that is able to entertain him as much as this movie did . 	indeed there is little beyond the joy a viewer feels when he sees something that is able to entertain him as much as this movie did .	3	-1	 indeed[0] there[0] is[0] little[0] beyond[0] the[0] joy[2] a[0] viewer[0] feels[0] when[0] he[0] sees[0] something[0] that[0] is[0] able[0] to[0] entertain[0] him[0] as[0] much[0] as[0] this[0] movie[0] did[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but as far as i'm concerned , that is enough . 	but as far as i'm concerned , that is enough .	1	-2	 but[0] as[0] far[0] as[0] i'm[0] concerned[-1] that[0] is[0] enough[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ? 1999 eugene novikov &#137 ; 	 ?<br> 199 eugene novikov &#137 ;	1	-1	 1999/199[0] eugene[0] novikov[0] &#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
