some of my friends who went to live in usa complain about one thing - that country is very different from the one depicted in hollywood movies . 	Translation	Positive	Negative	EmotionRationale
it is a real shame , because very few movies in today's hollywood would dare tackle controversial issues that writer and director paul schrader explored in his second directorial attempt . 	it is a real shame , because very few movies in today's hollywood would dare tackle controversial issues that writer and director paul schrader explored in his second directorial attempt .	1	-3	 it[0] is[0] a[0] real[0] shame[-2] because[0] very[0] few[0] movies[0] in[0] today's[0] hollywood[0] would[0] dare[0] tackle[0] controversial[-1] issues[0] that[0] writer[0] and[0] director[0] paul[0] schrader[0] explored[0] in[0] his[0] second[0] directorial[0] attempt[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in late 1970s , it was totally different situation - films were expected to have mature , serious themes for the mature audience . 	in late 1970s , it was totally different situation - films were expected to have mature , serious themes for the mature audience .	1	-2	 in[0] late[0] 1970s[0] it[0] was[0] totally[0] different[0] situation[0] films[0] were[0] expected[0] to[0] have[0] mature[0] serious[-1] themes[0] for[0] the[0] mature[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for schrader this film was nice opportunity to expand the subplot of his previous work , taxi driver - one that deals with the great generational divide that tormented the american society in 1970s . 	for schrader this film was nice opportunity to expand the subplot of his previous work , taxi driver - one that deals with the great generational divide that tormented the american society in 1970s .	3	-2	 for[0] schrader[0] this[0] film[0] was[0] nice[1] opportunity[0] to[0] expand[0] the[0] subplot[0] of[0] his[0] previous[0] work[0] taxi[-1] driver[0] one[0] that[0] deals[0] with[0] the[0] great[2] generational[0] divide[0] that[0] tormented[0] the[0] american[0] society[0] in[0] 1970s[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on one side we have an old america that sticks to the puritan ideals of hard work and strict morals that made that country great . 	on one side we have an old america that sticks to the puritan ideals of hard work and strict morals that made that country great .	3	-2	 on[0] one[0] side[0] we[0] have[0] an[0] old[0] america[0] that[0] sticks[0] to[0] the[0] puritan[0] ideals[0] of[0] hard[0] work[0] and[0] strict[-1] morals[0] that[0] made[0] that[0] country[0] great[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but that america is obviously unable to cope with the new challenges brought by the social turmoil in 1960s and , instead of facing them , prefers to live in rural , conservative cocoons . 	but that america is obviously unable to cope with the new challenges brought by the social turmoil in 1960s and , instead of facing them , prefers to live in rural , conservative cocoons .	1	-3	 but[0] that[0] america[0] is[0] obviously[0] unable[0] to[0] cope[0] with[0] the[0] new[0] challenges[-1] brought[0] by[0] the[0] social[0] turmoil[-2] in[0] 1960s[0] and[0] instead[0] of[0] facing[0] them[0] prefers[0] to[0] live[0] in[0] rural[0] conservative[0] cocoons[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the new america , on the other hand , fares no better - ideals of the so-called " sexual revolution " , same as all other " revolutions " of the swinging sixties , degraded into exploitation and depravity . 	the new america , on the other hand , fares no better - ideals of the so-called " sexual revolution " , same as all other " revolutions " of the swinging sixties , degraded into exploitation and depravity .	1	-4	 the[0] new[0] america[0] on[0] the[0] other[0] hand[0] fares[0] no[0] better[0] ideals[0] of[0] the[0] so[0] called[0] sexual[0] revolution[-1] same[0] as[0] all[0] other[0] revolutions[-1] of[0] the[0] swinging[0] sixties[0] degraded[-2] into[0] exploitation[0] and[0] depravity[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
instead of being " liberated " , baby boomers are stuck with their own inability to cope with the newly discovered freedoms . 	instead of being " liberated " , baby boomers are stuck with their own inability to cope with the newly discovered freedoms .	2	-2	 instead[0] of[0] being[0] liberated[0] baby[1] boomers[0] are[0] stuck[0] with[0] their[0] own[0] inability[-1] to[0] cope[0] with[0] the[0] newly[0] discovered[0] freedoms[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
schrader very cleverly brings the idea that those two americas , actually , aren't so far away - nice example is a brilliant scene in which van dorn , already described as an authoritarian and paternalistic capitalist , meets sleazy porno producer ; the latter one also turns out to be authoritarian , paternalistic and very dedicated to this job . 	schrader very cleverly brings the idea that those two americas , actually , aren't so far away - nice example is a brilliant scene in which van dorn , already described as an authoritarian and paternalistic capitalist , meets sleazy porno producer ; the latter one also turns out to be authoritarian , paternalistic and very dedicated to this job .	2	-3	 schrader[0] very[0] cleverly[0] brings[0] the[0] idea[0] that[0] those[0] two[0] americas[0] actually[0] aren't[0] so[0] far[0] away[0] nice[1] example[0] is[0] a[0] brilliant[1] scene[0] in[0] which[0] van[0] dorn[0] already[0] described[0] as[0] an[0] authoritarian[0] and[0] paternalistic[0] capitalist[0] meets[0] sleazy[-2] porno[0] producer[0] the[0] latter[0] one[0] also[0] turns[0] out[0] to[0] be[0] authoritarian[0] paternalistic[0] and[0] very[0] dedicated[0] to[0] this[0] job[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the difference between the two is simply in the line of work . 	the difference between the two is simply in the line of work .	1	-1	 the[0] difference[0] between[0] the[0] two[0] is[0] simply[0] in[0] the[0] line[0] of[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many contemporary critics actually accused schrader of promoting conservative agenda . 	many contemporary critics actually accused schrader of promoting conservative agenda .	1	-2	 many[0] contemporary[0] critics[0] actually[0] accused[-1] schrader[0] of[0] promoting[0] conservative[0] agenda[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the surface , it may look that way - audience is forced to sympathise with van dorn and his quest . 	on the surface , it may look that way - audience is forced to sympathise with van dorn and his quest .	1	-1	 on[0] the[0] surface[0] it[0] may[0] look[0] that[0] way[0] audience[0] is[0] forced[0] to[0] sympathise[0] with[0] van[0] dorn[0] and[0] his[0] quest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the first scenes , he is portrayed as nice family man who actually doesn't deserve to experience parent's worst nightmare . 	in the first scenes , he is portrayed as nice family man who actually doesn't deserve to experience parent's worst nightmare .	2	-4	 in[0] the[0] first[0] scenes[0] he[0] is[0] portrayed[0] as[0] nice[1] family[0] man[0] who[0] actually[0] doesn't[0] deserve[0] to[0] experience[0] parent's[0] worst[-2] nightmare[-2][-1 MultiplePositiveWords] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the scene in the porno cinema that reveals kristen's fate is extremely cruel ; pain and humiliation , brought by oscar-winning actor george c . scott , is of such intensity , that the audience feels sorry for him and simply must support his agenda . 	the scene in the porno cinema that reveals kristen's fate is extremely cruel ; pain and humiliation , brought by oscar-winning actor george c .<br> scot , is of such intensity , that the audience feels sorry for him and simply must support his agenda .	2	-5	 the[0] scene[0] in[0] the[0] porno[0] cinema[0] that[0] reveals[0] kristen's[0] fate[0] is[0] extremely[0] cruel[-3][-2 LastWordBoosterStrength] pain[-3][-1 MultiplePositiveWords] and[0] humiliation[-3] brought[0] by[0] oscar[0] winning[1] actor[0] george[0] c[0] [[Sentence=-6,2=word max, 1-5]] scott/scot[0] is[0] of[0] such[0] intensity[0] that[0] the[0] audience[0] feels[0] sorry[-1] for[0] him[0] and[0] simply[0] must[0] support[1] his[0] agenda[0] [[Sentence=-2,2=word max, 1-5]][[[2,-5 max of sentences]]]
van dorn is perhaps flawed , and the subtle hints lead to the unflattering truth at the end ; but the viewers simply know that his cause is just , and that prodigal daughter must be better off with her loving father than with the sleazy pornographers that only want to exploit her body . 	van dorn is perhaps flawed , and the subtle hints lead to the unflattering truth at the end ; but the viewers simply know that his cause is just , and that prodigal daughter must be better off with her loving father than with the sleazy pornographers that only want to exploit her body .	4	-3	 van[0] dorn[0] is[0] perhaps[0] flawed[0] and[0] the[0] subtle[0] hints[0] lead[0] to[0] the[0] unflattering[0] truth[1] at[0] the[0] end[0] but[0] the[0] viewers[0] simply[0] know[0] that[0] his[0] cause[0] is[0] just[0] and[0] that[0] prodigal[0] daughter[0] must[0] be[0] better[0] off[0] with[0] her[0] loving[3] father[0] than[0] with[0] the[0] sleazy[-2] pornographers[0] that[0] only[0] want[0] to[0] exploit[0] her[0] body[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
on the other hand , schrader , who grew up in an environment very much like van dorn's ( his own parents wouldn't allow him to watch movies until he was 18 ) , knows better and tries to bring another side of coin . 	on the other hand , schrader , who grew up in an environment very much like van dorn's ( his own parents wouldn't allow him to watch movies until he was 18 ) , knows better and tries to bring another side of coin .	2	-1	 on[0] the[0] other[0] hand[0] schrader[0] who[0] grew[0] up[0] in[0] an[0] environment[0] very[0] much[0] like[1] van[0] dorn's[0] his[0] own[0] parents[0] wouldn't[0] allow[0] him[0] to[0] watch[0] movies[0] until[0] he[0] was[0] 18[0] knows[0] better[0] and[0] tries[0] to[0] bring[0] another[0] side[0] of[0] coin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even the people connected with sex underworld can show redeeming qualities - like nicky , who actually tries to improve her life , and sleazy detective who develops something like a conscience at the end . 	even the people connected with sex underworld can show redeeming qualities - like nicky , who actually tries to improve her life , and sleazy detective who develops something like a conscience at the end .	2	-3	 even[0] the[0] people[0] connected[0] with[0] sex[0] underworld[-1] can[0] show[0] redeeming[0] qualities[0] like[1] nicky[0] who[0] actually[0] tries[0] to[0] improve[1] her[0] life[0] and[0] sleazy[-2] detective[0] who[0] develops[0] something[0] like[1] a[0] conscience[0] at[0] the[0] end[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately , schrader fails to erase the impact of the shocking scene at the beginning , and his attempt to reconcile the opposing sides of america seems lost in somewhat clich ? d finale . 	unfortunately , schrader fails to erase the impact of the shocking scene at the beginning , and his attempt to reconcile the opposing sides of america seems lost in somewhat clich ?<br> d finale .	1	-3	 unfortunately[-1] schrader[0] fails[-2] to[0] erase[-1] the[0] impact[0] of[0] the[0] shocking[-2] scene[0] at[0] the[0] beginning[0] and[0] his[0] attempt[0] to[0] reconcile[0] the[0] opposing[0] sides[0] of[0] america[0] seems[0] lost[0] in[0] somewhat[0] clich[0] [[Sentence=-3,1=word max, 1-5]] d[0] finale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script is slightly flawed , and schrader as director doesn't show too much originality - his style seems too influenced by techniques that scorsese used in taxi driver . 	the script is slightly flawed , and schrader as director doesn't show too much originality - his style seems too influenced by techniques that scorsese used in taxi driver .	1	-2	 the[0] script[0] is[0] slightly[0] flawed[0] and[0] schrader[0] as[0] director[0] doesn't[0] show[0] too[0] much[0] originality[0] his[0] style[0] seems[0] too[0] influenced[0] by[0] techniques[0] that[0] scorsese[0] used[0] in[0] taxi[-1] driver[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
apart from the scenes in grand rapids , those two films even look alike . 	apart from the scenes in grand rapids , those two films even look alike .	2	-1	 apart[0] from[0] the[0] scenes[0] in[0] grand[1] rapids[0] those[0] two[0] films[0] even[0] look[0] alike[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the content might be more than interesting for today's viewer , especially those inspired by the current 70s revival . 	but the content might be more than interesting for today's viewer , especially those inspired by the current 70s revival .	3	-1	 but[0] the[0] content[0] might[0] be[0] more[0] than[0] interesting[1] for[0] today's[0] viewer[0] especially[0] those[0] inspired[2] by[0] the[0] current[0] 70s[0] revival[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
until boogie nights , no hollywood mainstream movie ever dared to explore the phenomenon of pornography in 1970s . 	until boogie nights , no hollywood mainstream movie ever dared to explore the phenomenon of pornography in 1970s .	1	-1	 until[0] boogie[0] nights[0] no[0] hollywood[0] mainstream[0] movie[0] ever[0] dared[0] to[0] explore[0] the[0] phenomenon[0] of[0] pornography[0] in[0] 1970s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hardcore , on the other hand , might serve as precious document , because it depicts sex film industry in the period often regarded as the golden age by connoisseurs - before the advent of video , when many of the porno filmmakers could afford to think of themselves as artists . 	hardcore , on the other hand , might serve as precious document , because it depicts sex film industry in the period often regarded as the golden age by connoisseurs - before the advent of video , when many of the porno filmmakers could afford to think of themselves as artists .	3	-1	 hardcore[0] on[0] the[0] other[0] hand[0] might[0] serve[0] as[0] precious[2] document[0] because[0] it[0] depicts[0] sex[0] film[0] industry[0] in[0] the[0] period[0] often[0] regarded[0] as[0] the[0] golden[0] age[0] by[0] connoisseurs[0] before[0] the[0] advent[0] of[0] video[0] when[0] many[0] of[0] the[0] porno[0] filmmakers[0] could[0] afford[0] to[0] think[0] of[0] themselves[0] as[0] artists[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the view of such age and the industry is very unflattering , though , but for the film whose main character takes time to explain calvinist doctrines to the audience , that shouldn't be too surprising . 	the view of such age and the industry is very unflattering , though , but for the film whose main character takes time to explain calvinist doctrines to the audience , that shouldn't be too surprising .	1	-1	 the[0] view[0] of[0] such[0] age[0] and[0] the[0] industry[0] is[0] very[0] unflattering[0] though[0] but[0] for[0] the[0] film[0] whose[0] main[0] character[0] takes[0] time[0] to[0] explain[0] calvinist[0] doctrines[0] to[0] the[0] audience[0] that[0] shouldn't[0] be[0] too[0] surprising[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , despite some flaws , hardcore remains very interesting and powerful piece of cinema . 	anyway , despite some flaws , hardcore remains very interesting and powerful piece of cinema .	3	-1	 anyway[0] despite[0] some[0] flaws[0] hardcore[0] remains[0] very[0] interesting[1][1 LastWordBoosterStrength] and[0] powerful[0] piece[0] of[0] cinema[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
