garry shandling makes his long overdue starring film debut as an alien from a planet populated only by genetically created men , who are looking to take over the earth by propagating their own species there . 	Translation	Positive	Negative	EmotionRationale
we never see anything though , it's all implied , which gives the film a touch of class amidst its crudeness . 	we never see anything though , it's all implied , which gives the film a touch of class amidst its crudeness .	1	-2	 we[0] never[0] see[0] anything[0] though[0] it's[0] all[0] implied[0] which[0] gives[0] the[0] film[0] a[0] touch[0] of[0] class[0] amidst[0] its[0] crudeness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm glad to see that someone in hollywood still understands the concept of " less is more " . 	i'm glad to see that someone in hollywood still understands the concept of " less is more " .	2	-1	 i'm[0] glad[1] to[0] see[0] that[0] someone[0] in[0] hollywood[0] still[0] understands[0] the[0] concept[0] of[0] less[0] is[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the talented supporting cast certainly adds to one's enjoyment of this film . 	the talented supporting cast certainly adds to one's enjoyment of this film .	3	-1	 the[0] talented[1] supporting[1] cast[0] certainly[0] adds[0] to[0] one's[0] enjoyment[2] of[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
annette bening ( oddly playing a merged version of her real estate salesman character from american beauty and her ditzy spiritualist character from mars attacks ! ) 	annette bening ( oddly playing a merged version of her real estate salesman character from american beauty and her ditzy spiritualist character from mars attacks !<br> )	3	-3	 annette[0] bening[0] oddly[0] playing[1] a[0] merged[0] version[0] of[0] her[0] real[0] estate[0] salesman[0] character[0] from[0] american[0] beauty[2] and[0] her[0] ditzy[0] spiritualist[0] character[0] from[0] mars[0] attacks[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
does a fine job keeping up with shandling and makes a good catalyst for his brand of humor . 	does a fine job keeping up with shandling and makes a good catalyst for his brand of humor .	3	-1	 does[0] a[0] fine[2] job[0] keeping[0] up[0] with[0] shandling[0] and[0] makes[0] a[0] good[1] catalyst[0] for[0] his[0] brand[0] of[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she even manages to pull off a potentially disastrous scene where she has to perform a rather goofy rendition of " high hopes " for a lengthy period of time . 	she even manages to pull off a potentially disastrous scene where she has to perform a rather goofy rendition of " high hopes " for a lengthy period of time .	2	-4	 she[0] even[0] manages[0] to[0] pull[0] off[0] a[0] potentially[0] disastrous[-3] scene[0] where[0] she[0] has[0] to[0] perform[0] a[0] rather[0] goofy[0] rendition[0] of[0] high[0] hopes[1] for[0] a[0] lengthy[0] period[0] of[0] time[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
ben kingsley , john goodman and greg kinnear all fare well in their performances as well , and linda fiorentino . . . 	ben kingsley , john goodman and greg kinnear all fare well in their performances as well , and linda fiorentino .<br> .<br> .	1	-1	 ben[0] kingsley[0] john[0] goodman[0] and[0] greg[0] kinnear[0] all[0] fare[0] well[0] in[0] their[0] performances[0] as[0] well[0] and[0] linda[0] fiorentino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
good lord , there should be some sort of law stating that no woman can be that sexy . 	good lord , there should be some sort of law stating that no woman can be that sexy .	3	-1	 good[1] lord[0] there[0] should[0] be[0] some[0] sort[0] of[0] law[0] stating[0] that[0] no[0] woman[0] can[0] be[0] that[0] sexy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everything about her character in this film oozes raw sexuality . 	everything about her character in this film oozes raw sexuality .	1	-1	 everything[0] about[0] her[0] character[0] in[0] this[0] film[0] oozes[0] raw[0] sexuality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what planet are you from ? 	what planet are you from ?	1	-1	 what[0] planet[0] are[0] you[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is available on dvd from columbia tristar home video . 	is available on dvd from columbia tristar home video .	1	-1	 is[0] available[0] on[0] dvd[0] from[0] columbia[0] tristar[0] home[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the disc gives you the choice of either watching the film full frame or in its original theatrical aspect ratio of 1 . 85 : 1 ( and enhanced for 16x9 televisions . 	the disc gives you the choice of either watching the film full frame or in its original theatrical aspect ratio of 1 .<br> 85 : 1 ( and enhanced for 16x9 televisions .	1	-1	 the[0] disc[0] gives[0] you[0] the[0] choice[0] of[0] either[0] watching[0] the[0] film[0] full[0] frame[0] or[0] in[0] its[0] original[0] theatrical[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 85[0] 1[0] and[0] enhanced[0] for[0] 16x9[0] televisions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also included on the disc as extras : a decent making-of featurette , an isolated score track , talent files for the cast and crew , and the film's original theatrical trailer ( as well as trailers for wolf , men in black , bugsy and as good as it gets ) . 	also included on the disc as extras : a decent making-of featurette , an isolated score track , talent files for the cast and crew , and the film's original theatrical trailer ( as well as trailers for wolf , men in black , bugsy and as good as it gets ) .	2	-2	 also[0] included[0] on[0] the[0] disc[0] as[0] extras[0] a[0] decent[0] making[0] of[0] featurette[0] an[0] isolated[-1] score[0] track[0] talent[1] files[0] for[0] the[0] cast[0] and[0] crew[0] and[0] the[0] film's[0] original[0] theatrical[0] trailer[0] as[0] well[0] as[0] trailers[0] for[0] wolf[0] men[0] in[0] black[0] bugsy[0] and[0] as[0] good[1] as[0] it[0] gets[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when i first saw that the disc featured an isolated score track , i actually laughed . 	when i first saw that the disc featured an isolated score track , i actually laughed .	2	-2	 when[0] i[0] first[0] saw[0] that[0] the[0] disc[0] featured[0] an[0] isolated[-1] score[0] track[0] i[0] actually[0] laughed[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
how great could the music for a silly little comedy be for it to get it's own isolated track ? 	how great could the music for a silly little comedy be for it to get it's own isolated track ?	3	-2	 how[0] great[2] could[0] the[0] music[0] for[0] a[0] silly[-1] little[0] comedy[0] be[0] for[0] it[0] to[0] get[0] it's[0] own[0] isolated[-1] track[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
well as it turns out , it's a mighty fine score from carter burwell ( fargo , the hudsucker proxy ) that i enjoyed listening to again while i typed up this review . 	well as it turns out , it's a mighty fine score from carter burwell ( fargo , the hudsucker proxy ) that i enjoyed listening to again while i typed up this review .	3	-1	 well[0] as[0] it[0] turns[0] out[0] it's[0] a[0] mighty[0] fine[2] score[0] from[0] carter[0] burwell[0] fargo[0] the[0] hudsucker[0] proxy[0] that[0] i[0] enjoyed[2] listening[0] to[0] again[0] while[0] i[0] typed[0] up[0] this[0] review[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kudos to columbia tristar for adding that feature to the disc . 	kudos to columbia tristar for adding that feature to the disc .	1	-1	 kudos[0] to[0] columbia[0] tristar[0] for[0] adding[0] that[0] feature[0] to[0] the[0] disc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what planet are your from ? 	what planet are your from ?	1	-1	 what[0] planet[0] are[0] your[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was unjustly ignored in theaters , and i hope it finds its deserved audience on home video . 	was unjustly ignored in theaters , and i hope it finds its deserved audience on home video .	3	-1	 was[0] unjustly[0] ignored[0] in[0] theaters[0] and[0] i[0] hope[2] it[0] finds[0] its[0] deserved[0] audience[0] on[0] home[0] video[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this fine dvd is certainly a great way to see it . 	this fine dvd is certainly a great way to see it .	3	-1	 this[0] fine[2] dvd[0] is[0] certainly[0] a[0] great[2] way[0] to[0] see[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
[r] 	[r]	1	-1	 [r][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
