up until about a year ago , john travolta's career consisted of those " look who's talking " movies ( notice how they never called them look who's talented ) and the 1991 bomb shout ( which was bad enough to make most people scream ) . 	Translation	Positive	Negative	EmotionRationale
get shorty continues in the vein of pulp fiction , with travolta as crime minion chili palmer . 	get shorty continues in the vein of pulp fiction , with travolta as crime minion chili palmer .	1	-2	 get[0] shorty[0] continues[0] in[0] the[0] vein[0] of[0] pulp[0] fiction[0] with[0] travolta[0] as[0] crime[-1] minion[0] chili[0] palmer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he goes to collect some of the mafia's money from a b-grade director ( gene hackman ) and suddenly finds out he wants out of the mob game and into the movie game . 	he goes to collect some of the mafia's money from a b-grade director ( gene hackman ) and suddenly finds out he wants out of the mob game and into the movie game .	1	-1	 he[0] goes[0] to[0] collect[0] some[0] of[0] the[0] mafia's[0] money[0] from[0] a[0] b[0] grade[0] director[0] gene[0] hackman[0] and[0] suddenly[0] finds[0] out[0] he[0] wants[0] out[0] of[0] the[0] mob[0] game[0] and[0] into[0] the[0] movie[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , a ruthless criminal like him is far too honest to make it in hollywood , but i guess that's beside the point . 	sure , a ruthless criminal like him is far too honest to make it in hollywood , but i guess that's beside the point .	2	-3	 sure[0] a[0] ruthless[-2] criminal[-1] like[1] him[0] is[0] far[0] too[0] honest[0] to[0] make[0] it[0] in[0] hollywood[0] but[0] i[0] guess[0] that's[0] beside[0] the[0] point[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
palmer is determined to get hackman's next project made , so he sets out to convince big star martin weir ( danny devito ) to star in the movie , bringing along down-and-out horror actress karen flores ( rene russo ) , who has already had affairs with hackman and devito . 	palmer is determined to get hackman's next project made , so he sets out to convince big star martin weir ( danny devito ) to star in the movie , bringing along down-and-out horror actress karen flores ( rene russo ) , who has already had affairs with hackman and devito .	1	-4	 palmer[0] is[0] determined[0] to[0] get[0] hackman's[0] next[0] project[0] made[0] so[0] he[0] sets[0] out[0] to[0] convince[0] big[0] star[0] martin[0] weir[0] danny[0] devito[0] to[0] star[0] in[0] the[0] movie[0] bringing[0] along[0] down[0] and[0] out[0] horror[-3] actress[0] karen[0] flores[0] rene[0] russo[0] who[0] has[0] already[0] had[0] affairs[0] with[0] hackman[0] and[0] devito[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it doesn't take a las vegas odds-maker to predict that she and travolta will soon be hitting the sheets as well , after the customary sexual tension and denial , which has been used in every comedy from " who's the boss ? " 	it doesn't take a las vegas odds-maker to predict that she and travolta will soon be hitting the sheets as well , after the customary sexual tension and denial , which has been used in every comedy from " who's the boss ?<br> "	1	-3	 it[0] doesn't[0] take[0] a[0] las[0] vegas[0] odds[0] maker[0] to[0] predict[0] that[0] she[0] and[0] travolta[0] will[0] soon[0] be[0] hitting[0] the[0] sheets[0] as[0] well[0] after[0] the[0] customary[0] sexual[0] tension[-2] and[0] denial[-1] which[0] has[0] been[0] used[0] in[0] every[0] comedy[0] from[0] who's[0] the[0] boss[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to speechless . 	to speechless .	1	-1	 to[0] speechless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it works in this case , unlike " who's the boss ? " 	it works in this case , unlike " who's the boss ?<br> "	1	-1	 it[0] works[0] in[0] this[0] case[0] unlike[0] who's[0] the[0] boss[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although it's interesting to note that tony danza has signed a contract with the devil also . 	although it's interesting to note that tony danza has signed a contract with the devil also .	2	-2	 although[0] it's[0] interesting[1] to[0] note[0] that[0] tony[0] danza[0] has[0] signed[0] a[0] contract[0] with[0] the[0] devil[-1] also[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
complicating matters somewhat are the mobsters who have backed hackman's other films and want in on this one too , along with travolta's mob boss trying to track him down for defecting . 	complicating matters somewhat are the mobsters who have backed hackman's other films and want in on this one too , along with travolta's mob boss trying to track him down for defecting .	1	-2	 complicating[0] matters[0] somewhat[0] are[0] the[0] mobsters[0] who[0] have[0] backed[0] hackman's[0] other[0] films[0] and[0] want[0] in[0] on[0] this[0] one[0] too[0] along[0] with[0] travolta's[0] mob[0] boss[0] trying[0] to[0] track[0] him[0] down[0] for[0] defecting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
get shorty is by no means on the same level as pulp fiction , despite the obvious similarities . 	get shorty is by no means on the same level as pulp fiction , despite the obvious similarities .	1	-1	 get[0] shorty[0] is[0] by[0] no[0] means[0] on[0] the[0] same[0] level[0] as[0] pulp[0] fiction[0] despite[0] the[0] obvious[0] similarities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie doesn't have near the amount of originality or depth as pulp fiction but it is definitely one of the most entertaining movies i've seen this year ( yes , even better than halloween vi ) . 	this movie doesn't have near the amount of originality or depth as pulp fiction but it is definitely one of the most entertaining movies i've seen this year ( yes , even better than halloween vi ) .	1	-1	 this[0] movie[0] doesn't[0] have[0] near[0] the[0] amount[0] of[0] originality[0] or[0] depth[0] as[0] pulp[0] fiction[0] but[0] it[0] is[0] definitely[0] one[0] of[0] the[0] most[0] entertaining[0] movies[0] i've[0] seen[0] this[0] year[0] yes[0] even[0] better[0] than[0] halloween[0] vi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get shorty is my kind of movie , one that mixes intelligent humor with action and violence . 	get shorty is my kind of movie , one that mixes intelligent humor with action and violence .	3	-4	 get[0] shorty[0] is[0] my[0] kind[1] of[0] movie[0] one[0] that[0] mixes[0] intelligent[1] humor[2] with[0] action[0] and[0] violence[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i'm definitely going to have to check out the novel it was based on . 	i'm definitely going to have to check out the novel it was based on .	1	-1	 i'm[0] definitely[0] going[0] to[0] have[0] to[0] check[0] out[0] the[0] novel[0] it[0] was[0] based[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are you getting this , shorty ? 	are you getting this , shorty ?	1	-1	 are[0] you[0] getting[0] this[0] shorty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
