director : penelope spheeris ( decline of western civilization ii - the : metal years , dudes , & suburbia ) 	Translation	Positive	Negative	EmotionRationale
story : the plot was quite thin , but it really wasn't that noticeable , because of the rapid-fire jokes that myers wrote in . 	story : the plot was quite thin , but it really wasn't that noticeable , because of the rapid-fire jokes that myers wrote in .	2	-1	 story[0] the[0] plot[0] was[0] quite[0] thin[0] but[0] it[0] really[0] wasn't[0] that[0] noticeable[0] because[0] of[0] the[0] rapid[0] fire[0] jokes[1] that[0] myers[0] wrote[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alot of the jokes are very similar to hot shots ! , in being very " parodyish . " 	alot of the jokes are very similar to hot shots !<br> , in being very " parodyish .<br> "	2	-1	 alot[0] of[0] the[0] jokes[1] are[0] very[0] similar[0] to[0] hot[0] shots[0] [[Sentence=-1,2=word max, 1-5]] in[0] being[0] very[0] parodyish[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
 ( okay , bad term . ) 	 ( okay , bad term .<br> )	1	-2	 okay[0] bad[-1] term[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
extremely witty throughout , although ( as in hot shots ) it got a bit repetitive in the middle . 	extremely witty throughout , although ( as in hot shots ) it got a bit repetitive in the middle .	1	-1	 extremely[0] witty[0] throughout[0] although[0] as[0] in[0] hot[0] shots[0] it[0] got[0] a[0] bit[0] repetitive[0] in[0] the[0] middle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
acting : as in many comedies , the acting isn't really * that * important . 	acting : as in many comedies , the acting isn't really * that * important .	1	-1	 acting[0] as[0] in[0] many[0] comedies[0] the[0] acting[0] isn't[0] really[0] that[0] important[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , myers turns in a good performance as wayne , playing the character perfectly , ( although i still liked him better back on much music , in a more " canadian " type of mode . ) 	however , myers turns in a good performance as wayne , playing the character perfectly , ( although i still liked him better back on much music , in a more " canadian " type of mode .<br> )	3	-1	 however[0] myers[0] turns[0] in[0] a[0] good[1] performance[0] as[0] wayne[0] playing[1] the[0] character[0] perfectly[1] although[0] i[0] still[0] liked[2] him[0] better[0] back[0] on[0] much[0] music[0] in[0] a[0] more[0] canadian[0] type[0] of[0] mode[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
carvey is okay as garth , but he lacks the spark myers puts into wayne . 	carvey is okay as garth , but he lacks the spark myers puts into wayne .	1	-1	 carvey[0] is[0] okay[0] as[0] garth[0] but[0] he[0] lacks[0] the[0] spark[0] myers[0] puts[0] into[0] wayne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tia carrere is mediocre as cassandra , playing it very stilted . 	tia carrere is mediocre as cassandra , playing it very stilted .	2	-2	 tia[0] carrere[0] is[0] mediocre[-1] as[0] cassandra[0] playing[1] it[0] very[0] stilted[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lowe is fine as ben oliver , but is nothing to write home about . 	lowe is fine as ben oliver , but is nothing to write home about .	3	-2	 lowe[-1] is[0] fine[2] as[0] ben[0] oliver[0] but[0] is[0] nothing[0] to[0] write[0] home[0] about[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
without a doubt , this movie is mike myers all the way . 	without a doubt , this movie is mike myers all the way .	1	-2	 without[0] a[0] doubt[-1] this[0] movie[0] is[0] mike[0] myers[0] all[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
direction : spheeris is a classic " music " movie director , making dudes , and decline of western civilization ii -- the metal years . 	direction : spheeris is a classic " music " movie director , making dudes , and decline of western civilization i - the metal years .	1	-2	 direction[0] spheeris[0] is[0] a[0] classic[0] music[0] movie[0] director[0] making[0] dudes[0] and[0] decline[-1] of[0] western[0] civilization[0] ii/i[0] the[0] metal[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( she also directed the boys next door , which is different , to say the least . ) 	 ( she also directed the boys next door , which is different , to say the least .<br> )	1	-1	 she[0] also[0] directed[0] the[0] boys[0] next[0] door[0] which[0] is[0] different[0] to[0] say[0] the[0] least[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is very capable , knows how direct a comedy , the correct camera movements it instill laughs , etc . one of the better jobs i can remember for a comedy . 	she is very capable , knows how direct a comedy , the correct camera movements it instil laughs , etc .<br> one of the better jobs i can remember for a comedy .	2	-1	 she[0] is[0] very[0] capable[0] knows[0] how[0] direct[0] a[0] comedy[0] the[0] correct[0] camera[0] movements[0] it[0] instill/instil[0] laughs[1] etc[0] [[Sentence=-1,2=word max, 1-5]] one[0] of[0] the[0] better[0] jobs[0] i[0] can[0] remember[0] for[0] a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
overall : i would suggest to anyone that likes snl's skits to go see this film in the theatres . 	overall : i would suggest to anyone that likes snl's skits to go see this film in the theatres .	3	-1	 overall[0] i[0] would[0] suggest[0] to[0] anyone[0] that[0] likes[2] snl's[0] skits[0] to[0] go[0] see[0] this[0] film[0] in[0] the[0] theatres[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , my personal opinion , as in most comedies , is that they work just as well on video . 	however , my personal opinion , as in most comedies , is that they work just as well on video .	1	-1	 however[0] my[0] personal[0] opinion[0] as[0] in[0] most[0] comedies[0] is[0] that[0] they[0] work[0] just[0] as[0] well[0] on[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you definately have to be fan of music , and all forms of media in general to enjoy this film . 	you definately have to be fan of music , and all forms of media in general to enjoy this film .	3	-1	 you[0] definately[0] have[0] to[0] be[0] fan[0] of[0] music[0] and[0] all[0] forms[0] of[0] media[0] in[0] general[0] to[0] enjoy[2] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
without a doubt , this is the best comedy so far this year . 	without a doubt , this is the best comedy so far this year .	2	-2	 without[0] a[0] doubt[-1] this[0] is[0] the[0] best[1] comedy[0] so[0] far[0] this[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it'll make tons 'o' dough for everyone involved . 	it'll make tons 'o' dough for everyone involved .	1	-1	 it'll[0] make[0] tons[0] 'o'[0] dough[0] for[0] everyone[0] involved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's just hope they make a thousand sequels . 	let's just hope they make a thousand sequels .	2	-1	 let's[0] just[0] hope[2][-1 LastWordBoosterStrength] they[0] make[0] a[0] thousand[0] sequels[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
[sorry , i had to get the lame joke in . . . 	[sorry , i had to get the lame joke in .<br> .<br> .	2	-3	 [sorry[0] i[0] had[0] to[0] get[0] the[0] lame[-2] joke[1] in[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
forgive me . ] 	forgive me .<br> ]	2	-1	 forgive[1] me[0] [[Sentence=-1,2=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
