martin scorsese's triumphant adaptation of edith wharton's the age of innocence is a stunning film for the quintessential new york filmmaker , the man who brought the streets of taxi driver and mean streets to life . 	Translation	Positive	Negative	EmotionRationale
there is a painstakingly flawed hero , and his choice between the life he wants , and the life he is destined for . 	there is a painstakingly flawed hero , and his choice between the life he wants , and the life he is destined for .	3	-1	 there[0] is[0] a[0] painstakingly[0] flawed[0] hero[2] and[0] his[0] choice[0] between[0] the[0] life[0] he[0] wants[0] and[0] the[0] life[0] he[0] is[0] destined[0] for[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in truth , it is a film about a society the audience doesn't know about , but wants to find out more , much like the society of goodfellas or even kundun . 	in truth , it is a film about a society the audience doesn't know about , but wants to find out more , much like the society of goodfellas or even kundun .	2	-1	 in[0] truth[1] it[0] is[0] a[0] film[0] about[0] a[0] society[0] the[0] audience[0] doesn't[0] know[0] about[0] but[0] wants[0] to[0] find[0] out[0] more[0] much[0] like[1] the[0] society[0] of[0] goodfellas[0] or[0] even[0] kundun[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the performances are absolutely breathtaking . 	the performances are absolutely breathtaking .	1	-1	 the[0] performances[0] are[0] absolutely[0] breathtaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
day-lewis portrays more mental anguish in his face than one man should be forced to take . 	day-lewis portrays more mental anguish in his face than one man should be forced to take .	1	-4	 day[0] lewis[0] portrays[0] more[0] mental[0] anguish[-3] in[0] his[0] face[0] than[0] one[0] man[0] should[0] be[0] forced[0] to[0] take[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
pfeiffer is marvelous as countess olenska , a mix of passion and beauty that the audience would die for as well . 	pfeiffer is marvelous as countess olenska , a mix of passion and beauty that the audience would die for as well .	3	-1	 pfeiffer[0] is[0] marvelous[0] as[0] countess[0] olenska[0] a[0] mix[0] of[0] passion[2] and[0] beauty[2] that[0] the[0] audience[0] would[0] die[0] for[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ryder is probably the gem of the group , for it is her quiet presence that overwhelms the plot , and slowly pushes day-lewis closer and closer to his eventual ending . 	ryder is probably the gem of the group , for it is her quiet presence that overwhelms the plot , and slowly pushes day-lewis closer and closer to his eventual ending .	1	-3	 ryder[0] is[0] probably[0] the[0] gem[0] of[0] the[0] group[0] for[0] it[0] is[0] her[0] quiet[0] presence[0] that[0] overwhelms[-2] the[0] plot[0] and[0] slowly[0] pushes[0] day[0] lewis[0] closer[0] and[0] closer[0] to[0] his[0] eventual[0] ending[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the supporting cast is also wonderful , with several characters so singular that they are indelible in one's memory . 	the supporting cast is also wonderful , with several characters so singular that they are indelible in one's memory .	3	-1	 the[0] supporting[1] cast[0] is[0] also[0] wonderful[2] with[0] several[0] characters[0] so[0] singular[0] that[0] they[0] are[0] indelible[0] in[0] one's[0] memory[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
scorsese definitely has a passion for filmmaking . 	scorsese definitely has a passion for filmmaking .	3	-1	 scorsese[0] definitely[0] has[0] a[0] passion[2] for[0] filmmaking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his lavish and sumptuous set design and marvelous recreation of new york is a wondrous sight . 	his lavish and sumptuous set design and marvelous recreation of new york is a wondrous sight .	1	-1	 his[0] lavish[0] and[0] sumptuous[0] set[0] design[0] and[0] marvelous[0] recreation[0] of[0] new[0] york[0] is[0] a[0] wondrous[0] sight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he literally transports the viewer to another world with incredible imagery . 	he literally transports the viewer to another world with incredible imagery .	1	-1	 he[0] literally[0] transports[0] the[0] viewer[0] to[0] another[0] world[0] with[0] incredible[0] imagery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his script is also excellent , slow in buildup , with a rapid conclusion and a fantastic ending that has to be seen to be believed . 	his script is also excellent , slow in buildup , with a rapid conclusion and a fantastic ending that has to be seen to be believed .	4	-1	 his[0] script[0] is[0] also[0] excellent[3] slow[0] in[0] buildup[0] with[0] a[0] rapid[0] conclusion[0] and[0] a[0] fantastic[2] ending[0] that[0] has[0] to[0] be[0] seen[0] to[0] be[0] believed[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it is difficult to make a period piece gripping : scorsese , however , does it beautifully . 	it is difficult to make a period piece gripping : scorsese , however , does it beautifully .	3	-2	 it[0] is[0] difficult[-1] to[0] make[0] a[0] period[0] piece[0] gripping[0] scorsese[0] however[0] does[0] it[0] beautifully[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the famous cameras of the legendary director are also everywhere . 	the famous cameras of the legendary director are also everywhere .	1	-1	 the[0] famous[0] cameras[0] of[0] the[0] legendary[0] director[0] are[0] also[0] everywhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is patient , but he films everything and anything remotely important . 	he is patient , but he films everything and anything remotely important .	1	-1	 he[0] is[0] patient[0] but[0] he[0] films[0] everything[0] and[0] anything[0] remotely[0] important[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cameras sweep , pan , track , and do more than they've ever done , but they are so subtle , one doesn't realize he's watching all the scorsese hallmarks until a 2nd viewing . 	the cameras sweep , pan , track , and do more than they've ever done , but they are so subtle , one doesn't realize he's watching all the scorsese hallmarks until a 2nd viewing .	1	-1	 the[0] cameras[0] sweep[0] pan[0] track[0] and[0] do[0] more[0] than[0] they've[0] ever[0] done[0] but[0] they[0] are[0] so[0] subtle[0] one[0] doesn't[0] realize[0] he's[0] watching[0] all[0] the[0] scorsese[0] hallmarks[0] until[0] a[0] 2nd[0] viewing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the central tracking shot is probably longer and more complex than the famous goodfellas shot , but the viewer doesn't notice it , because we want to see more of this gorgeous world . 	the central tracking shot is probably longer and more complex than the famous goodfellas shot , but the viewer doesn't notice it , because we want to see more of this gorgeous world .	3	-2	 the[0] central[0] tracking[0] shot[-1] is[0] probably[0] longer[0] and[0] more[0] complex[0] than[0] the[0] famous[0] goodfellas[0] shot[-1] but[0] the[0] viewer[0] doesn't[0] notice[0] it[0] because[0] we[0] want[0] to[0] see[0] more[0] of[0] this[0] gorgeous[2] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are a few deft touches of filmmaking that are simply outstanding , and joanne woodward' narration is exquisite . 	there are a few deft touches of filmmaking that are simply outstanding , and joanne woodward' narration is exquisite .	3	-1	 there[0] are[0] a[0] few[0] deft[0] touches[0] of[0] filmmaking[0] that[0] are[0] simply[0] outstanding[2] and[0] joanne[0] woodward'[0] narration[0] is[0] exquisite[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not a fast film like goodfellas , this shares more in common with kundun than anything else . 	not a fast film like goodfellas , this shares more in common with kundun than anything else .	2	-1	 not[0] a[0] fast[0] film[0] like[1] goodfellas[0] this[0] shares[0] more[0] in[0] common[0] with[0] kundun[0] than[0] anything[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and like kundun , this is a slow-starting film that truly shines , when given the chance to fully breathe and bloom in the end . 	and like kundun , this is a slow-starting film that truly shines , when given the chance to fully breathe and bloom in the end .	2	-1	 and[0] like[1] kundun[0] this[0] is[0] a[0] slow[0] starting[0] film[0] that[0] truly[1] shines[0] when[0] given[0] the[0] chance[0] to[0] fully[0] breathe[0] and[0] bloom[0] in[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a beautiful film by a director continuing to challenge himself year after year . 	a beautiful film by a director continuing to challenge himself year after year .	3	-2	 a[0] beautiful[2] film[0] by[0] a[0] director[0] continuing[0] to[0] challenge[-1] himself[0] year[0] after[0] year[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
