i have to admit that i disliked this film initially . 	Translation	Positive	Negative	EmotionRationale
nolte is riveting and intense as the colonel in charge of the operation . 	nolte is riveting and intense as the colonel in charge of the operation .	1	-2	 nolte[0] is[0] riveting[0] and[0] intense[0] as[0] the[0] colonel[0] in[0] charge[-1] of[0] the[0] operation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his character is hard , mean , and somewhat reckless with the lives of his men , and yet nolte somehow manages to evoke sympathy for him . 	his character is hard , mean , and somewhat reckless with the lives of his men , and yet nolte somehow manages to evoke sympathy for him .	1	-2	 his[0] character[0] is[0] hard[0] mean[0] and[0] somewhat[0] reckless[-1] with[0] the[0] lives[0] of[0] his[0] men[0] and[0] yet[0] nolte[0] somehow[0] manages[0] to[0] evoke[0] sympathy[0] for[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
caviezel is forever questioning the nature of war , his place in it , and if there's any deeper meaning to the hell that he's going through . 	caviezel is forever questioning the nature of war , his place in it , and if there's any deeper meaning to the hell that he's going through .	1	-3	 caviezel[0] is[0] forever[0] questioning[0] the[0] nature[0] of[0] war[-2] his[0] place[0] in[0] it[0] and[0] if[0] there's[0] any[0] deeper[0] meaning[0] to[0] the[0] hell[-1] that[0] he's[0] going[0] through[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is absolutely perfect - genuine , sympathetic , sincere , and yet strong when he needs to be . 	he is absolutely perfect - genuine , sympathetic , sincere , and yet strong when he needs to be .	3	-1	 he[0] is[0] absolutely[0] perfect[1][1 LastWordBoosterStrength] genuine[0] sympathetic[0] sincere[0] and[0] yet[0] strong[0] when[0] he[0] needs[0] to[0] be[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although restricted to a relatively small role , sean penn is also very good as the company's pessimistic seargent . 	although restricted to a relatively small role , sean pen is also very good as the company's pessimistic seargent .	3	-3	 although[0] restricted[-1] to[0] a[0] relatively[0] small[0] role[0] sean[0] penn/pen[0] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] as[0] the[0] company's[0] pessimistic[-2] seargent[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as to how it stacks up to " saving private ryan " - it was my second favorite movie of 1998 , " ryan " was my first . 	as to how it stacks up to " saving private ryan " - it was my second favorite movie of 1998 , " ryan " was my first .	2	-1	 as[0] to[0] how[0] it[0] stacks[0] up[0] to[0] saving[0] private[0] ryan[0] it[0] was[0] my[0] second[0] favorite[1] movie[0] of[0] 1998[0] ryan[0] was[0] my[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's really hard to compare the two - they are so , so different - so i won't , beyond saying that spielberg's film had more of an impact on me . 	it's really hard to compare the two - they are so , so different - so i won't , beyond saying that spielberg's film had more of an impact on me .	1	-1	 it's[0] really[0] hard[0] to[0] compare[0] the[0] two[0] they[0] are[0] so[0] so[0] different[0] so[0] i[0] won't[0] beyond[0] saying[0] that[0] spielberg's[0] film[0] had[0] more[0] of[0] an[0] impact[0] on[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the two are comparable from the standpoint of quality ( i can easily see why someone would " the thin red line " above " ryan ) . 	however , the two are comparable from the standpoint of quality ( i can easily see why someone would " the thin red line " above " ryan ) .	1	-1	 however[0] the[0] two[0] are[0] comparable[0] from[0] the[0] standpoint[0] of[0] quality[0] i[0] can[0] easily[0] see[0] why[0] someone[0] would[0] the[0] thin[0] red[0] line[0] above[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i highly recommend both of them , and consider them to be the two best war movies ever made . 	i highly recommend both of them , and consider them to be the two best war movies ever made .	2	-3	 i[0] highly[0] recommend[0] both[0] of[0] them[0] and[0] consider[0] them[0] to[0] be[0] the[0] two[0] best[1] war[-2] movies[0] ever[0] made[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all in all , " the thin red line " is filmmaking of an incredibly high order . 	all in all , " the thin red line " is filmmaking of an incredibly high order .	1	-1	 all[0] in[0] all[0] the[0] thin[0] red[0] line[0] is[0] filmmaking[0] of[0] an[0] incredibly[0] high[0] order[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's slight faults are easily offset by the sheer brilliance of what is done right . 	it's slight faults are easily offset by the sheer brilliance of what is done right .	2	-2	 it's[0] slight[0] faults[-1] are[0] easily[0] offset[0] by[0] the[0] sheer[0] brilliance[1] of[0] what[0] is[0] done[0] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a real shame that it tanked at the box office - films this unconventional , powerful , and thought-provoking don't come along very often . 	it's a real shame that it tanked at the box office - films this unconventional , powerful , and thought-provoking don't come along very often .	1	-3	 it's[0] a[0] real[0] shame[-2] that[0] it[0] tanked[0] at[0] the[0] box[0] office[0] films[0] this[0] unconventional[0] powerful[0] and[0] thought[0] provoking[0] don't[0] come[0] along[0] very[0] often[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
