confession time : i have never , ever seen gone with the wind . 	Translation	Positive	Negative	EmotionRationale
gwtw places america's greatest tragedy in the background of a classic love story , titanic does the same with the atlantic's most legendary tragedy . 	gwtw places america's greatest tragedy in the background of a classic love story , titanic does the same with the atlantic's most legendary tragedy .	3	-3	 gwtw[0] places[0] america's[0] greatest[2] tragedy[-2] in[0] the[0] background[0] of[0] a[0] classic[0] love[2] story[0] titanic[0] does[0] the[0] same[0] with[0] the[0] atlantic's[0] most[0] legendary[0] tragedy[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
they both have strong-willed redheaded heroines , they both exploit the class differences between the aristocracy and the slaves/steerage bums , they were both incredibly expensive and popular . . . 	they both have strong-willed redheaded heroines , they both exploit the class differences between the aristocracy and the slaves/steerage bums , they were both incredibly expensive and popular .<br> .<br> .	3	-4	 they[0] both[0] have[0] strong[0] willed[0] redheaded[0] heroines[2] they[0] both[0] exploit[0] the[0] class[0] differences[0] between[0] the[0] aristocracy[0] and[0] the[0] slaves/steerage[0] bums[0] they[0] were[0] both[0] incredibly[0] expensive[-1][-2 LastWordBoosterStrength] and[0] popular[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
ok , maybe that's not enough parallels . 	ok , maybe that's not enough parallels .	1	-1	 ok[0] maybe[0] that's[0] not[0] enough[0] parallels[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so titanic's not in gwtw's league . 	so titanic's not in gwtw's league .	1	-1	 so[0] titanic's[0] not[0] in[0] gwtw's[0] league[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter . 	no matter .	1	-1	 no[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
titanic is a great movie in its own right , complete with spills , thrills and ( especially ) chills . 	titanic is a great movie in its own right , complete with spills , thrills and ( especially ) chills .	4	-2	 titanic[0] is[0] a[0] great[2] movie[0] in[0] its[0] own[0] right[0] complete[0] with[0] spills[-1] thrills[3] and[0] especially[0] chills[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
much has been made of the humongous cost of the production , and all of the care than went into making the huge luxury liner come alive again . 	much has been made of the humongous cost of the production , and all of the care than went into making the huge luxury liner come alive again .	2	-1	 much[0] has[0] been[0] made[0] of[0] the[0] humongous[0] cost[0] of[0] the[0] production[0] and[0] all[0] of[0] the[0] care[1] than[0] went[0] into[0] making[0] the[0] huge[0] luxury[0] liner[0] come[0] alive[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the money was obviously well-spent . 	the money was obviously well-spent .	1	-1	 the[0] money[0] was[0] obviously[0] well[0] spent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the costumes look great , the sets look great , the cgi graphics look great . 	the costumes look great , the sets look great , the cgi graphics look great .	3	-1	 the[0] costumes[0] look[0] great[2] the[0] sets[0] look[0] great[2] the[0] cgi[0] graphics[0] look[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i especially liked the expensive little touches , like spending tons of money on authentic titanic china only to break it all on the floor as the ship sinks . 	i especially liked the expensive little touches , like spending tons of money on authentic titanic china only to break it all on the floor as the ship sinks .	4	-2	 i[0] especially[0] liked[2][1 LastWordBoosterStrength] the[0] expensive[-1] little[0] touches[0] like[1] spending[0] tons[0] of[0] money[0] on[0] authentic[0] titanic[0] china[0] only[0] to[0] break[0] it[0] all[0] on[0] the[0] floor[0] as[0] the[0] ship[0] sinks[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but writer/director/producer james cameron's real challenge in writing/directing/ producing titanic wasn't just costuming and set design and special effects . 	but writer/director/producer james cameron's real challenge in writing/directing/ producing titanic wasn't just costuming and set design and special effects .	2	-2	 but[0] writer/director/producer[0] james[0] cameron's[0] real[0] challenge[-1] in[0] writing/directing/[0] producing[0] titanic[0] wasn't[0] just[0] costuming[0] and[0] set[0] design[0] and[0] special[1] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cameron's major headache was keeping the audience interested in a tale where everybody knows the ending going in . 	cameron's major headache was keeping the audience interested in a tale where everybody knows the ending going in .	2	-2	 cameron's[0] major[0] headache[-1] was[0] keeping[0] the[0] audience[0] interested[1] in[0] a[0] tale[0] where[0] everybody[0] knows[0] the[0] ending[0] going[0] in[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he succeeds masterfully . 	he succeeds masterfully .	3	-1	 he[0] succeeds[2] masterfully[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
cameron does two things that work incredibly well . 	cameron does two things that work incredibly well .	1	-1	 cameron[0] does[0] two[0] things[0] that[0] work[0] incredibly[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first , he shows us modern-day salvage operations on titanic ( that's just " titanic " , not " the titanic " , mind you ) . 	first , he shows us modern-day salvage operations on titanic ( that's just " titanic " , not " the titanic " , mind you ) .	1	-1	 first[0] he[0] shows[0] us[0] modern[0] day[0] salvage[0] operations[0] on[0] titanic[0] that's[0] just[0] titanic[0] not[0] the[0] titanic[0] mind[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first glimpse we get of titanic is the ship in its present state , corroding slowly away under the hammering pressure of the north atlantic , from the window of a minisub piloted by treasure hunter brock lovett ( bill paxton ) . 	the first glimpse we get of titanic is the ship in its present state , corroding slowly away under the hammering pressure of the north atlantic , from the window of a minisub piloted by treasure hunter brock lovett ( bill paxton ) .	2	-2	 the[0] first[0] glimpse[0] we[0] get[0] of[0] titanic[0] is[0] the[0] ship[0] in[0] its[0] present[0] state[0] corroding[0] slowly[0] away[0] under[0] the[0] hammering[0] pressure[-1] of[0] the[0] north[0] atlantic[0] from[0] the[0] window[0] of[0] a[0] minisub[0] piloted[0] by[0] treasure[1] hunter[-1] brock[0] lovett[0] bill[0] paxton[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
television coverage of the exploration of titanic intrigues 101-year-old rose calvert ( gloria stuart ) , who survived the wreck in 1912 . 	television coverage of the exploration of titanic intrigues 101-year-old rose calvert ( gloria stuart ) , who survived the wreck in 1912 .	2	-2	 television[0] coverage[0] of[0] the[0] exploration[0] of[0] titanic[0] intrigues[0] 101[0] year[0] old[0] rose[0] calvert[0] gloria[1] stuart[0] who[0] survived[0] the[0] wreck[-1] in[0] 1912[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
stuart does a phenomenal job in a brief role , narrating the story of her experience to a stunned paxton and his roughneck crew . 	stuart does a phenomenal job in a brief role , narrating the story of her experience to a stunned paxton and his roughneck crew .	1	-2	 stuart[0] does[0] a[0] phenomenal[0] job[0] in[0] a[0] brief[0] role[0] narrating[0] the[0] story[0] of[0] her[0] experience[0] to[0] a[0] stunned[-1] paxton[0] and[0] his[0] roughneck[-1] crew[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
secondly , cameron keeps the storyline focused almost exclusively on the rose character , and the romantic triangle between rose ( winslet ) , her bastard millionaire fiancee cal hockley ( billy zane ) and the irrepressible young artist jack daswon ( dicaprio ) . 	secondly , cameron keeps the storyline focused almost exclusively on the rose character , and the romantic triangle between rose ( winslet ) , her bastard millionaire fiancee cal hockley ( billy zane ) and the irrepressible young artist jack daswon ( dicaprio ) .	4	-3	 secondly[0] cameron[0] keeps[0] the[0] storyline[0] focused[0] almost[0] exclusively[0] on[0] the[0] rose[0] character[0] and[0] the[0] romantic[3] triangle[0] between[0] rose[0] winslet[0] her[0] bastard[-2] millionaire[0] fiancee[0] cal[0] hockley[0] billy[0] zane[0] and[0] the[0] irrepressible[0] young[0] artist[0] jack[0] daswon[0] dicaprio[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the way that big-budget disaster movies usually go wrong is to have an all-star cast , so we see the impact of the disaster on a wide group of people . 	the way that big-budget disaster movies usually go wrong is to have an all-star cast , so we see the impact of the disaster on a wide group of people .	1	-2	 the[0] way[0] that[0] big[0] budget[0] disaster[-1] movies[0] usually[0] go[0] wrong[-1] is[0] to[0] have[0] an[0] all[0] star[0] cast[0] so[0] we[0] see[0] the[0] impact[0] of[0] the[0] disaster[-1] on[0] a[0] wide[0] group[0] of[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cameron wisely chooses to stick with rose and jack , while paying scant heed to the celebrities on board . 	cameron wisely chooses to stick with rose and jack , while paying scant heed to the celebrities on board .	1	-1	 cameron[0] wisely[0] chooses[0] to[0] stick[0] with[0] rose[0] and[0] jack[0] while[0] paying[0] scant[0] heed[0] to[0] the[0] celebrities[0] on[0] board[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast is professional , but mostly anonymous -- other than kathy bates as the unsinkable molly brown , there's no moment when you stop and say , oh , yeah , i know him , what's he been in . 	the supporting cast is professional , but mostly anonymous - other than kathy bates as the unsinkable molly brown , there's no moment when you stop and say , oh , yeah , i know him , what's he been in .	2	-1	 the[0] supporting[1] cast[0] is[0] professional[0] but[0] mostly[0] anonymous[0] other[0] than[0] kathy[0] bates[0] as[0] the[0] unsinkable[0] molly[0] brown[0] there's[0] no[0] moment[0] when[0] you[0] stop[0] and[0] say[0] oh[0] yeah[0] i[0] know[0] him[0] what's[0] he[0] been[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( although i would like to have seen colm meaney in a white star uniform , or even as the ill-fated engineer . ) 	 ( although i would like to have seen colm meaney in a white star uniform , or even as the ill-fated engineer .<br> )	1	-2	 although[0] i[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] have[0] seen[0] colm[0] meaney[0] in[0] a[0] white[0] star[0] uniform[0] or[0] even[0] as[0] the[0] ill[-1] fated[0] engineer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the love story itself is rather conventional . 	the love story itself is rather conventional .	3	-1	 the[0] love[2] story[0] itself[0] is[0] rather[0] conventional[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i think some reviewers found it weak , and that may be a fair criticism . 	i think some reviewers found it weak , and that may be a fair criticism .	1	-2	 i[0] think[0] some[0] reviewers[0] found[0] it[0] weak[-1] and[0] that[0] may[0] be[0] a[0] fair[0] criticism[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the performances are the key here . 	the performances are the key here .	1	-1	 the[0] performances[0] are[0] the[0] key[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
zane has the meatiest part in the movie , and he plays the arrogant , condescending steel millionaire to the hilt . 	zane has the meatiest part in the movie , and he plays the arrogant , condescending steel millionaire to the hilt .	2	-4	 zane[0] has[0] the[0] meatiest[0] part[0] in[0] the[0] movie[0] and[0] he[0] plays[1] the[0] arrogant[-2] condescending[-2][-1 MultiplePositiveWords] steel[0] millionaire[0] to[0] the[0] hilt[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he's smooth , he looks great in a tuxedo , and he's a convincing enough jerk that the winslet-dicaprio relationship looks plausible . 	he's smooth , he looks great in a tuxedo , and he's a convincing enough jerk that the winslet-dicaprio relationship looks plausible .	3	-3	 he's[0] smooth[0] he[0] looks[0] great[2] in[0] a[0] tuxedo[0] and[0] he's[0] a[0] convincing[0] enough[0] jerk[-2] that[0] the[0] winslet[0] dicaprio[0] relationship[0] looks[0] plausible[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
at the moment when he sees a little girl too frightened to get aboard a lifeboat , you can hear the wheels in his mind turning , saying not " can i save this little girl ? " , 	at the moment when he sees a little girl too frightened to get aboard a lifeboat , you can hear the wheels in his mind turning , saying not " can i save this little girl ?<br> " ,	2	-4	 at[0] the[0] moment[0] when[0] he[0] sees[0] a[0] little[0] girl[0] too[0] frightened[-3] to[0] get[0] aboard[0] a[0] lifeboat[0] you[0] can[0] hear[0] the[0] wheels[0] in[0] his[0] mind[0] turning[0] saying[0] not[0] can[0] i[0] save[1] this[0] little[0] girl[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but " can she help me get on a lifeboat ? " 	but " can she help me get on a lifeboat ?<br> "	1	-1	 but[0] can[0] she[0] help[0] me[0] get[0] on[0] a[0] lifeboat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dicaprio is a revelation . 	dicaprio is a revelation .	1	-1	 dicaprio[0] is[0] a[0] revelation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i hadn't seen him before in anything , and didn't know what the heck to expect , really . 	i hadn't seen him before in anything , and didn't know what the heck to expect , really .	1	-1	 i[0] hadn't[0] seen[0] him[0] before[0] in[0] anything[0] and[0] didn't[0] know[0] what[0] the[0] heck[0] to[0] expect[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( honestly , i expected a bad irish accent , but cameron evidently decided that was a bad idea , so dicaprio plays a poor american artist who wins a ticket in a poker game . ) 	 ( honestly , i expected a bad irish accent , but cameron evidently decided that was a bad idea , so dicaprio plays a poor american artist who wins a ticket in a poker game .<br> )	2	-2	 honestly[0] i[0] expected[0] a[0] bad[-1] irish[0] accent[0] but[0] cameron[0] evidently[0] decided[0] that[0] was[0] a[0] bad[-1] idea[0] so[0] dicaprio[0] plays[1] a[0] poor[-1] american[0] artist[0] who[0] wins[0] a[0] ticket[0] in[0] a[0] poker[0] game[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
dicaprio exhibits an infectious joy at being alive , and being on the titanic , that it's hard not to like him . 	dicaprio exhibits an infectious joy at being alive , and being on the titanic , that it's hard not to like him .	3	-2	 dicaprio[0] exhibits[0] an[0] infectious[-1] joy[2] at[0] being[0] alive[0] and[0] being[0] on[0] the[0] titanic[0] that[0] it's[0] hard[0] not[0] to[0] like[1][NegatedDueToPreviousWord] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
from the moment that the ship leaves port until it hits the iceberg , dicaprio has to carry the movie and keep our interest , and he never falters . 	from the moment that the ship leaves port until it hits the iceberg , dicaprio has to carry the movie and keep our interest , and he never falters .	2	-1	 from[0] the[0] moment[0] that[0] the[0] ship[0] leaves[0] port[0] until[0] it[0] hits[0] the[0] iceberg[0] dicaprio[0] has[0] to[0] carry[0] the[0] movie[0] and[0] keep[0] our[0] interest[1] and[0] he[0] never[0] falters[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
winslet's character grows up a lot during the movie , and so does her performance . 	winslet's character grows up a lot during the movie , and so does her performance .	1	-1	 winslet's[0] character[0] grows[0] up[0] a[0] lot[0] during[0] the[0] movie[0] and[0] so[0] does[0] her[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at first , she's not required to do anything but wear period clothing and look drop-dead gorgeous . 	at first , she's not required to do anything but wear period clothing and look drop-dead gorgeous .	3	-3	 at[0] first[0] she's[0] not[0] required[0] to[0] do[0] anything[0] but[0] wear[0] period[0] clothing[0] and[0] look[0] drop[-1] dead[-2] gorgeous[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we know from the narration that she's monstrously unhappy with her arranged marriage to zane , but there isn't any expression of these feelings until she encounters dicaprio . 	we know from the narration that she's monstrously unhappy with her arranged marriage to zane , but there isn't any expression of these feelings until she encounters dicaprio .	1	-4	 we[0] know[0] from[0] the[0] narration[0] that[0] she's[0] monstrously[-2] unhappy[-2][-1 MultiplePositiveWords] with[0] her[0] arranged[0] marriage[0] to[0] zane[0] but[0] there[0] isn't[0] any[0] expression[0] of[0] these[0] feelings[0] until[0] she[0] encounters[0] dicaprio[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
winslet and dicaprio develop a chemistry that manages to propel the movie along until the ship hits the iceberg . 	winslet and dicaprio develop a chemistry that manages to propel the movie along until the ship hits the iceberg .	1	-1	 winslet[0] and[0] dicaprio[0] develop[0] a[0] chemistry[0] that[0] manages[0] to[0] propel[0] the[0] movie[0] along[0] until[0] the[0] ship[0] hits[0] the[0] iceberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's at that moment where winslet's character really comes alive . 	it's at that moment where winslet's character really comes alive .	1	-1	 it's[0] at[0] that[0] moment[0] where[0] winslet's[0] character[0] really[0] comes[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
faced with real danger , she drops her spoiled-rich-girl mannerisms and does a splendid job . 	faced with real danger , she drops her spoiled-rich-girl mannerisms and does a splendid job .	3	-2	 faced[0] with[0] real[0] danger[-1] she[0] drops[0] her[0] spoiled[-1] rich[0] girl[0] mannerisms[0] and[0] does[0] a[0] splendid[2] job[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as rose and jack race around the doomed ship , looking for shelter from the freezing water and cal's fiery temper , winslet turns in a superb acting performance , mixing courage and compassion and anger with sheer shrieking terror . 	as rose and jack race around the doomed ship , looking for shelter from the freezing water and cal's fiery temper , winslet turns in a superb acting performance , mixing courage and compassion and anger with sheer shrieking terror .	2	-4	 as[0] rose[0] and[0] jack[0] race[0] around[0] the[0] doomed[-1] ship[0] looking[0] for[0] shelter[0] from[0] the[0] freezing[0] water[0] and[0] cal's[0] fiery[-1] temper[-2] winslet[0] turns[0] in[0] a[0] superb[0] acting[0] performance[0] mixing[0] courage[1] and[0] compassion[1] and[0] anger[-3] with[0] sheer[0] shrieking[-1] terror[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
of course , the most interesting character is the ship itself . 	of course , the most interesting character is the ship itself .	2	-1	 of[0] course[0] the[0] most[0] interesting[1] character[0] is[0] the[0] ship[0] itself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cameron has clearly fallen in love with titanic , and shows her in every mood -- as a deserted wreck , down in the boiler room , up on the bridge , down in the hold , at the captain's table , down in steerage -- and manages to bring the great ship back from the dead . 	cameron has clearly fallen in love with titanic , and shows her in every mood - as a deserted wreck , down in the boiler room , up on the bridge , down in the hold , at the captain's table , down in steerage - and manages to bring the great ship back from the dead .	3	-3	 cameron[0] has[0] clearly[0] fallen[0] in[0] love[2] with[0] titanic[0] and[0] shows[0] her[0] in[0] every[0] mood[0] as[0] a[0] deserted[0] wreck[-1] down[0] in[0] the[0] boiler[0] room[0] up[0] on[0] the[0] bridge[0] down[0] in[0] the[0] hold[0] at[0] the[0] captain's[0] table[0] down[0] in[0] steerage[0] and[0] manages[0] to[0] bring[0] the[0] great[2] ship[0] back[0] from[0] the[0] dead[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
cameron's greatest gift is that he allows us to fall in love with titanic as well . 	cameron's greatest gift is that he allows us to fall in love with titanic as well .	3	-1	 cameron's[0] greatest[2] gift[0] is[0] that[0] he[0] allows[0] us[0] to[0] fall[0] in[0] love[2] with[0] titanic[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
