what a great film . 	Translation	Positive	Negative	EmotionRationale
he sees the slurs and the vandalism , and while feeling the weight of   the verbal attacks , he still has the audacity to see if everyone around   him , perhaps even the antagonists , laugh . 	he sees the slurs and the vandalism , and while feeling the weight of   the verbal attacks , he still has the audacity to see if everyone around   him , perhaps even the antagonists , laugh .	2	-3	 he[0] sees[0] the[0] slurs[0] and[0] the[0] vandalism[0] and[0] while[0] feeling[0] the[0] weight[0] of[0] the[0] verbal[0] attacks[-2] he[0] still[0] has[0] the[0] audacity[0] to[0] see[0] if[0] everyone[0] around[0] him[0] perhaps[0] even[0] the[0] antagonists[-1] laugh[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his liberty is stripped , but not his dignity , and certainly not the dignities of those around him . 	his liberty is stripped , but not his dignity , and certainly not the dignities of those around him .	1	-2	 his[0] liberty[0] is[0] stripped[0] but[0] not[0] his[0] dignity[1][NegatedDueToPreviousWord] and[0] certainly[0] not[0] the[0] dignities[1][NegatedDueToPreviousWord] of[0] those[0] around[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it s obvious from the onset that here is someone who is very much against fascism and the preposterousness of an aryan nation , but does so with a grinning , joyful demeanor . 	it s obvious from the onset that here is someone who is very much against fascism and the preposterousness of an aryan nation , but does so with a grinning , joyful demeanor .	3	-2	 it[0] s[0] obvious[0] from[0] the[0] onset[0] that[0] here[0] is[0] someone[0] who[0] is[0] very[0] much[0] against[-1] fascism[0] and[0] the[0] preposterousness[-1] of[0] an[0] aryan[0] nation[0] but[0] does[0] so[0] with[0] a[0] grinning[1] joyful[2] demeanor[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
perhaps that is a form of denial . 	perhaps that is a form of denial .	1	-2	 perhaps[0] that[0] is[0] a[0] form[0] of[0] denial[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps his alternate reality is all that he could muster ( not unlike the very different _brazil_ ) . 	perhaps his alternate reality is all that he could muster ( not unlike the very different _brazil_ ) .	1	-1	 perhaps[0] his[0] alternate[0] reality[0] is[0] all[0] that[0] he[0] could[0] muster[0] not[0] unlike[0] the[0] very[0] different[0] _brazil_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or . . . 	or .<br> .<br> .	1	-1	 or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps this is an example of great fortitude , with no weapons but   wit . 	perhaps this is an example of great fortitude , with no weapons but   wit .	3	-2	 perhaps[0] this[0] is[0] an[0] example[0] of[0] great[2] fortitude[0] with[0] no[0] weapons[-1] but[0] wit[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
whatever his purposes is subject to debate , but also a sure sign that this is one of the great three-dimensional characters , stranded amidst   a terrifyingly risky concept . 	whatever his purposes is subject to debate , but also a sure sign that this is one of the great three-dimensional characters , stranded amidst   a terrifyingly risky concept .	3	-4	 whatever[0] his[0] purposes[0] is[0] subject[0] to[0] debate[0] but[0] also[0] a[0] sure[0] sign[0] that[0] this[0] is[0] one[0] of[0] the[0] great[2] three[0] dimensional[0] characters[0] stranded[0] amidst[0] a[0] terrifyingly[-3] risky[-1] concept[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
surprisingly , it works . 	surprisingly , it works .	1	-1	 surprisingly[0] it[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is an important footnote that this film was not intended to be an accurate reflection of the holocaust . 	it is an important footnote that this film was not intended to be an accurate reflection of the holocaust .	1	-1	 it[0] is[0] an[0] important[0] footnote[0] that[0] this[0] film[0] was[0] not[0] intended[0] to[0] be[0] an[0] accurate[0] reflection[0] of[0] the[0] holocaust[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it s not that the atrocities are trivialized , far from it . 	it s not that the atrocities are trivialized , far from it .	1	-2	 it[0] s[0] not[0] that[0] the[0] atrocities[0] are[0] trivialized[-1] far[0] from[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they don t have to be broadcast and explicitly shown to muster the same horror--less is more . 	they don t have to be broadcast and explicitly shown to muster the same horror-less is more .	1	-4	 they[0] don[0] t[0] have[0] to[0] be[0] broadcast[0] and[0] explicitly[0] shown[0] to[0] muster[0] the[0] same[0] horror[-3] less[0] is[0] more[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i believe   that benigni was cautious to preserve the tone , and i like the theory that   it is guido s alternate reality that we re seeing . 	i believe   that benigni was cautious to preserve the tone , and i like the theory that   it is guido s alternate reality that we re seeing .	2	-1	 i[0] believe[0] that[0] benigni[1] was[0] cautious[0] to[0] preserve[0] the[0] tone[0] and[0] i[0] like[1] the[0] theory[0] that[0] it[0] is[0] guido[0] s[0] alternate[0] reality[0] that[0] we[0] re[0] seeing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , any criticism that this is rewriting history , that the holocaust wasn t as bad as it seems , is simply off-target . 	however , any criticism that this is rewriting history , that the holocaust wasn t as bad as it seems , is simply off-target .	1	-2	 however[0] any[0] criticism[-1] that[0] this[0] is[0] rewriting[0] history[0] that[0] the[0] holocaust[0] wasn[0] t[0] as[0] bad[-1] as[0] it[0] seems[0] is[0] simply[0] off[0] target[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
benigni s film has won audience awards at cannes , at toronto , and is a definite shoo-in for best foreign language film ( hopefully for best picture as well ) . 	benigni s film has won audience awards at cannes , at toronto , and is a definite shoo-in for best foreign language film ( hopefully for best picture as well ) .	2	-2	 benigni[1] s[0] film[0] has[0] won[0] audience[0] awards[0] at[0] cannes[0] at[0] toronto[0] and[0] is[0] a[0] definite[0] shoo[0] in[0] for[0] best[1] foreign[-1] language[0] film[0] hopefully[0] for[0] best[1] picture[0] as[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he has been made an honorary jew by a jerusalem film society . 	he has been made an honorary jew by a jerusalem film society .	1	-1	 he[0] has[0] been[0] made[0] an[0] honorary[0] jew[0] by[0] a[0] jerusalem[0] film[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it swept the italian academy awards . 	it swept the italian academy awards .	1	-1	 it[0] swept[0] the[0] italian[0] academy[0] awards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
controversy notwithstanding , it is one of the great films this year , and as of this writing , the one to beat for best film . 	controversy notwithstanding , it is one of the great films this year , and as of this writing , the one to beat for best film .	3	-2	 controversy[-1] notwithstanding[0] it[0] is[0] one[0] of[0] the[0] great[2] films[0] this[0] year[0] and[0] as[0] of[0] this[0] writing[0] the[0] one[0] to[0] beat[0] for[0] best[1] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
masterful . 	masterful .	1	-1	 masterful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
miraculous . 	miraculous .	3	-1	 miraculous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a must-see . 	a must-see .	1	-1	 a[0] must[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
