in some regards , making a movie is like trying to stretch a rubber band as far as you can without breaking it . 	Translation	Positive	Negative	EmotionRationale
joe doesn't quite buy it , but he sticks by simon ; the two tough it out through the worst of times and are each other's only true friends . 	joe doesn't quite buy it , but he sticks by simon ; the two tough it out through the worst of times and are each other's only true friends .	2	-3	 joe[0] doesn't[0] quite[0] buy[0] it[0] but[0] he[0] sticks[0] by[0] simon[0] the[0] two[0] tough[-1] it[0] out[0] through[0] the[0] worst[-2] of[0] times[0] and[0] are[0] each[0] other's[0] only[0] true[1] friends[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
early on , the two meet up with ben goodrich ( oliver platt ) , rebecca's new boyfriend , and although the bond isn't immediate , ben and the two boys develop a liking for each other . 	early on , the two meet up with ben goodrich ( oliver platt ) , rebecca's new boyfriend , and although the bond isn't immediate , ben and the two boys develop a liking for each other .	3	-1	 early[0] on[0] the[0] two[0] meet[0] up[0] with[0] ben[0] goodrich[0] oliver[0] platt[0] rebecca's[0] new[0] boyfriend[0] and[0] although[0] the[0] bond[0] isn't[0] immediate[0] ben[0] and[0] the[0] two[0] boys[0] develop[0] a[0] liking[2] for[0] each[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both platt and judd give solid performances that lend their characters a deep likeability . 	both platt and judd give solid performances that lend their characters a deep likeability .	3	-1	 both[0] platt[0] and[0] judd[0] give[0] solid[0] performances[0] that[0] lend[0] their[0] characters[0] a[0] deep[0] likeability[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the audience cares about them as much as they do about joe and simon , a testament to the acting jobs of both . 	the audience cares about them as much as they do about joe and simon , a testament to the acting jobs of both .	2	-1	 the[0] audience[0] cares[1] about[0] them[0] as[0] much[0] as[0] they[0] do[0] about[0] joe[0] and[0] simon[0] a[0] testament[0] to[0] the[0] acting[0] jobs[0] of[0] both[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
finally , jim carrey gives a cameo as the adult joe in the present day , and his few minutes here are relatively more impressive than his entire performance in the truman show . 	finally , jim carrey gives a cameo as the adult joe in the present day , and his few minutes here are relatively more impressive than his entire performance in the truman show .	2	-1	 finally[0] jim[0] carrey[0] gives[0] a[0] cameo[0] as[0] the[0] adult[0] joe[0] in[0] the[0] present[0] day[0] and[0] his[0] few[0] minutes[0] here[0] are[0] relatively[0] more[0] impressive[1] than[0] his[0] entire[0] performance[0] in[0] the[0] truman[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mark steven johnson's sense of drama and writing is fantastic . 	mark steven johnson's sense of drama and writing is fantastic .	3	-1	 mark[0] steven[0] johnson's[0] sense[0] of[0] drama[0] and[0] writing[0] is[0] fantastic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script is loosely based on john irving's novel , a prayer for owen meany , but it's so far off the source material that irving actually requested the credits be changed from 'based on' to 'suggested by . ' 	the script is loosely based on john irving's novel , a prayer for owen meany , but it's so far off the source material that irving actually requested the credits be changed from 'based on' to 'suggested by .<br> '	1	-2	 the[0] script[0] is[0] loosely[0] based[0] on[0] john[0] irving's[0] novel[0] a[0] prayer[0] for[0] owen[0] meany[0] but[0] it's[0] so[0] far[0] off[0] the[0] source[-1] material[0] that[0] irving[0] actually[0] requested[0] the[0] credits[0] be[0] changed[0] from[0] 'based[0] on'[0] to[0] 'suggested[0] by[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
along those same lines , it's almost unfitting to compare the two ; johnson uses tension , humor , atmosphere , and suspense to create an original drama of forrest gumpian proportions . 	along those same lines , it's almost unfitting to compare the two ; johnson uses tension , humor , atmosphere , and suspense to create an original drama of forest gumpian proportions .	3	-3	 along[0] those[0] same[0] lines[0] it's[0] almost[0] unfitting[0] to[0] compare[0] the[0] two[0] johnson[0] uses[0] tension[-2] humor[2] atmosphere[0] and[0] suspense[0] to[0] create[0] an[0] original[0] drama[0] of[0] forrest/forest[0] gumpian[0] proportions[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
by no means has he developed a project of similar popularity - gump made over 300 million dollars while birch ought to pass out of sight in a few weeks - but the winning idea remains the same . 	by no means has he developed a project of similar popularity - gump made over 300 million dollars while birch ought to pass out of sight in a few weeks - but the winning idea remains the same .	2	-1	 by[0] no[0] means[0] has[0] he[0] developed[0] a[0] project[0] of[0] similar[0] popularity[1] gump[0] made[0] over[0] 300[0] million[0] dollars[0] while[0] birch[0] ought[0] to[0] pass[0] out[0] of[0] sight[0] in[0] a[0] few[0] weeks[0] but[0] the[0] winning[1] idea[0] remains[0] the[0] same[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
simon birch is a different look at a different life , and one that will most likely be studied in film school classes in decades to come . 	simon birch is a different look at a different life , and one that will most likely be studied in film school classes in decades to come .	1	-1	 simon[0] birch[0] is[0] a[0] different[0] look[0] at[0] a[0] different[0] life[0] and[0] one[0] that[0] will[0] most[0] likely[0] be[0] studied[0] in[0] film[0] school[0] classes[0] in[0] decades[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the present , however , it's an enjoyable little picture that everyone ought to take a look at . 	in the present , however , it's an enjoyable little picture that everyone ought to take a look at .	3	-1	 in[0] the[0] present[0] however[0] it's[0] an[0] enjoyable[2] little[0] picture[0] that[0] everyone[0] ought[0] to[0] take[0] a[0] look[0] at[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
