before you read my review , you gotta know that i love woody allen . 	Translation	Positive	Negative	EmotionRationale
soon thereafter , jewels are stolen , words of love are exchanged and everyone is looking for an answer . 	soon thereafter , jewels are stolen , words of love are exchanged and everyone is looking for an answer .	3	-2	 soon[0] thereafter[0] jewels[0] are[0] stolen[-1] words[0] of[0] love[2] are[0] exchanged[0] and[0] everyone[0] is[0] looking[0] for[0] an[0] answer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
critique : a wonderful recreation of the 1940s style movies , with the fast-talking witty banter between co-workers , a catchy jazz score moving things along , film noirish elements such as the veronica lake-type sexpot , one-liners galore and a fluffy , if inconsequential plotline . 	critique : a wonderful recreation of the 1940s style movies , with the fast-talking witty banter between co-workers , a catchy jaz score moving things along , film noirish elements such as the veronica lake-type sexpot , one-liners galore and a fluffy , if inconsequential plotline .	3	-1	 critique[0] a[0] wonderful[2] recreation[0] of[0] the[0] 1940s[0] style[0] movies[0] with[0] the[0] fast[0] talking[0] witty[0] banter[0] between[0] co[0] workers[0] a[0] catchy[0] jazz/jaz[0] score[0] moving[0] things[0] along[0] film[0] noirish[0] elements[0] such[0] as[0] the[0] veronica[0] lake[0] type[0] sexpot[0] one[0] liners[0] galore[0] and[0] a[0] fluffy[0] if[0] inconsequential[0] plotline[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the downside , the film actually starts off pretty slowly , with the first hour tossing only a few guffaws out there , but never really generating any kind of steady flow or energy . 	on the downside , the film actually starts off pretty slowly , with the first hour tossing only a few guffaws out there , but never really generating any kind of steady flow or energy .	3	-1	 on[0] the[0] downside[0] the[0] film[0] actually[0] starts[0] off[0] pretty[2] slowly[0] with[0] the[0] first[0] hour[0] tossing[0] only[0] a[0] few[0] guffaws[0] out[0] there[0] but[0] never[0] really[0] generating[0] any[0] kind[1] of[0] steady[0] flow[0] or[0] energy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the sets , on the other hand , were amazing , the production design and costumes were perfect , and the casting ideal , so i kept hoping that the film would pick up and not turn into yet another mediocre outing for the man . 	the sets , on the other hand , were amazing , the production design and costumes were perfect , and the casting ideal , so i kept hoping that the film would pick up and not turn into yet another mediocre outing for the man .	3	-2	 the[0] sets[0] on[0] the[0] other[0] hand[0] were[0] amazing[2] the[0] production[0] design[0] and[0] costumes[0] were[0] perfect[1] and[0] the[0] casting[0] ideal[0] so[0] i[0] kept[0] hoping[1] that[0] the[0] film[0] would[0] pick[0] up[0] and[0] not[0] turn[0] into[0] yet[0] another[0] mediocre[-1] outing[0] for[0] the[0] man[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but it wasn't not long before i was fully engaged by the characters , entertained by the many zingers delivered back-and-forth between allen and hunt , and actually interested in the resolution of the flick . 	but it wasn't not long before i was fully engaged by the characters , entertained by the many zingers delivered back-and-forth between allen and hunt , and actually interested in the resolution of the flick .	2	-1	 but[0] it[0] wasn't[0] not[0] long[0] before[0] i[0] was[0] fully[0] engaged[0] by[0] the[0] characters[0] entertained[0] by[0] the[0] many[0] zingers[0] delivered[0] back[0] and[0] forth[0] between[0] allen[0] and[0] hunt[0] and[0] actually[0] interested[1] in[0] the[0] resolution[0] of[0] the[0] flick[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i also appreciated how allen played the fine line between homage to the films of old , parody and actual reinvention ( note theron's entire female persona that is drenched in film noir- very cool ) . 	i also appreciated how allen played the fine line between homage to the films of old , parody and actual reinvention ( note theron's entire female persona that is drenched in film noir- very cool ) .	3	-1	 i[0] also[0] appreciated[1] how[0] allen[0] played[0] the[0] fine[2] line[0] between[0] homage[0] to[0] the[0] films[0] of[0] old[0] parody[0] and[0] actual[0] reinvention[0] note[0] theron's[0] entire[0] female[0] persona[0] that[0] is[0] drenched[0] in[0] film[0] noir[0] very[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , films like this ( with little or no real tension in the plot ) need solid actors to keep you interested in the quick-fire dialogue , and once again , allen does a great job in playing his character , who for once , isn't his typical new york jewish neurotic cheating insecure husband dude . 	of course , films like this ( with little or no real tension in the plot ) need solid actors to keep you interested in the quick-fire dialogue , and once again , allen does a great job in playing his character , who for once , isn't his typical new york jewish neurotic cheating insecure husband dude .	3	-4	 of[0] course[0] films[0] like[1] this[0] with[0] little[0] or[0] no[0] real[0] tension[-2] in[0] the[0] plot[0] need[0] solid[0] actors[0] to[0] keep[0] you[0] interested[1] in[0] the[0] quick[0] fire[0] dialogue[0] and[0] once[0] again[0] allen[0] does[0] a[0] great[2] job[0] in[0] playing[1] his[0] character[0] who[0] for[0] once[0] isn't[0] his[0] typical[0] new[0] york[0] jewish[0] neurotic[-2] cheating[-2][-1 MultiplePositiveWords] insecure[-1] husband[0] dude[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he actually plays a " macho " guy here and handles it pretty well , especially the scenes in which he's hypnotized . 	he actually plays a " macho " guy here and handles it pretty well , especially the scenes in which he's hypnotized .	3	-1	 he[0] actually[0] plays[1] a[0] macho[0] guy[0] here[0] and[0] handles[0] it[0] pretty[2] well[0] especially[0] the[0] scenes[0] in[0] which[0] he's[0] hypnotized[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the bigger surprise for me in this film was helen hunt , an actress who i was openly " sick of seeing " in movies late last year ( sorry babe , you were just in too many at the same time ! ) . 	but the bigger surprise for me in this film was helen hunt , an actress who i was openly " sick of seeing " in movies late last year ( sorry babe , you were just in too many at the same time !<br> ) .	1	-2	 but[0] the[0] bigger[0] surprise[0] for[0] me[0] in[0] this[0] film[0] was[0] helen[0] hunt[0] an[0] actress[0] who[0] i[0] was[0] openly[0] sick[-1] of[0] seeing[0] in[0] movies[0] late[0] last[0] year[0] sorry[-1] babe[0] you[0] were[0] just[0] in[0] too[0] many[0] at[0] the[0] same[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway , she's really great in this film as the headstrong woman looking to a new era of equality amongst men , and doesn't miss a beat of allen's fast-paced dialogue . 	anyway , she's really great in this film as the headstrong woman looking to a new era of equality amongst men , and doesn't miss a beat of allen's fast-paced dialogue .	4	-2	 anyway[0] she's[0] really[0] great[2][1 LastWordBoosterStrength] in[0] this[0] film[0] as[0] the[0] headstrong[0] woman[0] looking[0] to[0] a[0] new[0] era[0] of[0] equality[0] amongst[0] men[0] and[0] doesn't[0] miss[-1] a[0] beat[0] of[0] allen's[0] fast[0] paced[0] dialogue[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i didn't care much for her running joke about him " dying " whenever he left a room , but overall she was really good and i especially liked the way that her sweaters clung to her breasts as they did . . . yum , 	i didn't care much for her running joke about him " dying " whenever he left a room , but overall she was really good and i especially liked the way that her sweaters clung to her breasts as they did .<br> .<br> .<br> yum ,	4	-2	 i[0] didn't[0] care[1] much[0] for[0] her[0] running[0] joke[1] about[0] him[0] dying[-1] whenever[0] he[0] left[0] a[0] room[0] but[0] overall[0] she[0] was[0] really[0] good[1][1 LastWordBoosterStrength] and[0] i[0] especially[0] liked[2][1 LastWordBoosterStrength] the[0] way[0] that[0] her[0] sweaters[0] clung[0] to[0] her[0] breasts[0] as[0] they[0] did[0] [[Sentence=-2,4=word max, 1-5]] yum[0] [[Sentence=-1,1=word max, 1-5]][[[4,-2 max of sentences]]]
yum ! 	yum !	1	-1	 yum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harumph , but i digress . 	harumph , but i digress .	1	-1	 harumph[0] but[0] i[0] digress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so let's recap . 	so let's recap .	1	-1	 so[0] let's[0] recap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a great looking picture with a nice jazzy score , some funny one-liners , especially in the second half , a decent plotline , although you shouldn't expect a real mystery or anything , and some solid acting all around . 	a great looking picture with a nice jazy score , some funny one-liners , especially in the second half , a decent plotline , although you shouldn't expect a real mystery or anything , and some solid acting all around .	3	-1	 a[0] great[2] looking[0] picture[0] with[0] a[0] nice[1] jazzy/jazy[0] score[0] some[0] funny[1][-1 LastWordBoosterStrength] one[0] liners[0] especially[0] in[0] the[0] second[0] half[0] a[0] decent[0] plotline[0] although[0] you[0] shouldn't[0] expect[0] a[0] real[0] mystery[0] or[0] anything[0] and[0] some[0] solid[0] acting[0] all[0] around[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i can't say that this is even remotely close to any of allen's best work , but i certainly believe it to be a step in the right direction , especially after the dinky decade of films that he just went through . 	i can't say that this is even remotely close to any of allen's best work , but i certainly believe it to be a step in the right direction , especially after the dinky decade of films that he just went through .	2	-1	 i[0] can't[0] say[0] that[0] this[0] is[0] even[0] remotely[0] close[0] to[0] any[0] of[0] allen's[0] best[1] work[0] but[0] i[0] certainly[0] believe[0] it[0] to[0] be[0] a[0] step[0] in[0] the[0] right[0] direction[0] especially[0] after[0] the[0] dinky[0] decade[0] of[0] films[0] that[0] he[0] just[0] went[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's probably better geared towards allen fans more than anyone else , but i would still recommend this film to anyone looking for a cute , " old-school " kind of vibe , with chemistry between the leads , zippy dialogue and a satisfying conclusion . 	it's probably better geared towards allen fans more than anyone else , but i would still recommend this film to anyone looking for a cute , " old-school " kind of vibe , with chemistry between the leads , zippy dialogue and a satisfying conclusion .	2	-1	 it's[0] probably[0] better[0] geared[0] towards[0] allen[0] fans[0] more[0] than[0] anyone[0] else[0] but[0] i[0] would[0] still[0] recommend[0] this[0] film[0] to[0] anyone[0] looking[0] for[0] a[0] cute[1] old[0] school[0] kind[1] of[0] vibe[0] with[0] chemistry[0] between[0] the[0] leads[0] zippy[0] dialogue[0] and[0] a[0] satisfying[1] conclusion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
little known facts about this film and its stars : annie hall ( 10/10 ) - celebrity ( 5/10 ) - everyone says i love you ( 5/10 ) - husbands and wives ( 9/10 ) - mighty aphrodite ( 5/10 ) - small time crooks ( 7/10 ) - when harry met sally ( 10/10 ) - you've got mail ( 4/10 ) 	little known facts about this film and its stars : annie hall ( 10/10 ) - celebrity ( 5/10 ) - everyone says i love you ( 5/10 ) - husbands and wives ( 9/10 ) - mighty aphrodite ( 5/10 ) - small time crooks ( 7/10 ) - when harry met sally ( 10/10 ) - you've got mail ( 4/10 )	3	-1	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] annie[0] hall[0] 10/10[0] celebrity[0] 5/10[0] everyone[0] says[0] i[0] love[2] you[0] 5/10[0] husbands[0] and[0] wives[0] 9/10[0] mighty[0] aphrodite[0] 5/10[0] small[0] time[0] crooks[0] 7/10[0] when[0] harry[0] met[0] sally[0] 10/10[0] you've[0] got[0] mail[0] 4/10[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
