note : ordinarily , moviereviews . org will not give away any critical plot points of a film that could be interpreted as " spoilers . " 	Translation	Positive	Negative	EmotionRationale
director wes craven , known for his works of horror , uses some old sentimental tricks to get the audience tearing . 	director wes craven , known for his works of horror , uses some old sentimental tricks to get the audience tearing .	3	-4	 director[0] wes[0] craven[-1] known[0] for[0] his[0] works[0] of[0] horror[-3] uses[0] some[0] old[0] sentimental[2] tricks[-1] to[0] get[0] the[0] audience[0] tearing[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one romantic break up scene is highlighted by the classic " but . . . 	one romantic break up scene is highlighted by the classic " but .<br> .<br> .	4	-1	 one[0] romantic[3] break[0] up[0] scene[0] is[0] highlighted[0] by[0] the[0] classic[0] but[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
last night . . . " 	last night .<br> .<br> .<br> "	1	-1	 last[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and roberta's two children also have textbook conflicts with their single mother regarding their father's absence . 	and roberta's two children also have textbook conflicts with their single mother regarding their father's absence .	1	-2	 and[0] roberta's[0] two[0] children[0] also[0] have[0] textbook[0] conflicts[-1] with[0] their[0] single[0] mother[0] regarding[0] their[0] father's[0] absence[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the city of harlem plays a strong role in the movie . 	the city of harlem plays a strong role in the movie .	2	-1	 the[0] city[0] of[0] harlem[0] plays[1] a[0] strong[0] role[0] in[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
roberta's mother is initially reluctant to see her daughter move to that part of town and the film does nothing to combat that stereotype . 	roberta's mother is initially reluctant to see her daughter move to that part of town and the film does nothing to combat that stereotype .	1	-2	 roberta's[0] mother[0] is[0] initially[0] reluctant[-1] to[0] see[0] her[0] daughter[0] move[0] to[0] that[0] part[0] of[0] town[0] and[0] the[0] film[0] does[0] nothing[0] to[0] combat[-1] that[0] stereotype[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the noise tracks for these scenes are dominated by sirens ; predictably one of roberta's students is gunned down and killed off screen . 	the noise tracks for these scenes are dominated by sirens ; predictably one of roberta's students is gunned down and killed off screen .	1	-4	 the[0] noise[0] tracks[0] for[0] these[0] scenes[0] are[0] dominated[-1] by[0] sirens[0] predictably[0] one[0] of[0] roberta's[0] students[0] is[0] gunned[-1] down[0] and[0] killed[-3] off[0] screen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one thing the film does lack is subtlety . 	one thing the film does lack is subtlety .	1	-2	 one[0] thing[0] the[0] film[0] does[0] lack[-1] is[0] subtlety[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fact that a little boy was playing " we shall overcome " on his violin after the aforementioned shooting was a cute and discreet reference . 	the fact that a little boy was playing " we shall overcome " on his violin after the aforementioned shooting was a cute and discreet reference .	2	-2	 the[0] fact[0] that[0] a[0] little[0] boy[0] was[0] playing[1] we[0] shall[0] overcome[0] on[0] his[0] violin[0] after[0] the[0] aforementioned[0] shooting[-1] was[0] a[0] cute[1] and[0] discreet[0] reference[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the fact that the entire orchestra begins to play it over and over soon after is an overdone reference that shows how little credit he gives the audience . 	the fact that the entire orchestra begins to play it over and over soon after is an overdone reference that shows how little credit he gives the audience .	1	-1	 the[0] fact[0] that[0] the[0] entire[0] orchestra[0] begins[0] to[0] play[0] it[0] over[0] and[0] over[0] soon[0] after[0] is[0] an[0] overdone[0] reference[0] that[0] shows[0] how[0] little[0] credit[0] he[0] gives[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( of course , in horror films the foreshadowing and between-the-line moments are meant to be overdone , so perhaps he too is just learning to play the game . ) 	 ( of course , in horror films the foreshadowing and between-the-line moments are meant to be overdone , so perhaps he too is just learning to play the game .<br> )	1	-4	 of[0] course[0] in[0] horror[-3] films[0] the[0] foreshadowing[0] and[0] between[0] the[0] line[0] moments[0] are[0] meant[0] to[0] be[0] overdone[0] so[0] perhaps[0] he[0] too[0] is[0] just[0] learning[0] to[0] play[0] the[0] game[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even with all its flaws , music of the heart is a beautiful film . 	even with all its flaws , music of the heart is a beautiful film .	3	-1	 even[0] with[0] all[0] its[0] flaws[0] music[0] of[0] the[0] heart[0] is[0] a[0] beautiful[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that is not an excuse for the movie's poor beginning . 	that is not an excuse for the movie's poor beginning .	1	-2	 that[0] is[0] not[0] an[0] excuse[0] for[0] the[0] movie's[0] poor[-1] beginning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but as i watched the scenes in carnegie hall , i thought of some of the great acts that have taken that stage . 	but as i watched the scenes in carnegie hall , i thought of some of the great acts that have taken that stage .	3	-1	 but[0] as[0] i[0] watched[0] the[0] scenes[0] in[0] carnegie[0] hall[0] i[0] thought[0] of[0] some[0] of[0] the[0] great[2] acts[0] that[0] have[0] taken[0] that[0] stage[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in december of 1979 a comedian named andy kaufman put on a show that will forever be remembered as one of the most original in theatre history . 	in december of 1979 a comedian named andy kaufman put on a show that will forever be remembered as one of the most original in theatre history .	1	-1	 in[0] december[0] of[0] 1979[0] a[0] comedian[0] named[0] andy[0] kaufman[0] put[0] on[0] a[0] show[0] that[0] will[0] forever[0] be[0] remembered[0] as[0] one[0] of[0] the[0] most[0] original[0] in[0] theatre[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performance included a dead-on elvis impression , robin williams in disguise and a moment at the end when kaufman announced he would take the whole audience out for milk and cookies . 	the performance included a dead-on elvis impression , robin williams in disguise and a moment at the end when kaufman announced he would take the whole audience out for milk and cookies .	1	-3	 the[0] performance[0] included[0] a[0] dead[-2] on[0] elvis[0] impression[0] robin[0] williams[0] in[0] disguise[-1] and[0] a[0] moment[0] at[0] the[0] end[0] when[0] kaufman[0] announced[0] he[0] would[0] take[0] the[0] whole[0] audience[0] out[0] for[0] milk[0] and[0] cookies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so , how did this comic genius choose to open the show of his life ? 	so , how did this comic genius choose to open the show of his life ?	1	-1	 so[0] how[0] did[0] this[0] comic[0] genius[0] choose[0] to[0] open[0] the[0] show[0] of[0] his[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he had a character named tony clifton take the stage for the sole purpose of irritating and angering the audience . 	he had a character named tony clifton take the stage for the sole purpose of irritating and angering the audience .	1	-4	 he[0] had[0] a[0] character[0] named[0] tony[0] clifton[0] take[0] the[0] stage[0] for[0] the[0] sole[0] purpose[0] of[0] irritating[-2] and[0] angering[-3] the[0] audience[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
perhaps it is okay for music of the heart to start off rusty because just as kaufman had santa's favorite food , this movie has an amazing finale . 	perhaps it is okay for music of the heart to start off rusty because just as kaufman had santa's favorite food , this movie has an amazing finale .	3	-2	 perhaps[0] it[0] is[0] okay[0] for[0] music[0] of[0] the[0] heart[0] to[0] start[0] off[0] rusty[-1] because[0] just[0] as[0] kaufman[0] had[0] santa's[0] favorite[1] food[0] this[0] movie[0] has[0] an[0] amazing[2] finale[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
