in 1987 the stock market crashed , and oliver stone's wall street was released to critical acclaim and packed movie houses . 	Translation	Positive	Negative	EmotionRationale
these guys are salesmen after all , not televised judges . 	these guys are salesmen after all , not televised judges .	1	-1	 these[0] guys[0] are[0] salesmen[0] after[0] all[0] not[0] televised[0] judges[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more than anything i am baffled by why so many adore wall street . 	more than anything i am baffled by why so many adore wall street .	4	-2	 more[0] than[0] anything[0] i[0] am[0] baffled[-1] by[0] why[0] so[0] many[0] adore[3] wall[0] street[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the only possible solution i can muster is its release date . 	the only possible solution i can muster is its release date .	1	-1	 the[0] only[0] possible[0] solution[0] i[0] can[0] muster[0] is[0] its[0] release[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and not just the timeliness of the " greed is good " subject matter : the film was plumped down in the eighties , a decade in which the one-joke comedy rose to an art form , and a group of glamorous brat packers smirked their way through inane high concept , low result movies . 	and not just the timeliness of the " greed is good " subject matter : the film was plumped down in the eighties , a decade in which the one-joke comedy rose to an art form , and a group of glamorous brat packers smirked their way through inane high concept , low result movies .	2	-3	 and[0] not[0] just[0] the[0] timeliness[0] of[0] the[0] greed[-2] is[0] good[1] subject[0] matter[0] the[0] film[0] was[0] plumped[0] down[0] in[0] the[0] eighties[0] a[0] decade[0] in[0] which[0] the[0] one[0] joke[1] comedy[0] rose[0] to[0] an[0] art[0] form[0] and[0] a[0] group[0] of[0] glamorous[1] brat[-1] packers[0] smirked[0] their[0] way[0] through[0] inane[-1] high[0] concept[0] low[-1] result[0] movies[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in my mind , the eighties will forever be remembered as a decade with not only a proliferation of bad movies , but bad music , bad hair , and bad clothes . 	in my mind , the eighties will forever be remembered as a decade with not only a proliferation of bad movies , but bad music , bad hair , and bad clothes .	1	-2	 in[0] my[0] mind[0] the[0] eighties[0] will[0] forever[0] be[0] remembered[0] as[0] a[0] decade[0] with[0] not[0] only[0] a[0] proliferation[0] of[0] bad[-1] movies[0] but[0] bad[-1] music[0] bad[-1] hair[0] and[0] bad[-1] clothes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe stone's after school special set in wall street was viewed as a welcome change of pace . 	maybe stone's after school special set in wall street was viewed as a welcome change of pace .	2	-1	 maybe[0] stone's[0] after[0] school[0] special[1] set[0] in[0] wall[0] street[0] was[0] viewed[0] as[0] a[0] welcome[1] change[0] of[0] pace[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
boiler room is an equally well-timed film with some similarities to stone's piece of crap . 	boiler room is an equally well-timed film with some similarities to stone's piece of crap .	1	-3	 boiler[0] room[0] is[0] an[0] equally[0] well[0] timed[0] film[0] with[0] some[0] similarities[0] to[0] stone's[0] piece[0] of[0] crap[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they both feature a consequential father-son relationship , though boiler room's is much more subtle and touching . 	they both feature a consequential father-son relationship , though boiler room's is much more subtle and touching .	1	-1	 they[0] both[0] feature[0] a[0] consequential[0] father[0] son[0] relationship[0] though[0] boiler[0] room's[0] is[0] much[0] more[0] subtle[0] and[0] touching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and they are both concerned with the power of greed , yet the men in boiler room are akin to poseurs presuming to be big shots rather than the slippery-smooth , heartless gordon gecko figures of wall street . 	and they are both concerned with the power of greed , yet the men in boiler room are akin to poseurs presuming to be big shots rather than the slippery-smooth , heartless gordon gecko figures of wall street .	1	-3	 and[0] they[0] are[0] both[0] concerned[-1] with[0] the[0] power[0] of[0] greed[-2] yet[0] the[0] men[0] in[0] boiler[0] room[0] are[0] akin[0] to[0] poseurs[0] presuming[0] to[0] be[0] big[0] shots[0] rather[0] than[0] the[0] slippery[0] smooth[0] heartless[-2] gordon[0] gecko[0] figures[0] of[0] wall[0] street[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
boiler room is a message movie as well , though ( at least until the end ) doesn't shove it in our faces . 	boiler room is a message movie as well , though ( at least until the end ) doesn't shove it in our faces .	1	-2	 boiler[0] room[0] is[0] a[0] message[0] movie[0] as[0] well[0] though[0] at[0] least[0] until[0] the[0] end[0] doesn't[0] shove[-1] it[0] in[0] our[0] faces[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
boiler room is about the pursuit of cash and the degrees to which people will go for that cash . 	boiler room is about the pursuit of cash and the degrees to which people will go for that cash .	1	-1	 boiler[0] room[0] is[0] about[0] the[0] pursuit[0] of[0] cash[0] and[0] the[0] degrees[0] to[0] which[0] people[0] will[0] go[0] for[0] that[0] cash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i said , this film is indeed timely in a society where who wants to be a millionaire is the number one prime time show every day ( bringing about a revolution of prime time tv watching that hasn't been seen in quite a while ) ; not only do we want to be millionaires , we want to watch other people become millionaires ! 	as i said , this film is indeed timely in a society where who wants to be a millionaire is the number one prime time show every day ( bringing about a revolution of prime time tv watching that hasn't been seen in quite a while ) ; not only do we want to be millionaires , we want to watch other people become millionaires !	1	-2	 as[0] i[0] said[0] this[0] film[0] is[0] indeed[0] timely[0] in[0] a[0] society[0] where[0] who[0] wants[0] to[0] be[0] a[0] millionaire[0] is[0] the[0] number[0] one[0] prime[0] time[0] show[0] every[0] day[0] bringing[0] about[0] a[0] revolution[-1] of[0] prime[0] time[0] tv[0] watching[0] that[0] hasn't[0] been[0] seen[0] in[0] quite[0] a[0] while[0] not[0] only[0] do[0] we[0] want[0] to[0] be[0] millionaires[0] we[0] want[0] to[0] watch[0] other[0] people[0] become[0] millionaires[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in our super-judgmental , power-oriented culture the desire for money supersedes everything ; when you have money , you have it " all " . 	in our super-judgmental , power-oriented culture the desire for money supersedes everything ; when you have money , you have it " all " .	3	-1	 in[0] our[0] super[2] judgmental[0] power[0] oriented[0] culture[0] the[0] desire[0] for[0] money[0] supersedes[0] everything[0] when[0] you[0] have[0] money[0] you[0] have[0] it[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and seth ( giovanni ribisi ) wants it " all " the easy way . 	and seth ( giovanni ribisi ) wants it " all " the easy way .	1	-1	 and[0] seth[0] giovanni[0] ribisi[0] wants[0] it[0] all[0] the[0] easy[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's a well-intentioned college drop out who gets lured into working for an illegally run brokerage firm ( the kind that sells junk stock ) whereupon he meets others just like him . 	he's a well-intentioned college drop out who gets lured into working for an illegally run brokerage firm ( the kind that sells junk stock ) whereupon he meets others just like him .	2	-2	 he's[0] a[0] well[0] intentioned[0] college[0] drop[-1] out[0] who[0] gets[0] lured[0] into[0] working[0] for[0] an[0] illegally[0] run[0] brokerage[-1] firm[0] the[0] kind[1] that[0] sells[0] junk[-1] stock[0] whereupon[0] he[0] meets[0] others[0] just[0] like[1][-1 LastWordBoosterStrength] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ben affleck is cast as jim , the company headhunter , who struts in commanding the room like a frat boy gordon gecko . 	ben affleck is cast as jim , the company headhunter , who struts in commanding the room like a frat boy gordon gecko .	2	-1	 ben[0] affleck[0] is[0] cast[0] as[0] jim[0] the[0] company[0] headhunter[0] who[0] struts[0] in[0] commanding[0] the[0] room[0] like[1] a[0] frat[0] boy[0] gordon[0] gecko[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his job is to influence trainee's into becoming enthusiastic employees by giving a speech that subtly attacks their man hood . 	his job is to influence trainee's into becoming enthusiastic employees by giving a speech that subtly attacks their man hood .	3	-3	 his[0] job[0] is[0] to[0] influence[0] trainee's[0] into[0] becoming[0] enthusiastic[2] employees[0] by[0] giving[0] a[0] speech[0] that[0] subtly[0] attacks[-2] their[0] man[0] hood[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's ironic that he sells these pups the same load of b . s that they're told to dish out to prospective buyers . 	it's ironic that he sells these pups the same load of b .<br> s that they're told to dish out to prospective buyers .	1	-2	 it's[0] ironic[-1] that[0] he[0] sells[0] these[0] pups[0] the[0] same[0] load[0] of[0] b[0] [[Sentence=-2,1=word max, 1-5]] s[0] that[0] they're[0] told[0] to[0] dish[0] out[0] to[0] prospective[0] buyers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
affleck's character is obviously supposed to recall alec baldwin's similar character in glengary glen ross , and that proves detrimental to the actor's performance . 	affleck's character is obviously supposed to recall alec baldwin's similar character in glengary glen ross , and that proves detrimental to the actor's performance .	1	-2	 affleck's[0] character[0] is[0] obviously[0] supposed[0] to[0] recall[0] alec[0] baldwin's[0] similar[0] character[0] in[0] glengary[0] glen[0] ross[0] and[0] that[0] proves[0] detrimental[-1] to[0] the[0] actor's[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
affleck shouts , curses and be-littles his rookie employees just like baldwin , minus the edge . 	affleck shouts , curses and be-littles his rookie employees just like baldwin , minus the edge .	1	-2	 affleck[0] shouts[0] curses[-1] and[0] be[0] littles[0] his[0] rookie[0] employees[0] just[0] like[1][-1 LastWordBoosterStrength] baldwin[0] minus[0] the[0] edge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when alec played the scene he became the part , spewing those brutal lines as if they were his own . 	when alec played the scene he became the part , spewing those brutal lines as if they were his own .	1	-3	 when[0] alec[0] played[0] the[0] scene[0] he[0] became[0] the[0] part[0] spewing[-1] those[0] brutal[-2] lines[0] as[0] if[0] they[0] were[0] his[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by comparison affleck simply looks as if he were doing a really hammy line reading . 	by comparison affleck simply looks as if he were doing a really hammy line reading .	1	-1	 by[0] comparison[0] affleck[0] simply[0] looks[0] as[0] if[0] he[0] were[0] doing[0] a[0] really[0] hammy[0] line[0] reading[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the brokers approach their job with the fervor of overzealous jocks : they storm to work like football players on the way to the big game . 	the brokers approach their job with the fervor of overzealous jocks : they storm to work like football players on the way to the big game .	2	-2	 the[0] brokers[-1] approach[0] their[0] job[0] with[0] the[0] fervor[0] of[0] overzealous[0] jocks[0] they[0] storm[-1] to[0] work[0] like[1] football[0] players[0] on[0] the[0] way[0] to[0] the[0] big[0] game[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rap music thumps on the soundtrack effectively illustrating who these guys think they are : intellectual gangsters . 	rap music thumps on the soundtrack effectively illustrating who these guys think they are : intellectual gangsters .	1	-1	 rap[0] music[0] thumps[0] on[0] the[0] soundtrack[0] effectively[0] illustrating[0] who[0] these[0] guys[0] think[0] they[0] are[0] intellectual[0] gangsters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they aren't above a rumble as a test of man hood especially during leisure time where the lumbering scott caan seems all too eager to use his fists in minor disputes . 	they aren't above a rumble as a test of man hood especially during leisure time where the lumbering scot can seems all too eager to use his fists in minor disputes .	1	-1	 they[0] aren't[0] above[0] a[0] rumble[0] as[0] a[0] test[0] of[0] man[0] hood[0] especially[0] during[0] leisure[0] time[0] where[0] the[0] lumbering[0] scott/scot[0] caan/can[0] seems[0] all[0] too[0] eager[0] to[0] use[0] his[0] fists[0] in[0] minor[0] disputes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we drink up this world along with seth , and watch him become seduced by it , just like we might be . 	we drink up this world along with seth , and watch him become seduced by it , just like we might be .	1	-1	 we[0] drink[0] up[0] this[0] world[0] along[0] with[0] seth[0] and[0] watch[0] him[0] become[0] seduced[0] by[0] it[0] just[0] like[1][-1 LastWordBoosterStrength] we[0] might[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as in all cautionary tales , boiler room begins with seducing us into its illustrious world of profit and wrongdoing , then smacks us with the consequences of all the recklessness . 	as in all cautionary tales , boiler room begins with seducing us into its illustrious world of profit and wrongdoing , then smacks us with the consequences of all the recklessness .	2	-3	 as[0] in[0] all[0] cautionary[0] tales[0] boiler[0] room[0] begins[0] with[0] seducing[0] us[0] into[0] its[0] illustrious[0] world[0] of[0] profit[1] and[0] wrongdoing[-2] then[0] smacks[-1] us[0] with[0] the[0] consequences[0] of[0] all[0] the[0] recklessness[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i know this story . 	i know this story .	1	-1	 i[0] know[0] this[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we all do . 	we all do .	1	-1	 we[0] all[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it can work if it's told with intelligence and energy , and that is how writer \ director ben younger tells it . 	but it can work if it's told with intelligence and energy , and that is how writer \ director ben younger tells it .	1	-1	 but[0] it[0] can[0] work[0] if[0] it's[0] told[0] with[0] intelligence[0] and[0] energy[0] and[0] that[0] is[0] how[0] writer[0] \[0] director[0] ben[0] younger[0] tells[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a director of ( please excuse my french ) mise-en-scene younger has much to learn . 	as a director of ( please excuse my french ) mise-en-scene younger has much to learn .	2	-1	 as[0] a[0] director[0] of[0] please[1] excuse[0] my[0] french[0] mise[0] en[0] scene[0] younger[0] has[0] much[0] to[0] learn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his style is sitcom bland . 	his style is sitcom bland .	1	-2	 his[0] style[0] is[0] sitcom[0] bland[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but his writing isn't . 	but his writing isn't .	1	-1	 but[0] his[0] writing[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
younger's script is well studied in the vernacular of this bunch ; his dialogue is like a junior david mamet . 	younger's script is well studied in the vernacular of this bunch ; his dialogue is like a junior david mamet .	2	-1	 younger's[0] script[0] is[0] well[0] studied[0] in[0] the[0] vernacular[0] of[0] this[0] bunch[0] his[0] dialogue[0] is[0] like[1] a[0] junior[0] david[0] mamet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
despite the moderate camera work younger fills his phone-pitch scenes with tension that comes from just the performances and the tightly wound script . 	despite the moderate camera work younger fills his phone-pitch scenes with tension that comes from just the performances and the tightly wound script .	1	-3	 despite[0] the[0] moderate[0] camera[0] work[0] younger[0] fills[0] his[0] phone[0] pitch[0] scenes[0] with[0] tension[-2] that[0] comes[0] from[0] just[0] the[0] performances[0] and[0] the[0] tightly[0] wound[-1] script[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the brokers \ hucksters counter every customer objection , gently bullying them into buying stock . 	the brokers \ hucksters counter every customer objection , gently bullying them into buying stock .	2	-2	 the[0] brokers[-1] \[0] hucksters[0] counter[0] every[0] customer[0] objection[-1] gently[1] bullying[0] them[0] into[0] buying[0] stock[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these moments are filmed like psychological action scenes : a tense confrontation between a victimizer and a victim who isn't aware that he is one . 	these moments are filmed like psychological action scenes : a tense confrontation between a victimizer and a victim who isn't aware that he is one .	2	-4	 these[0] moments[0] are[0] filmed[0] like[1] psychological[0] action[0] scenes[0] a[0] tense[-2] confrontation[-2][-1 MultiplePositiveWords] between[0] a[0] victimizer[-2] and[0] a[0] victim[-2] who[0] isn't[0] aware[0] that[0] he[0] is[0] one[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
with the exception of affleck's brief appearances , the performances are truly exceptional . 	with the exception of affleck's brief appearances , the performances are truly exceptional .	2	-1	 with[0] the[0] exception[0] of[0] affleck's[0] brief[0] appearances[0] the[0] performances[0] are[0] truly[1] exceptional[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ribisi , who has the edgy looks of a character actor , is extremely potent here , working his pale angular face , and eerie , plaintive stare for all their worth . 	ribisi , who has the edgy looks of a character actor , is extremely potent here , working his pale angular face , and eerie , plaintive stare for all their worth .	1	-1	 ribisi[0] who[0] has[0] the[0] edgy[0] looks[0] of[0] a[0] character[0] actor[0] is[0] extremely[0] potent[0] here[0] working[0] his[0] pale[0] angular[0] face[0] and[0] eerie[0] plaintive[0] stare[0] for[0] all[0] their[0] worth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he conveys child-like vulnerability ( his character seems to hide in a corner whenever things aren't going his way ) in some scenes , and in others he's ferociously cut throat . 	he conveys child-like vulnerability ( his character seems to hide in a corner whenever things aren't going his way ) in some scenes , and in others he's ferociously cut throat .	2	-4	 he[0] conveys[0] child[0] like[1] vulnerability[-2] his[0] character[0] seems[0] to[0] hide[0] in[0] a[0] corner[0] whenever[0] things[0] aren't[0] going[0] his[0] way[0] in[0] some[0] scenes[0] and[0] in[0] others[0] he's[0] ferociously[-3] cut[0] throat[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the jekyll and hyde contradiction works well in the movie : ribisi is confident when it's just him and the phone , but cowardly in front of authority figures including his abrasive father ( authoritatively played by ron rifkin ) . 	the jekyll and hyde contradiction works well in the movie : ribisi is confident when it's just him and the phone , but cowardly in front of authority figures including his abrasive father ( authoritatively played by ron rifkin ) .	2	-2	 the[0] jekyll[0] and[0] hyde[0] contradiction[-1] works[0] well[0] in[0] the[0] movie[0] ribisi[0] is[0] confident[1] when[0] it's[0] just[0] him[0] and[0] the[0] phone[0] but[0] cowardly[-1] in[0] front[0] of[0] authority[0] figures[0] including[0] his[0] abrasive[-1] father[0] authoritatively[0] played[0] by[0] ron[0] rifkin[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
boiler room thankfully avoids wall street-like histrionics in the sales-pitch sequences ; the sales build slowly like a crescendo of intelligent psychological ploys . 	boiler room thankfully avoids wall street-like histrionics in the sales-pitch sequences ; the sales build slowly like a crescendo of intelligent psychological ploys .	2	-2	 boiler[0] room[0] thankfully[1] avoids[-1] wall[0] street[0] like[1] histrionics[0] in[0] the[0] sales[0] pitch[0] sequences[0] the[0] sales[0] build[0] slowly[0] like[1] a[0] crescendo[0] of[0] intelligent[1] psychological[0] ploys[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
those ploys are taught to seth by chris ( vin diesel ) , a kind broker who alternates between seth's friend and his mentor . 	those ploys are taught to seth by chris ( vin diesel ) , a kind broker who alternates between seth's friend and his mentor .	2	-2	 those[0] ploys[0] are[0] taught[0] to[0] seth[0] by[0] chris[0] vin[0] diesel[0] a[0] kind[1] broker[-1] who[0] alternates[0] between[0] seth's[0] friend[1] and[0] his[0] mentor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
diesl shines in his minor role . 	diesl shines in his minor role .	1	-1	 diesl[0] shines[0] in[0] his[0] minor[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this week i saw the sci-fi opus pitch black in which diesel plays a completely different role in an equally effective manner . 	this week i saw the sci-fi opus pitch black in which diesel plays a completely different role in an equally effective manner .	2	-1	 this[0] week[0] i[0] saw[0] the[0] sci[0] fi[0] opus[0] pitch[0] black[0] in[0] which[0] diesel[0] plays[1] a[0] completely[0] different[0] role[0] in[0] an[0] equally[0] effective[0] manner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in that film he has the kind of role that might have gone to arnold schwarzenegger in the 80's , and in boiler room he has the kind of role that might have gone to elliot gould in the 70's . 	in that film he has the kind of role that might have gone to arnold schwarzenegger in the 80's , and in boiler room he has the kind of role that might have gone to elliot gould in the 70's .	2	-1	 in[0] that[0] film[0] he[0] has[0] the[0] kind[1] of[0] role[0] that[0] might[0] have[0] gone[0] to[0] arnold[0] schwarzenegger[0] in[0] the[0] 80's[0] and[0] in[0] boiler[0] room[0] he[0] has[0] the[0] kind[1] of[0] role[0] that[0] might[0] have[0] gone[0] to[0] elliot[0] gould[0] in[0] the[0] 70's[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nicky katt is also memorable as a superior broker obsessed with what he can't have . 	nicky katt is also memorable as a superior broker obsessed with what he can't have .	3	-3	 nicky[0] katt[0] is[0] also[0] memorable[0] as[0] a[0] superior[2] broker[-1] obsessed[-2] with[0] what[0] he[0] can't[0] have[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
nia long , as the firm's secretary , ( a lone black women amongst many white men ) is ribisi's love interest in a part that at first looks to be as insignificant as most of the parts this talented actress gets , but develops into something more interesting . 	nia long , as the firm's secretary , ( a lone black women amongst many white men ) is ribisi's love interest in a part that at first looks to be as insignificant as most of the parts this talented actress gets , but develops into something more interesting .	3	-2	 nia[0] long[0] as[0] the[0] firm's[0] secretary[0] a[0] lone[-1] black[0] women[0] amongst[0] many[0] white[0] men[0] is[0] ribisi's[0] love[2] interest[1] in[0] a[0] part[0] that[0] at[0] first[0] looks[0] to[0] be[0] as[0] insignificant[-1] as[0] most[0] of[0] the[0] parts[0] this[0] talented[1] actress[0] gets[0] but[0] develops[0] into[0] something[0] more[0] interesting[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the two make an oddly likeable couple . 	the two make an oddly likeable couple .	3	-1	 the[0] two[0] make[0] an[0] oddly[0] likeable[2] couple[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
long is smart and brash , and ribisi is charmingly aloof . 	long is smart and brash , and ribisi is charmingly aloof .	2	-2	 long[0] is[0] smart[1] and[0] brash[0] and[0] ribisi[0] is[0] charmingly[1] aloof[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at one point he says to her " i'm just lookin' for some chocolate love " . 	at one point he says to her " i'm just lookin' for some chocolate love " .	3	-1	 at[0] one[0] point[0] he[0] says[0] to[0] her[0] i'm[0] just[0] lookin'[0] for[0] some[0] chocolate[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
